Dependency=Location Region	Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
CR08	1950s	1838916.17819	153	998366.186576	12019.0599882	11999423086.6
CR08	1960s	2373774.32591	178	1235776.18569	13335.8108197	16480077427.8
CR08	1970s	3391161.48886	205	1294267.80474	16542.2511652	21410103101.0
CR08	1980s	2567244.7245	153	1164442.71292	16779.3772843	19538623606.1
CR08	1990s	3345742.67292	197	1572319.77061	16983.4653448	26703438335.1
CR08	2000s	3259278.72216	195	1360231.69385	16714.2498572	22735252394.7
CR09	<1950	2679537.51465	187	1975861.50459	14329.0776185	28312272862.5
CR09	1950s	3296975.67409	233	2241670.80412	14150.1101892	31719888886.3
CR09	1960s	3610636.86987	229	2348269.76917	15766.9732309	37025106589.3
CR09	1970s	5021943.43494	308	2906300.78009	16305.0111524	47387266631.6
CR09	1980s	5930981.53576	344	3261807.20869	17241.2253946	56237553278.8
CR09	1990s	6998271.98124	382	3756866.94791	18320.0837205	68826117012.6
CR09	2000s	8655430.83236	495	4832219.28946	17485.7188532	84494827932.7
CR10	<1950	72671.1606096	6	77936.272592	12111.8601016	943953230.475
CR10	1950s	131098.182884	14	170307.60276	9364.15592028	1594786946.65
CR10	1960s	218990.03517	14	142118.273691	15642.1453693	2223034696.71
CR10	1970s	656296.307151	46	495644.347124	14267.311025	7071512058.21
CR10	1980s	620301.875733	42	498876.02434	14769.0922794	7367946039.43
CR10	1990s	1125287.51465	69	761608.608491	16308.5147051	12420705191.1
CR10	2000s	718873.974209	52	552280.192386	13824.499504	7634997245.72
CR11	<1950	1026356.09613	136	1030677.77955	7546.73600097	7778253104.33
CR11	1950s	1492626.61196	190	1407645.84141	7855.92953662	11058366542.7
CR11	1960s	1164617.81946	158	1182257.67041	7370.99885735	8714419937.71
CR11	1970s	1381266.70574	148	1103939.74335	9332.88314692	10302940626.0
CR11	1980s	1033591.73505	121	904026.366109	8542.08045498	7722265952.73
CR11	1990s	1126913.83353	108	813930.61364	10434.3873475	8492867296.7
CR11	2000s	1022846.42438	83	615735.737318	12323.4508962	7587989123.87
CR12	<1950	38041.031653	3	20830.937581	12680.3438843	264143451.96
CR12	1950s	17985.9320047	3	23854.561843	5995.31066823	143015509.103
CR12	1960s	43156.2133646	5	39757.603542	8631.24267292	343157524.265
CR12	1970s	75447.8311841	9	67427.279322	8383.09235378	565249109.721
CR12	1980s	42825.0293083	5	43358.157574	8565.00586166	371362873.772
CR12	1990s	58097.3036342	6	41755.589978	9682.88393904	404314531.563
CR12	2000s	23048.9449004	2	16604.992892	11524.4724502	191363783.119
