Dependency=Location Region	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	source_count	source_weight	sampling_probability
CR04	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.0628298	0.935428	0.00174207	0	0	0	0	639	1.07089e+07	0.0900346
CR04	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	0.0005233
CR04	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0962632	0.877809	0.0259276	28	562794	0.00515064
CR05	Electricity	0	0	0.005	0	0.147675	0.83459	0.012735	0	0	0	0	0	0	0	0	0	0	78	914022	0.0104075
CR05	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	6.11068e-05
CR05	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.0971966	0.893176	0.0096278	0	0	0	0	337	2.62944e+06	0.0229231
CR05	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	4.62572e-05
CR05	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208578	0.730262	0.0611597	28	340752	0.00225105
CR06	Electricity	0	0	0.03	0	0.172457	0.785561	0.0119826	0	0	0	0	0	0	0	0	0	0	250	2.60066e+06	0.0224423
CR06	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	0.000104728
CR06	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.173747	0.826253	0	0	0	0	0	107	1.14023e+06	0.0111432
CR06	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	5.9901e-05
CR06	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187312	0.812688	0	10	105576	0.0013291
CR07	Electricity	0	0	0.005	0	0.180097	0.792663	0.0222406	0	0	0	0	0	0	0	0	0	0	288	3.64835e+06	0.0326527
CR07	Fuel Oil	0	0	0	0	0	0	0	0.170013	0.176617	0.65337	0	0	0	0	0	0	0	204	1.95839e+06	0.0138395
CR07	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.078281	0.898201	0.0235179	0	0	0	0	804	9.09048e+06	0.079547
CR07	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	0.000112148
CR07	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0747533	0.878658	0.0465885	33	498603	0.00424026
CR08	Electricity	0	0	0.005	0	0.101376	0.889371	0.00425268	0	0	0	0	0	0	0	0	0	0	922	8.06273e+06	0.0704621
CR08	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	0.000529686
CR08	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.0844022	0.901661	0.0139364	0	0	0	0	884	5.82949e+06	0.0533432
CR08	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	0.000114706
CR08	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798837	0.857555	0.0625611	60	436537	0.00394559
CR09	Electricity	0	0	0.005	0	0.099784	0.879855	0.0153607	0	0	0	0	0	0	0	0	0	0	2089	2.0564e+07	0.19772
CR09	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	0.000186722
CR09	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.0905996	0.895711	0.0136892	0	0	0	0	1030	1.02354e+07	0.0859538
CR09	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	0.000892645
CR09	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0732014	0.824727	0.102072	69	824847	0.00765907
CR10	Electricity	0	0	0.005	0	0.0835164	0.886579	0.0249046	0	0	0	0	0	0	0	0	0	0	148	1.58134e+06	0.0160506
CR10	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	5.3e-05
CR10	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.094327	0.881657	0.0240162	0	0	0	0	203	2.19983e+06	0.0197029
CR10	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	0.000142497
CR10	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0527268	0.947273	0	15	193975	0.00178302
CR11	Electricity	0	0	0.005	0	0.218407	0.748407	0.0281864	0	0	0	0	0	0	0	0	0	0	173	1.31179e+06	0.0145904
CR11	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	0.000102659
CR11	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.29674	0.681235	0.0220249	0	0	0	0	1353	1.0266e+07	0.084718
CR11	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	0.000306675
CR11	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225163	0.774837	0	66	522231	0.00471248
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Source: (Heat pump water heaters) 2016-17 RBSA II for CR06 and Butzbaugh et al. 2017 US HPWH Market Transformation - Where Weve Been and Where to Go Next for remainder of regions
# Assumption: Due to low samples, oil water heater efficiency distribution are lumped except for CR03 and CR07.
# Assumption: Water heater blanket is used as a proxy for premium storage tank water heaters.
# Assumption: Heat Pump Water Heaters are added in manually as they are not in the survey.
