Foundation Type,Vintage,"10% Leakage, R-4","10% Leakage, R-6","10% Leakage, R-8","10% Leakage, Uninsulated","15% Leakage, R-4","15% Leakage, R-6","15% Leakage, R-8","15% Leakage, Uninsulated","20% Leakage, R-4","20% Leakage, R-6","20% Leakage, R-8","20% Leakage, Uninsulated","30% Leakage, R-4","30% Leakage, R-6","30% Leakage, R-8","30% Leakage, Uninsulated","7.5% Leakage, R-4","7.5% Leakage, R-6","7.5% Leakage, R-8","7.5% Leakage, Uninsulated",In Finished Space,Count,Weight
heated basement,1970s,0,0,0,0,0,0,0,0,0.031239272,0,0,0,0,0,0,0,0.026205252,0,0,0.01427096,0.752819681,67,189141.09
heated basement,1980s,0,0,0,0,0,0,0,0,0,0,0,0,0.050773995,0,0,0,0,0,0,0,0.704694914,28,68270.48
heated basement,1990s,0.008616977,0,0,0,0,0,0,0.017233954,0,0,0.037043186,0,0,0,0,0,0,0,0,0.052688864,0.778643465,41,93576.32
heated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034866546,0,0.68568384,26,54616.25
heated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2489.11
heated basement,pre-1950,0,0,0,0,0.002500008,0,0,0.005205078,0,0,0,0,0.02366628,0,0.005205078,0.005205078,0,0,0.002602539,0.012662875,0.796689965,149,292937.04
slab,1950s,0,0,0,0,0,0,0.086480068,0,0,0,0,0.018270795,0,0,0.103098285,0,0,0,0,0,0.460828854,24,40082.82
slab,1960s,0.199310792,0,0.080719229,0,0,0,0,0.013832366,0,0,0,0,0.080719229,0,0,0,0,0,0,0,0.337081865,20,42943.485
slab,1970s,0,0,0.06105891,0,0,0,0,0,0.014203509,0,0,0,0,0,0,0,0.099460498,0,0,0.067086565,0.441309472,28,56770.83
slab,1980s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199119747,0.514691904,15,41507.385
slab,1990s,0,0,0,0,0,0,0,0,0,0,0.176802023,0.096546386,0,0,0,0,0.01459598,0,0.041127645,0,0.324608712,21,39211.825
slab,2000s,0,0,0.024099984,0.045808143,0,0,0,0.023153886,0,0,0,0,0,0,0.025017455,0,0,0,0.045808143,0,0.301263207,21,41570.775
slab,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314152705,2,12050.7
slab,pre-1950,0,0,0,0,0,0,0,0,0,0.061799767,0,0,0,0,0,0,0,0,0,0,0.496409983,30,56090.26
unheated basement,1950s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423609753,4,4702.76
unheated basement,1960s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345453249,4,6168.36
unheated basement,1980s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57645609,3,4730.82
unheated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896481621,2,5528.825
unheated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,952.14
unheated basement,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780361155,20,31296.24
unheated basement,1970s,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0,0
unheated basement,1990s,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0.045454545,0,0
