Dependency=Location Region	Dependency=Federal Poverty Level	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
CR07	100-150	11031.7075543	36	391620.039414	306.436320954	120006604.09
CR07	150-200	21243.3201021	54	630566.18926	393.394816706	248061470.445
CR07	250-300	17969.9286695	65	853550.587414	276.460441069	235972971.872
CR07	0-50	6546.8207606	23	244506.806721	284.644380896	69597488.6239
CR07	200-250	9440.94027352	52	654380.966605	181.556543722	118807146.574
CR07	300+	112020.545286	406	4799086.22645	275.912673119	1324128709.27
CR07	50-100	5468.39806194	18	190197.607696	303.79989233	57782012.7395
CR08	100-150	7811.97725035	87	702388.648732	89.7928419581	63069472.9287
CR08	150-200	9199.07701777	139	896892.351636	66.1804101998	59356703.7363
CR08	250-300	10593.7335945	171	1143533.79673	61.9516584472	70843815.1976
CR08	0-50	2770.16050098	35	235423.716663	79.1474428851	18633185.1684
CR08	200-250	8164.12950681	117	780063.489792	69.7788846736	54431960.2923
CR08	300+	53290.3706876	695	5011381.11664	76.6767923562	384256629.298
CR08	50-100	5687.03231744	62	460809.8852	91.7263277007	42268398.5376
CR09	100-150	4810.47868551	188	1973720.44477	25.5876525825	50502873.0358
CR09	150-200	7996.39383852	205	1975291.39484	39.0067992123	77049794.8242
CR09	250-300	8967.73409491	268	2665127.52623	33.461694384	89179682.7771
CR09	0-50	2949.68478035	117	1187811.91906	25.2109810287	29945903.757
CR09	200-250	4840.23163478	204	2078007.3904	23.7266256607	49304103.4722
CR09	300+	37497.7984022	1046	9816111.86095	35.8487556426	351895395.464
CR09	50-100	5483.50766871	150	1626925.76777	36.5567177914	59475066.16
CR10	100-150	1056.75230407	20	240658.382569	52.8376152037	12715815.0137
CR10	150-200	327.691583699	15	162469.298427	21.8461055799	3549321.44693
CR10	250-300	0.0	24	293187.185005	0.0	0.0
CR10	0-50	153.304325161	7	88426.701131	21.9006178802	1936599.39188
CR10	200-250	601.496752571	27	300697.217147	22.2776575026	6698829.6156
CR10	300+	7034.05108564	136	1457215.29012	51.720963865	75368579.364
CR10	50-100	0.0	14	156117.246982	0.0	0.0
CR11	100-150	1969.81731181	90	660878.79254	21.8868590201	14464560.9617
CR11	150-200	500.942830957	61	442855.8934	8.21217755668	3636811.22862
CR11	250-300	1327.92488899	96	734109.510997	13.832550927	10154607.1969
CR11	0-50	1658.17708853	37	274159.669478	44.8155969874	12286629.2575
CR11	200-250	285.329530238	76	581772.04177	3.75433592418	2184167.6761
CR11	300+	16086.5003957	531	3981695.01387	30.2947276754	120624366.132
CR11	50-100	1358.14881144	51	367335.979079	26.6303688517	9782292.61537
CR12	100-150	0.0	2	15903.042628	0.0	0.0
CR12	250-300	0.0	3	19718.151179	0.0	0.0
CR12	0-50	0.0	1	9232.784198	0.0	0.0
CR12	200-250	0.0	1	7951.520605	0.0	0.0
CR12	300+	303.21329	16	132564.863667	18.950830625	2512214.27818
CR12	50-100	0.0	1	7951.519832	0.0	0.0
