Dependency=Location Region	Dependency=Vintage	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
CR06	1970s	6364.09682374	20	198694.588124	318.204841187	63225579.8587
CR06	1990s	11743.1134497	39	417114.294944	301.105473068	125595397.103
CR07	1950s	115276.750123	159	1848701.76982	725.011007062	1340329131.9
CR07	<1950	127886.917826	172	1883019.32456	743.528592009	1400078707.12
CR07	1960s	67575.2722588	98	1093304.73334	689.543594478	753881275.69
CR07	1980s	43643.8908998	53	695937.279619	823.469639619	573083220.846
CR07	2000s	42026.2270601	55	769168.165752	764.113219275	587731563.297
CR07	1970s	37942.1535987	70	910003.095476	542.030765696	493249674.627
CR07	1990s	36306.2938262	47	563774.054984	772.474336728	435500989.188
CR08	1950s	96568.9534718	153	998366.186576	631.169630535	630138417.12
CR08	<1950	146117.218445	225	1605088.65101	649.409859754	1042360395.74
CR08	1960s	93968.4063867	178	1235776.18569	527.912395431	652381566.403
CR08	1980s	46071.863547	153	1164442.71292	301.123291157	350640822.078
CR08	2000s	96323.112537	195	1360231.69385	493.964679677	671906412.938
CR08	1970s	78516.6096208	205	1294267.80474	383.007851809	495714731.558
CR08	1990s	87552.3530338	197	1572319.77061	444.428187989	698783226.592
CR09	1950s	65869.5741907	233	2241670.80412	282.702035153	633724898.469
CR09	<1950	56690.3779839	187	1975861.50459	303.157101518	598996446.731
CR09	1960s	66284.4024228	229	2348269.76917	289.451538964	679710298.589
CR09	1980s	76915.9647393	344	3261807.20869	223.592920754	729317000.726
CR09	2000s	138033.657184	495	4832219.28946	278.855873099	1347492728.97
CR09	1970s	66126.2836857	308	2906300.78009	214.695726252	623970356.69
CR09	1990s	93635.4991107	382	3756866.94791	245.11910762	920879873.718
CR10	1950s	6970.45086035	14	170307.60276	497.889347168	84794341.1558
CR10	<1950	1597.78100243	6	77936.272592	266.296833739	20754182.6246
CR10	1960s	2275.18506181	14	142118.273691	162.513218701	23096098.0937
CR10	1980s	12859.5123671	42	498876.02434	306.178865884	152745295.349
CR10	2000s	18915.54286	52	552280.192386	363.760439615	200897685.573
CR10	1970s	15428.8179613	46	495644.347124	335.409086115	166243617.507
CR10	1990s	21762.2525136	69	761608.608491	315.394963965	240207519.63
CR11	1950s	93886.8742954	190	1407645.84141	494.14144366	695576148.238
CR11	<1950	69029.4212277	134	1015270.92889	515.144934535	523011676.197
CR11	1960s	73514.5787247	158	1182257.67041	465.282143828	550083383.447
CR11	1980s	49208.2208649	121	904026.366109	406.67951128	367649000.753
CR11	2000s	44727.7747831	83	615735.737318	538.888852809	331813125.117
CR11	1970s	64416.2191986	148	1103939.74335	435.244724315	480483949.257
CR11	1990s	48781.3282189	108	813930.61364	451.67896499	367635337.142
CR12	1950s	367.98	3	23854.561843	122.66	2926000.55566
CR12	<1950	0.0	1	7951.521036	0.0	0.0
CR12	1960s	0.0	5	39757.603542	0.0	0.0
CR12	1980s	218.33	4	35406.636848	54.5825	1932582.75576
CR12	2000s	611.637852524	1	12789.88236	611.637852524	7822776.18071
CR12	1970s	0.0	6	43572.717639	0.0	0.0
CR12	1990s	124.03	4	29988.958841	31.0075	929882.641262
