Dependency=Location Region	Dependency=Federal Poverty Level	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
CR05	0-50	1021.49019201	3	84160.81407	340.496730669	28656482.0413
CR05	200-250	28628.1344994	35	321089.319676	817.946699984	262633949.429
CR05	300+	147379.666199	177	1379691.12728	832.653481348	1148804620.32
CR05	50-100	7454.73247234	10	145586.152011	745.473247234	108530581.492
CR06	100-150	11285.8174517	27	272233.19077	417.993238952	113791633.16
CR06	150-200	6146.40289329	17	165743.209235	361.55311137	59924972.9873
CR06	250-300	4158.04154762	16	176083.940704	259.877596726	45760271.3322
CR06	0-50	1397.09226231	6	74989.726375	232.848710385	17461261.0785
CR06	200-250	1254.66858087	12	109692.566103	104.555715072	11468984.687
CR06	300+	60981.6643077	137	1424904.53863	445.121637282	634255841.205
CR06	50-100	1490.76889265	11	106080.704403	135.524444787	14376528.5668
CR07	100-150	23796.8698217	36	391620.039414	661.024161714	258870308.264
CR07	150-200	30337.6141924	54	630566.18926	561.807670229	354256921.714
CR07	250-300	32835.2620477	65	853550.587414	505.157877657	431177803.211
CR07	0-50	11750.591334	23	244506.806721	510.895275391	124917372.355
CR07	200-250	40470.9185322	52	654380.966605	778.28689485	509296130.548
CR07	300+	316969.887767	406	4799086.22645	780.714009277	3746713848.72
CR07	50-100	14496.3618977	18	190197.607696	805.353438761	153176297.402
CR08	100-150	35767.3492296	87	702388.648732	411.118956662	288765288.438
CR08	150-200	68870.2934029	139	896892.351636	495.469736712	444383017.324
CR08	250-300	75471.2859488	171	1143533.79673	441.352549408	504701556.52
CR08	0-50	11717.137703	35	235423.716663	334.775362944	78814060.1915
CR08	200-250	59178.9631917	117	780063.489792	505.803104202	394558534.612
CR08	300+	371351.575962	695	5011381.11664	534.318814334	2677675216.42
CR08	50-100	22761.9116041	62	460809.8852	367.127606517	169176030.213
CR09	100-150	48815.465973	188	1973720.44477	259.656733899	512489804.319
CR09	150-200	45177.5049157	205	1975291.39484	220.378072759	435310910.732
CR09	250-300	58081.1912956	268	2665127.52623	216.720863043	577588737.605
CR09	0-50	29253.4133642	117	1187811.91906	250.029174053	296987633.052
CR09	200-250	48869.1410271	204	2078007.3904	239.554612878	497796255.964
CR09	300+	300253.008055	1046	9816111.86095	287.048764871	2817702785.52
CR09	50-100	33106.034686	150	1626925.76777	220.706897907	359073739.33
CR10	100-150	4451.8562105	20	240658.382569	222.592810525	53568825.7525
CR10	150-200	4474.25563325	15	162469.298427	298.283708883	48461944.9145
CR10	250-300	8516.14813813	24	293187.185005	354.839505755	104034395.821
CR10	0-50	2949.91947516	7	88426.701131	421.417067879	37264521.1129
CR10	200-250	10851.2523885	27	300697.217147	401.898236612	120849681.325
CR10	300+	43038.1414968	136	1457215.29012	316.456922771	461145866.527
CR10	50-100	5527.96928414	14	156117.246982	394.854948867	61643667.5744
CR11	100-150	40550.6784254	90	660878.79254	450.563093616	297767593.272
CR11	150-200	27328.7490765	61	442855.8934	448.012279943	198404878.488
CR11	250-300	41992.4330169	96	734109.510997	437.42117726	321115046.538
CR11	0-50	13511.3383131	37	274159.669478	365.17130576	100115244.49
CR11	200-250	35353.6442801	76	581772.04177	465.179530001	270628444.958
CR11	300+	261677.532346	531	3981695.01387	492.801379182	1962184794.32
CR11	50-100	23150.0418558	51	367335.979079	453.922389329	166742025.31
CR12	100-150	0.0	2	15903.042628	0.0	0.0
CR12	250-300	0.0	3	19718.151179	0.0	0.0
CR12	0-50	218.33	1	9232.784198	218.33	2015793.77395
CR12	200-250	0.0	1	7951.520605	0.0	0.0
CR12	300+	1103.64785252	16	132564.863667	68.9779907828	9144057.94414
CR12	50-100	0.0	1	7951.519832	0.0	0.0
