Dependency=Location Census Tract	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Count	Weight
G0100070010001	0.25	0.25	0.25	0.25	0	0.0
G0100070010002	0.25	0.25	0.25	0.25	0	0.0
G0100070010003	0.25	0.25	0.25	0.25	0	0.0
G0100070010004	0.25	0.25	0.25	0.25	0	0.0
G0100090050101	0.25	0.25	0.25	0.25	0	0.0
G0100090050102	0.25	0.25	0.25	0.25	0	0.0
G0100090050200	0.25	0.25	0.25	0.25	0	0.0
G0100090050300	0.25	0.25	0.25	0.25	0	0.0
G0100090050400	0.25	0.25	0.25	0.25	0	0.0
G0100090050500	0.25	0.25	0.25	0.25	0	0.0
G0100090050601	0.25	0.25	0.25	0.25	0	0.0
G0100090050602	0.25	0.25	0.25	0.25	0	0.0
G0100090050700	0.25	0.25	0.25	0.25	0	0.0
G0100110952100	0.25	0.25	0.25	0.25	0	0.0
G0100110952200	0.25	0.25	0.25	0.25	0	0.0
G0100110952500	0.25	0.25	0.25	0.25	0	0.0
G0100130952700	0.25	0.25	0.25	0.25	0	0.0
G0100130952800	0.25	0.25	0.25	0.25	0	0.0
G0100130952900	0.25	0.25	0.25	0.25	0	0.0
G0100130953000	0.25	0.25	0.25	0.25	0	0.0
G0100130953100	0.25	0.25	0.25	0.25	0	0.0
G0100130953200	0.25	0.25	0.25	0.25	0	0.0
G0100130953300	0.25	0.25	0.25	0.25	0	0.0
G0100130953400	0.25	0.25	0.25	0.25	0	0.0
G0100130953500	0.25	0.25	0.25	0.25	0	0.0
G0100150000200	0.25	0.25	0.25	0.25	0	0.0
G0100150000300	0.25	0.25	0.25	0.25	0	0.0
G0100150000400	0.25	0.25	0.25	0.25	0	0.0
G0100150000500	0.25	0.25	0.25	0.25	0	0.0
G0100150000600	0.25	0.25	0.25	0.25	0	0.0
G0100150000700	0.25	0.25	0.25	0.25	0	0.0
G0100150000800	0.25	0.25	0.25	0.25	0	0.0
G0100150000900	0.25	0.25	0.25	0.25	0	0.0
G0100150001000	0.25	0.25	0.25	0.25	0	0.0
G0100150001100	0.25	0.25	0.25	0.25	0	0.0
G0100150001201	0.25	0.25	0.25	0.25	0	0.0
G0100150001202	0.25	0.25	0.25	0.25	0	0.0
G0100150001300	0.25	0.25	0.25	0.25	0	0.0
G0100150001400	0.25	0.25	0.25	0.25	0	0.0
G0100150001500	0.25	0.25	0.25	0.25	0	0.0
G0100150001600	0.25	0.25	0.25	0.25	0	0.0
G0100150001700	0.25	0.25	0.25	0.25	0	0.0
G0100150001800	0.25	0.25	0.25	0.25	0	0.0
G0100150002000	0.25	0.25	0.25	0.25	0	0.0
G0100150002101	0.25	0.25	0.25	0.25	0	0.0
G0100150002102	0.25	0.25	0.25	0.25	0	0.0
G0100150002103	0.25	0.25	0.25	0.25	0	0.0
G0100150002200	0.25	0.25	0.25	0.25	0	0.0
G0100150002300	0.25	0.25	0.25	0.25	0	0.0
G0100150002400	0.25	0.25	0.25	0.25	0	0.0
G0100150002501	0.25	0.25	0.25	0.25	0	0.0
G0100150002502	0.25	0.25	0.25	0.25	0	0.0
G0100150002600	0.25	0.25	0.25	0.25	0	0.0
G0100150981901	0.25	0.25	0.25	0.25	0	0.0
G0100150981902	0.25	0.25	0.25	0.25	0	0.0
G0100150981903	0.25	0.25	0.25	0.25	0	0.0
G0100170953800	0.25	0.25	0.25	0.25	0	0.0
G0100170953900	0.25	0.25	0.25	0.25	0	0.0
G0100170954000	0.25	0.25	0.25	0.25	0	0.0
G0100170954200	0.25	0.25	0.25	0.25	0	0.0
G0100170954300	0.25	0.25	0.25	0.25	0	0.0
G0100170954400	0.25	0.25	0.25	0.25	0	0.0
G0100170954500	0.25	0.25	0.25	0.25	0	0.0
G0100170954600	0.25	0.25	0.25	0.25	0	0.0
G0100170954700	0.25	0.25	0.25	0.25	0	0.0
G0100190955701	0.25	0.25	0.25	0.25	0	0.0
G0100190955702	0.25	0.25	0.25	0.25	0	0.0
G0100190955800	0.25	0.25	0.25	0.25	0	0.0
G0100190955900	0.25	0.25	0.25	0.25	0	0.0
G0100190956000	0.25	0.25	0.25	0.25	0	0.0
G0100190956100	0.25	0.25	0.25	0.25	0	0.0
G0100210060101	0.25	0.25	0.25	0.25	0	0.0
G0100210060102	0.25	0.25	0.25	0.25	0	0.0
G0100210060200	0.25	0.25	0.25	0.25	0	0.0
G0100210060300	0.25	0.25	0.25	0.25	0	0.0
G0100210060401	0.25	0.25	0.25	0.25	0	0.0
G0100210060402	0.25	0.25	0.25	0.25	0	0.0
G0100210060500	0.25	0.25	0.25	0.25	0	0.0
G0100210060600	0.25	0.25	0.25	0.25	0	0.0
G0100210060700	0.25	0.25	0.25	0.25	0	0.0
G0100230956700	0.25	0.25	0.25	0.25	0	0.0
G0100230956800	0.25	0.25	0.25	0.25	0	0.0
G0100230956900	0.25	0.25	0.25	0.25	0	0.0
G0100230957000	0.25	0.25	0.25	0.25	0	0.0
G0100250957500	0.25	0.25	0.25	0.25	0	0.0
G0100250957601	0.25	0.25	0.25	0.25	0	0.0
G0100250957602	0.25	0.25	0.25	0.25	0	0.0
G0100250957700	0.25	0.25	0.25	0.25	0	0.0
G0100250957800	0.25	0.25	0.25	0.25	0	0.0
G0100250957901	0.25	0.25	0.25	0.25	0	0.0
G0100250957902	0.25	0.25	0.25	0.25	0	0.0
G0100250958001	0.25	0.25	0.25	0.25	0	0.0
G0100250958002	0.25	0.25	0.25	0.25	0	0.0
G0100270958900	0.25	0.25	0.25	0.25	0	0.0
G0100270959000	0.25	0.25	0.25	0.25	0	0.0
G0100270959100	0.25	0.25	0.25	0.25	0	0.0
G0100270959200	0.25	0.25	0.25	0.25	0	0.0
G0100290959500	0.25	0.25	0.25	0.25	0	0.0
G0100290959600	0.25	0.25	0.25	0.25	0	0.0
G0100290959700	0.25	0.25	0.25	0.25	0	0.0
G0100290959800	0.25	0.25	0.25	0.25	0	0.0
G0100310010100	0.25	0.25	0.25	0.25	0	0.0
G0100310010200	0.25	0.25	0.25	0.25	0	0.0
G0100310010300	0.25	0.25	0.25	0.25	0	0.0
G0100310010400	0.25	0.25	0.25	0.25	0	0.0
G0100310010500	0.25	0.25	0.25	0.25	0	0.0
G0100310010600	0.25	0.25	0.25	0.25	0	0.0
G0100310010700	0.25	0.25	0.25	0.25	0	0.0
G0100310010800	0.25	0.25	0.25	0.25	0	0.0
G0100310010900	0.25	0.25	0.25	0.25	0	0.0
G0100310011000	0.25	0.25	0.25	0.25	0	0.0
G0100310011100	0.25	0.25	0.25	0.25	0	0.0
G0100310011201	0.25	0.25	0.25	0.25	0	0.0
G0100310011202	0.25	0.25	0.25	0.25	0	0.0
G0100310011300	0.25	0.25	0.25	0.25	0	0.0
G0100330020100	0.25	0.25	0.25	0.25	0	0.0
G0100330020200	0.25	0.25	0.25	0.25	0	0.0
G0100330020300	0.25	0.25	0.25	0.25	0	0.0
G0100330020400	0.25	0.25	0.25	0.25	0	0.0
G0100330020500	0.25	0.25	0.25	0.25	0	0.0
G0100330020600	0.25	0.25	0.25	0.25	0	0.0
G0100330020701	0.25	0.25	0.25	0.25	0	0.0
G0100330020703	0.25	0.25	0.25	0.25	0	0.0
G0100330020704	0.25	0.25	0.25	0.25	0	0.0
G0100330020801	0.25	0.25	0.25	0.25	0	0.0
G0100330020802	0.25	0.25	0.25	0.25	0	0.0
G0100330020901	0.25	0.25	0.25	0.25	0	0.0
G0100330020902	0.25	0.25	0.25	0.25	0	0.0
G0100330021000	0.25	0.25	0.25	0.25	0	0.0
G0100350960200	0.25	0.25	0.25	0.25	0	0.0
G0100350960300	0.25	0.25	0.25	0.25	0	0.0
G0100350960400	0.25	0.25	0.25	0.25	0	0.0
G0100350960500	0.25	0.25	0.25	0.25	0	0.0
G0100350960600	0.25	0.25	0.25	0.25	0	0.0
G0100370961000	0.25	0.25	0.25	0.25	0	0.0
G0100370961100	0.25	0.25	0.25	0.25	0	0.0
G0100370961200	0.25	0.25	0.25	0.25	0	0.0
G0100390961600	0.25	0.25	0.25	0.25	0	0.0
G0100390961700	0.25	0.25	0.25	0.25	0	0.0
G0100390961800	0.25	0.25	0.25	0.25	0	0.0
G0100390961900	0.25	0.25	0.25	0.25	0	0.0
G0100390962000	0.25	0.25	0.25	0.25	0	0.0
G0100390962100	0.25	0.25	0.25	0.25	0	0.0
G0100390962300	0.25	0.25	0.25	0.25	0	0.0
G0100390962400	0.25	0.25	0.25	0.25	0	0.0
G0100390962500	0.25	0.25	0.25	0.25	0	0.0
G0100390962600	0.25	0.25	0.25	0.25	0	0.0
G0101130031000	0.25	0.25	0.25	0.25	0	0.0
G0101130031100	0.25	0.25	0.25	0.25	0	0.0
G0101130031200	0.25	0.25	0.25	0.25	0	0.0
G0101150040103	0.25	0.25	0.25	0.25	0	0.0
G0101150040104	0.25	0.25	0.25	0.25	0	0.0
G0101150040105	0.25	0.25	0.25	0.25	0	0.0
G0101150040106	0.25	0.25	0.25	0.25	0	0.0
G0101150040201	0.25	0.25	0.25	0.25	0	0.0
G0101150040203	0.25	0.25	0.25	0.25	0	0.0
G0101150040204	0.25	0.25	0.25	0.25	0	0.0
G0101150040205	0.25	0.25	0.25	0.25	0	0.0
G0101150040300	0.25	0.25	0.25	0.25	0	0.0
G0101150040401	0.25	0.25	0.25	0.25	0	0.0
G0101150040402	0.25	0.25	0.25	0.25	0	0.0
G0101150040501	0.25	0.25	0.25	0.25	0	0.0
G0101150040502	0.25	0.25	0.25	0.25	0	0.0
G0101170030102	0.25	0.25	0.25	0.25	0	0.0
G0101170030103	0.25	0.25	0.25	0.25	0	0.0
G0101170030211	0.25	0.25	0.25	0.25	0	0.0
G0101170030212	0.25	0.25	0.25	0.25	0	0.0
G0101170030213	0.25	0.25	0.25	0.25	0	0.0
G0101170030214	0.25	0.25	0.25	0.25	0	0.0
G0101170030215	0.25	0.25	0.25	0.25	0	0.0
G0101170030216	0.25	0.25	0.25	0.25	0	0.0
G0101170030217	0.25	0.25	0.25	0.25	0	0.0
G0101170030303	0.25	0.25	0.25	0.25	0	0.0
G0101170030304	0.25	0.25	0.25	0.25	0	0.0
G0101170030305	0.25	0.25	0.25	0.25	0	0.0
G0101170030306	0.25	0.25	0.25	0.25	0	0.0
G0101170030314	0.25	0.25	0.25	0.25	0	0.0
G0101170030315	0.25	0.25	0.25	0.25	0	0.0
G0101170030316	0.25	0.25	0.25	0.25	0	0.0
G0101170030317	0.25	0.25	0.25	0.25	0	0.0
G0101170030319	0.25	0.25	0.25	0.25	0	0.0
G0101170030320	0.25	0.25	0.25	0.25	0	0.0
G0101170030330	0.25	0.25	0.25	0.25	0	0.0
G0101170030331	0.25	0.25	0.25	0.25	0	0.0
G0101170030332	0.25	0.25	0.25	0.25	0	0.0
G0101170030333	0.25	0.25	0.25	0.25	0	0.0
G0101170030334	0.25	0.25	0.25	0.25	0	0.0
G0101170030336	0.25	0.25	0.25	0.25	0	0.0
G0101170030337	0.25	0.25	0.25	0.25	0	0.0
G0101170030340	0.25	0.25	0.25	0.25	0	0.0
G0101170030341	0.25	0.25	0.25	0.25	0	0.0
G0101170030342	0.25	0.25	0.25	0.25	0	0.0
G0101170030344	0.25	0.25	0.25	0.25	0	0.0
G0101170030345	0.25	0.25	0.25	0.25	0	0.0
G0101170030405	0.25	0.25	0.25	0.25	0	0.0
G0101170030406	0.25	0.25	0.25	0.25	0	0.0
G0101170030407	0.25	0.25	0.25	0.25	0	0.0
G0101170030408	0.25	0.25	0.25	0.25	0	0.0
G0101170030501	0.25	0.25	0.25	0.25	0	0.0
G0101170030502	0.25	0.25	0.25	0.25	0	0.0
G0101170030604	0.25	0.25	0.25	0.25	0	0.0
G0101170030605	0.25	0.25	0.25	0.25	0	0.0
G0101170030607	0.25	0.25	0.25	0.25	0	0.0
G0101170030608	0.25	0.25	0.25	0.25	0	0.0
G0101170030609	0.25	0.25	0.25	0.25	0	0.0
G0101170030701	0.25	0.25	0.25	0.25	0	0.0
G0101170030703	0.25	0.25	0.25	0.25	0	0.0
G0101170030704	0.25	0.25	0.25	0.25	0	0.0
G0101170030800	0.25	0.25	0.25	0.25	0	0.0
G0101170030900	0.25	0.25	0.25	0.25	0	0.0
G0101170980000	0.25	0.25	0.25	0.25	0	0.0
G0101190011300	0.25	0.25	0.25	0.25	0	0.0
G0101190011400	0.25	0.25	0.25	0.25	0	0.0
G0101190011500	0.25	0.25	0.25	0.25	0	0.0
G0101190011600	0.25	0.25	0.25	0.25	0	0.0
G0101210010101	0.25	0.25	0.25	0.25	0	0.0
G0101210010102	0.25	0.25	0.25	0.25	0	0.0
G0101210010201	0.25	0.25	0.25	0.25	0	0.0
G0101210010202	0.25	0.25	0.25	0.25	0	0.0
G0101210010301	0.25	0.25	0.25	0.25	0	0.0
G0101210010302	0.25	0.25	0.25	0.25	0	0.0
G0101210010400	0.25	0.25	0.25	0.25	0	0.0
G0101210010500	0.25	0.25	0.25	0.25	0	0.0
G0101210010600	0.25	0.25	0.25	0.25	0	0.0
G0101210010700	0.25	0.25	0.25	0.25	0	0.0
G0101210010900	0.25	0.25	0.25	0.25	0	0.0
G0101210011000	0.25	0.25	0.25	0.25	0	0.0
G0101210011100	0.25	0.25	0.25	0.25	0	0.0
G0101210011200	0.25	0.25	0.25	0.25	0	0.0
G0101210011300	0.25	0.25	0.25	0.25	0	0.0
G0101210011400	0.25	0.25	0.25	0.25	0	0.0
G0101210011500	0.25	0.25	0.25	0.25	0	0.0
G0101210011600	0.25	0.25	0.25	0.25	0	0.0
G0101210011700	0.25	0.25	0.25	0.25	0	0.0
G0101210011800	0.25	0.25	0.25	0.25	0	0.0
G0101210011900	0.25	0.25	0.25	0.25	0	0.0
G0101210012000	0.25	0.25	0.25	0.25	0	0.0
G0101230961900	0.25	0.25	0.25	0.25	0	0.0
G0101230962000	0.25	0.25	0.25	0.25	0	0.0
G0101230962100	0.25	0.25	0.25	0.25	0	0.0
G0101230962200	0.25	0.25	0.25	0.25	0	0.0
G0101230962300	0.25	0.25	0.25	0.25	0	0.0
G0101230962400	0.25	0.25	0.25	0.25	0	0.0
G0101230962501	0.25	0.25	0.25	0.25	0	0.0
G0101230962502	0.25	0.25	0.25	0.25	0	0.0
G0101230962600	0.25	0.25	0.25	0.25	0	0.0
G0101230962700	0.25	0.25	0.25	0.25	0	0.0
G0600750032901	0.25	0.25	0.25	0.25	0	0.0
G0600750032902	0.25	0.25	0.25	0.25	0	0.0
G0600750033000	0.25	0.25	0.25	0.25	0	0.0
G0600750033100	0.25	0.25	0.25	0.25	0	0.0
G0600750033201	0.25	0.25	0.25	0.25	0	0.0
G0600750033203	0.25	0.25	0.25	0.25	0	0.0
G0600750033204	0.25	0.25	0.25	0.25	0	0.0
G0600750035100	0.25	0.25	0.25	0.25	0	0.0
G0600750035201	0.25	0.25	0.25	0.25	0	0.0
G0600750035202	0.25	0.25	0.25	0.25	0	0.0
G0600750035300	0.25	0.25	0.25	0.25	0	0.0
G0600750035400	0.25	0.25	0.25	0.25	0	0.0
G0600750040100	0.25	0.25	0.25	0.25	0	0.0
G0600750040200	0.25	0.25	0.25	0.25	0	0.0
G0600750042601	0.25	0.25	0.25	0.25	0	0.0
G0600750042602	0.25	0.25	0.25	0.25	0	0.0
G0600750042700	0.25	0.25	0.25	0.25	0	0.0
G0600750042800	0.25	0.25	0.25	0.25	0	0.0
G0600750045100	0.25	0.25	0.25	0.25	0	0.0
G0600750045200	0.25	0.25	0.25	0.25	0	0.0
G0600750047600	0.25	0.25	0.25	0.25	0	0.0
G0600750047701	0.25	0.25	0.25	0.25	0	0.0
G0600750047702	0.25	0.25	0.25	0.25	0	0.0
G0600750047801	0.25	0.25	0.25	0.25	0	0.0
G0600750047802	0.25	0.25	0.25	0.25	0	0.0
G0600750047901	0.25	0.25	0.25	0.25	0	0.0
G0600750047902	0.25	0.25	0.25	0.25	0	0.0
G0600750060100	0.25	0.25	0.25	0.25	0	0.0
G0600750060400	0.25	0.25	0.25	0.25	0	0.0
G0600750060502	0.25	0.25	0.25	0.25	0	0.0
G0600750060700	0.25	0.25	0.25	0.25	0	0.0
G0600750061000	0.25	0.25	0.25	0.25	0	0.0
G0600750061100	0.25	0.25	0.25	0.25	0	0.0
G0600750061200	0.25	0.25	0.25	0.25	0	0.0
G0600750061400	0.25	0.25	0.25	0.25	0	0.0
G0600750061500	0.25	0.25	0.25	0.25	0	0.0
G0600750980200	0.25	0.25	0.25	0.25	0	0.0
G0600750980300	0.25	0.25	0.25	0.25	0	0.0
G0600750980401	0.25	0.25	0.25	0.25	0	0.0
G0600750980501	0.25	0.25	0.25	0.25	0	0.0
G0600750980600	0.25	0.25	0.25	0.25	0	0.0
G0600750980900	0.25	0.25	0.25	0.25	0	0.0
G0600750990100	0.25	0.25	0.25	0.25	0	0.0
G0600770000100	0.25	0.25	0.25	0.25	0	0.0
G0600770000300	0.25	0.25	0.25	0.25	0	0.0
G0600770000401	0.25	0.25	0.25	0.25	0	0.0
G0600770000402	0.25	0.25	0.25	0.25	0	0.0
G0600770000500	0.25	0.25	0.25	0.25	0	0.0
G0600770000600	0.25	0.25	0.25	0.25	0	0.0
G0600770000700	0.25	0.25	0.25	0.25	0	0.0
G0600770000801	0.25	0.25	0.25	0.25	0	0.0
G0600770000900	0.25	0.25	0.25	0.25	0	0.0
G0600770001000	0.25	0.25	0.25	0.25	0	0.0
G0600770001101	0.25	0.25	0.25	0.25	0	0.0
G0600770001102	0.25	0.25	0.25	0.25	0	0.0
G0600770001200	0.25	0.25	0.25	0.25	0	0.0
G0600770001300	0.25	0.25	0.25	0.25	0	0.0
G0600770001400	0.25	0.25	0.25	0.25	0	0.0
G0600770001500	0.25	0.25	0.25	0.25	0	0.0
G0600770001600	0.25	0.25	0.25	0.25	0	0.0
G0600770001700	0.25	0.25	0.25	0.25	0	0.0
G0600770001800	0.25	0.25	0.25	0.25	0	0.0
G0600770001900	0.25	0.25	0.25	0.25	0	0.0
G0600770002000	0.25	0.25	0.25	0.25	0	0.0
G0600770002100	0.25	0.25	0.25	0.25	0	0.0
G0600770002201	0.25	0.25	0.25	0.25	0	0.0
G0600770002202	0.25	0.25	0.25	0.25	0	0.0
G0600770002300	0.25	0.25	0.25	0.25	0	0.0
G0600770002401	0.25	0.25	0.25	0.25	0	0.0
G0600770002402	0.25	0.25	0.25	0.25	0	0.0
G0600770002503	0.25	0.25	0.25	0.25	0	0.0
G0600770002504	0.25	0.25	0.25	0.25	0	0.0
G0600770002701	0.25	0.25	0.25	0.25	0	0.0
G0600770002702	0.25	0.25	0.25	0.25	0	0.0
G0600770002800	0.25	0.25	0.25	0.25	0	0.0
G0600770003106	0.25	0.25	0.25	0.25	0	0.0
G0600770003108	0.25	0.25	0.25	0.25	0	0.0
G0600770003109	0.25	0.25	0.25	0.25	0	0.0
G0600770003110	0.25	0.25	0.25	0.25	0	0.0
G0600770003111	0.25	0.25	0.25	0.25	0	0.0
G0600770003112	0.25	0.25	0.25	0.25	0	0.0
G0600770003113	0.25	0.25	0.25	0.25	0	0.0
G0600770003114	0.25	0.25	0.25	0.25	0	0.0
G0600770003203	0.25	0.25	0.25	0.25	0	0.0
G0600770003205	0.25	0.25	0.25	0.25	0	0.0
G0600770003208	0.25	0.25	0.25	0.25	0	0.0
G0600770003209	0.25	0.25	0.25	0.25	0	0.0
G0600770003210	0.25	0.25	0.25	0.25	0	0.0
G0600770003213	0.25	0.25	0.25	0.25	0	0.0
G0600770003214	0.25	0.25	0.25	0.25	0	0.0
G0600770003215	0.25	0.25	0.25	0.25	0	0.0
G0600770003216	0.25	0.25	0.25	0.25	0	0.0
G0600770003217	0.25	0.25	0.25	0.25	0	0.0
G0600770003305	0.25	0.25	0.25	0.25	0	0.0
G0600770003306	0.25	0.25	0.25	0.25	0	0.0
G0600770003307	0.25	0.25	0.25	0.25	0	0.0
G0600770003308	0.25	0.25	0.25	0.25	0	0.0
G0600770003310	0.25	0.25	0.25	0.25	0	0.0
G0600770003311	0.25	0.25	0.25	0.25	0	0.0
G0600770003312	0.25	0.25	0.25	0.25	0	0.0
G0600770003313	0.25	0.25	0.25	0.25	0	0.0
G0600770003403	0.25	0.25	0.25	0.25	0	0.0
G0600770003404	0.25	0.25	0.25	0.25	0	0.0
G0600770003405	0.25	0.25	0.25	0.25	0	0.0
G0600770003406	0.25	0.25	0.25	0.25	0	0.0
G0600770003407	0.25	0.25	0.25	0.25	0	0.0
G0600770003409	0.25	0.25	0.25	0.25	0	0.0
G0600770003410	0.25	0.25	0.25	0.25	0	0.0
G0600770003500	0.25	0.25	0.25	0.25	0	0.0
G0600770003601	0.25	0.25	0.25	0.25	0	0.0
G0600770003602	0.25	0.25	0.25	0.25	0	0.0
G0600770003700	0.25	0.25	0.25	0.25	0	0.0
G0600770003801	0.25	0.25	0.25	0.25	0	0.0
G0600770003802	0.25	0.25	0.25	0.25	0	0.0
G0600770003803	0.25	0.25	0.25	0.25	0	0.0
G0600770003900	0.25	0.25	0.25	0.25	0	0.0
G0600770004001	0.25	0.25	0.25	0.25	0	0.0
G0600770004002	0.25	0.25	0.25	0.25	0	0.0
G0600770004102	0.25	0.25	0.25	0.25	0	0.0
G0600770004104	0.25	0.25	0.25	0.25	0	0.0
G0600770004105	0.25	0.25	0.25	0.25	0	0.0
G0600770004106	0.25	0.25	0.25	0.25	0	0.0
G0600770004201	0.25	0.25	0.25	0.25	0	0.0
G0600770004202	0.25	0.25	0.25	0.25	0	0.0
G0600770004203	0.25	0.25	0.25	0.25	0	0.0
G0600770004204	0.25	0.25	0.25	0.25	0	0.0
G0600770004302	0.25	0.25	0.25	0.25	0	0.0
G0600770004303	0.25	0.25	0.25	0.25	0	0.0
G0600770004305	0.25	0.25	0.25	0.25	0	0.0
G0600770004307	0.25	0.25	0.25	0.25	0	0.0
G0600770004308	0.25	0.25	0.25	0.25	0	0.0
G0600770004402	0.25	0.25	0.25	0.25	0	0.0
G0600770004403	0.25	0.25	0.25	0.25	0	0.0
G0600770004404	0.25	0.25	0.25	0.25	0	0.0
G0600770004501	0.25	0.25	0.25	0.25	0	0.0
G0600770004502	0.25	0.25	0.25	0.25	0	0.0
G0600770004600	0.25	0.25	0.25	0.25	0	0.0
G0600770004701	0.25	0.25	0.25	0.25	0	0.0
G0600770004703	0.25	0.25	0.25	0.25	0	0.0
G0600770004704	0.25	0.25	0.25	0.25	0	0.0
G0600770004800	0.25	0.25	0.25	0.25	0	0.0
G0600770004901	0.25	0.25	0.25	0.25	0	0.0
G0600770004902	0.25	0.25	0.25	0.25	0	0.0
G0600770005001	0.25	0.25	0.25	0.25	0	0.0
G0600770005003	0.25	0.25	0.25	0.25	0	0.0
G0600770005004	0.25	0.25	0.25	0.25	0	0.0
G0600770005106	0.25	0.25	0.25	0.25	0	0.0
G0600770005108	0.25	0.25	0.25	0.25	0	0.0
G0600770005109	0.25	0.25	0.25	0.25	0	0.0
G0600770005110	0.25	0.25	0.25	0.25	0	0.0
G0600770005113	0.25	0.25	0.25	0.25	0	0.0
G0600770005114	0.25	0.25	0.25	0.25	0	0.0
G0600770005119	0.25	0.25	0.25	0.25	0	0.0
G0600770005122	0.25	0.25	0.25	0.25	0	0.0
G0600770005123	0.25	0.25	0.25	0.25	0	0.0
G0600770005124	0.25	0.25	0.25	0.25	0	0.0
G0600770005125	0.25	0.25	0.25	0.25	0	0.0
G0600770005126	0.25	0.25	0.25	0.25	0	0.0
G0600770005127	0.25	0.25	0.25	0.25	0	0.0
G0600770005129	0.25	0.25	0.25	0.25	0	0.0
G0600770005130	0.25	0.25	0.25	0.25	0	0.0
G0600770005131	0.25	0.25	0.25	0.25	0	0.0
G0600770005132	0.25	0.25	0.25	0.25	0	0.0
G0600770005133	0.25	0.25	0.25	0.25	0	0.0
G0600770005134	0.25	0.25	0.25	0.25	0	0.0
G0600770005135	0.25	0.25	0.25	0.25	0	0.0
G0600770005202	0.25	0.25	0.25	0.25	0	0.0
