Dependency=Location EPW	Option=Pier & Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
0685917_United_States_TX_Victoria_48469_722550_28.85_-96.94_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0678744_United_States_TX_McLennan_48309_722560_31.61_-97.22_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0684122_United_States_TX_Dallas_48113_722590_32.89_-97.02_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0590027_United_States_TX_Tom_Green_48451_722630_31.37_-100.5_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0544930_United_States_TX_Midland_48329_722650_31.97_-102.18_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0610784_United_States_TX_Taylor_48441_722660_32.45_-99.7_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0554069_United_States_TX_Lubbock_48303_722670_33.65_-101.82_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0434720_United_States_TX_El_Paso_48141_722700_31.77_-106.5_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.03	0.95
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.03	0.95
0209523_United_States_CA_San_Diego_06073_722900_32.73_-117.18_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
0187962_United_States_CA_Los_Angeles_06037_722950_33.93_-118.42_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
0192307_United_States_CA_Los_Angeles_06037_722970_33.85_-118.18_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
1104848_United_States_NC_New_Hanover_37129_723020_34.25_-77.9_NSRDB_2.0.1_2011_AMY.epw	0	0.11	0.06	0.55	0.28
1182412_United_States_NC_Dare_37055_723040_35.25_-75.54_NSRDB_2.0.1_2011_AMY.epw	0	0.11	0.06	0.55	0.28
1080453_United_States_NC_Wake_37183_723060_35.85_-78.78_NSRDB_2.0.1_2011_AMY.epw	0	0.11	0.06	0.55	0.28
1159308_United_States_VA_Norfolk_51710_723080_36.89_-76.22_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.32	0.25	0.28
1026416_United_States_SC_Lexington_45063_723100_33.97_-81.1_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.03	0.62	0.29
0979938_United_States_GA_Clarke_13059_723110_33.97_-83.34_NSRDB_2.0.1_2011_AMY.epw	0	0.23	0.16	0.23	0.38
1002341_United_States_SC_Spartanburg_45083_723120_34.89_-82.22_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.03	0.62	0.29
1029976_United_States_NC_Mecklenburg_37119_723140_35.21_-80.94_NSRDB_2.0.1_2011_AMY.epw	0	0.11	0.06	0.55	0.28
0996216_United_States_NC_Buncombe_37021_723150_35.45_-82.54_NSRDB_2.0.1_2011_AMY.epw	0	0.11	0.06	0.55	0.28
1053331_United_States_NC_Guilford_37081_723170_36.09_-79.94_NSRDB_2.0.1_2011_AMY.epw	0	0.11	0.06	0.55	0.28
0998813_United_States_TN_Sullivan_47163_723350_36.45_-82.42_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.13	0.44	0.28
0908125_United_States_AL_Madison_01089_723230_34.65_-86.78_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.05	0.31	0.58
0939546_United_States_TN_Hamilton_47065_723240_35.05_-85.22_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.13	0.44	0.28
0965848_United_States_TN_Blount_47009_723260_35.81_-83.98_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.13	0.44	0.28
0909238_United_States_TN_Davidson_47037_723270_36.13_-86.7_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.13	0.44	0.28
0836851_United_States_TN_Shelby_47157_723340_35.05_-89.98_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.13	0.44	0.28
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2011_AMY.epw	0	0.07	0.03	0.41	0.5
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2011_AMY.epw	0	0.07	0.03	0.41	0.5
0643670_United_States_TX_Wichita_48485_723510_33.97_-98.5_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0669326_United_States_OK_Oklahoma_40109_723530_35.37_-97.58_NSRDB_2.0.1_2011_AMY.epw	0	0.02	0.01	0.01	0.96
0709953_United_States_OK_Tulsa_40143_723560_36.21_-95.9_NSRDB_2.0.1_2011_AMY.epw	0	0.02	0.01	0.01	0.96
0552253_United_States_TX_Randall_48381_723630_35.01_-101.9_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0431499_United_States_NM_Bernalillo_35001_723650_35.05_-106.62_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.02	0.03	0.95
0507311_United_States_NM_Quay_35037_747310_35.17_-103.58_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.02	0.03	0.95
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.03	0.95
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.03	0.95
0215768_United_States_CA_San_Bernardino_06071_746110_34.85_-116.82_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
0247402_United_States_NV_Clark_32003_723860_36.09_-115.14_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.01	0.46	0.53
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
0154150_United_States_CA_Santa_Barbara_06083_723940_34.93_-120.46_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
1123808_United_States_VA_Henrico_51087_724010_37.53_-77.3_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.32	0.25	0.28
1118396_United_States_VA_Loudoun_51107_724030_38.97_-77.46_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.32	0.25	0.28
1142439_United_States_MD_Anne_Arundel_24003_724060_39.17_-76.7_NSRDB_2.0.1_2011_AMY.epw	0	0.34	0.57	0.03	0.06
1212830_United_States_NJ_Atlantic_34001_724070_39.45_-74.58_NSRDB_2.0.1_2011_AMY.epw	0	0.25	0.15	0.51	0.09
1192839_United_States_PA_Delaware_42045_724080_39.85_-75.22_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1180747_United_States_DE_New_Castle_10003_724180_39.65_-75.58_NSRDB_2.0.1_2011_AMY.epw	0	0.12	0.19	0.41	0.29
1070553_United_States_VA_Campbell_51031_724100_37.33_-79.18_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.32	0.25	0.28
1052460_United_States_VA_Roanoke_51770_724110_37.33_-79.98_NSRDB_2.0.1_2011_AMY.epw	0	0.15	0.32	0.25	0.28
1015813_United_States_WV_Kanawha_54039_724140_38.37_-81.58_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.33	0.33	0.14
1055168_United_States_WV_Randolph_54083_724170_38.89_-79.86_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.33	0.33	0.14
0951484_United_States_KY_Boone_21015_724210_39.05_-84.66_NSRDB_2.0.1_2011_AMY.epw	0	0.39	0.32	0.19	0.1
0952710_United_States_KY_Fayette_21067_724220_38.05_-84.58_NSRDB_2.0.1_2011_AMY.epw	0	0.39	0.32	0.19	0.1
0928593_United_States_KY_Jefferson_21111_724230_38.17_-85.74_NSRDB_2.0.1_2011_AMY.epw	0	0.39	0.32	0.19	0.1
0996055_United_States_WV_Wayne_54099_724250_38.37_-82.54_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.33	0.33	0.14
0988702_United_States_OH_Franklin_39049_724280_39.97_-82.9_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.46	0.11	0.14
0960702_United_States_OH_Montgomery_39113_724290_39.89_-84.22_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.46	0.11	0.14
0891926_United_States_IN_Vanderburgh_18163_724320_38.05_-87.54_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.48	0.08	0.13
0827825_United_States_MO_St._Louis_29189_724340_38.77_-90.38_NSRDB_2.0.1_2011_AMY.epw	0	0.33	0.6	0.02	0.05
0918490_United_States_IN_Marion_18097_724380_39.73_-86.26_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.48	0.08	0.13
0843767_United_States_IL_Sangamon_17167_724390_39.85_-89.7_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.59	0.08	0.13
0762564_United_States_MO_Greene_29077_724400_37.25_-93.38_NSRDB_2.0.1_2011_AMY.epw	0	0.33	0.6	0.02	0.05
0786796_United_States_MO_Boone_29019_724450_38.81_-92.22_NSRDB_2.0.1_2011_AMY.epw	0	0.33	0.6	0.02	0.05
0735452_United_States_MO_Platte_29165_724460_39.29_-94.7_NSRDB_2.0.1_2011_AMY.epw	0	0.33	0.6	0.02	0.05
0674071_United_States_KS_Sedgwick_20173_724500_37.65_-97.42_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.66	0.03	0.01
0603294_United_States_KS_Ford_20057_724510_37.77_-99.98_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.66	0.03	0.01
0716134_United_States_KS_Shawnee_20177_724560_39.05_-95.62_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.66	0.03	0.01
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2011_AMY.epw	0	0.19	0.61	0.19	0.01
0483733_United_States_CO_Pueblo_08101_724640_38.29_-104.5_NSRDB_2.0.1_2011_AMY.epw	0	0.19	0.61	0.19	0.01
0557418_United_States_KS_Sherman_20181_724650_39.37_-101.7_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.66	0.03	0.01
0478381_United_States_CO_El_Paso_08041_724660_38.81_-104.7_NSRDB_2.0.1_2011_AMY.epw	0	0.19	0.61	0.19	0.01
0424575_United_States_CO_Eagle_08037_744210_39.65_-106.9_NSRDB_2.0.1_2011_AMY.epw	0	0.19	0.61	0.19	0.01
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2011_AMY.epw	0	0.19	0.61	0.19	0.01
0288222_United_States_UT_Iron_49021_724750_37.69_-113.1_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.71	0.03	0.02
0388443_United_States_CO_Mesa_08077_724760_39.13_-108.54_NSRDB_2.0.1_2011_AMY.epw	0	0.19	0.61	0.19	0.01
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
0210592_United_States_NV_Nye_32023_724800_38.05_-117.1_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.01	0.46	0.53
0252977_United_States_NV_White_Pine_32033_724860_39.29_-114.86_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.01	0.46	0.53
0165368_United_States_NV_Washoe_32031_724880_39.49_-119.78_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.01	0.46	0.53
0123959_United_States_CA_San_Mateo_06081_724940_37.61_-122.42_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
1225556_United_States_NJ_Essex_34013_725020_40.73_-74.18_NSRDB_2.0.1_2011_AMY.epw	0	0.25	0.15	0.51	0.09
1259614_United_States_CT_Fairfield_09001_725040_41.17_-73.14_NSRDB_2.0.1_2011_AMY.epw	0	0.6	0.36	0.02	0.02
1314625_United_States_RI_Kent_44003_725070_41.73_-71.42_NSRDB_2.0.1_2011_AMY.epw	0	0.61	0.36	0.01	0.02
1272835_United_States_CT_Hartford_09003_725080_41.93_-72.7_NSRDB_2.0.1_2011_AMY.epw	0	0.6	0.36	0.02	0.02
1327892_United_States_MA_Suffolk_25025_725090_42.37_-71.02_NSRDB_2.0.1_2011_AMY.epw	0	0.61	0.33	0.02	0.04
1299055_United_States_MA_Worcester_25027_725100_42.25_-71.9_NSRDB_2.0.1_2011_AMY.epw	0	0.61	0.33	0.02	0.04
1137624_United_States_PA_York_42133_723990_40.21_-76.86_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1175460_United_States_PA_Luzerne_42079_725130_41.33_-75.74_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1136992_United_States_PA_Lycoming_42081_725140_41.25_-76.9_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1166820_United_States_NY_Broome_36007_725150_42.21_-75.98_NSRDB_2.0.1_2011_AMY.epw	0	0.48	0.33	0.04	0.15
1185049_United_States_PA_Lehigh_42077_725170_40.65_-75.46_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1239413_United_States_NY_Albany_36001_725180_42.77_-73.78_NSRDB_2.0.1_2011_AMY.epw	0	0.48	0.33	0.04	0.15
1163069_United_States_NY_Onondaga_36067_725190_43.13_-76.1_NSRDB_2.0.1_2011_AMY.epw	0	0.48	0.33	0.04	0.15
1046536_United_States_PA_Allegheny_42003_725200_40.49_-80.22_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1019172_United_States_OH_Summit_39153_725210_40.93_-81.42_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.46	0.11	0.14
1009747_United_States_OH_Cuyahoga_39035_725240_41.41_-81.86_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.46	0.11	0.14
0997215_United_States_OH_Richland_39139_724200_40.81_-82.5_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.46	0.11	0.14
1036547_United_States_OH_Trumbull_39155_725250_41.25_-80.66_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.46	0.11	0.14
1047213_United_States_PA_Erie_42049_725260_42.09_-80.18_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1084878_United_States_PA_McKean_42083_725280_41.81_-78.62_NSRDB_2.0.1_2011_AMY.epw	0	0.44	0.48	0.04	0.04
1081164_United_States_NY_Erie_36029_725280_42.93_-78.74_NSRDB_2.0.1_2011_AMY.epw	0	0.48	0.33	0.04	0.15
1110426_United_States_NY_Monroe_36055_725290_43.13_-77.7_NSRDB_2.0.1_2011_AMY.epw	0	0.48	0.33	0.04	0.15
0884454_United_States_IL_Cook_17031_725300_41.97_-87.9_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.59	0.08	0.13
0843663_United_States_IL_Peoria_17143_725320_40.65_-89.7_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.59	0.08	0.13
0939310_United_States_IN_Allen_18003_725330_41.01_-85.22_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.48	0.08	0.13
0916470_United_States_IN_St._Joseph_18141_725350_41.69_-86.34_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.48	0.08	0.13
0969777_United_States_OH_Lucas_39095_725360_41.57_-83.78_NSRDB_2.0.1_2011_AMY.epw	0	0.3	0.46	0.11	0.14
0979529_United_States_MI_Wayne_26163_725370_42.21_-83.34_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0953005_United_States_MI_Clinton_26037_725390_42.77_-84.58_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0857218_United_States_IL_Winnebago_17201_725430_42.21_-89.1_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.59	0.08	0.13
0824582_United_States_IL_Rock_Island_17161_725440_41.45_-90.5_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.59	0.08	0.13
0756995_United_States_IA_Polk_19153_725460_41.53_-93.66_NSRDB_2.0.1_2011_AMY.epw	0	0.21	0.72	0.05	0.02
0782661_United_States_IA_Black_Hawk_19013_725480_42.53_-92.42_NSRDB_2.0.1_2011_AMY.epw	0	0.21	0.72	0.05	0.02
0763587_United_States_IA_Cerro_Gordo_19033_725490_43.17_-93.34_NSRDB_2.0.1_2011_AMY.epw	0	0.21	0.72	0.05	0.02
0709364_United_States_NE_Douglas_31055_725500_41.33_-95.9_NSRDB_2.0.1_2011_AMY.epw	0	0.29	0.65	0.03	0.02
0649310_United_States_NE_Hall_31079_725520_40.97_-98.3_NSRDB_2.0.1_2011_AMY.epw	0	0.29	0.65	0.03	0.02
0673600_United_States_NE_Madison_31119_725560_41.97_-97.42_NSRDB_2.0.1_2011_AMY.epw	0	0.29	0.65	0.03	0.02
0699147_United_States_IA_Woodbury_19193_725570_42.37_-96.38_NSRDB_2.0.1_2011_AMY.epw	0	0.21	0.72	0.05	0.02
0585417_United_States_NE_Lincoln_31111_725620_41.13_-100.66_NSRDB_2.0.1_2011_AMY.epw	0	0.29	0.65	0.03	0.02
0476524_United_States_WY_Laramie_56021_725640_41.13_-104.78_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.68	0.09	0.01
0508156_United_States_NE_Scotts_Bluff_31157_725660_41.85_-103.58_NSRDB_2.0.1_2011_AMY.epw	0	0.29	0.65	0.03	0.02
0435469_United_States_WY_Natrona_56025_725690_42.89_-106.46_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.68	0.09	0.01
0312288_United_States_UT_Salt_Lake_49035_725720_40.77_-111.98_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.71	0.03	0.02
0368181_United_States_WY_Sweetwater_56037_744200_41.45_-109.46_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.68	0.09	0.01
0383503_United_States_WY_Fremont_56013_725760_42.81_-108.74_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.68	0.09	0.01
0299006_United_States_ID_Power_16077_725780_42.93_-112.58_NSRDB_2.0.1_2011_AMY.epw	0	0.14	0.44	0.4	0.02
0233741_United_States_NV_Elko_32007_725820_40.85_-115.82_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.01	0.46	0.53
0198571_United_States_NV_Humboldt_32013_725830_40.89_-117.82_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.01	0.46	0.53
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2011_AMY.epw	0	0.09	0.03	0.2	0.68
0120110_United_States_OR_Jackson_41029_725970_42.21_-122.7_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
1311916_United_States_NH_Merrimack_33013_726050_43.21_-71.5_NSRDB_2.0.1_2011_AMY.epw	0	0.5	0.3	0.16	0.03
1351103_United_States_ME_Cumberland_23005_726060_43.65_-70.3_NSRDB_2.0.1_2011_AMY.epw	0	0.58	0.35	0.02	0.05
1259256_United_States_VT_Chittenden_50007_726170_44.45_-73.14_NSRDB_2.0.1_2011_AMY.epw	0	0.54	0.32	0.06	0.08
1204297_United_States_NY_St._Lawrence_36089_717120_44.93_-74.86_NSRDB_2.0.1_2011_AMY.epw	0	0.48	0.33	0.04	0.15
0933680_United_States_MI_Kent_26081_726350_42.89_-85.5_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0918749_United_States_MI_Muskegon_26121_726360_43.17_-86.22_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0971255_United_States_MI_Genesee_26049_726370_42.97_-83.74_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0950549_United_States_MI_Roscommon_26143_726380_44.37_-84.7_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0932184_United_States_MI_Grand_Traverse_26055_726340_44.73_-85.58_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0974142_United_States_MI_Alpena_26007_726390_45.05_-83.58_NSRDB_2.0.1_2011_AMY.epw	0	0.4	0.56	0.03	0.01
0884256_United_States_WI_Milwaukee_55079_726400_42.97_-87.9_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.59	0.01	0.09
0851867_United_States_WI_Dane_55025_726410_43.13_-89.34_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.59	0.01	0.09
0807619_United_States_WI_La_Crosse_55063_726430_43.85_-91.26_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.59	0.01	0.09
0801512_United_States_WI_Chippewa_55017_726430_44.85_-91.5_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.59	0.01	0.09
0780666_United_States_MN_Olmsted_27109_726440_43.89_-92.5_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.76	0.01	0.01
0879387_United_States_WI_Brown_55009_726450_44.49_-88.14_NSRDB_2.0.1_2011_AMY.epw	0	0.31	0.59	0.01	0.09
0690509_United_States_SD_Minnehaha_46099_726510_43.57_-96.74_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.69	0.04	0.07
0651451_United_States_SD_Beadle_46005_726540_44.41_-98.22_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.69	0.04	0.07
0748653_United_States_MN_Sherburne_27141_726550_45.53_-94.06_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.76	0.01	0.01
0766157_United_States_MN_Hennepin_27053_726580_44.89_-93.22_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.76	0.01	0.01
0521881_United_States_SD_Pennington_46103_726620_44.05_-103.06_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.69	0.04	0.07
0422628_United_States_WY_Sheridan_56033_726660_44.77_-106.98_NSRDB_2.0.1_2011_AMY.epw	0	0.22	0.68	0.09	0.01
0594658_United_States_SD_Hughes_46065_726560_44.37_-100.3_NSRDB_2.0.1_2011_AMY.epw	0	0.2	0.69	0.04	0.07
0387816_United_States_MT_Yellowstone_30111_726770_45.81_-108.54_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0367624_United_States_MT_Fergus_30027_727770_47.05_-109.46_NSRDB_2.0.1_2011_AMY.epw	0	0.24	0.74	0.02	0.0
0226465_United_States_ID_Ada_16001_726810_43.61_-116.22_NSRDB_2.0.1_2011_AMY.epw	0	0.14	0.44	0.4	0.02
0178096_United_States_OR_Harney_41025_726830_43.53_-119.02_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
0142626_United_States_OR_Deschutes_41017_726920_44.25_-121.18_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
0181247_United_States_OR_Umatilla_41059_726880_45.69_-118.82_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
0098927_United_States_OR_Coos_41011_726930_43.41_-124.26_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
0114831_United_States_OR_Lane_41039_726930_44.05_-123.06_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
0115653_United_States_OR_Marion_41047_726940_44.89_-123.02_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.17	0.72	0.05
