Dependency=Census Tract	Option=<$10,000	Option=$10,000-14,999	Option=$15,000-19,999	Option=$20,000-24,999	Option=$25,000-29,999	Option=$30,000-34,999	Option=$35,000-39,999	Option=$40,000-44,999	Option=$45,000-49,999	Option=$50,000-59,999	Option=$60,000-74,999	Option=$75,000-99,999	Option=$100,000-124,999	Option=$125,000-149,999	Option=$150,000-199,999	Option=$200,000+	Count	Weight
G0100450021200	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100470956500	0.0			0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100490960100	0.0	0.0	0.0	0.0	0.0		0.0				0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100510030902	0.0	0.0		0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0101010003100	0.0			0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100550000500			0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804530002314	2.22222222222	0.0	2.33333333333	3317.11111111	3762.11111111	2569.44444444	0.0	5082.0	0.0	2987.33333333	18.8888888889	14.2222222222	4.77777777778	12.4444444444	5.44444444444	11.5555555556	1	9.0
G0100590973200	1.44117647059	0.794117647059	1.47058823529	926.352941176	1152.61764706	877.088235294	0.0	0.0	0.0	604.0	1.41176470588	1.41176470588	0.647058823529	1.26470588235	1.05882352941	0.676470588235	1	34.0
G0100550000800	0.0			0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100550010601	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730011001	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0101030005101	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730005500		0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100010020100	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730003100	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100690041700	0.0		0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100770010700				0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100210060102	0.0	0.0	0.0	0.0	0.0	0.0		0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804550950400		0.0		0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G2601050990000											0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600790011102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100210060402	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100850781000	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100890010702	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600790012401	0.0	0.0	0.0	0.0	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G2601070960300	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G2601070960500	5.66666666667	0.0	2.44444444444	2780.33333333	2979.77777778	720.777777778	0.0	0.0	0.0	0.0	8.66666666667	8.66666666667	8.66666666667	8.66666666667	8.66666666667	8.66666666667	1	9.0
G0600810600300	7.28571428571	11.9285714286	15.6428571429	6517.85714286	6410.71428571	3871.14285714	0.0	8716.92857143	0.0	3710.28571429	4.57142857143	4.57142857143	4.35714285714	1.5	1.5	6.78571428571	1	14.0
G0600810602500	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G2601070960600	0.0	6.83333333333	1.0	3484.33333333	3921.16666667	1113.0	0.0	0.0	0.0	0.0	13.0	13.0	13.0	13.0	13.0	13.0	1	6.0
G0600810602600	2.14678899083	3.67889908257	1.23853211009	808.100917431	777.733944954	723.568807339	0.0	924.403669725	272.651376147	689.073394495	0.94495412844	0.94495412844	0.94495412844	0.871559633028	0.871559633028	0.871559633028	1	109.0
G4804730680500	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100010020400	5.91666666667	4.08333333333	2.5	4868.25	4895.83333333	4062.5	0.0	0.0	0.0	0.0	7.41666666667	7.41666666667	7.41666666667	7.41666666667	7.41666666667	7.41666666667	1	12.0
G0101010001800	0.0		0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100010020500	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0101010002800	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600810602700	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730001600		0.0		0.0		0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730003700	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804770170100	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100770010400	0.0	0.0	0.0	0.0	0.0	0.0		0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100310010300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730010802	0.0	0.0	0.0	0.0	0.0		0.0				0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730011205	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4200270011000	2.94736842105	3.36842105263	0.894736842105	2863.0	2921.05263158	0.0	0.0	0.0	0.0	0.0	2.15789473684	4.26315789474	4.26315789474	4.26315789474	4.26315789474	4.26315789474	1	19.0
G0100170954400				0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4200290304300	0.0	0.0	0.0	0.0	0.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100730011706	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600810605200	0.0	0.0	0.0	0.0	0.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100330020600	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100010020900	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100330020200			0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0101010005902	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
