Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=vintage,100,101-124,125,126-199,200,201+,<100
"apartment unit, 2-4",4000+,1980s,0.466711,6.9e-05,0.002102,0.020612,0.295934,0.210661,0.003912
"apartment unit, 2-4",4000+,1990s,0.26947,0.000568,0.00808,0.133155,0.323568,0.262074,0.003085
"apartment unit, 2-4",4000+,2000s,0.560774,6e-05,0.00204,0.019074,0.231573,0.182928,0.003551
"apartment unit, 2-4",4000+,2010s,0.655984,4.5e-05,0.001392,0.01462,0.116092,0.210375,0.001492
"apartment unit, 2-4",4000+,<1940,0.394736,0.000132,0.001682,0.187052,0.357726,0.04185,0.016822
"apartment unit, 2-4",500-749,1940s,0.682543,0.005053,0.095661,0.00223,0.047538,0.073925,0.093049
"apartment unit, 2-4",500-749,1950s,0.443742,0.005831,0.058884,0.006215,0.031823,0.030476,0.423028
"apartment unit, 2-4",500-749,1960s,0.861725,0.00653,0.071224,0.00112,0.008618,0.019607,0.031175
"apartment unit, 2-4",500-749,1970s,0.613355,0.004141,0.127108,0.001946,0.018257,0.16037,0.074823
"apartment unit, 2-4",500-749,1980s,0.532381,0.003549,0.208248,0.06507,0.031075,0.068214,0.091462
"apartment unit, 2-4",500-749,1990s,0.519256,0.006703,0.190424,0.003395,0.038283,0.101593,0.140346
"apartment unit, 2-4",500-749,2000s,0.210512,0.012753,0.329372,0.005916,0.111744,0.235033,0.09467
"apartment unit, 2-4",500-749,2010s,0.435194,0.005515,0.172211,0.002949,0.166337,0.176971,0.040824
"apartment unit, 2-4",500-749,<1940,0.833064,0.00576,0.024198,0.002241,0.035744,0.03016,0.068833
"apartment unit, 2-4",750-999,1940s,0.770993,0.001028,0.036215,0.014027,0.062147,0.041364,0.074226
"apartment unit, 2-4",750-999,1950s,0.746863,0.001523,0.044086,0.023867,0.05783,0.01875,0.107081
"apartment unit, 2-4",750-999,1960s,0.874127,0.001216,0.051084,0.008452,0.028126,0.016281,0.020715
"apartment unit, 2-4",750-999,1970s,0.7677,0.001164,0.078101,0.022846,0.016993,0.048032,0.065163
"apartment unit, 2-4",750-999,1980s,0.679673,0.000783,0.133363,0.025405,0.038306,0.04165,0.080819
"apartment unit, 2-4",750-999,1990s,0.484735,0.001733,0.166111,0.047494,0.073933,0.066425,0.159568
"apartment unit, 2-4",750-999,2000s,0.399596,0.002485,0.184273,0.075933,0.166875,0.098457,0.07238
"apartment unit, 2-4",750-999,2010s,0.458841,0.001079,0.107014,0.026777,0.300581,0.074633,0.031074
"apartment unit, 2-4",750-999,<1940,0.875518,0.001046,0.013154,0.015232,0.031241,0.014758,0.049051
"apartment unit, 5+",0-499,1940s,0.466548,0.015862,0.055275,0.001932,0.044509,0.064959,0.350914
"apartment unit, 5+",0-499,1950s,0.309662,0.017127,0.036341,0.006067,0.028456,0.052082,0.550265
"apartment unit, 5+",0-499,1960s,0.937013,0.013912,0.019235,0.000719,0.005646,0.011231,0.012243
"apartment unit, 5+",0-499,1970s,0.567437,0.014084,0.076082,0.001937,0.018305,0.082124,0.240031
"apartment unit, 5+",0-499,1980s,0.278933,0.008309,0.055461,0.045049,0.315918,0.033456,0.262874
"apartment unit, 5+",0-499,1990s,0.340404,0.018275,0.088489,0.002885,0.032384,0.057851,0.459711
"apartment unit, 5+",0-499,2000s,0.127017,0.034748,0.189627,0.005068,0.04706,0.272828,0.323653
"apartment unit, 5+",0-499,2010s,0.373987,0.020642,0.10855,0.003437,0.106316,0.207418,0.179649
"apartment unit, 5+",0-499,<1940,0.36743,0.032325,0.031693,0.004502,0.142364,0.093455,0.32823
"apartment unit, 5+",1000-1499,1940s,0.492882,0.00392,0.075182,0.04615,0.114969,0.117834,0.149063
"apartment unit, 5+",1000-1499,1950s,0.61026,0.002244,0.074628,0.034594,0.092104,0.069777,0.116393
"apartment unit, 5+",1000-1499,1960s,0.851647,0.004994,0.036177,0.015736,0.036824,0.048608,0.006015
"apartment unit, 5+",1000-1499,1970s,0.603233,0.002271,0.075478,0.023753,0.049989,0.112558,0.132719
"apartment unit, 5+",1000-1499,1980s,0.49036,0.003315,0.101135,0.036079,0.139239,0.072949,0.156922
"apartment unit, 5+",1000-1499,1990s,0.458918,0.002942,0.11841,0.046144,0.106912,0.077384,0.18929
"apartment unit, 5+",1000-1499,2000s,0.353995,0.003936,0.217053,0.069533,0.082961,0.182843,0.089678
"apartment unit, 5+",1000-1499,2010s,0.326424,0.002838,0.073477,0.036856,0.318909,0.1824,0.059095
"apartment unit, 5+",1000-1499,<1940,0.469492,0.003305,0.032737,0.060217,0.21846,0.101978,0.11381
"apartment unit, 5+",1500-1999,1940s,0.602722,0.001142,0.096064,0.065309,0.102273,0.025821,0.106669
"apartment unit, 5+",1500-1999,1950s,0.444034,0.001775,0.121055,0.066382,0.082633,0.035407,0.248715
"apartment unit, 5+",1500-1999,1960s,0.809574,0.001759,0.064225,0.040713,0.055232,0.019604,0.008892
"apartment unit, 5+",1500-1999,1970s,0.497254,0.001659,0.144183,0.056473,0.089471,0.038094,0.172864
"apartment unit, 5+",1500-1999,1980s,0.351391,0.001544,0.207844,0.053806,0.148787,0.023417,0.213211
"apartment unit, 5+",1500-1999,1990s,0.267105,0.001709,0.244118,0.089579,0.12747,0.031679,0.238341
"apartment unit, 5+",1500-1999,2000s,0.37141,0.002514,0.175541,0.155811,0.089964,0.06139,0.14337
"apartment unit, 5+",1500-1999,2010s,0.274393,0.001686,0.13361,0.088856,0.364896,0.051858,0.084701
"apartment unit, 5+",1500-1999,<1940,0.566499,0.001467,0.048161,0.083514,0.16685,0.019052,0.114457
"apartment unit, 5+",2000-2499,1940s,0.586041,0.001005,0.055349,0.092134,0.051713,0.011852,0.201906
"apartment unit, 5+",2000-2499,1950s,0.391648,0.002284,0.069436,0.054897,0.047125,0.017644,0.416968
"apartment unit, 5+",2000-2499,1960s,0.775408,0.00175,0.086491,0.059294,0.037693,0.015296,0.024067
"apartment unit, 5+",2000-2499,1970s,0.329429,0.003413,0.124976,0.07964,0.086239,0.021837,0.354466
"apartment unit, 5+",2000-2499,1980s,0.182039,0.001666,0.078116,0.056901,0.231333,0.012724,0.43722
"apartment unit, 5+",2000-2499,1990s,0.247213,0.00228,0.138188,0.108146,0.134924,0.022025,0.347223
"apartment unit, 5+",2000-2499,2000s,0.279351,0.003808,0.114506,0.116022,0.078095,0.052325,0.355892
"apartment unit, 5+",2000-2499,2010s,0.341406,0.00167,0.081589,0.088323,0.237125,0.0535,0.196387
"apartment unit, 5+",2000-2499,<1940,0.568914,0.001075,0.015907,0.111936,0.119214,0.007869,0.175086
"apartment unit, 5+",2500-2999,1940s,0.726826,0.002588,0.021632,0.108807,0.01977,0.020994,0.099383
"apartment unit, 5+",2500-2999,1950s,0.492205,0.001762,0.03679,0.145905,0.029449,0.042615,0.251273
"apartment unit, 5+",2500-2999,1960s,0.785203,0.001715,0.042636,0.080351,0.024487,0.025689,0.03992
"apartment unit, 5+",2500-2999,1970s,0.494692,0.002677,0.040173,0.163666,0.051982,0.048873,0.197937
"apartment unit, 5+",2500-2999,1980s,0.354832,0.002089,0.039971,0.162832,0.198005,0.041963,0.200308
"apartment unit, 5+",2500-2999,1990s,0.32573,0.003221,0.057806,0.248836,0.096013,0.0617,0.206695
"apartment unit, 5+",2500-2999,2000s,0.344447,0.001495,0.025402,0.139229,0.025773,0.05438,0.409275
"apartment unit, 5+",2500-2999,2010s,0.489272,0.001983,0.028844,0.197424,0.107399,0.075496,0.099583
"apartment unit, 5+",2500-2999,<1940,0.618816,0.002332,0.007551,0.160125,0.05848,0.012313,0.140384
"apartment unit, 5+",3000-3999,1940s,0.701547,0.001375,0.023816,0.163084,0.033145,0.038539,0.038494
"apartment unit, 5+",3000-3999,1950s,0.599706,0.000802,0.038447,0.104007,0.044747,0.077826,0.134465
"apartment unit, 5+",3000-3999,1960s,0.86563,0.000509,0.054209,0.038418,0.018231,0.013316,0.009687
"apartment unit, 5+",3000-3999,1970s,0.674179,0.000771,0.01896,0.070383,0.06559,0.0336,0.136517
"apartment unit, 5+",3000-3999,1980s,0.578601,0.000782,0.042047,0.080826,0.204789,0.047256,0.045698
"apartment unit, 5+",3000-3999,1990s,0.592063,0.011881,0.058105,0.13533,0.090284,0.069513,0.042825
"apartment unit, 5+",3000-3999,2000s,0.637968,0.00092,0.047941,0.134967,0.02914,0.07246,0.076604
"apartment unit, 5+",3000-3999,2010s,0.692709,0.000568,0.022712,0.096764,0.099393,0.068158,0.019695
"apartment unit, 5+",3000-3999,<1940,0.687206,0.000852,0.011094,0.097787,0.133221,0.022367,0.047474
"apartment unit, 5+",4000+,1940s,0.844504,9.2e-05,0.006772,0.016854,0.024473,0.096679,0.010627
"apartment unit, 5+",4000+,1950s,0.572253,7.4e-05,0.095237,0.02226,0.049235,0.22582,0.035122
"apartment unit, 5+",4000+,1960s,0.942137,3.9e-05,0.005199,0.018246,0.014256,0.016662,0.00346
"apartment unit, 5+",4000+,1970s,0.835793,6.5e-05,0.005889,0.021329,0.072291,0.03695,0.027684
"apartment unit, 5+",4000+,1980s,0.634807,6.1e-05,0.008888,0.026789,0.167161,0.147509,0.014785
"apartment unit, 5+",4000+,1990s,0.566749,0.000516,0.033108,0.176074,0.065823,0.145354,0.012375
"apartment unit, 5+",4000+,2000s,0.786991,5.8e-05,0.008757,0.026655,0.018959,0.143884,0.014696
"apartment unit, 5+",4000+,2010s,0.788918,4.4e-05,0.006637,0.020778,0.021546,0.156276,0.005802
"apartment unit, 5+",4000+,<1940,0.489772,0.000124,0.007116,0.142042,0.224954,0.068835,0.067156
"apartment unit, 5+",500-749,1940s,0.468167,0.005092,0.039506,0.001939,0.054173,0.084168,0.346955
"apartment unit, 5+",500-749,1950s,0.218488,0.00438,0.020036,0.004696,0.026718,0.052056,0.673626
"apartment unit, 5+",500-749,1960s,0.972058,0.002469,0.008598,0.000413,0.003239,0.006635,0.006587
"apartment unit, 5+",500-749,1970s,0.474874,0.003771,0.048931,0.001621,0.018581,0.194571,0.257651
"apartment unit, 5+",500-749,1980s,0.25507,0.002431,0.059135,0.046619,0.350404,0.039504,0.246837
"apartment unit, 5+",500-749,1990s,0.348707,0.005989,0.064563,0.002956,0.040238,0.073546,0.464001
"apartment unit, 5+",500-749,2000s,0.133594,0.011692,0.121057,0.005331,0.060036,0.332883,0.335408
"apartment unit, 5+",500-749,2010s,0.358804,0.006342,0.080131,0.003301,0.123422,0.256629,0.17137
"apartment unit, 5+",500-749,<1940,0.36589,0.006863,0.022479,0.004483,0.171954,0.118103,0.310228
"apartment unit, 5+",750-999,1940s,0.362885,0.001492,0.027895,0.018058,0.105344,0.05716,0.427167
"apartment unit, 5+",750-999,1950s,0.371297,0.002426,0.038992,0.039297,0.106263,0.054488,0.387236
"apartment unit, 5+",750-999,1960s,0.935777,0.000917,0.014359,0.006378,0.020933,0.012294,0.009343
"apartment unit, 5+",750-999,1970s,0.437612,0.00164,0.060167,0.030238,0.027601,0.071158,0.371585
"apartment unit, 5+",750-999,1980s,0.168157,0.000582,0.053154,0.020284,0.483504,0.020988,0.253332
"apartment unit, 5+",750-999,1990s,0.248251,0.001454,0.068433,0.039894,0.075302,0.036223,0.530443
"apartment unit, 5+",750-999,2000s,0.1593,0.003074,0.118217,0.094829,0.124803,0.129385,0.370393
"apartment unit, 5+",750-999,2010s,0.23816,0.00176,0.10099,0.043524,0.302827,0.122606,0.190132
"apartment unit, 5+",750-999,<1940,0.26967,0.001837,0.023293,0.046108,0.242105,0.068288,0.3487
manufactured home,0-499,1940s,0.499745,0.015,0.111882,0.002407,0.219495,0.0658,0.085672
manufactured home,0-499,1950s,0.304071,0.018675,0.076732,0.008441,0.254917,0.06083,0.276334
manufactured home,0-499,1960s,0.504252,0.058461,0.173017,0.00455,0.18176,0.050556,0.027405
manufactured home,0-499,1970s,0.415818,0.015201,0.22469,0.002959,0.179501,0.094946,0.066885
manufactured home,0-499,1980s,0.413207,0.012182,0.174047,0.075413,0.173106,0.052543,0.099503
manufactured home,0-499,1990s,0.465949,0.017005,0.167163,0.003369,0.189321,0.057664,0.09953
manufactured home,0-499,2000s,0.153606,0.029237,0.341528,0.005618,0.178197,0.214491,0.077322
manufactured home,0-499,2010s,0.219997,0.013684,0.145285,0.003005,0.439601,0.14324,0.035187
manufactured home,0-499,<1940,0.385332,0.034096,0.065044,0.002728,0.311868,0.111547,0.089386
manufactured home,1000-1499,1940s,0.384574,0.004391,0.049533,0.017934,0.495679,0.011782,0.036107
manufactured home,1000-1499,1950s,0.408521,0.002956,0.048247,0.013752,0.473559,0.0149,0.038064
manufactured home,1000-1499,1960s,0.423572,0.009624,0.061177,0.014824,0.470243,0.013698,0.006862
manufactured home,1000-1499,1970s,0.444611,0.005129,0.122421,0.015093,0.340127,0.021065,0.051554
manufactured home,1000-1499,1980s,0.468018,0.004675,0.083877,0.011323,0.374498,0.009762,0.047848
manufactured home,1000-1499,1990s,0.377541,0.002798,0.047662,0.012199,0.516221,0.007234,0.036346
manufactured home,1000-1499,2000s,0.489851,0.006275,0.175711,0.018959,0.247255,0.025205,0.036744
manufactured home,1000-1499,2010s,0.176987,0.002521,0.029061,0.009655,0.753459,0.015829,0.012489
manufactured home,1000-1499,<1940,0.558155,0.004899,0.028543,0.011676,0.334754,0.025489,0.036483
manufactured home,1500-1999,1940s,0.216191,0.000413,0.022488,0.007848,0.734863,0.003812,0.014385
manufactured home,1500-1999,1950s,0.127864,0.000624,0.027546,0.006437,0.790074,0.005081,0.042374
manufactured home,1500-1999,1960s,0.117832,0.001201,0.028406,0.008382,0.834554,0.005468,0.004157
manufactured home,1500-1999,1970s,0.13756,0.000847,0.066649,0.009162,0.746109,0.006756,0.032918
manufactured home,1500-1999,1980s,0.145491,0.000695,0.060612,0.006687,0.747145,0.003551,0.035818
manufactured home,1500-1999,1990s,0.020003,0.000146,0.012813,0.002079,0.957576,0.001106,0.006277
manufactured home,1500-1999,2000s,0.147022,0.000768,0.034737,0.013139,0.774393,0.010516,0.019424
manufactured home,1500-1999,2010s,0.039743,0.000281,0.011124,0.003769,0.935515,0.003348,0.006221
manufactured home,1500-1999,<1940,0.314591,0.0009,0.019144,0.006169,0.627764,0.005224,0.026209
manufactured home,2000-2499,1940s,0.220729,0.00026,0.010951,0.016131,0.734284,0.003031,0.014613
manufactured home,2000-2499,1950s,0.119184,0.000583,0.014874,0.009405,0.813719,0.003507,0.038728
manufactured home,2000-2499,1960s,0.060769,0.00052,0.021014,0.011972,0.898046,0.003471,0.004208
manufactured home,2000-2499,1970s,0.057656,0.000823,0.039542,0.011919,0.862661,0.0041,0.023299
manufactured home,2000-2499,1980s,0.06923,0.000434,0.02157,0.00842,0.884004,0.002581,0.01376
manufactured home,2000-2499,1990s,0.009844,8e-05,0.004406,0.002367,0.980062,0.0006,0.002641
manufactured home,2000-2499,2000s,0.063028,0.000511,0.014665,0.009735,0.89449,0.003069,0.014502
manufactured home,2000-2499,2010s,0.04007,0.000175,0.006237,0.005261,0.937011,0.003996,0.007249
manufactured home,2000-2499,<1940,0.244238,0.000529,0.006894,0.015043,0.704188,0.002631,0.026478
manufactured home,2500-2999,1940s,0.146457,0.000539,0.013384,0.012282,0.817787,0.003348,0.006204
manufactured home,2500-2999,1950s,0.053726,0.000221,0.016723,0.008435,0.904508,0.004097,0.012291
manufactured home,2500-2999,1960s,0.027926,0.000386,0.035846,0.006906,0.921004,0.003515,0.004417
manufactured home,2500-2999,1970s,0.032347,0.000321,0.01783,0.007632,0.930449,0.004489,0.006931
manufactured home,2500-2999,1980s,0.036236,0.000196,0.014755,0.006169,0.934444,0.002859,0.005342
manufactured home,2500-2999,1990s,0.003948,4.9e-05,0.003285,0.001515,0.989683,0.00067,0.00085
manufactured home,2500-2999,2000s,0.055477,0.000196,0.01381,0.009149,0.902957,0.004971,0.013439
manufactured home,2500-2999,2010s,0.025353,0.000122,0.006161,0.005093,0.957529,0.003457,0.002286
manufactured home,2500-2999,<1940,0.198111,0.000609,0.008183,0.017957,0.760885,0.003265,0.010991
manufactured home,3000-3999,1940s,0.156678,6e-05,0.010665,0.02993,0.788116,0.010736,0.003816
manufactured home,3000-3999,1950s,0.066924,2.3e-05,0.013431,0.01251,0.878868,0.016625,0.011618
manufactured home,3000-3999,1960s,0.077782,4.7e-05,0.050541,0.018962,0.841533,0.006591,0.004544
manufactured home,3000-3999,1970s,0.059609,2.5e-05,0.008828,0.010394,0.909424,0.004751,0.006968
manufactured home,3000-3999,1980s,0.057419,2.3e-05,0.012636,0.010141,0.907087,0.009655,0.00304
manufactured home,3000-3999,1990s,0.011669,3.6e-05,0.002432,0.002604,0.981085,0.001738,0.000437
manufactured home,3000-3999,2000s,0.151154,3e-05,0.009202,0.015492,0.804809,0.013396,0.005917
manufactured home,3000-3999,2010s,0.071219,1.8e-05,0.004692,0.009153,0.90529,0.008233,0.001396
manufactured home,3000-3999,<1940,0.159837,3.8e-05,0.005018,0.018867,0.806813,0.005053,0.004375
manufactured home,4000+,1940s,0.104282,4.4e-05,0.003012,0.003226,0.868846,0.019481,0.001109
manufactured home,4000+,1950s,0.026569,1.5e-05,0.018334,0.001703,0.931626,0.019692,0.002061
manufactured home,4000+,1960s,0.04169,3.2e-05,0.004007,0.005938,0.941094,0.005817,0.001422
manufactured home,4000+,1970s,0.029193,1.5e-05,0.001828,0.002,0.961813,0.003739,0.001412
manufactured home,4000+,1980s,0.042793,1.7e-05,0.002329,0.002791,0.93365,0.017511,0.000909
manufactured home,4000+,1990s,0.006891,2.7e-05,0.001445,0.003471,0.984762,0.003265,0.000139
manufactured home,4000+,2000s,0.105071,2.3e-05,0.003218,0.003894,0.864654,0.021822,0.001318
manufactured home,4000+,2010s,0.130886,3.1e-05,0.00371,0.005854,0.812963,0.045697,0.000859
manufactured home,4000+,<1940,0.036246,2.5e-05,0.001363,0.010815,0.942001,0.006533,0.003016
manufactured home,500-749,1940s,0.377145,0.003621,0.060138,0.001816,0.408819,0.087798,0.060662
manufactured home,500-749,1950s,0.205743,0.004579,0.04057,0.006266,0.354085,0.079839,0.308917
manufactured home,500-749,1960s,0.630814,0.012512,0.093264,0.003148,0.194014,0.049318,0.016931
manufactured home,500-749,1970s,0.300893,0.003519,0.124949,0.002141,0.243047,0.266336,0.059114
manufactured home,500-749,1980s,0.338836,0.003196,0.166412,0.069983,0.265611,0.076179,0.079784
manufactured home,500-749,1990s,0.408926,0.004774,0.104491,0.002956,0.310898,0.085998,0.081956
manufactured home,500-749,2000s,0.135548,0.008253,0.182925,0.004957,0.303643,0.300654,0.064019
manufactured home,500-749,2010s,0.158987,0.003171,0.080285,0.002178,0.548562,0.182513,0.024304
manufactured home,500-749,<1940,0.308045,0.005812,0.037035,0.002181,0.427384,0.154959,0.064584
manufactured home,750-999,1940s,0.204372,0.000588,0.019402,0.007986,0.714692,0.010722,0.042238
manufactured home,750-999,1950s,0.144619,0.000832,0.022535,0.014643,0.749062,0.008891,0.059419
manufactured home,750-999,1960s,0.24651,0.001494,0.041321,0.013333,0.679915,0.009541,0.007886
manufactured home,750-999,1970s,0.253399,0.001286,0.106491,0.028595,0.510522,0.026569,0.073138
manufactured home,750-999,1980s,0.250029,0.000678,0.109426,0.02655,0.527524,0.011652,0.07414
manufactured home,750-999,1990s,0.238384,0.000752,0.059274,0.022063,0.612646,0.008921,0.057962
manufactured home,750-999,2000s,0.143257,0.001546,0.10494,0.053521,0.617114,0.02822,0.051403
manufactured home,750-999,2010s,0.068325,0.00042,0.035823,0.011725,0.856293,0.013578,0.013836
manufactured home,750-999,<1940,0.210126,0.001141,0.023214,0.014015,0.675825,0.021329,0.05435
single-family attached,0-499,1940s,0.540633,0.019611,0.252722,0.002527,0.098146,0.044319,0.042042
single-family attached,0-499,1950s,0.452883,0.027553,0.189568,0.01,0.132629,0.046235,0.141133
single-family attached,0-499,1960s,0.635153,0.048489,0.219008,0.002443,0.04909,0.019203,0.026614
single-family attached,0-499,1970s,0.524903,0.016975,0.355632,0.002685,0.050113,0.023722,0.02597
single-family attached,0-499,1980s,0.4377,0.013002,0.311971,0.080267,0.065001,0.026026,0.066033
single-family attached,0-499,1990s,0.423679,0.019802,0.354583,0.003307,0.07844,0.038783,0.081405
single-family attached,0-499,2000s,0.10675,0.029796,0.53703,0.004597,0.179976,0.117625,0.024225
single-family attached,0-499,2010s,0.394387,0.01585,0.299241,0.002869,0.184338,0.087028,0.016286
single-family attached,0-499,<1940,0.500901,0.025434,0.212036,0.001744,0.156205,0.075408,0.028271
single-family attached,1000-1499,1940s,0.297654,0.002321,0.097372,0.032814,0.528534,0.020762,0.020543
single-family attached,1000-1499,1950s,0.383844,0.001615,0.095018,0.031882,0.441229,0.02714,0.019272
single-family attached,1000-1499,1960s,0.437024,0.00672,0.101094,0.026678,0.400812,0.01977,0.0079
single-family attached,1000-1499,1970s,0.481834,0.002488,0.144196,0.031434,0.293844,0.014791,0.031413
single-family attached,1000-1499,1980s,0.452232,0.002675,0.16117,0.029616,0.298037,0.015583,0.040686
single-family attached,1000-1499,1990s,0.347512,0.001832,0.134581,0.035579,0.420648,0.016629,0.043219
