Annual Name,Annual Units,Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_lighting_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Lighting,emissions__<type>__<scenario_name>__fuel_oil__lighting__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_mech_vent_preheating_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Mech Vent Preheating,emissions__<type>__<scenario_name>__fuel_oil__mech_vent_preheating__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_range_oven_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Range/Oven,emissions__<type>__<scenario_name>__fuel_oil__range_oven__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_<type>_<scenario_name>_fuel_oil_total_lb,lb,Emissions: <type>: <scenario_name>: Fuel Oil: Total,emissions__<type>__<scenario_name>__fuel_oil__total__lb,lb,Scenario emissions for Fuel Oil only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_clothes_dryer_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Clothes Dryer,emissions__<type>__<scenario_name>__natural_gas__clothes_dryer__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_fireplace_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Fireplace,emissions__<type>__<scenario_name>__natural_gas__fireplace__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_generator_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Generator,emissions__<type>__<scenario_name>__natural_gas__generator__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_grill_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Grill,emissions__<type>__<scenario_name>__natural_gas__grill__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_heating_heat_pump_backup_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Heating Heat Pump Backup,emissions__<type>__<scenario_name>__natural_gas__heating_heat_pump_backup__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_heating_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Heating,emissions__<type>__<scenario_name>__natural_gas__heating__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_hot_tub_heater_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Hot Tub Heater,emissions__<type>__<scenario_name>__natural_gas__hot_tub_heater__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_hot_water_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Hot Water,emissions__<type>__<scenario_name>__natural_gas__hot_water__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_lighting_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Lighting,emissions__<type>__<scenario_name>__natural_gas__lighting__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_mech_vent_preheating_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Mech Vent Preheating,emissions__<type>__<scenario_name>__natural_gas__mech_vent_preheating__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_pool_heater_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Pool Heater,emissions__<type>__<scenario_name>__natural_gas__pool_heater__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_range_oven_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Range/Oven,emissions__<type>__<scenario_name>__natural_gas__range_oven__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_<type>_<scenario_name>_natural_gas_total_lb,lb,Emissions: <type>: <scenario_name>: Natural Gas: Total,emissions__<type>__<scenario_name>__natural_gas__total__lb,lb,Scenario emissions for Natural Gas only
report_simulation_output.emissions_<type>_<scenario_name>_net_lb,lb,Emissions: <type>: <scenario_name>: Net,emissions__<type>__<scenario_name>__net__lb,lb,Subtracts any power produced by PV or generators
report_simulation_output.emissions_<type>_<scenario_name>_propane_clothes_dryer_lb,lb,Emissions: <type>: <scenario_name>: Propane: Clothes Dryer,emissions__<type>__<scenario_name>__propane__clothes_dryer__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_fireplace_lb,lb,Emissions: <type>: <scenario_name>: Propane: Fireplace,emissions__<type>__<scenario_name>__propane__fireplace__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_generator_lb,lb,Emissions: <type>: <scenario_name>: Propane: Generator,emissions__<type>__<scenario_name>__propane__generator__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_grill_lb,lb,Emissions: <type>: <scenario_name>: Propane: Grill,emissions__<type>__<scenario_name>__propane__grill__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_heating_heat_pump_backup_lb,lb,Emissions: <type>: <scenario_name>: Propane: Heating Heat Pump Backup,emissions__<type>__<scenario_name>__propane__heating_heat_pump_backup__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_heating_lb,lb,Emissions: <type>: <scenario_name>: Propane: Heating,emissions__<type>__<scenario_name>__propane__heating__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_hot_water_lb,lb,Emissions: <type>: <scenario_name>: Propane: Hot Water,emissions__<type>__<scenario_name>__propane__hot_water__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_lighting_lb,lb,Emissions: <type>: <scenario_name>: Propane: Lighting,emissions__<type>__<scenario_name>__propane__lighting__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_mech_vent_preheating_lb,lb,Emissions: <type>: <scenario_name>: Propane: Mech Vent Preheating,emissions__<type>__<scenario_name>__propane__mech_vent_preheating__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_range_oven_lb,lb,Emissions: <type>: <scenario_name>: Propane: Range/Oven,emissions__<type>__<scenario_name>__propane__range_oven__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_<type>_<scenario_name>_propane_total_lb,lb,Emissions: <type>: <scenario_name>: Propane: Total,emissions__<type>__<scenario_name>__propane__total__lb,lb,Scenario emissions for Propane only
report_simulation_output.emissions_<type>_<scenario_name>_total_lb,lb,Emissions: <type>: <scenario_name>: Total,emissions__<type>__<scenario_name>__total__lb,lb,"Scenario total emissions, includes any battery charging/discharging"
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_clothes_dryer_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Clothes Dryer,emissions__<type>__<scenario_name>__wood_cord__clothes_dryer__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_fireplace_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Fireplace,emissions__<type>__<scenario_name>__wood_cord__fireplace__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_generator_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Generator,emissions__<type>__<scenario_name>__wood_cord__generator__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_grill_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Grill,emissions__<type>__<scenario_name>__wood_cord__grill__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_heating_heat_pump_backup_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Heating Heat Pump Backup,emissions__<type>__<scenario_name>__wood_cord__heating_heat_pump_backup__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_heating_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Heating,emissions__<type>__<scenario_name>__wood_cord__heating__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_hot_water_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Hot Water,emissions__<type>__<scenario_name>__wood_cord__hot_water__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_lighting_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Lighting,emissions__<type>__<scenario_name>__wood_cord__lighting__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_mech_vent_preheating_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Mech Vent Preheating,emissions__<type>__<scenario_name>__wood_cord__mech_vent_preheating__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_range_oven_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Range/Oven,emissions__<type>__<scenario_name>__wood_cord__range_oven__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_cord_total_lb,lb,Emissions: <type>: <scenario_name>: Wood Cord: Total,emissions__<type>__<scenario_name>__wood_cord__total__lb,lb,Scenario emissions for Wood Cord only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_clothes_dryer_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Clothes Dryer,emissions__<type>__<scenario_name>__wood_pellets__clothes_dryer__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_fireplace_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Fireplace,emissions__<type>__<scenario_name>__wood_pellets__fireplace__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_generator_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Generator,emissions__<type>__<scenario_name>__wood_pellets__generator__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_grill_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Grill,emissions__<type>__<scenario_name>__wood_pellets__grill__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_heating_heat_pump_backup_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Heating Heat Pump Backup,emissions__<type>__<scenario_name>__wood_pellets__heating_heat_pump_backup__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_heating_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Heating,emissions__<type>__<scenario_name>__wood_pellets__heating__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_hot_water_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Hot Water,emissions__<type>__<scenario_name>__wood_pellets__hot_water__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_lighting_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Lighting,emissions__<type>__<scenario_name>__wood_pellets__lighting__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_mech_vent_preheating_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Mech Vent Preheating,emissions__<type>__<scenario_name>__wood_pellets__mech_vent_preheating__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_range_oven_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Range/Oven,emissions__<type>__<scenario_name>__wood_pellets__range_oven__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_<type>_<scenario_name>_wood_pellets_total_lb,lb,Emissions: <type>: <scenario_name>: Wood Pellets: Total,emissions__<type>__<scenario_name>__wood_pellets__total__lb,lb,Scenario emissions for Wood Pellets only
