Annual Name,Annual Units,Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
report_simulation_output.end_use_electricity_clothes_washer_m_btu,MBtu,End Use: Electricity: Clothes Washer,end_use__electricity__clothes_washer__kwh,kWh,
report_simulation_output.end_use_electricity_cooling_fans_pumps_m_btu,MBtu,End Use: Electricity: Cooling Fans/Pumps,end_use__electricity__cooling_fans_pumps__kwh,kWh,Supply fan (air distribution) or circulating pump (geothermal loop)
report_simulation_output.end_use_electricity_cooling_m_btu,MBtu,End Use: Electricity: Cooling,end_use__electricity__cooling__kwh,kWh,Excludes fans/pumps
report_simulation_output.end_use_electricity_dehumidifier_m_btu,MBtu,End Use: Electricity: Dehumidifier,end_use__electricity__dehumidifier__kwh,kWh,
report_simulation_output.end_use_electricity_dishwasher_m_btu,MBtu,End Use: Electricity: Dishwasher,end_use__electricity__dishwasher__kwh,kWh,
report_simulation_output.end_use_electricity_electric_vehicle_charging_m_btu,MBtu,End Use: Electricity: Electric Vehicle Charging,end_use__electricity__electric_vehicle_charging__kwh,kWh,
report_simulation_output.end_use_electricity_freezer_m_btu,MBtu,End Use: Electricity: Freezer,end_use__electricity__freezer__kwh,kWh,
report_simulation_output.end_use_electricity_generator_m_btu,MBtu,End Use: Electricity: Generator,end_use__electricity__generator__kwh,kWh,Negative value for any power produced
report_simulation_output.end_use_electricity_heating_fans_pumps_m_btu,MBtu,End Use: Electricity: Heating Fans/Pumps,end_use__electricity__heating_fans_pumps__kwh,kWh,Supply fan (air distribution) or circulating pump (hydronic distribution or geothermal loop)
report_simulation_output.end_use_electricity_heating_heat_pump_backup_m_btu,MBtu,End Use: Electricity: Heating Heat Pump Backup,end_use__electricity__heating_heat_pump_backup__kwh,kWh,Excludes heat pump backup fans/pumps
report_simulation_output.end_use_electricity_heating_heat_pump_backup_fans_pumps_m_btu,MBtu,End Use: Electricity: Heating Heat Pump Backup Fans/Pumps,end_use__electricity__heating_heat_pump_backup_fans_pumps__kwh,kWh,Includes supply fan (air distribution) or circulating pump (hydronic distribution) during heat pump backup
report_simulation_output.end_use_electricity_heating_m_btu,MBtu,End Use: Electricity: Heating,end_use__electricity__heating__kwh,kWh,Excludes heat pump backup and fans/pumps
report_simulation_output.end_use_electricity_hot_tub_heater_m_btu,MBtu,End Use: Electricity: Hot Tub Heater,end_use__electricity__hot_tub_heater__kwh,kWh,
report_simulation_output.end_use_electricity_hot_tub_pump_m_btu,MBtu,End Use: Electricity: Hot Tub Pump,end_use__electricity__hot_tub_pump__kwh,kWh,
report_simulation_output.end_use_electricity_hot_water_m_btu,MBtu,End Use: Electricity: Hot Water,end_use__electricity__hot_water__kwh,kWh,Excludes recirc pump and solar thermal pump
report_simulation_output.end_use_electricity_hot_water_recirc_pump_m_btu,MBtu,End Use: Electricity: Hot Water Recirc Pump,end_use__electricity__hot_water_recirc_pump__kwh,kWh,
report_simulation_output.end_use_electricity_hot_water_solar_thermal_pump_m_btu,MBtu,End Use: Electricity: Hot Water Solar Thermal Pump,end_use__electricity__hot_water_solar_thermal_pump__kwh,kWh,Non-zero only when using detailed (not simple) solar thermal inputs
report_simulation_output.end_use_electricity_lighting_exterior_m_btu,MBtu,End Use: Electricity: Lighting Exterior,end_use__electricity__lighting_exterior__kwh,kWh,Includes exterior holiday lighting
report_simulation_output.end_use_electricity_lighting_garage_m_btu,MBtu,End Use: Electricity: Lighting Garage,end_use__electricity__lighting_garage__kwh,kWh,
report_simulation_output.end_use_electricity_lighting_interior_m_btu,MBtu,End Use: Electricity: Lighting Interior,end_use__electricity__lighting_interior__kwh,kWh,
report_simulation_output.end_use_electricity_mech_vent_m_btu,MBtu,End Use: Electricity: Mech Vent,end_use__electricity__mech_vent__kwh,kWh,Excludes preheating/precooling
report_simulation_output.end_use_electricity_mech_vent_precooling_m_btu,MBtu,End Use: Electricity: Mech Vent Precooling,end_use__electricity__mech_vent_precooling__kwh,kWh,
report_simulation_output.end_use_electricity_mech_vent_preheating_m_btu,MBtu,End Use: Electricity: Mech Vent Preheating,end_use__electricity__mech_vent_preheating__kwh,kWh,
report_simulation_output.end_use_electricity_plug_loads_m_btu,MBtu,End Use: Electricity: Plug Loads,end_use__electricity__plug_loads__kwh,kWh,"Excludes independently reported plug loads (e.g., well pump)"
report_simulation_output.end_use_electricity_pool_heater_m_btu,MBtu,End Use: Electricity: Pool Heater,end_use__electricity__pool_heater__kwh,kWh,
report_simulation_output.end_use_electricity_pool_pump_m_btu,MBtu,End Use: Electricity: Pool Pump,end_use__electricity__pool_pump__kwh,kWh,
report_simulation_output.end_use_electricity_pv_m_btu,MBtu,End Use: Electricity: PV,end_use__electricity__pv__kwh,kWh,Negative value for any power produced
report_simulation_output.end_use_electricity_range_oven_m_btu,MBtu,End Use: Electricity: Range/Oven,end_use__electricity__range_oven__kwh,kWh,
report_simulation_output.end_use_electricity_refrigerator_m_btu,MBtu,End Use: Electricity: Refrigerator,end_use__electricity__refrigerator__kwh,kWh,
report_simulation_output.end_use_electricity_television_m_btu,MBtu,End Use: Electricity: Television,end_use__electricity__television__kwh,kWh,
report_simulation_output.end_use_electricity_well_pump_m_btu,MBtu,End Use: Electricity: Well Pump,end_use__electricity__well_pump__kwh,kWh,
report_simulation_output.end_use_electricity_whole_house_fan_m_btu,MBtu,End Use: Electricity: Whole House Fan,end_use__electricity__whole_house_fan__kwh,kWh,
report_simulation_output.end_use_fuel_oil_clothes_dryer_m_btu,MBtu,End Use: Fuel Oil: Clothes Dryer,end_use__fuel_oil__clothes_dryer__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_fireplace_m_btu,MBtu,End Use: Fuel Oil: Fireplace,end_use__fuel_oil__fireplace__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_generator_m_btu,MBtu,End Use: Fuel Oil: Generator,end_use__fuel_oil__generator__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_grill_m_btu,MBtu,End Use: Fuel Oil: Grill,end_use__fuel_oil__grill__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_heating_heat_pump_backup_m_btu,MBtu,End Use: Fuel Oil: Heating Heat Pump Backup,end_use__fuel_oil__heating_heat_pump_backup__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_heating_m_btu,MBtu,End Use: Fuel Oil: Heating,end_use__fuel_oil__heating__kbtu,kBtu,Excludes heat pump backup
report_simulation_output.end_use_fuel_oil_hot_water_m_btu,MBtu,End Use: Fuel Oil: Hot Water,end_use__fuel_oil__hot_water__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_lighting_m_btu,MBtu,End Use: Fuel Oil: Lighting,end_use__fuel_oil__lighting__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_mech_vent_preheating_m_btu,MBtu,End Use: Fuel Oil: Mech Vent Preheating,end_use__fuel_oil__mech_vent_preheating__kbtu,kBtu,
report_simulation_output.end_use_fuel_oil_range_oven_m_btu,MBtu,End Use: Fuel Oil: Range/Oven,end_use__fuel_oil__range_oven__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_clothes_dryer_m_btu,MBtu,End Use: Natural Gas: Clothes Dryer,end_use__natural_gas__clothes_dryer__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_fireplace_m_btu,MBtu,End Use: Natural Gas: Fireplace,end_use__natural_gas__fireplace__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_generator_m_btu,MBtu,End Use: Natural Gas: Generator,end_use__natural_gas__generator__kbtu,kBtu,Positive value for any fuel consumed
report_simulation_output.end_use_natural_gas_grill_m_btu,MBtu,End Use: Natural Gas: Grill,end_use__natural_gas__grill__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_heating_heat_pump_backup_m_btu,MBtu,End Use: Natural Gas: Heating Heat Pump Backup,end_use__natural_gas__heating_heat_pump_backup__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_heating_m_btu,MBtu,End Use: Natural Gas: Heating,end_use__natural_gas__heating__kbtu,kBtu,Excludes heat pump backup
report_simulation_output.end_use_natural_gas_hot_tub_heater_m_btu,MBtu,End Use: Natural Gas: Hot Tub Heater,end_use__natural_gas__hot_tub_heater__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_hot_water_m_btu,MBtu,End Use: Natural Gas: Hot Water,end_use__natural_gas__hot_water__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_lighting_m_btu,MBtu,End Use: Natural Gas: Lighting,end_use__natural_gas__lighting__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_mech_vent_preheating_m_btu,MBtu,End Use: Natural Gas: Mech Vent Preheating,end_use__natural_gas__mech_vent_preheating__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_pool_heater_m_btu,MBtu,End Use: Natural Gas: Pool Heater,end_use__natural_gas__pool_heater__kbtu,kBtu,
report_simulation_output.end_use_natural_gas_range_oven_m_btu,MBtu,End Use: Natural Gas: Range/Oven,end_use__natural_gas__range_oven__kbtu,kBtu,
report_simulation_output.end_use_propane_clothes_dryer_m_btu,MBtu,End Use: Propane: Clothes Dryer,end_use__propane__clothes_dryer__kbtu,kBtu,
report_simulation_output.end_use_propane_fireplace_m_btu,MBtu,End Use: Propane: Fireplace,end_use__propane__fireplace__kbtu,kBtu,
report_simulation_output.end_use_propane_generator_m_btu,MBtu,End Use: Propane: Generator,end_use__propane__generator__kbtu,kBtu,Positive value for any fuel consumed
report_simulation_output.end_use_propane_grill_m_btu,MBtu,End Use: Propane: Grill,end_use__propane__grill__kbtu,kBtu,
report_simulation_output.end_use_propane_heating_heat_pump_backup_m_btu,MBtu,End Use: Propane: Heating Heat Pump Backup,end_use__propane__heating_heat_pump_backup__kbtu,kBtu,
report_simulation_output.end_use_propane_heating_m_btu,MBtu,End Use: Propane: Heating,end_use__propane__heating__kbtu,kBtu,Excludes heat pump backup
report_simulation_output.end_use_propane_hot_water_m_btu,MBtu,End Use: Propane: Hot Water,end_use__propane__hot_water__kbtu,kBtu,
report_simulation_output.end_use_propane_lighting_m_btu,MBtu,End Use: Propane: Lighting,end_use__propane__lighting__kbtu,kBtu,
report_simulation_output.end_use_propane_mech_vent_preheating_m_btu,MBtu,End Use: Propane: Mech Vent Preheating,end_use__propane__mech_vent_preheating__kbtu,kBtu,
report_simulation_output.end_use_propane_range_oven_m_btu,MBtu,End Use: Propane: Range/Oven,end_use__propane__range_oven__kbtu,kBtu,
report_simulation_output.end_use_wood_cord_clothes_dryer_m_btu,MBtu,End Use: Wood Cord: Clothes Dryer,end_use__wood_cord__clothes_dryer__kwh,kBtu,
report_simulation_output.end_use_wood_cord_fireplace_m_btu,MBtu,End Use: Wood Cord: Fireplace,end_use__wood_cord__fireplace__kwh,kBtu,
report_simulation_output.end_use_wood_cord_generator_m_btu,MBtu,End Use: Wood Cord: Generator,end_use__wood_cord__generator__kwh,kBtu,
report_simulation_output.end_use_wood_cord_grill_m_btu,MBtu,End Use: Wood Cord: Grill,end_use__wood_cord__grill__kwh,kBtu,
report_simulation_output.end_use_wood_cord_heating_heat_pump_backup_m_btu,MBtu,End Use: Wood Cord: Heating Heat Pump Backup,end_use__wood_cord__heating_heat_pump_backup__kwh,kBtu,
report_simulation_output.end_use_wood_cord_heating_m_btu,MBtu,End Use: Wood Cord: Heating,end_use__wood_cord__heating__kwh,kBtu,Excludes heat pump backup
report_simulation_output.end_use_wood_cord_hot_water_m_btu,MBtu,End Use: Wood Cord: Hot Water,end_use__wood_cord__hot_water__kwh,kBtu,
report_simulation_output.end_use_wood_cord_lighting_m_btu,MBtu,End Use: Wood Cord: Lighting,end_use__wood_cord__lighting__kwh,kBtu,
report_simulation_output.end_use_wood_cord_mech_vent_preheating_m_btu,MBtu,End Use: Wood Cord: Mech Vent Preheating,end_use__wood_cord__mech_vent_preheating__kwh,kBtu,
report_simulation_output.end_use_wood_cord_range_oven_m_btu,MBtu,End Use: Wood Cord: Range/Oven,end_use__wood_cord__range_oven__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_clothes_dryer_m_btu,MBtu,End Use: Wood Pellets: Clothes Dryer,end_use__wood_pellets__clothes_dryer__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_fireplace_m_btu,MBtu,End Use: Wood Pellets: Fireplace,end_use__wood_pellets__fireplace__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_generator_m_btu,MBtu,End Use: Wood Pellets: Generator,end_use__wood_pellets__generator__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_grill_m_btu,MBtu,End Use: Wood Pellets: Grill,end_use__wood_pellets__grill__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_heating_heat_pump_backup_m_btu,MBtu,End Use: Wood Pellets: Heating Heat Pump Backup,end_use__wood_pellets__heating_heat_pump_backup__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_heating_m_btu,MBtu,End Use: Wood Pellets: Heating,end_use__wood_pellets__heating__kwh,kBtu,Excludes heat pump backup
report_simulation_output.end_use_wood_pellets_hot_water_m_btu,MBtu,End Use: Wood Pellets: Hot Water,end_use__wood_pellets__hot_water__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_lighting_m_btu,MBtu,End Use: Wood Pellets: Lighting,end_use__wood_pellets__lighting__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_mech_vent_preheating_m_btu,MBtu,End Use: Wood Pellets: Mech Vent Preheating,end_use__wood_pellets__mech_vent_preheating__kwh,kBtu,
report_simulation_output.end_use_wood_pellets_range_oven_m_btu,MBtu,End Use: Wood Pellets: Range/Oven,end_use__wood_pellets__range_oven__kwh,kBtu,
report_simulation_output.energy_use_net_m_btu,MBtu,Energy Use: Net,energy_use__net__kbtu,kBtu,Subtracts any power produced by PV or generators.
report_simulation_output.energy_use_total_m_btu,MBtu,Energy Use: Total,energy_use__total__kbtu,kBtu,Includes any battery charging/discharging
report_simulation_output.fuel_use_coal_total_m_btu,MBtu,Fuel Use: Coal: Total,fuel_use__coal__total__kwh,kBtu,"Includes 'coal', 'anthracite coal', 'bituminous coal', and 'coke'."
report_simulation_output.fuel_use_electricity_net_m_btu,MBtu,Fuel Use: Electricity: Net,fuel_use__electricity__net__kwh,kWh,Subtracts any power produced by PV or generators.
report_simulation_output.fuel_use_electricity_total_m_btu,MBtu,Fuel Use: Electricity: Total,fuel_use__electricity__total__kwh,kWh,Includes any battery charging/discharging
report_simulation_output.fuel_use_fuel_oil_total_m_btu,MBtu,Fuel Use: Fuel Oil: Total,fuel_use__fuel_oil__total__kbtu,kBtu,"Includes 'fuel oil', 'fuel oil 1', 'fuel oil 2', 'fuel oil 4', 'fuel oil 5/6', 'kerosene', and 'diesel'"
report_simulation_output.fuel_use_natural_gas_total_m_btu,MBtu,Fuel Use: Natural Gas: Total,fuel_use__natural_gas__total__kbtu,kBtu,
report_simulation_output.fuel_use_propane_total_m_btu,MBtu,Fuel Use: Propane: Total,fuel_use__propane__total__kbtu,kBtu,
report_simulation_output.fuel_use_wood_cord_total_m_btu,MBtu,Fuel Use: Wood Cord: Total,fuel_use__wood_cord__total__kbtu,kBtu,
report_simulation_output.fuel_use_wood_pellets_total_m_btu,MBtu,Fuel Use: Wood Pellets: Total,fuel_use__wood_pellets__total__kbtu,kBtu,
report_simulation_output.hot_water_clothes_washer_gal,gal,Hot Water: Clothes Washer,hot_water__clothes_washer__gal,gal,
report_simulation_output.hot_water_dishwasher_gal,gal,Hot Water: Dishwasher,hot_water__dishwasher__gal,gal,
report_simulation_output.hot_water_distribution_waste_gal,gal,Hot Water: Distribution Waste,hot_water__distribution_waste__gal,gal,
report_simulation_output.hot_water_fixtures_gal,gal,Hot Water: Fixtures,hot_water__fixtures__gal,gal,Showers and faucets.
report_simulation_output.hvac_capacity_cooling_btu_h,Btu/h,,,,Total HVAC cooling capacity
report_simulation_output.hvac_capacity_heat_pump_backup_btu_h,Btu/h,,,,Total HVAC heat pump backup capacity
report_simulation_output.hvac_capacity_heating_btu_h,Btu/h,,,,Total HVAC heating capacity
report_simulation_output.hvac_design_load_cooling_latent_ducts_btu_h,Btu/h,,,,Latent cooling design load for ducts
report_simulation_output.hvac_design_load_cooling_latent_infiltration_ventilation_btu_h,Btu/h,,,,Latent cooling design load for infiltration/ventilation
report_simulation_output.hvac_design_load_cooling_latent_internal_gains_btu_h,Btu/h,,,,Latent cooling design load for internal gains
report_simulation_output.hvac_design_load_cooling_latent_total_btu_h,Btu/h,,,,Total latent cooling design load
report_simulation_output.hvac_design_load_cooling_sensible_ceilings_btu_h,Btu/h,,,,Sensible cooling design load for ceilings
report_simulation_output.hvac_design_load_cooling_sensible_doors_btu_h,Btu/h,,,,Sensible cooling design load for doors
report_simulation_output.hvac_design_load_cooling_sensible_ducts_btu_h,Btu/h,,,,Sensible cooling design load for ducts
report_simulation_output.hvac_design_load_cooling_sensible_floors_btu_h,Btu/h,,,,Sensible cooling design load for floors
report_simulation_output.hvac_design_load_cooling_sensible_infiltration_ventilation_btu_h,Btu/h,,,,Sensible cooling design load for infiltration/ventilation
report_simulation_output.hvac_design_load_cooling_sensible_internal_gains_btu_h,Btu/h,,,,Sensible cooling design load for internal gains
report_simulation_output.hvac_design_load_cooling_sensible_roofs_btu_h,Btu/h,,,,Sensible cooling design load for roofs
report_simulation_output.hvac_design_load_cooling_sensible_skylights_btu_h,Btu/h,,,,Sensible cooling design load for skylights
report_simulation_output.hvac_design_load_cooling_sensible_slabs_btu_h,Btu/h,,,,Sensible cooling design load for slabs
report_simulation_output.hvac_design_load_cooling_sensible_total_btu_h,Btu/h,,,,Total sensible cooling design load
report_simulation_output.hvac_design_load_cooling_sensible_walls_btu_h,Btu/h,,,,Sensible cooling design load for walls
report_simulation_output.hvac_design_load_cooling_sensible_windows_btu_h,Btu/h,,,,Sensible cooling design load for windows
report_simulation_output.hvac_design_load_heating_ceilings_btu_h,Btu/h,,,,Heating design load for ceilings
report_simulation_output.hvac_design_load_heating_doors_btu_h,Btu/h,,,,Heating design load for doors
report_simulation_output.hvac_design_load_heating_ducts_btu_h,Btu/h,,,,Heating design load for ducts
report_simulation_output.hvac_design_load_heating_floors_btu_h,Btu/h,,,,Heating design load for floors
report_simulation_output.hvac_design_load_heating_infiltration_ventilation_btu_h,Btu/h,,,,Heating design load for infiltration/ventilation
report_simulation_output.hvac_design_load_heating_roofs_btu_h,Btu/h,,,,Heating design load for roofs
report_simulation_output.hvac_design_load_heating_skylights_btu_h,Btu/h,,,,Heating design load for skylights
report_simulation_output.hvac_design_load_heating_slabs_btu_h,Btu/h,,,,Heating design load for slabs
report_simulation_output.hvac_design_load_heating_total_btu_h,Btu/h,,,,Total heating design load
report_simulation_output.hvac_design_load_heating_walls_btu_h,Btu/h,,,,Heating design load for walls
report_simulation_output.hvac_design_load_heating_windows_btu_h,Btu/h,,,,Heating design load for windows
report_simulation_output.hvac_design_temperature_cooling_f,F,,,,1% cooling drybulb temperature
report_simulation_output.hvac_design_temperature_heating_f,F,,,,99% heating drybulb temperature
report_simulation_output.load_cooling_delivered_m_btu,MBtu,Load: Cooling: Delivered,load__cooling__delivered__kbtu,kBtu,Includes HVAC distribution losses.
report_simulation_output.load_heating_heat_pump_backup_m_btu,MBtu,Load: Heating: Heat Pump Backup,load__heating__heat_pump_backup__kbtu,kBtu,"Heating load delivered by the heat pump backup only, including distribution losses."
report_simulation_output.load_heating_delivered_m_btu,MBtu,Load: Heating: Delivered,load__heating__delivered__kbtu,kBtu,Includes HVAC distribution losses.
report_simulation_output.load_hot_water_delivered_m_btu,MBtu,Load: Hot Water: Delivered,load__hot_water__delivered__kbtu,kBtu,Includes contributions by desuperheaters or solar thermal systems.
report_simulation_output.load_hot_water_desuperheater_m_btu,MBtu,Load: Hot Water: Desuperheater,load__hot_water__desuperheater__kbtu,kBtu,Load served by the desuperheater.
report_simulation_output.load_hot_water_solar_thermal_m_btu,MBtu,Load: Hot Water: Solar Thermal,load__hot_water__solar_thermal__kbtu,kBtu,Load served by the solar thermal system.
report_simulation_output.load_hot_water_tank_losses_m_btu,MBtu,Load: Hot Water: Tank Losses,load__hot_water__tank_losses__kbtu,kBtu,
report_simulation_output.peak_electricity_summer_total_w,W,,,,Maximum value in Jun/Jul/Aug (or Dec/Jan/Feb in the southern hemisphere)
report_simulation_output.peak_electricity_winter_total_w,W,,,,Maximum value in Dec/Jan/Feb (or Jun/Jul/Aug in the southern hemisphere)
report_simulation_output.peak_load_cooling_delivered_k_btu_hr,kBtu/hr,,,,Includes HVAC distribution losses.
report_simulation_output.peak_load_heating_delivered_k_btu_hr,kBtu/hr,,,,Includes HVAC distribution losses.
report_simulation_output.unmet_hours_cooling_hr,hr,Unmet Hours: Cooling,unmet_hours__cooling__hr,hr,Number of hours where the cooling setpoint is not maintained.
report_simulation_output.unmet_hours_heating_hr,hr,Unmet Hours: Heating,unmet_hours__heating__hr,hr,Number of hours where the heating setpoint is not maintained.
