Annual Name,Annual Units,Notes
report_utility_bills.<scenario_name>_natural_gas_total_usd_2007_12_01,$,Scenario December total charges for natural gas.
report_utility_bills.<scenario_name>_propane_energy_usd,$,Scenario annual energy charges for propane.
report_utility_bills.<scenario_name>_propane_fixed_usd,$,Scenario annual fixed charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd,$,Scenario annual total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_01_01,$,Scenario January total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_02_01,$,Scenario February total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_03_01,$,Scenario March total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_04_01,$,Scenario April total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_05_01,$,Scenario May total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_06_01,$,Scenario June total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_07_01,$,Scenario July total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_08_01,$,Scenario August total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_09_01,$,Scenario September total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_10_01,$,Scenario October total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_11_01,$,Scenario November total charges for propane.
report_utility_bills.<scenario_name>_propane_total_usd_2007_12_01,$,Scenario December total charges for propane.
report_utility_bills.<scenario_name>_total_usd,$,Scenario annual total charges.
report_utility_bills.<scenario_name>_total_usd_2007_01_01,$,Scenario January total charges.
report_utility_bills.<scenario_name>_total_usd_2007_02_01,$,Scenario February total charges.
report_utility_bills.<scenario_name>_total_usd_2007_03_01,$,Scenario March total charges.
report_utility_bills.<scenario_name>_total_usd_2007_04_01,$,Scenario April total charges.
report_utility_bills.<scenario_name>_total_usd_2007_05_01,$,Scenario May total charges.
report_utility_bills.<scenario_name>_total_usd_2007_06_01,$,Scenario June total charges.
report_utility_bills.<scenario_name>_total_usd_2007_07_01,$,Scenario July total charges.
report_utility_bills.<scenario_name>_total_usd_2007_08_01,$,Scenario August total charges.
report_utility_bills.<scenario_name>_total_usd_2007_09_01,$,Scenario September total charges.
report_utility_bills.<scenario_name>_total_usd_2007_10_01,$,Scenario October total charges.
report_utility_bills.<scenario_name>_total_usd_2007_11_01,$,Scenario November total charges.
report_utility_bills.<scenario_name>_total_usd_2007_12_01,$,Scenario December total charges.
report_utility_bills.<scenario_name>_wood_cord_energy_usd,$,Scenario annual energy charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_fixed_usd,$,Scenario annual fixed charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd,$,Scenario annual total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_01_01,$,Scenario January total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_02_01,$,Scenario February total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_03_01,$,Scenario March total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_04_01,$,Scenario April total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_05_01,$,Scenario May total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_06_01,$,Scenario June total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_07_01,$,Scenario July total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_08_01,$,Scenario August total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_09_01,$,Scenario September total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_10_01,$,Scenario October total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_11_01,$,Scenario November total charges for wood cord.
report_utility_bills.<scenario_name>_wood_cord_total_usd_2007_12_01,$,Scenario December total charges for wood cord.
report_utility_bills.<scenario_name>_wood_pellets_energy_usd,$,Scenario annual energy charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_fixed_usd,$,Scenario annual fixed charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd,$,Scenario annual total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_01_01,$,Scenario January total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_02_01,$,Scenario February total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_03_01,$,Scenario March total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_04_01,$,Scenario April total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_05_01,$,Scenario May total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_06_01,$,Scenario June total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_07_01,$,Scenario July total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_08_01,$,Scenario August total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_09_01,$,Scenario September total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_10_01,$,Scenario October total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_11_01,$,Scenario November total charges for wood pellets.
report_utility_bills.<scenario_name>_wood_pellets_total_usd_2007_12_01,$,Scenario December total charges for wood pellets.
