Input Name,Input Description
build_existing_model.reeds_balancing_area,:ref:`reeds_balancing_area`
build_existing_model.refrigerator,:ref:`refrigerator`
build_existing_model.roof_material,:ref:`roof_material`
build_existing_model.solar_hot_water,:ref:`solar_hot_water`
build_existing_model.state,:ref:`state`
build_existing_model.tenure,:ref:`tenure`
build_existing_model.usage_level,:ref:`usage_level`
build_existing_model.vacancy_status,:ref:`vacancy_status`
build_existing_model.vintage,:ref:`vintage`
build_existing_model.vintage_acs,:ref:`vintage_acs`
build_existing_model.water_heater_efficiency,:ref:`water_heater_efficiency`
build_existing_model.water_heater_fuel,:ref:`water_heater_fuel`
build_existing_model.water_heater_in_unit,:ref:`water_heater_in_unit`
build_existing_model.window_areas,:ref:`window_areas`
build_existing_model.windows,:ref:`windows`
