Dependency=Location Heating Region	Dependency=Heating Fuel	Dependency=Vintage	Option=No	Option=Yes	Count	Weight
H2	Fuel Oil	1960s	1.0	0.0	0	0.0
H2	Fuel Oil	1970s	1.0	0.0	0	0.0
H2	Fuel Oil	1980s	1.0	0.0	1	1144.67
H2	Fuel Oil	1990s	1.0	0.0	0	0.0
H2	Fuel Oil	2000s	1.0	0.0	0	0.0
H2	Natural Gas	<1950	1.0	0.0	14	43418.14
H2	Natural Gas	1950s	1.0	0.0	9	39425.27
H2	Natural Gas	1960s	1.0	0.0	3	20903.96
H2	Natural Gas	1970s	1.0	0.0	16	66005.72
H2	Natural Gas	1980s	1.0	0.0	2	3829.33
H2	Natural Gas	1990s	1.0	0.0	23	74861.81
H2	Natural Gas	2000s	1.0	0.0	20	62094.99
H2	Propane	<1950	1.0	0.0	0	0.0
H2	Propane	1950s	1.0	0.0	0	0.0
H2	Propane	1960s	1.0	0.0	0	0.0
H2	Propane	1970s	1.0	0.0	1	1192.46
H2	Propane	1980s	1.0	0.0	0	0.0
H2	Propane	1990s	1.0	0.0	0	0.0
H2	Propane	2000s	1.0	0.0	4	6440.85
H2	Wood	<1950	1.0	0.0	7	11735.57
H2	Wood	1950s	1.0	0.0	4	6857.51
H2	Wood	1960s	1.0	0.0	4	8759.76
H2	Wood	1970s	1.0	0.0	2	4978.22
H2	Wood	1980s	1.0	0.0	7	16350.87
H2	Wood	1990s	1.0	0.0	8	13044.74
H2	Wood	2000s	1.0	0.0	3	4262.18
H3	Electricity	<1950	1.0	0.0	1	1144.67
H3	Electricity	1950s	0.358813723543	0.641186276457	2	3323.34
H3	Electricity	1960s	1.0	0.0	4	7363.14
H3	Electricity	1970s	0.904924029426	0.0950759705736	5	12039.53
H3	Electricity	1980s	0.6829067962	0.3170932038	4	7219.77
H3	Electricity	1990s	0.465534562691	0.534465437309	6	10590.9
H3	Electricity	2000s	0.806753874776	0.193246125224	3	6170.68
H3	Fuel Oil	<1950	1.0	0.0	1	8559.1
H3	Fuel Oil	1950s	1.0	0.0	1	1192.46
H3	Fuel Oil	1960s	1.0	0.0	1	3785.76
H3	Fuel Oil	1970s	1.0	0.0	0	0.0
H3	Fuel Oil	1980s	1.0	0.0	0	0.0
H3	Fuel Oil	1990s	1.0	0.0	0	0.0
H3	Fuel Oil	2000s	1.0	0.0	1	1925.05
H3	Natural Gas	<1950	1.0	0.0	22	44589.4
H3	Natural Gas	1950s	1.0	0.0	12	22437.76
H3	Natural Gas	1960s	1.0	0.0	9	16267.08
H3	Natural Gas	1970s	1.0	0.0	15	31328.12
H3	Natural Gas	1980s	1.0	0.0	9	16314.87
H3	Natural Gas	1990s	1.0	0.0	12	18714.88
H3	Natural Gas	2000s	1.0	0.0	20	30035.82
H3	Propane	<1950	1.0	0.0	0	0.0
H3	Propane	1950s	1.0	0.0	0	0.0
H3	Propane	1960s	1.0	0.0	1	3785.76
H3	Propane	1970s	1.0	0.0	1	2130.88
H3	Propane	1980s	1.0	0.0	3	4468.01
H3	Propane	1990s	1.0	0.0	1	1192.46
H3	Propane	2000s	1.0	0.0	0	0.0
H3	Wood	<1950	1.0	0.0	4	13553.87
H3	Wood	1950s	1.0	0.0	1	1904.28
H3	Wood	1960s	1.0	0.0	4	7331.48
H3	Wood	1970s	1.0	0.0	3	5406.43
H3	Wood	1980s	1.0	0.0	3	4420.22
H3	Wood	1990s	1.0	0.0	4	4626.47
H3	Wood	2000s	1.0	0.0	2	3275.55
