Dependency=CR	Dependency=FPL_BINS	Dependency=yearmaderange	Option=3500+	Weight	Count
11	250-300	1950-pre	0.999909320096	121294.818437	16.0
11	250-300	1950s	0.999943921482	196142.543268	26.0
11	250-300	1960s	0.999939445721	181644.206144	23.0
11	250-300	1970s	0.999954105975	239671.616978	31.0
11	250-300	1980s	0.999955171896	245370.783191	31.0
11	250-300	1990s	0.99992096109	139160.959628	19.0
11	250-300	2000s	0.999847074486	71919.443291	9.0
11	300+	1950-pre	0.999985505037	758873.333238	99.0
11	300+	1950s	0.99998982302	1080859.72019	140.0
11	300+	1960s	0.999988428171	950573.391543	123.0
11	300+	1970s	0.99998983845	1082501.00169	141.0
11	300+	1980s	0.999989008112	1000726.99104	131.0
11	300+	1990s	0.999984468554	708229.542726	98.0
11	300+	2000s	0.999980234847	556524.028747	77.0
11	50-100	1950-pre	0.999889813471	99819.715291	14.0
11	50-100	1950s	0.999923848369	144437.645642	19.0
11	50-100	1960s	0.999922435867	141807.126325	19.0
11	50-100	1970s	0.99995951519	271695.84775	37.0
11	50-100	1980s	0.999904918926	115679.741428	15.0
11	50-100	1990s	0.999862233193	79834.067492	11.0
11	50-100	2000s	0.999632213604	29897.664716	4.0
12	0-50	1950-pre	0.998854125053	10460.34694	1.0
12	0-50	1950s	0.998416643617	7566.837036	1.0
12	0-50	1960s	0.0	0.0	0.0
12	0-50	1970s	0.999538296429	25978.70218	3.0
12	0-50	1980s	0.998701970782	9232.784198	1.0
12	0-50	1990s	0.0	0.0	0.0
12	0-50	2000s	0.0	0.0	0.0
12	100-150	1950-pre	0.0	0.0	0.0
12	100-150	1950s	0.0	0.0	0.0
12	100-150	1960s	0.99849312905	7951.522023	1.0
12	100-150	1970s	0.998493128781	7951.520605	1.0
12	100-150	1980s	0.0	0.0	0.0
12	100-150	1990s	0.0	0.0	0.0
12	100-150	2000s	0.998669730996	9008.73187	1.0
12	150-200	1950-pre	0.997570800006	4927.897921	1.0
12	150-200	1950s	0.0	0.0	0.0
12	150-200	1960s	0.998669730927	9008.731405	1.0
12	150-200	1970s	0.998669730996	9008.73187	1.0
12	150-200	1980s	0.0	0.0	0.0
12	150-200	1990s	0.999348670958	18411.867545	2.0
12	150-200	2000s	0.999065117845	12823.842402	2.0
12	200-250	1950-pre	0.0	0.0	0.0
12	200-250	1950s	0.998416643617	7566.837036	1.0
12	200-250	1960s	0.998746934105	9564.511534	1.0
12	200-250	1970s	0.999497204483	23854.561252	3.0
12	200-250	1980s	0.0	0.0	0.0
12	200-250	1990s	0.0	0.0	0.0
12	200-250	2000s	0.0	0.0	0.0
12	250-300	1950-pre	0.0	0.0	0.0
12	250-300	1950s	0.99866973085	9008.73088	1.0
12	250-300	1960s	0.99849312905	7951.522023	1.0
12	250-300	1970s	0.999710552011	41446.225476	5.0
12	250-300	1980s	0.999348670869	18411.865024	2.0
12	250-300	1990s	0.0	0.0	0.0
12	250-300	2000s	0.0	0.0	0.0
12	300+	1950-pre	0.999245996224	15903.03966	2.0
12	300+	1950s	0.999618240429	31421.396603	4.0
12	300+	1960s	0.999518531928	24911.771069	3.0
12	300+	1970s	0.999829574796	70400.120667	7.0
12	300+	1980s	0.999541737319	26173.854752	3.0
12	300+	1990s	0.999738668045	45906.609463	6.0
12	300+	2000s	0.999062637848	12789.88236	1.0
12	50-100	1950-pre	0.0	0.0	0.0
12	50-100	1950s	0.0	0.0	0.0
12	50-100	1960s	0.998493128635	7951.519832	1.0
12	50-100	1970s	0.0	0.0	0.0
12	50-100	1980s	0.0	0.0	0.0
12	50-100	1990s	0.0	0.0	0.0
12	50-100	2000s	0.0	0.0	0.0
