Dependency=yearmaderange	Dependency=Size	Dependency=Foundation Type	Option=1	Option=2+	Weight	Count
1950s	3500+	Crawl	0.491210403681	0.508789596319	54012.9546748	7.66666666667
1950s	3500+	Heated Basement	0.52516104127	0.47483895873	292029.613916	32.8333333333
1950s	3500+	Pier and Beam	0.416073101168	0.583926898832	123443.477268	12.6666666667
1950s	3500+	Slab	0.391205428872	0.608794571128	118613.749848	11.6666666667
1950s	3500+	Unheated Basement	0.133144052148	0.866855947852	46311.653097	4.83333333333
1960s	0-1499	Crawl	0.925028214152	0.0749717858484	1285919.0891	131.0
1960s	0-1499	Heated Basement	0.886785449201	0.113214550799	184430.337096	24.1666666667
1960s	0-1499	Pier and Beam	0.866686514231	0.133313485769	573642.093961	55.0
1960s	0-1499	Slab	0.874525288299	0.125474711701	1466873.27494	161.0
1960s	0-1499	Unheated Basement	0.836678484269	0.163321515731	499748.886591	60.8333333333
1960s	1500-2499	Crawl	0.78012275922	0.21987724078	846176.74515	88.8333333333
1960s	1500-2499	Heated Basement	0.820428381779	0.179571618221	657621.658065	74.3333333333
1960s	1500-2499	Pier and Beam	0.6575342978	0.3424657022	522016.846835	50.3333333333
1960s	1500-2499	Slab	0.77457252556	0.22542747444	1171476.26821	130.833333333
1960s	1500-2499	Unheated Basement	0.468101960074	0.531898039926	382074.766462	46.0
1960s	2500-3499	Crawl	0.490772059222	0.509227940778	153055.272031	15.0
1960s	2500-3499	Heated Basement	0.64791778794	0.35208221206	462690.716904	51.0
1960s	2500-3499	Pier and Beam	0.539369901574	0.460630098426	239070.656529	23.0
1960s	2500-3499	Slab	0.552185834383	0.447814165617	400910.543884	43.5
1960s	2500-3499	Unheated Basement	0.363872432591	0.636127567409	76982.0754035	7.5
1960s	3500+	Crawl	0.471133871892	0.528866128108	113121.982958	11.8333333333
1960s	3500+	Heated Basement	0.40745135496	0.59254864504	312693.990965	38.8333333333
1960s	3500+	Pier and Beam	0.406242930026	0.593757069974	137490.839816	13.8333333333
1960s	3500+	Slab	0.340328277995	0.659671722005	228476.128862	21.3333333333
1960s	3500+	Unheated Basement	0.0	1.0	42359.484792	4.0
1970s	0-1499	Crawl	0.944639245519	0.0553607544806	1195868.4414	114.666666667
1970s	0-1499	Heated Basement	0.889906615469	0.110093384531	150440.68334	25.5
1970s	0-1499	Pier and Beam	0.888789077636	0.111210922364	391263.27717	47.1666666667
1970s	0-1499	Slab	0.910852222493	0.0891477775065	1508524.74777	176.166666667
1970s	0-1499	Unheated Basement	0.819830625395	0.180169374605	438135.310669	54.6666666667
1970s	1500-2499	Crawl	0.783203631585	0.216796368415	735108.335624	74.0
1970s	1500-2499	Heated Basement	0.71749567688	0.28250432312	735203.861972	100.333333333
1970s	1500-2499	Pier and Beam	0.582619535702	0.417380464298	543075.604892	63.5
1970s	1500-2499	Slab	0.725940725037	0.274059274963	2118437.65372	242.5
1970s	1500-2499	Unheated Basement	0.508912603127	0.491087396873	258346.004038	30.1666666667
1970s	2500-3499	Crawl	0.537116244321	0.462883755679	295150.14398	29.6666666667
1970s	2500-3499	Heated Basement	0.596401172281	0.403598827719	588525.88658	77.5
1970s	2500-3499	Pier and Beam	0.353257739646	0.646742260354	314139.749077	32.6666666667
1970s	2500-3499	Slab	0.435883803745	0.564116196255	553772.086512	63.6666666667
1970s	2500-3499	Unheated Basement	0.0	1.0	98994.4611683	12.1666666667
1970s	3500+	Crawl	0.408641457461	0.591358542539	119361.487214	13.1666666667
1970s	3500+	Heated Basement	0.328716744622	0.671283255378	357579.076447	47.6666666667
1970s	3500+	Pier and Beam	0.364476637383	0.635523362617	146637.85829	19.1666666667
1970s	3500+	Slab	0.249289689973	0.750710310027	224363.56968	30.6666666667
1970s	3500+	Unheated Basement	0.331062643308	0.668937356692	44485.087151	4.5
1980s	0-1499	Crawl	0.829320086961	0.170679913039	867231.722024	77.3333333333
1980s	0-1499	Heated Basement	0.852522380827	0.147477619173	96080.1553105	11.0
1980s	0-1499	Pier and Beam	0.818810976487	0.181189023513	447033.428213	42.3333333333
1980s	0-1499	Slab	0.833732343308	0.166267656692	1366714.39934	155.333333333
1980s	0-1499	Unheated Basement	0.634057614244	0.365942385756	227811.548148	25.3333333333
1980s	1500-2499	Crawl	0.708462029859	0.291537970141	835117.99659	78.0
1980s	1500-2499	Heated Basement	0.631708024299	0.368291975701	594467.090864	63.3333333333
1980s	1500-2499	Pier and Beam	0.448333603465	0.551666396535	505188.002472	47.5
1980s	1500-2499	Slab	0.674801584302	0.325198415698	2054249.64471	230.0
1980s	1500-2499	Unheated Basement	0.240138958067	0.759861041933	289808.309238	33.6666666667
1980s	2500-3499	Crawl	0.390694474064	0.609305525936	194058.323547	19.3333333333
1980s	2500-3499	Heated Basement	0.622119655407	0.377880344593	480346.849115	52.1666666667
1980s	2500-3499	Pier and Beam	0.436798192732	0.563201807268	246343.623908	26.8333333333
1980s	2500-3499	Slab	0.394091705842	0.605908294158	751648.985267	85.3333333333
1980s	2500-3499	Unheated Basement	0.0	1.0	152661.151501	20.1666666667
1980s	3500+	Crawl	0.134793382679	0.865206617321	190678.053619	18.3333333333
1980s	3500+	Heated Basement	0.266106484056	0.733893515944	317311.369047	39.8333333333
1980s	3500+	Pier and Beam	0.0982645827655	0.901735417235	141459.151159	16.3333333333
1980s	3500+	Slab	0.208103791459	0.791896208541	288508.681524	34.8333333333
1980s	3500+	Unheated Basement	0.0	1.0	72923.522741	8.0
1990s	0-1499	Crawl	0.910677518355	0.0893224816454	1022824.79764	97.5
1990s	0-1499	Heated Basement	0.652836269225	0.347163730775	51797.516075	7.0
1990s	0-1499	Pier and Beam	0.865456660702	0.134543339298	367886.034986	32.5
1990s	0-1499	Slab	0.800005138865	0.199994861135	912500.50966	97.0
1990s	0-1499	Unheated Basement	0.63729370206	0.36270629794	194996.48563	22.5
1990s	1500-2499	Crawl	0.747253676657	0.252746323343	936355.040356	82.8333333333
1990s	1500-2499	Heated Basement	0.356229733505	0.643770266495	298946.721636	37.6666666667
1990s	1500-2499	Pier and Beam	0.514972453962	0.485027546038	444760.581165	45.8333333333
1990s	1500-2499	Slab	0.725492840436	0.274507159564	2115911.70535	224.833333333
1990s	1500-2499	Unheated Basement	0.257087618962	0.742912381038	341062.440976	41.6666666667
1990s	2500-3499	Crawl	0.249335115805	0.750664884195	361946.699536	36.1666666667
1990s	2500-3499	Heated Basement	0.386469128957	0.613530871043	601347.108754	69.8333333333
1990s	2500-3499	Pier and Beam	0.241511627842	0.758488372158	326593.33236	32.6666666667
1990s	2500-3499	Slab	0.250958934619	0.749041065381	945426.028036	103.666666667
1990s	2500-3499	Unheated Basement	0.0649870158006	0.935012984199	180090.0807	19.3333333333
1990s	3500+	Crawl	0.139906002721	0.860093997279	300610.492489	31.5
1990s	3500+	Heated Basement	0.173532038372	0.826467961628	738967.680219	87.1666666667
1990s	3500+	Pier and Beam	0.272689891988	0.727310108012	251578.316317	27.0
1990s	3500+	Slab	0.182874464774	0.817125535226	697593.740783	80.5
1990s	3500+	Unheated Basement	0.0206222918746	0.979377708125	124430.121375	10.8333333333
2000s	0-1499	Crawl	0.888385490349	0.111614509651	604264.17591	61.1666666667
2000s	0-1499	Heated Basement	0.453674965766	0.546325034234	29538.225047	4.5
2000s	0-1499	Pier and Beam	0.890730894637	0.109269105363	303410.790657	28.6666666667
2000s	0-1499	Slab	0.854076582551	0.145923417449	1245606.20549	122.666666667
2000s	0-1499	Unheated Basement	0.575284070758	0.424715929242	181642.567787	21.6666666667
2000s	1500-2499	Crawl	0.6923993267	0.3076006733	800960.555447	69.1666666667
2000s	1500-2499	Heated Basement	0.648981873177	0.351018126823	295571.618069	36.5
2000s	1500-2499	Pier and Beam	0.552164646888	0.447835353112	348921.544617	38.1666666667
2000s	1500-2499	Slab	0.645773241061	0.354226758939	2393454.40412	266.166666667
2000s	1500-2499	Unheated Basement	0.602489741246	0.397510258754	296356.577715	39.1666666667
2000s	2500-3499	Crawl	0.117047411007	0.882952588993	297176.288509	30.1666666667
2000s	2500-3499	Heated Basement	0.378111015154	0.621888984846	304131.108846	38.6666666667
2000s	2500-3499	Pier and Beam	0.286078691872	0.713921308128	173926.309126	18.1666666667
2000s	2500-3499	Slab	0.36729892127	0.63270107873	1275410.82328	135.666666667
2000s	2500-3499	Unheated Basement	0.170350344	0.829649656	272856.214837	32.5
2000s	3500+	Crawl	0.148041144298	0.851958855702	256293.725588	24.5
2000s	3500+	Heated Basement	0.260783539013	0.739216460987	926677.930823	104.5
2000s	3500+	Pier and Beam	0.144497796986	0.855502203014	292060.760498	32.0
2000s	3500+	Slab	0.230207274461	0.769792725539	984950.631984	112.0
2000s	3500+	Unheated Basement	0.091128734151	0.908871265849	213342.019239	21.0
