Region	Vintage	Size	Stories	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50	ACH50
CR04	1950s	1500-2499	2+		13.17906679								
CR04	1950s	2500-3499	1	11.47612447									
CR04	1950s	2500-3499	2+	10.89585225									
CR04	1950s	3500+	1										8.201483142
CR04	1950s	3500+	2+										7.786788026
CR04	1960s	0-1499	1		13.69621978								
CR04	1960s	0-1499	2+		13.00369194								
CR04	1960s	1500-2499	1	11.55960017									
CR04	1960s	1500-2499	2+	10.97510714									
CR04	1960s	2500-3499	1	9.556951006									
CR04	1960s	2500-3499	2+	9.073718787									
CR04	1960s	3500+	1									6.829933991	
CR04	1960s	3500+	2+								6.484589104		
CR04	1970s	0-1499	1		13.43844819								
CR04	1970s	0-1499	2+		12.75895416								
CR04	1970s	1500-2499	1	11.34204113									
CR04	1970s	1500-2499	2+	10.76854863									
CR04	1970s	2500-3499	1	9.377083093									
CR04	1970s	2500-3499	2+										8.902945612
CR04	1970s	3500+	1									6.701390277	
CR04	1970s	3500+	2+								6.362545001		
CR04	1980s	0-1499	1	10.98048786									
CR04	1980s	0-1499	2+	10.42527673									
CR04	1980s	1500-2499	1	9.267524276									
CR04	1980s	1500-2499	2+										8.798926465
CR04	1980s	2500-3499	1										7.661967035
CR04	1980s	2500-3499	2+									7.274551703	
CR04	1980s	3500+	1							5.475672006			
CR04	1980s	3500+	2+							5.198803249			
CR04	1990s	0-1499	1										8.458060285
CR04	1990s	0-1499	2+										8.030391749
CR04	1990s	1500-2499	1									7.138597122	
CR04	1990s	1500-2499	2+									6.777645169	
CR04	1990s	2500-3499	1								5.901867013		
CR04	1990s	2500-3499	2+								5.603448376		
CR04	1990s	3500+	1						4.217805668				
CR04	1990s	3500+	2+						4.004538948				
CR04	2000s	0-1499	1									7.331058167	
CR04	2000s	0-1499	2+									6.960374723	
CR04	2000s	1500-2499	1								6.187408102		
CR04	2000s	1500-2499	2+								5.874551528		
CR04	2000s	2500-3499	1							5.115467248			
CR04	2000s	2500-3499	2+							4.85681168			
CR04	2000s	3500+	1						3.655800225				
CR04	2000s	3500+	2+					3.470950427					
CR04	pre-1950	0-1499	1		16.44661805								
CR04	pre-1950	0-1499	2+		15.61502064								
CR04	pre-1950	1500-2499	1		13.88093444								
CR04	pre-1950	1500-2499	2+		13.17906679								
CR04	pre-1950	2500-3499	1	11.47612447									
CR04	pre-1950	2500-3499	2+	10.89585225									
CR04	pre-1950	3500+	1										8.201483142
CR04	pre-1950	3500+	2+										7.786788026
CR05	1950s	0-1499	1		16.44661805								
CR05	1950s	0-1499	2+		15.61502064								
CR05	1950s	1500-2499	1		13.88093444								
CR05	1950s	1500-2499	2+		13.17906679								
CR05	1950s	2500-3499	1	11.47612447									
CR05	1950s	2500-3499	2+	10.89585225									
CR05	1950s	3500+	1										8.201483142
CR05	1950s	3500+	2+										7.786788026
CR05	1960s	0-1499	1		13.69621978								
CR05	1960s	0-1499	2+		13.00369194								
CR05	1960s	1500-2499	1	11.55960017									
CR05	1960s	1500-2499	2+	10.97510714									
CR05	1960s	2500-3499	1	9.556951006									
CR05	1960s	2500-3499	2+	9.073718787									
CR05	1960s	3500+	1									6.829933991	
CR05	1960s	3500+	2+								6.484589104		
CR05	1970s	0-1499	1		13.43844819								
CR05	1970s	0-1499	2+		12.75895416								
CR05	1970s	1500-2499	1	11.34204113									
CR05	1970s	1500-2499	2+	10.76854863									
CR05	1970s	2500-3499	1	9.377083093									
CR05	1970s	2500-3499	2+										8.902945612
CR05	1970s	3500+	1									6.701390277	
CR05	1970s	3500+	2+								6.362545001		
CR05	1980s	0-1499	1	10.98048786									
CR05	1980s	0-1499	2+	10.42527673									
CR05	1980s	1500-2499	1	9.267524276									
CR05	1980s	1500-2499	2+										8.798926465
CR05	1980s	2500-3499	1										7.661967035
CR05	1980s	2500-3499	2+									7.274551703	
CR05	1980s	3500+	1							5.475672006			
CR05	1980s	3500+	2+							5.198803249			
CR05	1990s	0-1499	1										8.458060285
CR05	1990s	0-1499	2+										8.030391749
CR05	1990s	1500-2499	1									7.138597122	
CR05	1990s	1500-2499	2+									6.777645169	
CR05	1990s	2500-3499	1								5.901867013		
CR05	1990s	2500-3499	2+								5.603448376		
CR05	1990s	3500+	1						4.217805668				
CR05	1990s	3500+	2+						4.004538948				
CR05	2000s	0-1499	1									7.331058167	
CR05	2000s	0-1499	2+									6.960374723	
CR05	2000s	1500-2499	1								6.187408102		
CR05	2000s	1500-2499	2+								5.874551528		
CR05	2000s	2500-3499	1							5.115467248			
CR05	2000s	2500-3499	2+							4.85681168			
CR05	2000s	3500+	1						3.655800225				
CR05	2000s	3500+	2+					3.470950427					
CR05	pre-1950	0-1499	1		16.44661805								
CR05	pre-1950	0-1499	2+		15.61502064								
CR05	pre-1950	1500-2499	1		13.88093444								
CR05	pre-1950	1500-2499	2+		13.17906679								
CR05	pre-1950	2500-3499	1	11.47612447									
CR05	pre-1950	2500-3499	2+	10.89585225									
CR05	pre-1950	3500+	1										8.201483142
CR05	pre-1950	3500+	2+										7.786788026
CR06	1950s	0-1499	1			20.37115372							
CR06	1950s	0-1499	2+			19.34111832							
CR06	1950s	1500-2499	1		17.19323987								
CR06	1950s	1500-2499	2+		16.32389069								
CR06	1950s	2500-3499	1		14.21458775								
CR06	1950s	2500-3499	2+		13.49584944								
CR06	1950s	3500+	1	10.15854282									
CR06	1950s	3500+	2+	9.644892058									
CR06	1960s	0-1499	1		16.96444811								
CR06	1960s	0-1499	2+		16.10666743								
CR06	1960s	1500-2499	1		14.31798266								
CR06	1960s	1500-2499	2+		13.59401635								
CR06	1960s	2500-3499	1	11.83745603									
CR06	1960s	2500-3499	2+	11.23891365									
CR06	1960s	3500+	1										8.459710972
CR06	1960s	3500+	2+										8.031958971
CR06	1970s	0-1499	1		16.64516638								
CR06	1970s	0-1499	2+		15.80352968								
CR06	1970s	1500-2499	1		14.04850909								
CR06	1970s	1500-2499	2+		13.33816829								
CR06	1970s	2500-3499	1	11.61466756									
CR06	1970s	2500-3499	2+	11.02739013									
CR06	1970s	3500+	1										8.300493816
CR06	1970s	3500+	2+										7.880792381
CR06	1980s	0-1499	1		13.60068102								
CR06	1980s	0-1499	2+		12.91298394								
CR06	1980s	1500-2499	1	11.47896552									
CR06	1980s	1500-2499	2+	10.89854966									
CR06	1980s	2500-3499	1	9.490285949									
CR06	1980s	2500-3499	2+	9.010424543									
CR06	1980s	3500+	1									6.782291396	
CR06	1980s	3500+	2+								6.439355482		
CR06	1990s	0-1499	1	10.47634508									
CR06	1990s	0-1499	2+	9.946625147									
CR06	1990s	1500-2499	1										8.842028119
CR06	1990s	1500-2499	2+										8.394944852
CR06	1990s	2500-3499	1									7.310186188	
CR06	1990s	2500-3499	2+									6.940558103	
CR06	1990s	3500+	1							5.224269654			
CR06	1990s	3500+	2+							4.960112663			
CR06	2000s	0-1499	1	9.080414729									
CR06	2000s	0-1499	2+										8.621277818
CR06	2000s	1500-2499	1										7.663863849
CR06	2000s	1500-2499	2+									7.276352609	
CR06	2000s	2500-3499	1								6.336133623		
CR06	2000s	2500-3499	2+								6.015756977		
CR06	2000s	3500+	1							4.528156979			
CR06	2000s	3500+	2+						4.299197833				
CR06	pre-1950	0-1499	1			20.37115372							
CR06	pre-1950	0-1499	2+			19.34111832							
CR06	pre-1950	1500-2499	1		17.19323987								
CR06	pre-1950	1500-2499	2+		16.32389069								
CR06	pre-1950	2500-3499	1		14.21458775								
CR06	pre-1950	2500-3499	2+		13.49584944								
CR06	pre-1950	3500+	1	10.15854282									
CR06	pre-1950	3500+	2+	9.644892058									
CR07	1950s	0-1499	1			20.37115372							
CR07	1950s	0-1499	2+			19.34111832							
CR07	1950s	1500-2499	1		17.19323987								
CR07	1950s	1500-2499	2+		16.32389069								
CR07	1950s	2500-3499	1		14.21458775								
CR07	1950s	2500-3499	2+		13.49584944								
CR07	1950s	3500+	1	10.15854282									
CR07	1950s	3500+	2+	9.644892058									
CR07	1960s	0-1499	1		16.96444811								
CR07	1960s	0-1499	2+		16.10666743								
CR07	1960s	1500-2499	1		14.31798266								
CR07	1960s	1500-2499	2+		13.59401635								
CR07	1960s	2500-3499	1	11.83745603									
CR07	1960s	2500-3499	2+	11.23891365									
CR07	1960s	3500+	1										8.459710972
CR07	1960s	3500+	2+										8.031958971
CR07	1970s	0-1499	1		16.64516638								
CR07	1970s	0-1499	2+		15.80352968								
CR07	1970s	1500-2499	1		14.04850909								
CR07	1970s	1500-2499	2+		13.33816829								
CR07	1970s	2500-3499	1	11.61466756									
CR07	1970s	2500-3499	2+	11.02739013									
CR07	1970s	3500+	1										8.300493816
CR07	1970s	3500+	2+										7.880792381
CR07	1980s	0-1499	1		13.60068102								
CR07	1980s	0-1499	2+		12.91298394								
CR07	1980s	1500-2499	1	11.47896552									
CR07	1980s	1500-2499	2+	10.89854966									
CR07	1980s	2500-3499	1	9.490285949									
CR07	1980s	2500-3499	2+	9.010424543									
CR07	1980s	3500+	1									6.782291396	
CR07	1980s	3500+	2+								6.439355482		
CR07	1990s	0-1499	1	10.47634508									
CR07	1990s	0-1499	2+	9.946625147									
CR07	1990s	1500-2499	1										8.842028119
CR07	1990s	1500-2499	2+										8.394944852
CR07	1990s	2500-3499	1									7.310186188	
CR07	1990s	2500-3499	2+									6.940558103	
CR07	1990s	3500+	1							5.224269654			
CR07	1990s	3500+	2+							4.960112663			
CR07	2000s	0-1499	1	9.080414729									
CR07	2000s	0-1499	2+										8.621277818
CR07	2000s	1500-2499	1										7.663863849
CR07	2000s	1500-2499	2+									7.276352609	
CR07	2000s	2500-3499	1								6.336133623		
CR07	2000s	2500-3499	2+								6.015756977		
CR07	2000s	3500+	1							4.528156979			
CR07	2000s	3500+	2+						4.299197833				
CR07	pre-1950	0-1499	1			20.37115372							
CR07	pre-1950	0-1499	2+			19.34111832							
CR07	pre-1950	1500-2499	1		17.19323987								
CR07	pre-1950	1500-2499	2+		16.32389069								
CR07	pre-1950	2500-3499	1		14.21458775								
CR07	pre-1950	2500-3499	2+		13.49584944								
CR07	pre-1950	3500+	1	10.15854282									
CR07	pre-1950	3500+	2+	9.644892058									
CR08	1950s	0-1499	1			20.37115372							
CR08	1950s	0-1499	2+			19.34111832							
CR08	1950s	1500-2499	1		17.19323987								
CR08	1950s	1500-2499	2+		16.32389069								
CR08	1950s	2500-3499	1		14.21458775								
CR08	1950s	2500-3499	2+		13.49584944								
CR08	1950s	3500+	1	10.15854282									
CR08	1950s	3500+	2+	9.644892058									
CR08	1960s	0-1499	1		16.96444811								
CR08	1960s	0-1499	2+		16.10666743								
CR08	1960s	1500-2499	1		14.31798266								
CR08	1960s	1500-2499	2+		13.59401635								
CR08	1960s	2500-3499	1	11.83745603									
CR08	1960s	2500-3499	2+	11.23891365									
CR08	1960s	3500+	1										8.459710972
CR08	1960s	3500+	2+										8.031958971
CR08	1970s	0-1499	1		16.64516638								
CR08	1970s	0-1499	2+		15.80352968								
CR08	1970s	1500-2499	1		14.04850909								
CR08	1970s	1500-2499	2+		13.33816829								
CR08	1970s	2500-3499	1	11.61466756									
CR08	1970s	2500-3499	2+	11.02739013									
CR08	1970s	3500+	1										8.300493816
CR08	1970s	3500+	2+										7.880792381
CR08	1980s	0-1499	1		13.60068102								
CR08	1980s	0-1499	2+		12.91298394								
CR08	1980s	1500-2499	1	11.47896552									
CR08	1980s	1500-2499	2+	10.89854966									
CR08	1980s	2500-3499	1	9.490285949									
CR08	1980s	2500-3499	2+	9.010424543									
CR08	1980s	3500+	1									6.782291396	
CR08	1980s	3500+	2+								6.439355482		
CR08	1990s	0-1499	1	10.47634508									
CR08	1990s	0-1499	2+	9.946625147									
CR08	1990s	1500-2499	1										8.842028119
CR08	1990s	1500-2499	2+										8.394944852
CR08	1990s	2500-3499	1									7.310186188	
CR08	1990s	2500-3499	2+									6.940558103	
CR08	1990s	3500+	1							5.224269654			
CR08	1990s	3500+	2+							4.960112663			
CR08	2000s	0-1499	1	9.080414729									
CR08	2000s	0-1499	2+										8.621277818
CR08	2000s	1500-2499	1										7.663863849
CR08	2000s	1500-2499	2+									7.276352609	
CR08	2000s	2500-3499	1								6.336133623		
CR08	2000s	2500-3499	2+								6.015756977		
CR08	2000s	3500+	1							4.528156979			
CR08	2000s	3500+	2+						4.299197833				
CR08	pre-1950	0-1499	1			20.37115372							
CR08	pre-1950	0-1499	2+			19.34111832							
CR08	pre-1950	1500-2499	1		17.19323987								
CR08	pre-1950	1500-2499	2+		16.32389069								
CR08	pre-1950	2500-3499	1		14.21458775								
CR08	pre-1950	2500-3499	2+		13.49584944								
CR08	pre-1950	3500+	1	10.15854282									
CR08	pre-1950	3500+	2+	9.644892058									
CR09	1950s	0-1499	1				23.59700664						
CR09	1950s	0-1499	2+			22.40386105							
CR09	1950s	1500-2499	1			19.91585754							
CR09	1950s	1500-2499	2+			18.90884348							
CR09	1950s	2500-3499	1		16.46552406								
CR09	1950s	2500-3499	2+		15.63297069								
CR09	1950s	3500+	1	11.76718834									
CR09	1950s	3500+	2+	11.17219894									
CR09	1960s	0-1499	1			19.6508357							
CR09	1960s	0-1499	2+			18.65722205							
CR09	1960s	1500-2499	1		16.58529195								
CR09	1960s	1500-2499	2+		15.74668271								
CR09	1960s	2500-3499	1		13.7119641								
CR09	1960s	2500-3499	2+		13.01864017								
CR09	1960s	3500+	1	9.79933973									
CR09	1960s	3500+	2+	9.303851505									
CR09	1970s	0-1499	1			19.28099444							
CR09	1970s	0-1499	2+			18.30608123							
CR09	1970s	1500-2499	1		16.27314618								
CR09	1970s	1500-2499	2+		15.4503201								
CR09	1970s	2500-3499	1		13.45389619								
CR09	1970s	2500-3499	2+		12.77362106								
CR09	1970s	3500+	1	9.614909907									
CR09	1970s	3500+	2+	9.128747086									
CR09	1980s	0-1499	1		15.75440276								
CR09	1980s	0-1499	2+		14.95780613								
CR09	1980s	1500-2499	1		13.2967052								
CR09	1980s	1500-2499	2+		12.62437819								
CR09	1980s	2500-3499	1	10.99311034									
CR09	1980s	2500-3499	2+	10.43726098									
CR09	1980s	3500+	1										7.856294117
CR09	1980s	3500+	2+									7.459052942	
CR09	1990s	0-1499	1	12.13531585									
CR09	1990s	0-1499	2+	11.52171266									
CR09	1990s	1500-2499	1	10.24219831									
CR09	1990s	1500-2499	2+	9.724317639									
CR09	1990s	2500-3499	1										8.467783142
CR09	1990s	2500-3499	2+										8.039622985
CR09	1990s	3500+	1								6.051553457		
CR09	1990s	3500+	2+								5.74556616		
CR09	2000s	0-1499	1	10.51833439									
CR09	2000s	0-1499	2+	9.986491327									
CR09	2000s	1500-2499	1										8.877467062
CR09	2000s	1500-2499	2+										8.428591881
CR09	2000s	2500-3499	1									7.339485493	
CR09	2000s	2500-3499	2+									6.968375934	
CR09	2000s	3500+	1							5.245208582			
CR09	2000s	3500+	2+							4.979992847			
CR09	pre-1950	0-1499	1				23.59700664						
CR09	pre-1950	0-1499	2+			22.40386105							
CR09	pre-1950	1500-2499	1			19.91585754							
CR09	pre-1950	1500-2499	2+			18.90884348							
CR09	pre-1950	2500-3499	1		16.46552406								
CR09	pre-1950	2500-3499	2+		15.63297069								
CR09	pre-1950	3500+	1	11.76718834									
CR09	pre-1950	3500+	2+	11.17219894									
CR10	1950s	0-1499	1				23.59700664						
CR10	1950s	0-1499	2+			22.40386105							
CR10	1950s	1500-2499	1			19.91585754							
CR10	1950s	1500-2499	2+			18.90884348							
CR10	1950s	2500-3499	1		16.46552406								
CR10	1950s	2500-3499	2+		15.63297069								
CR10	1950s	3500+	1	11.76718834									
CR10	1950s	3500+	2+	11.17219894									
CR10	1960s	0-1499	1			19.6508357							
CR10	1960s	0-1499	2+			18.65722205							
CR10	1960s	1500-2499	1		16.58529195								
CR10	1960s	1500-2499	2+		15.74668271								
CR10	1960s	2500-3499	1		13.7119641								
CR10	1960s	2500-3499	2+		13.01864017								
CR10	1960s	3500+	1	9.79933973									
CR10	1960s	3500+	2+	9.303851505									
CR10	1970s	0-1499	1			19.28099444							
CR10	1970s	0-1499	2+			18.30608123							
CR10	1970s	1500-2499	1		16.27314618								
CR10	1970s	1500-2499	2+		15.4503201								
CR10	1970s	2500-3499	1		13.45389619								
CR10	1970s	2500-3499	2+		12.77362106								
CR10	1970s	3500+	1	9.614909907									
CR10	1970s	3500+	2+	9.128747086									
CR10	1980s	0-1499	1		15.75440276								
CR10	1980s	0-1499	2+		14.95780613								
CR10	1980s	1500-2499	1		13.2967052								
CR10	1980s	1500-2499	2+		12.62437819								
CR10	1980s	2500-3499	1	10.99311034									
CR10	1980s	2500-3499	2+	10.43726098									
CR10	1980s	3500+	1										7.856294117
CR10	1980s	3500+	2+									7.459052942	
CR10	1990s	0-1499	1	12.13531585									
CR10	1990s	0-1499	2+	11.52171266									
CR10	1990s	1500-2499	1	10.24219831									
CR10	1990s	1500-2499	2+	9.724317639									
CR10	1990s	2500-3499	1										8.467783142
CR10	1990s	2500-3499	2+										8.039622985
CR10	1990s	3500+	1								6.051553457		
CR10	1990s	3500+	2+								5.74556616		
CR10	2000s	0-1499	1	10.51833439									
CR10	2000s	0-1499	2+	9.986491327									
CR10	2000s	1500-2499	1										8.877467062
CR10	2000s	1500-2499	2+										8.428591881
CR10	2000s	2500-3499	1									7.339485493	
CR10	2000s	2500-3499	2+									6.968375934	
CR10	2000s	3500+	1							5.245208582			
CR10	2000s	3500+	2+							4.979992847			
CR10	pre-1950	0-1499	1				23.59700664						
CR10	pre-1950	0-1499	2+			22.40386105							
CR10	pre-1950	1500-2499	1			19.91585754							
CR10	pre-1950	1500-2499	2+			18.90884348							
CR10	pre-1950	2500-3499	1		16.46552406								
CR10	pre-1950	2500-3499	2+		15.63297069								
CR10	pre-1950	3500+	1	11.76718834									
CR10	pre-1950	3500+	2+	11.17219894									
CR11	1950s	0-1499	1			18.9370414							
CR11	1950s	0-1499	2+			17.97951964							
CR11	1950s	1500-2499	1		15.98285005								
CR11	1950s	1500-2499	2+		15.17470234								
CR11	1950s	2500-3499	1		13.21389257								
CR11	1950s	2500-3499	2+		12.54575285								
CR11	1950s	3500+	1	9.44338984									
CR11	1950s	3500+	2+										8.965899662
CR11	1960s	0-1499	1		15.77016504								
CR11	1960s	0-1499	2+		14.97277141								
CR11	1960s	1500-2499	1		13.31000856								
CR11	1960s	1500-2499	2+		12.63700888								
CR11	1960s	2500-3499	1	11.00410895									
CR11	1960s	2500-3499	2+	10.44770346									
CR11	1960s	3500+	1										7.864154341
CR11	1960s	3500+	2+									7.466515726	
CR11	1970s	0-1499	1		15.47336048								
CR11	1970s	0-1499	2+		14.69097431								
CR11	1970s	1500-2499	1		13.05950571								
CR11	1970s	1500-2499	2+	12.39917231									
CR11	1970s	2500-3499	1	10.7970046									
CR11	1970s	2500-3499	2+	10.25107102									
CR11	1970s	3500+	1										7.716145941
CR11	1970s	3500+	2+									7.325991138	
CR11	1980s	0-1499	1		12.64320437								
CR11	1980s	0-1499	2+	12.00392059									
CR11	1980s	1500-2499	1	10.67085588									
CR11	1980s	1500-2499	2+	10.13130081									
CR11	1980s	2500-3499	1										8.822177696
CR11	1980s	2500-3499	2+										8.376098134
CR11	1980s	3500+	1								6.304823711		
CR11	1980s	3500+	2+								5.986030201		
CR11	1990s	0-1499	1	9.738819086									
CR11	1990s	0-1499	2+	9.246390993									
CR11	1990s	1500-2499	1										8.219556679
CR11	1990s	1500-2499	2+										7.803947703
CR11	1990s	2500-3499	1									6.795555148	
CR11	1990s	2500-3499	2+								6.451948574		
CR11	1990s	3500+	1							4.856485406			
CR11	1990s	3500+	2+							4.610924848			
CR11	2000s	0-1499	1										8.441161069
CR11	2000s	0-1499	2+										8.014347016
CR11	2000s	1500-2499	1									7.124334196	
CR11	2000s	1500-2499	2+									6.764103425	
CR11	2000s	2500-3499	1								5.890075075		
