Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
80 gallon heat pump water heater,5111.995416,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric dryer with CEF of 2.7,1304.707294,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric range with cooktop efficiency of 0.74 and oven efficiency of 0.11,1161.81714,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
High efficiency heat pump ducted with SEER 24 and 14 HSPF ratings,20071.92683,Fixed,207.2174317,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
High efficiency ductless heat pump with SEER 29.3 and 14 HSFP ratings,3766.718002,Fixed,490.3936668,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ventless heat pump dryer,2625.439652,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric induction range with cooktop efficiency of 0.84 and oven efficiency of 0.11,1997.791312,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electricity,18.716,c/kWh,12.5,$/month,Local cost,Local cost
Natural gas,0.967,$/therm,6.45,$/month,Local cost,Local cost
Propane,2.922,$/gal,0,$/month,Local cost,NA
Fuel oil,3.807,$/gal,0,$/month,Local cost,NA
Local multiplier,1.01,Local multiplier to use with default costs,NA,NA,NA,NA
Inflation multiplier,1.3222,Inflation multiplier to use with default costs,NA,NA,NA,NA
