Option,cost 1,Multiplier 1,cost 2,Multiplier 2,Source for cost 1,Source for cost 2
Ducted and dual fuel backup gas furnace with 60% AFUE,6767.261695,Fixed,268.7671639,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Shared air source heat pump with fossil fuel back up,6767.261695,Fixed,268.7671639,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
50 gallon water heater,2096,Fixed,NA,NA,Local cost,NA
66 gallon water heater,5348.669216,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon water heater,6630.409896,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
50 gallon heat pump water heater,3761,Fixed,NA,NA,Local cost,NA
66 gallon heat pump water heater,5348.669216,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
80 gallon heat pump water heater,4651,Fixed,NA,NA,Local cost,NA
Electric dryer with CEF of 2.7,1692.244114,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electric range with cooktop efficiency of 0.74 and oven efficiency of 0.11,1700,Fixed,NA,NA,Local cost,NA
High efficiency heat pump ducted with SEER 24 and 14 HSPF ratings,26033.88529,Fixed,268.7671639,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
High efficiency ductless heat pump with SEER 29.3 and 14 HSFP ratings,4885.545131,Fixed,636.055152,"Size, Heating System Primary (kBtu/h)",EUSS default costs with local/inflation multipliers,EUSS default costs with local/inflation multipliers
Ventless heat pump dryer,2507,Fixed,NA,NA,Local cost,NA
Electric induction range with cooktop efficiency of 0.84 and oven efficiency of 0.11,2591.194672,Fixed,NA,NA,EUSS default costs with local/inflation multipliers,NA
Electricity,14.868,c/kWh,0,$/month,Local cost,NA
Natural gas,2.13543,$/therm,0,$/month,Local cost,NA
Propane,2.5,$/gal,0,$/month,Local cost,NA
Fuel oil,2.43851275,$/gal,0,$/month,Local cost,NA
Local Multiplier,1.31,Local Multiplier,NA,NA,NA,NA
Inflation Multiplier,1.3222,Inflation Multiplier,NA,NA,NA,NA
