Dependency=Income	Dependency=Occupants	Option=0-100%	Option=100-150%	Option=150-200%	Option=200-300%	Option=300-400%	Option=400%+	source_count	source_weight	sampling_probability
180000-199999	3	0	0	0	0	0	1	27024	511626	0.00426997
180000-199999	4	0	0	0	0	0	1	27013	530661	0.0037597
180000-199999	5	0	0	0	0	0	1	11098	220037	0.00129313
180000-199999	6	0	0	0	0	0	1	3994	82095	0.000534144
180000-199999	7	0	0	0	0	0	1	1550	31944	0.000243337
180000-199999	8	0	0	0	0	0	1	666	13398	0.000139264
180000-199999	9	0	0	0	0	0.537622	0.462378	331	5861	6.30806e-05
20000-24999	1	0	0	0.998051	0.00194917	0	0	140696	2.68986e+06	0.0168518
20000-24999	10+	1	0	0	0	0	0	165	3488	7.58339e-05
20000-24999	2	0	1	0	0	0	0	79154	1.50842e+06	0.0126332
20000-24999	3	0.283661	0.716339	0	0	0	0	25531	579085	0.00684309
20000-24999	4	1	0	0	0	0	0	16124	380300	0.00581184
20000-24999	5	1	0	0	0	0	0	8091	198146	0.00348317
20000-24999	6	1	0	0	0	0	0	3152	77575	0.00154699
20000-24999	7	1	0	0	0	0	0	1136	28318	0.000469289
20000-24999	8	1	0	0	0	0	0	447	10907	0.000219848
20000-24999	9	1	0	0	0	0	0	149	3339	7.5811e-05
200000+	1	0	0	0	0	0	1	38621	721705	0.0129292
200000+	10+	0	0	0	0.570731	0.226269	0.203	1609	28665	0.000446096
200000+	2	0	0	0	0	0	1	201787	3.47071e+06	0.0389813
200000+	3	0	0	0	0	0	1	102693	1.88619e+06	0.0202639
200000+	4	0	0	0	0	0	1	109063	2.05883e+06	0.0184061
200000+	5	0	0	0	0	0	1	44777	854121	0.00631875
200000+	6	0	0	0	0	0	1	15769	304304	0.00258248
200000+	7	0	0	0	0	0	1	5676	108221	0.0011524
200000+	8	0	0	0	0	0	1	2492	47506	0.000656498
200000+	9	0	0	0	0	0	1	1226	22628	0.000302271
25000-29999	1	0	0	0	1	0	0	118893	2.27864e+06	0.01501
25000-29999	10+	1	0	0	0	0	0	159	3048	7.22306e-05
25000-29999	2	0	0.0827703	0.91723	0	0	0	86561	1.59664e+06	0.0113294
25000-29999	3	0	1	0	0	0	0	27231	606696	0.00614309
25000-29999	4	0.127701	0.872299	0	0	0	0	17478	405963	0.00519948
25000-29999	5	1	0	0	0	0	0	8932	216853	0.00311804
25000-29999	6	1	0	0	0	0	0	3595	85230	0.00139515
25000-29999	7	1	0	0	0	0	0	1257	29671	0.000428918
25000-29999	8	1	0	0	0	0	0	473	11451	0.000199644
25000-29999	9	1	0	0	0	0	0	174	3732	7.1167e-05
30000-34999	1	0	0	0	1	0	0	112052	2.17658e+06	0.0151601
30000-34999	10+	1	0	0	0	0	0	177	3546	6.94599e-05
30000-34999	2	0	0	0.782717	0.217283	0	0	96174	1.76409e+06	0.0114615
30000-34999	3	0	0.419434	0.580566	0	0	0	30491	668098	0.00616712
30000-34999	4	0	1	0	0	0	0	20023	462766	0.00520912
30000-34999	5	0.0401035	0.959896	0	0	0	0	10391	249155	0.00311586
30000-34999	6	0.947751	0.0522486	0	0	0	0	4210	102663	0.00138815
30000-34999	7	1	0	0	0	0	0	1431	32600	0.000426042
30000-34999	8	1	0	0	0	0	0	548	13241	0.000201424
30000-34999	9	1	0	0	0	0	0	201	4264	7.00037e-05
35000-39999	1	0	0	0	0.518247	0.481753	0	94384	1.83055e+06	0.013796
35000-39999	10+	1	0	0	0	0	0	194	3969	6.56065e-05
35000-39999	2	0	0	0	1	0	0	97074	1.75399e+06	0.0103731
35000-39999	3	0	0	1	0	0	0	30360	646884	0.00552514
35000-39999	4	0	0.730906	0.269094	0	0	0	19631	445510	0.00462017
35000-39999	5	0	1	0	0	0	0	10223	236881	0.0027637
35000-39999	6	0	1	0	0	0	0	4140	97087	0.00123269
35000-39999	7	0.802056	0.197944	0	0	0	0	1507	34631	0.000382894
35000-39999	8	1	0	0	0	0	0	545	12562	0.000183794
35000-39999	9	1	0	0	0	0	0	227	4870	6.43961e-05
40000-44999	1	0	0	0	0	1	0	88490	1.73774e+06	0.0122286
40000-44999	10+	1	0	0	0	0	0	173	3552	6.60547e-05
40000-44999	2	0	0	0	1	0	0	100049	1.80029e+06	0.0115664
40000-44999	3	0	0	0.549518	0.450482	0	0	31477	667398	0.00629162
40000-44999	4	0	0	1	0	0	0	21206	471656	0.00492496
40000-44999	5	0	1	0	0	0	0	11096	258053	0.00277671
40000-44999	6	0	1	0	0	0	0	4616	106475	0.00131312
40000-44999	7	0	1	0	0	0	0	1692	37439	0.000505702
40000-44999	8	0.763225	0.236775	0	0	0	0	623	13308	0.000202984
40000-44999	9	1	0	0	0	0	0	244	5089	8.35947e-05
45000-49999	1	0	0	0	0	0.997978	0.00202225	71588	1.39152e+06	0.0109109
45000-49999	10+	1	0	0	0	0	0	212	4258	6.14556e-05
45000-49999	2	0	0	0	1	0	0	97989	1.75032e+06	0.0104785
45000-49999	3	0	0	0	1	0	0	31257	652120	0.00569582
45000-49999	4	0	0	1	0	0	0	21137	464064	0.00445614
45000-49999	5	0	0.0451831	0.954817	0	0	0	10728	241506	0.00249721
45000-49999	6	0	1	0	0	0	0	4349	99375	0.00119384
45000-49999	7	0	1	0	0	0	0	1614	36223	0.000459353
45000-49999	8	0	1	0	0	0	0	665	15118	0.000186694
45000-49999	9	0.534006	0.465994	0	0	0	0	246	5352	7.49044e-05
50000-59999	1	0	0	0	0	0	1	128694	2.52372e+06	0.0201209
50000-59999	10+	1	0	0	0	0	0	486	9536	0.000112461
50000-59999	2	0	0	0	0.0829544	0.917046	0	192302	3.41121e+06	0.0194926
50000-59999	3	0	0	0	1	0	0	64080	1.31849e+06	0.0104786
50000-59999	4	0	0	0.136796	0.863204	0	0	44146	947636	0.00820956
50000-59999	5	0	0	1	0	0	0	22099	485323	0.00456937
50000-59999	6	0	0.205251	0.794749	0	0	0	8967	198304	0.00218156
50000-59999	7	0	0.8708	0.1292	0	0	0	3334	73785	0.000836305
50000-59999	8	0	1	0	0	0	0	1343	30138	0.0003426
50000-59999	9	0	1	0	0	0	0	498	10799	0.000136613
60000-69999	1	0	0	0	0	0	1	94438	1.85736e+06	0.0164978
60000-69999	10+	1	0	0	0	0	0	474	9982	0.000144942
60000-69999	2	0	0	0	0	0.784661	0.215339	177984	3.15556e+06	0.0190208
60000-69999	3	0	0	0	0.409151	0.590849	0	63681	1.27814e+06	0.00968341
60000-69999	4	0	0	0	1	0	0	44965	948208	0.00761141
60000-69999	5	0	0	0.0337237	0.966276	0	0	22172	476609	0.00449858
60000-69999	6	0	0	0.926903	0.0730968	0	0	8827	195891	0.00214038
60000-69999	7	0	0	1	0	0	0	3316	73630	0.000877995
60000-69999	8	0	0.526733	0.473267	0	0	0	1272	27401	0.000420647
60000-69999	9	0	1	0	0	0	0	509	10223	0.000119162
70000-79999	1	0	0	0	0	0	1	69025	1.36313e+06	0.0143613
70000-79999	10+	1	0	0	0	0	0	457	9654	0.00013135
70000-79999	2	0	0	0	0	0	1	159641	2.82991e+06	0.016834
70000-79999	3	0	0	0	0	1	0	61464	1.21718e+06	0.008537
70000-79999	4	0	0	0	0.721637	0.278363	0	44494	924686	0.00669891
70000-79999	5	0	0	0	1	0	0	21364	457561	0.00397075
70000-79999	6	0	0	0	1	0	0	8541	185707	0.00189656
70000-79999	7	0	0	0.814104	0.185896	0	0	3049	67118	0.000779843
70000-79999	8	0	0	1	0	0	0	1261	27332	0.000375736
70000-79999	9	0	0.202763	0.797237	0	0	0	513	10569	0.00010795
80000-99999	1	0	0	0	0	0	1	89650	1.7679e+06	0.0208772
80000-99999	10+	0.842675	0.157325	0	0	0	0	898	17645	0.000308977
80000-99999	2	0	0	0	0	0	1	260692	4.62972e+06	0.028153
80000-99999	3	0	0	0	0	0.280225	0.719775	111002	2.17935e+06	0.0151677
80000-99999	4	0	0	0	0	1	0	86204	1.74118e+06	0.0111299
80000-99999	5	0	0	0	0.550512	0.449488	0	39464	826681	0.00588743
80000-99999	6	0	0	0	1	0	0	15017	323533	0.00287567
80000-99999	7	0	0	0	1	0	0	5626	119780	0.00131322
80000-99999	8	0	0	0.350367	0.649633	0	0	2351	50176	0.000563112
80000-99999	9	0	0	0.813782	0.186218	0	0	980	20519	0.000306946
<10000	1	1	0	0	0	0	0	220774	4.49709e+06	0.0345906
<10000	10+	1	0	0	0	0	0	122	2483	8.76008e-06
<10000	2	1	0	0	0	0	0	71463	1.47012e+06	0.0148357
<10000	3	1	0	0	0	0	0	28047	657092	0.00713306
<10000	4	1	0	0	0	0	0	16807	399866	0.00525318
<10000	5	1	0	0	0	0	0	7581	181820	0.00258094
<10000	6	1	0	0	0	0	0	2782	68557	0.00108146
<10000	7	1	0	0	0	0	0	998	24917	0.000314921
<10000	8	1	0	0	0	0	0	367	9120	8.09356e-05
<10000	9	1	0	0	0	0	0	153	3447	4.548e-05
# Created by: sources\pums\2019_5yrs\tsv_maker.py
# Source: % FPL calculated using annual household income in 2019USD (continuous, not binned) from 2019-5yrs PUMS data and 2019 Federal Poverty Lines for contiguous US, where the FPL threshold for 1-occupant household is $12490 and $4420 for every additional person in the household.
# Copied: This characteristic was copied from project_national.
