Dependency=PUMA	Option=2 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=10 to 19 Unit	Option=20 to 49 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
CA, 03759	0.036939	0.095313	0.096602	0.079477	0.13442	0.114276	0.00483	0.069653	0.368489	1699	36438	0
CA, 03760	0.04779	0.085325	0.093865	0.04842	0.053967	0.055664	0.007035	0.109386	0.498548	2772	57146	0
CA, 03761	0.011655	0.051487	0.032681	0.043034	0.099708	0.141695	0.018721	0.077572	0.523449	2413	46847	0
CA, 03762	0.008971	0.025811	0.033006	0.021004	0.029944	0.036649	0.104283	0.078105	0.662227	1747	32661	0
CA, 03763	0.038272	0.061019	0.079004	0.067812	0.057093	0.09374	0.032405	0.052918	0.517737	2308	44314	0
CA, 03764	0.01193	0.021727	0.021184	0.028044	0.02223	0.048565	0.012835	0.043636	0.789849	2943	49707	0
CA, 03765	0.043606	0.074764	0.071828	0.065177	0.035505	0.074745	0.005258	0.043606	0.585512	2825	53823	0
CA, 03766	0.047832	0.106862	0.136801	0.138906	0.124463	0.155922	0.004181	0.042423	0.24261	1632	34203	0
CA, 03767	0.032485	0.118242	0.09459	0.086987	0.060554	0.0558	0.01733	0.095079	0.438932	3259	59319	0.043005
CA, 03768	0.010287	0.021631	0.030838	0.037579	0.064565	0.065035	0.016206	0.066844	0.687014	2207	42577	0
CA, 03769	0.057888	0.126776	0.183206	0.229034	0.096931	0.060751	0.00387	0.047604	0.193941	1760	37728	0
# Created by: sources\pums\tsv_maker.py
# Source: Constructed using 5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.
# Manually downselected to LA-city PUMAs for LA project
