Dependency=HVAC Cooling Type	Dependency=HVAC Has Shared System	Dependency=Vintage	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=Heat Pump	Option=None	Option=Room AC, EER 8.5	Option=Room AC, EER 9.8	Option=Room AC, EER 10.7	Option=Room AC, EER 12.0	Option=Shared Cooling	source_count	source_weight	sampling_probability
None	None	1980s	0	0	0	0	0	1	0	0	0	0	0	258	2.53867e+06	0.0231312
Room AC	Cooling Only	1980s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	1980s	0	0	0	0	0	0	0.080526	0.289587	0.440141	0.189746	0	45	366406	0.00189765
Room AC	Heating and Cooling	1980s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	1980s	0	0	0	0	0	0	0.092325	0.27044	0.455514	0.181721	0	218	2.29479e+06	0.00828995
Central AC	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	1	7	80312.1	0.00056484
Central AC	Heating Only	1990s	0	0.237083	0.571718	0.191199	0	0	0	0	0	0	0	9	104987	0.000568196
Central AC	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	1	13	129768	0.00124823
Central AC	None	1990s	0.004238	0.27486	0.54189	0.179013	0	0	0	0	0	0	0	1083	1.04537e+07	0.0315413
Heat Pump	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	1	2	24088.5	2.10983e-05
Heat Pump	Heating Only	1990s	0	0	0	0	1	0	0	0	0	0	0	1	7706.01	8.33166e-05
Heat Pump	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	1	0	0	0.000173403
Heat Pump	None	1990s	0	0	0	0	1	0	0	0	0	0	0	232	2.43067e+06	0.00344763
None	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	Heating Only	1990s	0	0	0	0	0	1	0	0	0	0	0	6	104378	0.00336849
None	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
None	None	1990s	0	0	0	0	0	1	0	0	0	0	0	159	1.45928e+06	0.0123378
Room AC	Cooling Only	1990s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	Heating Only	1990s	0	0	0	0	0	0	0.024758	0.31465	0.404234	0.256358	0	17	164420	0.000725318
Room AC	Heating and Cooling	1990s	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Room AC	None	1990s	0	0	0	0	0	0	0.033126	0.308076	0.465467	0.193331	0	127	1.29795e+06	0.00399493
Central AC	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	1	5	21393.4	0.000823552
Central AC	Heating Only	2000s	0	0	0.622115	0.377885	0	0	0	0	0	0	0	5	19762.2	0.000845301
Central AC	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	1	10	48711.5	0.000993078
Central AC	None	2000s	0	0.017904	0.620645	0.361452	0	0	0	0	0	0	0	1175	5.44249e+06	0.0417511
Heat Pump	Cooling Only	2000s	0	0	0	0	0	0	0	0	0	0	1	5	31381.4	0.00016413
Heat Pump	Heating Only	2000s	0	0	0	0	1	0	0	0	0	0	0	4	27981.8	0.000161235
Heat Pump	Heating and Cooling	2000s	0	0	0	0	0	0	0	0	0	0	1	1	2691.21	0.00018203
