Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Option=78%	Option=79%	Option=82%	Option=84%	Option=85%	Option=86%	Option=89%	Option=91%	Option=93%	Option=94%	Option=95%	Option=96%	Option=97%	Option=99%	Option=100%	Option=101%	Option=102%	Option=103%	Option=104%	Option=105%	Option=106%	Option=108%	Option=110%	Option=113%	Option=119%	Option=121%	Option=123%	Option=134%	Option=137%	Option=140%	Option=144%	Option=166%	source_count	source_weight	sampling_probability
Pacific	Single-Family Detached	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	1.04146e+07	0.383858
South Atlantic	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	92	1.99612e+06	0
South Atlantic	Multi-Family with 2 - 4 Units	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1.22394e+06	0
South Atlantic	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	128	4.13207e+06	0
South Atlantic	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	1.77076e+06	0
South Atlantic	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	670	1.4352e+07	0
West North Central	Mobile Home	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	350708	0
West North Central	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	473461	0
West North Central	Multi-Family with 5+ Units	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	1.18925e+06	0
West North Central	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	40	409583	0
West North Central	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	5.85434e+06	0
West South Central	Mobile Home	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	38	1.08611e+06	0
West South Central	Multi-Family with 2 - 4 Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	767115	0
West South Central	Multi-Family with 5+ Units	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64	2.25952e+06	0
West South Central	Single-Family Attached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	343496	0
West South Central	Single-Family Detached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	426	9.3137e+06	0
# Created by: sources\recs\2015\tsv_maker.py
# Source: Constructed using U.S. EIA 2015 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Multipliers are based on ratio of the ResStock MELS regression equations and the MELS modeled in RECS.
