Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Floor Area	Dependency=Vintage	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50	sampling_probability
3B	2500-2999	2000s	0.000329459	0.0204351	0.0906605	0.152973	0.168761	0.150614	0.119758	0.0891195	0.108417	0.0832109	0.0129006	0.00223859	0.000445363	0.000125656	1.07741e-05	0.00164731
3B	3000-3999	2000s	0.000575493	0.0341292	0.127442	0.184103	0.179734	0.145507	0.106755	0.0741797	0.0831704	0.0558701	0.00721061	0.00108233	0.000190522	4.73889e-05	3.84444e-06	0.00258113
3B	4000+	2000s	0.0852845	0.446028	0.293397	0.114355	0.0395766	0.0136009	0.00481368	0.00177541	0.000959433	0.000203567	4.85556e-06	1.77778e-07	0	0	5.55556e-07	0.00194503
3B	500-749	2000s	1.31111e-05	0.00218576	0.0197512	0.0564783	0.0929921	0.114218	0.118495	0.110864	0.178526	0.218979	0.0624853	0.0174234	0.00511995	0.00214999	0.000317407	0.0128572
3B	750-999	2000s	2.28185e-05	0.00302519	0.0246327	0.0658701	0.10327	0.12201	0.122542	0.111488	0.173404	0.200629	0.0532713	0.0140659	0.00395704	0.00159039	0.000220263	0.0112365
3B	0-499	2010s	6.78889e-06	0.00146255	0.0149347	0.046299	0.0809215	0.104215	0.112466	0.108849	0.182801	0.240585	0.0747807	0.0222512	0.00688905	0.0030508	0.000487207	2.8524e-05
3B	1000-1499	2010s	4.22556e-05	0.00450017	0.0323209	0.0793424	0.116751	0.131163	0.126312	0.110824	0.1648	0.176797	0.0426907	0.0104842	0.00278233	0.00105436	0.000134067	0.00538541
3B	1500-1999	2010s	9.57222e-05	0.00781777	0.0470983	0.101899	0.136354	0.142033	0.128434	0.10674	0.148497	0.142479	0.0298012	0.00655111	0.00158866	0.000549556	6.13778e-05	0.000819034
3B	2000-2499	2010s	0.000187648	0.0129477	0.0665529	0.127075	0.154401	0.148865	0.126208	0.0992295	0.129012	0.110561	0.0199147	0.00389409	0.000856956	0.000268363	2.61185e-05	0.00112906
3B	2500-2999	2010s	0.000329459	0.0204351	0.0906605	0.152973	0.168761	0.150614	0.119758	0.0891195	0.108417	0.0832109	0.0129006	0.00223859	0.000445363	0.000125656	1.07741e-05	0.000171176
3B	3000-3999	2010s	0.000575493	0.0341292	0.127442	0.184103	0.179734	0.145507	0.106755	0.0741797	0.0831704	0.0558701	0.00721061	0.00108233	0.000190522	4.73889e-05	3.84444e-06	0.000337038
3B	4000+	2010s	0.0852845	0.446028	0.293397	0.114355	0.0395766	0.0136009	0.00481368	0.00177541	0.000959433	0.000203567	4.85556e-06	1.77778e-07	0	0	5.55556e-07	0.00130197
3B	500-749	2010s	1.31111e-05	0.00218576	0.0197512	0.0564783	0.0929921	0.114218	0.118495	0.110864	0.178526	0.218979	0.0624853	0.0174234	0.00511995	0.00214999	0.000317407	0.00525794
3B	750-999	2010s	2.28185e-05	0.00302519	0.0246327	0.0658701	0.10327	0.12201	0.122542	0.111488	0.173404	0.200629	0.0532713	0.0140659	0.00395704	0.00159039	0.000220263	0.0034509
3B	0-499	<1940	0	1.41852e-06	6.42778e-05	0.00057613	0.0023233	0.00593815	0.0114308	0.0182368	0.0580687	0.228399	0.233642	0.171853	0.109908	0.104746	0.0548123	0.0227725
3B	1000-1499	<1940	0	6.52963e-06	0.000230381	0.00170631	0.0058669	0.0131149	0.0225205	0.0325433	0.0910147	0.285626	0.232581	0.143577	0.0797165	0.0650652	0.0264306	0.0468927
3B	1500-1999	<1940	0	1.44222e-05	0.000447711	0.00297718	0.00935619	0.0193992	0.0312507	0.0427362	0.111287	0.308854	0.221433	0.124007	0.0636435	0.0476958	0.0168969	0.0311959
3B	2000-2499	<1940	0	3.12889e-05	0.000849459	0.0050592	0.0145125	0.0278845	0.0421088	0.0544569	0.131961	0.323637	0.203553	0.103147	0.048841	0.0335728	0.0103843	0.0116966
3B	2500-2999	<1940	2.22222e-08	6.61963e-05	0.00155173	0.00826151	0.0216469	0.0385821	0.0546612	0.0668894	0.15099	0.327965	0.180936	0.0830091	0.0362939	0.0229263	0.00622109	0.00675645
3B	3000-3999	<1940	1.11111e-07	0.00016493	0.00316677	0.0145682	0.0340061	0.0551256	0.0720885	0.0823222	0.170192	0.318394	0.148974	0.060353	0.023892	0.0136022	0.00315052	0.00293554
3B	4000+	<1940	0.000972911	0.0550995	0.171934	0.211257	0.181473	0.132652	0.0894798	0.0579039	0.0597335	0.0351293	0.00377641	0.0004924	7.71e-05	1.70444e-05	1.64444e-06	0.00293366
3B	500-749	<1940	0	2.39259e-06	0.000100263	0.000845289	0.00323237	0.00789514	0.0146168	0.0225418	0.0686356	0.249646	0.236162	0.163558	0.0996388	0.0900068	0.0431187	0.0320397
3B	750-999	<1940	0	3.74074e-06	0.000145226	0.00115606	0.00421837	0.00990982	0.017751	0.0266067	0.0780542	0.266167	0.23595	0.15546	0.0909637	0.0786078	0.0350068	0.0468577
# Created by: sources\resdb\tsv_maker.py
# Source: Distributions are based on the cumulative distribution functions from the Residential Diagnostics Database (ResDB), http://resdb.lbl.gov/.
# Assumption: All ACH50 are based on Single-Family Detached blower door tests.
# Assumption: Climate zones that are copied: 2A to 1A, 6A to 7A, and 6B to 7B.
# Assumption: Vintage bins that are copied: 2000s to 2010s, 1950s to 1940s, 1950s to <1940s.
# Assumption: Homes are assumed to not be Weatherization Assistance Program (WAP) qualified and not ENERGY STAR certified.
# Downselected: This characteristic was downselected from project_national.
