Annual Name,Annual Units,Timeseries ResStock Name,Timeseries BuildStockBatch Name,Timeseries Units,Notes
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_coal_total_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Coal: Total,emissions__co2e__lrmer_midcase_15__coal__total__lb,lb,Scenario emissions for Coal only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_battery_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Battery,emissions__co2e__lrmer_midcase_15__electricity__battery__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_ceiling_fan_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Ceiling Fan,emissions__co2e__lrmer_midcase_15__electricity__ceiling_fan__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_clothes_dryer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Dryer,emissions__co2e__lrmer_midcase_15__electricity__clothes_dryer__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_clothes_washer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Clothes Washer,emissions__co2e__lrmer_midcase_15__electricity__clothes_washer__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_cooling_fans_pumps_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling Fans/Pumps,emissions__co2e__lrmer_midcase_15__electricity__cooling_fans_pumps__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_cooling_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Cooling,emissions__co2e__lrmer_midcase_15__electricity__cooling__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_dehumidifier_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dehumidifier,emissions__co2e__lrmer_midcase_15__electricity__dehumidifier__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_dishwasher_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Dishwasher,emissions__co2e__lrmer_midcase_15__electricity__dishwasher__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_electric_vehicle_charging_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Electric Vehicle Charging,emissions__co2e__lrmer_midcase_15__electricity__electric_vehicle_charging__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_freezer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Freezer,emissions__co2e__lrmer_midcase_15__electricity__freezer__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_generator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Generator,emissions__co2e__lrmer_midcase_15__electricity__generator__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_heating_fans_pumps_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Fans/Pumps,emissions__co2e__lrmer_midcase_15__electricity__heating_fans_pumps__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_heating_heat_pump_backup_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating Heat Pump Backup,emissions__co2e__lrmer_midcase_15__electricity__heating_heat_pump_backup__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_heating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Heating,emissions__co2e__lrmer_midcase_15__electricity__heating__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_tub_heater_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Tub Heater,emissions__co2e__lrmer_midcase_15__electricity__hot_tub_heater__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_tub_pump_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Tub Pump,emissions__co2e__lrmer_midcase_15__electricity__hot_tub_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_water_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water,emissions__co2e__lrmer_midcase_15__electricity__hot_water__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_water_recirc_pump_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water Recirc Pump,emissions__co2e__lrmer_midcase_15__electricity__hot_water_recirc_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_hot_water_solar_thermal_pump_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Hot Water Solar Thermal Pump,emissions__co2e__lrmer_midcase_15__electricity__hot_water_solar_thermal_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_lighting_exterior_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Exterior,emissions__co2e__lrmer_midcase_15__electricity__lighting_exterior__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_lighting_garage_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Garage,emissions__co2e__lrmer_midcase_15__electricity__lighting_garage__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_lighting_interior_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Lighting Interior,emissions__co2e__lrmer_midcase_15__electricity__lighting_interior__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_mech_vent_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent,emissions__co2e__lrmer_midcase_15__electricity__mech_vent__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_mech_vent_precooling_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent Precooling,emissions__co2e__lrmer_midcase_15__electricity__mech_vent_precooling__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_mech_vent_preheating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Mech Vent Preheating,emissions__co2e__lrmer_midcase_15__electricity__mech_vent_preheating__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_plug_loads_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Plug Loads,emissions__co2e__lrmer_midcase_15__electricity__plug_loads__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_pool_heater_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Pool Heater,emissions__co2e__lrmer_midcase_15__electricity__pool_heater__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_pool_pump_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Pool Pump,emissions__co2e__lrmer_midcase_15__electricity__pool_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_pv_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: PV,emissions__co2e__lrmer_midcase_15__electricity__pv__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_range_oven_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Range/Oven,emissions__co2e__lrmer_midcase_15__electricity__range_oven__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_refrigerator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Refrigerator,emissions__co2e__lrmer_midcase_15__electricity__refrigerator__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_television_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Television,emissions__co2e__lrmer_midcase_15__electricity__television__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_total_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Total,emissions__co2e__lrmer_midcase_15__electricity__total__lb,lb,Scenario emissions for Electricity only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_well_pump_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Well Pump,emissions__co2e__lrmer_midcase_15__electricity__well_pump__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_electricity_whole_house_fan_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Electricity: Whole House Fan,emissions__co2e__lrmer_midcase_15__electricity__whole_house_fan__lb,lb,Scenario emissions for this Electricity end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_clothes_dryer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Clothes Dryer,emissions__co2e__lrmer_midcase_15__fuel_oil__clothes_dryer__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_fireplace_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Fireplace,emissions__co2e__lrmer_midcase_15__fuel_oil__fireplace__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_generator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Generator,emissions__co2e__lrmer_midcase_15__fuel_oil__generator__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_grill_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Grill,emissions__co2e__lrmer_midcase_15__fuel_oil__grill__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_heating_heat_pump_backup_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Heating Heat Pump Backup,emissions__co2e__lrmer_midcase_15__fuel_oil__heating_heat_pump_backup__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_heating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Heating,emissions__co2e__lrmer_midcase_15__fuel_oil__heating__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_hot_water_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Hot Water,emissions__co2e__lrmer_midcase_15__fuel_oil__hot_water__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_lighting_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Lighting,emissions__co2e__lrmer_midcase_15__fuel_oil__lighting__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_mech_vent_preheating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Mech Vent Preheating,emissions__co2e__lrmer_midcase_15__fuel_oil__mech_vent_preheating__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_range_oven_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Range/Oven,emissions__co2e__lrmer_midcase_15__fuel_oil__range_oven__lb,lb,Scenario emissions for this Fuel Oil end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_fuel_oil_total_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Fuel Oil: Total,emissions__co2e__lrmer_midcase_15__fuel_oil__total__lb,lb,Scenario emissions for Fuel Oil only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_clothes_dryer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Clothes Dryer,emissions__co2e__lrmer_midcase_15__natural_gas__clothes_dryer__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_fireplace_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Fireplace,emissions__co2e__lrmer_midcase_15__natural_gas__fireplace__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_generator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Generator,emissions__co2e__lrmer_midcase_15__natural_gas__generator__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_grill_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Grill,emissions__co2e__lrmer_midcase_15__natural_gas__grill__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_heating_heat_pump_backup_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating Heat Pump Backup,emissions__co2e__lrmer_midcase_15__natural_gas__heating_heat_pump_backup__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_heating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Heating,emissions__co2e__lrmer_midcase_15__natural_gas__heating__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_hot_tub_heater_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Tub Heater,emissions__co2e__lrmer_midcase_15__natural_gas__hot_tub_heater__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_hot_water_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Hot Water,emissions__co2e__lrmer_midcase_15__natural_gas__hot_water__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_lighting_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Lighting,emissions__co2e__lrmer_midcase_15__natural_gas__lighting__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_mech_vent_preheating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Mech Vent Preheating,emissions__co2e__lrmer_midcase_15__natural_gas__mech_vent_preheating__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_pool_heater_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Pool Heater,emissions__co2e__lrmer_midcase_15__natural_gas__pool_heater__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_range_oven_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Range/Oven,emissions__co2e__lrmer_midcase_15__natural_gas__range_oven__lb,lb,Scenario emissions for this Natural Gas end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_natural_gas_total_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Natural Gas: Total,emissions__co2e__lrmer_midcase_15__natural_gas__total__lb,lb,Scenario emissions for Natural Gas only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_clothes_dryer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Clothes Dryer,emissions__co2e__lrmer_midcase_15__propane__clothes_dryer__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_fireplace_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Fireplace,emissions__co2e__lrmer_midcase_15__propane__fireplace__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_generator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Generator,emissions__co2e__lrmer_midcase_15__propane__generator__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_grill_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Grill,emissions__co2e__lrmer_midcase_15__propane__grill__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_heating_heat_pump_backup_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Heating Heat Pump Backup,emissions__co2e__lrmer_midcase_15__propane__heating_heat_pump_backup__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_heating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Heating,emissions__co2e__lrmer_midcase_15__propane__heating__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_hot_water_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Hot Water,emissions__co2e__lrmer_midcase_15__propane__hot_water__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_lighting_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Lighting,emissions__co2e__lrmer_midcase_15__propane__lighting__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_mech_vent_preheating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Mech Vent Preheating,emissions__co2e__lrmer_midcase_15__propane__mech_vent_preheating__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_range_oven_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Range/Oven,emissions__co2e__lrmer_midcase_15__propane__range_oven__lb,lb,Scenario emissions for this Propane end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_propane_total_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Propane: Total,emissions__co2e__lrmer_midcase_15__propane__total__lb,lb,Scenario emissions for Propane only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_total_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Total,emissions__co2e__lrmer_midcase_15__total__lb,lb,Scenario total emissions
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_clothes_dryer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Clothes Dryer,emissions__co2e__lrmer_midcase_15__wood_cord__clothes_dryer__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_fireplace_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Fireplace,emissions__co2e__lrmer_midcase_15__wood_cord__fireplace__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_generator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Generator,emissions__co2e__lrmer_midcase_15__wood_cord__generator__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_grill_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Grill,emissions__co2e__lrmer_midcase_15__wood_cord__grill__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_heating_heat_pump_backup_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Heating Heat Pump Backup,emissions__co2e__lrmer_midcase_15__wood_cord__heating_heat_pump_backup__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_heating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Heating,emissions__co2e__lrmer_midcase_15__wood_cord__heating__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_hot_water_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Hot Water,emissions__co2e__lrmer_midcase_15__wood_cord__hot_water__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_lighting_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Lighting,emissions__co2e__lrmer_midcase_15__wood_cord__lighting__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_mech_vent_preheating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Mech Vent Preheating,emissions__co2e__lrmer_midcase_15__wood_cord__mech_vent_preheating__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_range_oven_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Range/Oven,emissions__co2e__lrmer_midcase_15__wood_cord__range_oven__lb,lb,Scenario emissions for this Wood Cord end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_cord_total_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Cord: Total,emissions__co2e__lrmer_midcase_15__wood_cord__total__lb,lb,Scenario emissions for Wood Cord only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_clothes_dryer_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Clothes Dryer,emissions__co2e__lrmer_midcase_15__wood_pellets__clothes_dryer__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_fireplace_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Fireplace,emissions__co2e__lrmer_midcase_15__wood_pellets__fireplace__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_generator_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Generator,emissions__co2e__lrmer_midcase_15__wood_pellets__generator__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_grill_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Grill,emissions__co2e__lrmer_midcase_15__wood_pellets__grill__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_heating_heat_pump_backup_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Heating Heat Pump Backup,emissions__co2e__lrmer_midcase_15__wood_pellets__heating_heat_pump_backup__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_heating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Heating,emissions__co2e__lrmer_midcase_15__wood_pellets__heating__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_hot_water_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Hot Water,emissions__co2e__lrmer_midcase_15__wood_pellets__hot_water__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_lighting_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Lighting,emissions__co2e__lrmer_midcase_15__wood_pellets__lighting__lb,lb,Scenario emissions for this Wood Pellets end use only
report_simulation_output.emissions_co_2_e_lrmer_mid_case_15_wood_pellets_mech_vent_preheating_lb,lb,Emissions: CO2e: LRMER_MidCase_15: Wood Pellets: Mech Vent Preheating,emissions__co2e__lrmer_midcase_15__wood_pellets__mech_vent_preheating__lb,lb,Scenario emissions for this Wood Pellets end use only
