Annual Name,Annual Units,Timeseries Name,Timeseries Units,Notes
report_simulation_output.end_use_fuel_oil_generator_m_btu,MBtu,End Use: Fuel Oil: Generator,kBtu,
report_simulation_output.end_use_fuel_oil_grill_m_btu,MBtu,End Use: Fuel Oil: Grill,kBtu,
report_simulation_output.end_use_fuel_oil_heating_heat_pump_backup_m_btu,MBtu,End Use: Fuel Oil: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_fuel_oil_heating_m_btu,MBtu,End Use: Fuel Oil: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_fuel_oil_hot_water_m_btu,MBtu,End Use: Fuel Oil: Hot Water,kBtu,
report_simulation_output.end_use_fuel_oil_lighting_m_btu,MBtu,End Use: Fuel Oil: Lighting,kBtu,
report_simulation_output.end_use_fuel_oil_mech_vent_preheating_m_btu,MBtu,End Use: Fuel Oil: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_fuel_oil_range_oven_m_btu,MBtu,End Use: Fuel Oil: Range/Oven,kBtu,
report_simulation_output.end_use_natural_gas_clothes_dryer_m_btu,MBtu,End Use: Natural Gas: Clothes Dryer,kBtu,
report_simulation_output.end_use_natural_gas_fireplace_m_btu,MBtu,End Use: Natural Gas: Fireplace,kBtu,
report_simulation_output.end_use_natural_gas_generator_m_btu,MBtu,End Use: Natural Gas: Generator,kBtu,Positive value for any fuel consumed
report_simulation_output.end_use_natural_gas_grill_m_btu,MBtu,End Use: Natural Gas: Grill,kBtu,
report_simulation_output.end_use_natural_gas_heating_heat_pump_backup_m_btu,MBtu,End Use: Natural Gas: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_natural_gas_heating_m_btu,MBtu,End Use: Natural Gas: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_natural_gas_hot_tub_heater_m_btu,MBtu,End Use: Natural Gas: Hot Tub Heater,kBtu,
report_simulation_output.end_use_natural_gas_hot_water_m_btu,MBtu,End Use: Natural Gas: Hot Water,kBtu,
report_simulation_output.end_use_natural_gas_lighting_m_btu,MBtu,End Use: Natural Gas: Lighting,kBtu,
report_simulation_output.end_use_natural_gas_mech_vent_preheating_m_btu,MBtu,End Use: Natural Gas: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_natural_gas_pool_heater_m_btu,MBtu,End Use: Natural Gas: Pool Heater,kBtu,
report_simulation_output.end_use_natural_gas_range_oven_m_btu,MBtu,End Use: Natural Gas: Range/Oven,kBtu,
report_simulation_output.end_use_propane_clothes_dryer_m_btu,MBtu,End Use: Propane: Clothes Dryer,kBtu,
report_simulation_output.end_use_propane_fireplace_m_btu,MBtu,End Use: Propane: Fireplace,kBtu,
report_simulation_output.end_use_propane_generator_m_btu,MBtu,End Use: Propane: Generator,kBtu,Positive value for any fuel consumed
report_simulation_output.end_use_propane_grill_m_btu,MBtu,End Use: Propane: Grill,kBtu,
report_simulation_output.end_use_propane_heating_heat_pump_backup_m_btu,MBtu,End Use: Propane: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_propane_heating_m_btu,MBtu,End Use: Propane: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_propane_hot_water_m_btu,MBtu,End Use: Propane: Hot Water,kBtu,
report_simulation_output.end_use_propane_lighting_m_btu,MBtu,End Use: Propane: Lighting,kBtu,
report_simulation_output.end_use_propane_mech_vent_preheating_m_btu,MBtu,End Use: Propane: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_propane_range_oven_m_btu,MBtu,End Use: Propane: Range/Oven,kBtu,
report_simulation_output.end_use_wood_cord_clothes_dryer_m_btu,MBtu,End Use: Wood Cord: Clothes Dryer,kBtu,
report_simulation_output.end_use_wood_cord_fireplace_m_btu,MBtu,End Use: Wood Cord: Fireplace,kBtu,
report_simulation_output.end_use_wood_cord_generator_m_btu,MBtu,End Use: Wood Cord: Generator,kBtu,
report_simulation_output.end_use_wood_cord_grill_m_btu,MBtu,End Use: Wood Cord: Grill,kBtu,
report_simulation_output.end_use_wood_cord_heating_heat_pump_backup_m_btu,MBtu,End Use: Wood Cord: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_wood_cord_heating_m_btu,MBtu,End Use: Wood Cord: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_wood_cord_hot_water_m_btu,MBtu,End Use: Wood Cord: Hot Water,kBtu,
report_simulation_output.end_use_wood_cord_lighting_m_btu,MBtu,End Use: Wood Cord: Lighting,kBtu,
report_simulation_output.end_use_wood_cord_mech_vent_preheating_m_btu,MBtu,End Use: Wood Cord: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_wood_cord_range_oven_m_btu,MBtu,End Use: Wood Cord: Range/Oven,kBtu,
report_simulation_output.end_use_wood_pellets_clothes_dryer_m_btu,MBtu,End Use: Wood Pellets: Clothes Dryer,kBtu,
report_simulation_output.end_use_wood_pellets_fireplace_m_btu,MBtu,End Use: Wood Pellets: Fireplace,kBtu,
report_simulation_output.end_use_wood_pellets_generator_m_btu,MBtu,End Use: Wood Pellets: Generator,kBtu,
report_simulation_output.end_use_wood_pellets_grill_m_btu,MBtu,End Use: Wood Pellets: Grill,kBtu,
report_simulation_output.end_use_wood_pellets_heating_heat_pump_backup_m_btu,MBtu,End Use: Wood Pellets: Heating Heat Pump Backup,kBtu,
report_simulation_output.end_use_wood_pellets_heating_m_btu,MBtu,End Use: Wood Pellets: Heating,kBtu,Excludes heat pump backup
report_simulation_output.end_use_wood_pellets_hot_water_m_btu,MBtu,End Use: Wood Pellets: Hot Water,kBtu,
report_simulation_output.end_use_wood_pellets_lighting_m_btu,MBtu,End Use: Wood Pellets: Lighting,kBtu,
report_simulation_output.end_use_wood_pellets_mech_vent_preheating_m_btu,MBtu,End Use: Wood Pellets: Mech Vent Preheating,kBtu,
report_simulation_output.end_use_wood_pellets_range_oven_m_btu,MBtu,End Use: Wood Pellets: Range/Oven,kBtu,
report_simulation_output.energy_use_net_m_btu,MBtu,Energy Use: Net,kBtu,Subtracts any power produced by PV or generators.
report_simulation_output.energy_use_total_m_btu,MBtu,Energy Use: Total,kBtu,Includes any battery charging/discharging
report_simulation_output.fuel_use_coal_total_m_btu,MBtu,Fuel Use: Coal: Total,kBtu,"Includes 'coal', 'anthracite coal', 'bituminous coal', and 'coke'."
report_simulation_output.fuel_use_electricity_net_m_btu,MBtu,Fuel Use: Electricity: Net,kWh,Subtracts any power produced by PV or generators.
report_simulation_output.fuel_use_electricity_total_m_btu,MBtu,Fuel Use: Electricity: Total,kWh,Includes any battery charging/discharging
report_simulation_output.fuel_use_fuel_oil_total_m_btu,MBtu,Fuel Use: Fuel Oil: Total,kBtu,"Includes 'fuel oil', 'fuel oil 1', 'fuel oil 2', 'fuel oil 4', 'fuel oil 5/6', 'kerosene', and 'diesel'"
report_simulation_output.fuel_use_natural_gas_total_m_btu,MBtu,Fuel Use: Natural Gas: Total,kBtu,
report_simulation_output.fuel_use_propane_total_m_btu,MBtu,Fuel Use: Propane: Total,kBtu,
report_simulation_output.fuel_use_wood_cord_total_m_btu,MBtu,Fuel Use: Wood Cord: Total,kBtu,
report_simulation_output.fuel_use_wood_pellets_total_m_btu,MBtu,Fuel Use: Wood Pellets: Total,kBtu,
