"DOEID","REPORTABLE_DOMAIN","DIVISION","HDD30YR","CDD30YR","TMY3_ID","ProvState","Station","HDD65_Annual","CDD65_Annual"
45,9,3,7306,441,"726387","MI","CHERRY CAPITAL","7255.8","469.8"
46,26,10,1452,903,"722950","CA","LOS ANGELES INTL","1294.2","581.4"
47,14,5,4371,1176,"724250","WV","HUNTINGTON/TRI STAT","4426.2","1155.6"
48,12,4,4464,1188,"724400","MO","SPRINGFIELD MUNI","4442.4","1366.2"
49,15,5,2991,1632,"723120","SC","GREENVILLE/GREENVIL","3079.8","1630.8"
50,3,2,4604,1229,"725020","NJ","NEWARK INTL AIRPORT","4687.2","1256.4"
51,11,4,4539,1684,"724500","KS","WICHITA/MID-CONTINE","4464","1681.2"
52,21,7,2386,2747,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
53,3,2,4616,1178,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
54,21,7,1290,2937,"722310","LA","NEW ORLEANS/MOISANT","1285.2","2925"
55,25,9,2892,1905,"723650","NM","ALBUQUERQUE INTL","3994.2","1369.8"
56,21,7,2414,2553,"722630","TX","SAN ANGELO/MATHIS","2241","2509.2"
57,21,7,2327,2645,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
58,1,1,6367,559,"725080","CT","HARTFORD/BRADLEY IN","5934.6","765"
59,7,3,5697,863,"725330","IN","FORT WAYNE/BAER FLD","5990.4","824.4"
60,1,1,6839,434,"726060","ME","PORTLAND/INTNL. JET","7023.6","370.8"
61,7,3,5252,1033,"724280","OH","COLUMBUS/PORT COLUM","5254.2","1015.2"
62,21,7,2260,2731,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
63,19,6,3349,1931,"723240","TN","CHATTANOOGA/LOVELL","3144.6","1762.2"
64,23,8,5354,951,"726810","ID","BOISE MUNICIPAL","5452.2","957.6"
65,26,10,1187,1156,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
66,17,5,183,3984,"722030","FL","WEST PALM BEACH/IN","221.4","4084.2"
67,26,10,2903,116,"723940","CA","SANTA MARIA PUBLIC","2759.4","93.6"
68,10,4,8879,538,"727676","ND","MINOT INTL","8695.8","444.6"
69,24,9,1227,3662,"722740","AZ","TUCSON INTL","1416.6","3272.4"
70,20,7,3286,2152,"723440","AR","FORT SMITH MUNI","3157.2","2061"
71,24,9,1413,3264,"722740","AZ","TUCSON INTL","1416.6","3272.4"
72,3,2,4729,1112,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
73,20,7,2744,2092,"723403","AR","ADAMS FLD","2917.8","2170.8"
74,3,2,4713,1146,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
75,15,5,3091,1726,"723140","NC","CHARLOTTE/DOUGLAS","3065.4","1713.6"
76,7,3,6107,828,"725360","OH","TOLEDO EXPRESS","6073.2","797.4"
77,3,2,6291,651,"725280","NY","GREATER BUFFALO INT","6508.8","563.4"
78,2,1,6143,695,"725090","MA","BOSTON/LOGAN INTL","5596.2","750.6"
79,8,3,5922,829,"725370","MI","DETROIT/METROPOLITA","6103.8","806.4"
80,3,2,6078,818,"725360","OH","TOLEDO EXPRESS","6073.2","797.4"
81,17,5,134,4341,"722020","FL","MIAMI","126","4537.8"
82,2,1,5646,756,"725090","MA","BOSTON/LOGAN INTL","5596.2","750.6"
83,6,3,5794,1023,"725320","IL","GREATER PEORIA MUNI","5756.4","1040.4"
84,12,4,4892,1364,"724460","MO","KANSAS CITY INTL","5011.2","1371.6"
85,18,6,3900,1548,"724230","KY","LOUISVILLE/STANDIFO","4109.4","1571.4"
86,27,10,0,4514,"725970","OR","MEDFORD-JACKSON COU","4264.2","833.4"
87,22,8,7296,143,"724675","CO","EAGLE CO RGNL","7876.8","131.4"
88,26,10,2561,1426,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
89,21,7,2386,2507,"722660","TX","ABILENE MUNICIPAL","2482.2","2388.6"
90,7,3,6061,746,"725210","OH","AKRON_AKRON-CANTON","6053.4","687.6"
91,21,7,2275,2539,"722630","TX","SAN ANGELO/MATHIS","2241","2509.2"
92,26,10,3704,879,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
93,5,2,4209,1523,"724080","PA","PHILADELPHIA INTL","4512.6","1332"
94,3,2,5281,850,"725040","CT","BRIDGEPORT/IGOR I.","5274","829.8"
95,16,5,3331,1423,"723060","NC","RALEIGH/RALEIGH-DUR","3274.2","1666.8"
96,12,4,4483,1673,"724340","MO","ST. LOUIS/LAMBERT","4435.2","1650.6"
97,23,8,7789,261,"727750","MT","GREAT FALLS INTL","7470","325.8"
98,3,2,4572,1192,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
99,19,6,3772,1668,"723260","TN","KNOXVILLE MUNICIPAL","3594.6","1513.8"
100,26,10,1595,787,"722950","CA","LOS ANGELES INTL","1294.2","581.4"
101,21,7,2268,2776,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
102,12,4,5540,1164,"724460","MO","KANSAS CITY INTL","5011.2","1371.6"
103,12,4,4859,1363,"724450","MO","COLUMBIA REGIONAL","4937.4","1247.4"
104,4,2,5332,837,"725040","CT","BRIDGEPORT/IGOR I.","5274","829.8"
105,16,5,4155,1294,"723150","NC","ASHEVILLE MUNICIPAL","4143.6","844.2"
106,26,10,1242,1101,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
107,3,2,6481,576,"725290","NY","ROCHESTER-MONROE CO","6557.4","554.4"
108,19,6,3445,1748,"723270","TN","NASHVILLE/METROPOLI","3517.2","1729.8"
109,19,6,3946,1343,"723260","TN","KNOXVILLE MUNICIPAL","3594.6","1513.8"
110,10,4,8403,442,"727640","ND","BISMARCK MUNICIPAL","8395.2","545.4"
111,26,10,2904,115,"723940","CA","SANTA MARIA PUBLIC","2759.4","93.6"
112,3,2,4906,1056,"724070","NJ","ATLANTIC CITY INTL","4912.2","1013.4"
113,8,3,6881,530,"725390","MI","LANSING/CAPITAL CIT","6814.8","574.2"
114,27,10,4723,266,"726930","OR","EUGENE/MAHLON SWEET","4638.6","270"
115,15,5,3052,1615,"723120","SC","GREENVILLE/GREENVIL","3079.8","1630.8"
116,3,2,5641,796,"725200","PA","GREATER PITTSBURGH I","5583.6","781.2"
117,3,2,4556,1197,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
118,10,4,7051,794,"726686","SD","PIERRE RGNL","7108.2","898.2"
119,21,7,2226,2827,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
120,1,1,5501,743,"725070","RI","PROVIDENCE/GREEN ST","5562","743.4"
121,19,6,3289,1832,"723240","TN","CHATTANOOGA/LOVELL","3144.6","1762.2"
122,3,2,6534,640,"725280","NY","GREATER BUFFALO INT","6508.8","563.4"
123,2,1,5758,727,"725090","MA","BOSTON/LOGAN INTL","5596.2","750.6"
124,26,10,3062,1047,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
125,16,5,2401,2092,"723013","NC","WILMINGTON","2444.4","2030.4"
126,10,4,6613,929,"725570","IA","SIOUX CITY MUNI","6681.6","916.2"
127,2,1,6070,707,"725090","MA","BOSTON/LOGAN INTL","5596.2","750.6"
128,22,8,5453,863,"724640","CO","PUEBLO MEMORIAL(AW)","5473.8","914.4"
129,27,10,5427,785,"726880","OR","PENDLETON MUNICIPAL","5193","657"
130,26,10,3047,553,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
131,19,6,3821,1314,"723260","TN","KNOXVILLE MUNICIPAL","3594.6","1513.8"
132,2,1,6260,606,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
133,17,5,973,2724,"722056","FL","DAYTONA BEACH INTL","748.8","2991.6"
134,26,10,929,1584,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
135,26,10,2413,172,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
136,21,7,580,3958,"722500","TX","BROWNSVILLE INTL","538.2","3985.2"
137,15,5,2975,1740,"723110","GA","ATHENS MUNICIPAL","2781","1803.6"
138,21,7,1844,2861,"722446","TX","ANGELINA CO","1846.8","2646"
139,22,8,5100,1264,"724760","CO","GRAND JUNCTION/WALK","5430.6","1211.4"
140,17,5,1394,2442,"722060","FL","JACKSONVILLE/INTNL.","1326.6","2631.6"
141,6,3,4875,1311,"724390","IL","SPRINGFIELD/CAPITAL","5360.4","1137.6"
142,5,2,4417,1451,"724080","PA","PHILADELPHIA INTL","4512.6","1332"
143,24,9,1286,3524,"722740","AZ","TUCSON INTL","1416.6","3272.4"
144,11,4,6557,894,"725560","NE","NORFOLK/KARL STEFAN","6458.4","955.8"
145,10,4,7300,802,"726686","SD","PIERRE RGNL","7108.2","898.2"
146,20,7,1411,2958,"722400","LA","LAKE CHARLES MUNI","1452.6","2806.2"
147,21,7,1349,2779,"722410","TX","PORT ARTHUR/JEFFERS","1355.4","2899.8"
148,3,2,5904,862,"725140","PA","WILLIAMSPORT/LYCOMI","5850","750.6"
149,21,7,2589,2498,"722660","TX","ABILENE MUNICIPAL","2482.2","2388.6"
150,4,2,5204,874,"724070","NJ","ATLANTIC CITY INTL","4912.2","1013.4"
151,16,5,3417,1593,"723060","NC","RALEIGH/RALEIGH-DUR","3274.2","1666.8"
152,26,10,2377,761,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
153,16,5,3419,1682,"723060","NC","RALEIGH/RALEIGH-DUR","3274.2","1666.8"
154,21,7,2645,2408,"723510","TX","WICHITA FALLS/SHEPS","2811.6","2455.2"
155,16,5,3556,1709,"723060","NC","RALEIGH/RALEIGH-DUR","3274.2","1666.8"
156,11,4,4671,1678,"724500","KS","WICHITA/MID-CONTINE","4464","1681.2"
157,4,2,5828,804,"725140","PA","WILLIAMSPORT/LYCOMI","5850","750.6"
158,18,6,1698,2511,"722230","AL","MOBILE/BATES FIELD","1652.4","2498.4"
159,13,5,4255,1265,"724100","VA","LYNCHBURG/MUN. P. G","4228.2","1132.2"
160,15,5,2803,1858,"723110","GA","ATHENS MUNICIPAL","2781","1803.6"
161,8,3,6160,771,"725370","MI","DETROIT/METROPOLITA","6103.8","806.4"
162,14,5,4655,1331,"724060","MD","BALTIMORE-WASHINGTO","4552.2","1261.8"
163,20,7,3279,1977,"723560","OK","TULSA INTL ARPT(AW)","3454.2","2050.2"
164,4,2,4774,1097,"724070","NJ","ATLANTIC CITY INTL","4912.2","1013.4"
165,10,4,6503,883,"725570","IA","SIOUX CITY MUNI","6681.6","916.2"
166,21,7,1561,3098,"722540","TX","AUSTIN/MUELLER MUNI","1670.4","2962.8"
167,14,5,5202,906,"724089","DE","WILMINGTON NEW CAST","4755.6","1141.2"
168,10,4,5836,1084,"725460","IA","DES MOINES INTL","6172.2","1033.2"
169,15,5,2918,1774,"723110","GA","ATHENS MUNICIPAL","2781","1803.6"
170,1,1,5934,780,"725080","CT","HARTFORD/BRADLEY IN","5934.6","765"
171,27,10,5069,762,"726880","OR","PENDLETON MUNICIPAL","5193","657"
172,27,10,5458,776,"726880","OR","PENDLETON MUNICIPAL","5193","657"
173,3,2,6784,499,"725290","NY","ROCHESTER-MONROE CO","6557.4","554.4"
174,21,7,2506,2393,"722660","TX","ABILENE MUNICIPAL","2482.2","2388.6"
175,3,2,4606,1150,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
176,23,8,6563,544,"726770","MT","BILLINGS/LOGAN INT.","6705","630"
177,21,7,973,3602,"722510","TX","CORPUS CHRISTI/INT.","860.4","3529.8"
178,12,4,4928,1351,"724460","MO","KANSAS CITY INTL","5011.2","1371.6"
179,12,4,4512,1663,"724340","MO","ST. LOUIS/LAMBERT","4435.2","1650.6"
180,2,1,6637,606,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
181,22,8,5726,724,"724699","CO","BOULDER-BROOMFIELD-JEFFERSON COUNTY AP","5749.2","689.4"
182,7,3,6188,672,"725246","OH","MANSFIELD LAHM RGNL","6152.4","658.8"
183,16,5,4465,1044,"724140","WV","YEAGER","4444.2","1076.4"
184,14,5,6615,186,"724170","WV","ELKINS-RANDOLPH COU","5803.2","484.2"
185,1,1,5869,687,"725080","CT","HARTFORD/BRADLEY IN","5934.6","765"
186,6,3,6366,836,"725300","IL","CHICAGO/O'HARE ARPT","6208.2","864"
187,23,8,7178,323,"727730","MT","MISSOULA/JOHNSON-BE","7372.8","313.2"
188,26,10,1491,1541,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
189,21,7,691,3998,"722500","TX","BROWNSVILLE INTL","538.2","3985.2"
190,26,10,1233,787,"722900","CA","SAN DIEGO/LINDBERGH","1197","673.2"
191,7,3,6278,612,"725250","OH","YOUNGSTOWN MUNI","6197.4","583.2"
192,21,7,2187,2678,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
193,24,9,1233,4038,"722780","AZ","PHOENIX/SKY HARBOR","923.4","4626"
194,16,5,2942,1694,"723120","SC","GREENVILLE/GREENVIL","3079.8","1630.8"
195,26,10,2557,1475,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
196,11,4,6180,1143,"725520","NE","GRAND ISLAND COUNTY","6080.4","1036.8"
197,14,5,4115,1556,"724230","KY","LOUISVILLE/STANDIFO","4109.4","1571.4"
198,5,2,6119,626,"725130","PA","WILKES-BARRE-SCRANT","6085.8","637.2"
199,21,7,2314,2464,"722630","TX","SAN ANGELO/MATHIS","2241","2509.2"
200,3,2,4743,1188,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
201,18,6,4023,1502,"724230","KY","LOUISVILLE/STANDIFO","4109.4","1571.4"
202,22,8,6206,581,"724660","CO","COLORADO SPRINGS/MU","6159.6","459"
203,19,6,3661,1693,"723260","TN","KNOXVILLE MUNICIPAL","3594.6","1513.8"
204,22,8,5915,546,"724660","CO","COLORADO SPRINGS/MU","6159.6","459"
205,21,7,1195,3197,"722550","TX","VICTORIA/VICTORIA R","1184.4","3193.2"
206,1,1,5333,820,"725040","CT","BRIDGEPORT/IGOR I.","5274","829.8"
207,24,9,3039,1944,"723723","AZ","ERNEST A LOVE FLD","4174.2","982.8"
208,17,5,529,3377,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
209,23,8,6870,390,"725780","ID","POCATELLO MUNICIPAL","6937.2","426.6"
210,3,2,6700,527,"725280","NY","GREATER BUFFALO INT","6508.8","563.4"
211,4,2,5270,954,"724070","NJ","ATLANTIC CITY INTL","4912.2","1013.4"
212,3,2,4552,1249,"724060","MD","BALTIMORE-WASHINGTO","4552.2","1261.8"
213,22,8,7413,123,"724675","CO","EAGLE CO RGNL","7876.8","131.4"
214,10,4,7597,742,"726540","SD","HURON/HURON REGIONA","7603.2","757.8"
215,26,10,2607,435,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
216,2,1,6336,655,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
217,17,5,102,4655,"722020","FL","MIAMI","126","4537.8"
218,26,10,2117,513,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
219,17,5,553,3577,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
220,26,10,2560,1566,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
221,12,4,5069,1236,"724450","MO","COLUMBIA REGIONAL","4937.4","1247.4"
222,9,3,8077,375,"726435","WI","CHIPPEWA VALLEY RGN","7801.2","599.4"
223,26,10,1628,520,"722950","CA","LOS ANGELES INTL","1294.2","581.4"
224,16,5,3436,1499,"723170","NC","GREENSBORO/G.-HIGH","3605.4","1445.4"
225,21,7,2253,2564,"722630","TX","SAN ANGELO/MATHIS","2241","2509.2"
226,10,4,6789,767,"725480","IA","WATERLOO MUNICIPAL","6987.6","775.8"
227,26,10,2539,482,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
228,5,2,5384,902,"725170","PA","ALLENTOWN_A.-BETHLE","5551.2","838.8"
229,3,2,4962,1162,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
230,26,10,1874,1301,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
231,22,8,6091,503,"724660","CO","COLORADO SPRINGS/MU","6159.6","459"
232,21,7,1578,3063,"722530","TX","SAN ANTONIO INTL","1418.4","3157.2"
233,26,10,1703,1445,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
234,3,2,4662,1214,"725020","NJ","NEWARK INTL AIRPORT","4687.2","1256.4"
235,10,4,7769,699,"726510","SD","SIOUX FALLS/FOSS FI","7470","745.2"
236,26,10,3818,833,"725970","OR","MEDFORD-JACKSON COU","4264.2","833.4"
237,16,5,2272,2209,"722170","GA","MACON/LEWIS B.WILSO","2262.6","2179.8"
238,3,2,5085,886,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
239,15,5,2814,1713,"723110","GA","ATHENS MUNICIPAL","2781","1803.6"
240,17,5,640,3348,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
241,24,9,1393,3307,"722740","AZ","TUCSON INTL","1416.6","3272.4"
242,12,4,5176,1347,"724460","MO","KANSAS CITY INTL","5011.2","1371.6"
243,2,1,6484,531,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
244,12,4,5100,1370,"724460","MO","KANSAS CITY INTL","5011.2","1371.6"
245,17,5,441,3479,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
246,21,7,2565,2485,"722660","TX","ABILENE MUNICIPAL","2482.2","2388.6"
247,2,1,6806,516,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
248,9,3,7981,441,"726435","WI","CHIPPEWA VALLEY RGN","7801.2","599.4"
249,6,3,6257,861,"725300","IL","CHICAGO/O'HARE ARPT","6208.2","864"
250,10,4,7664,769,"726540","SD","HURON/HURON REGIONA","7603.2","757.8"
251,12,4,4596,1705,"724340","MO","ST. LOUIS/LAMBERT","4435.2","1650.6"
252,7,3,5644,959,"724290","OH","DAYTON/JAMES M COX","5511.6","945"
253,5,2,4290,1495,"724080","PA","PHILADELPHIA INTL","4512.6","1332"
254,3,2,5325,756,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
255,26,10,2554,279,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
256,21,7,1256,3004,"722430","TX","HOUSTON/INTERCONTIN","1371.6","3058.2"
257,26,10,1571,1243,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
258,3,2,6758,508,"725190","NY","SYRACUSE/HANCOCK","6577.2","594"
259,11,4,4665,1638,"724500","KS","WICHITA/MID-CONTINE","4464","1681.2"
260,22,8,6708,416,"724660","CO","COLORADO SPRINGS/MU","6159.6","459"
261,3,2,5847,876,"725140","PA","WILLIAMSPORT/LYCOMI","5850","750.6"
262,21,7,1324,2870,"722410","TX","PORT ARTHUR/JEFFERS","1355.4","2899.8"
263,26,10,1589,1226,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
264,1,1,5746,720,"725080","CT","HARTFORD/BRADLEY IN","5934.6","765"
265,2,1,6821,446,"725095","MA","WORCESTER REGIONAL ARPT","6706.8","462.6"
266,17,5,568,3399,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
267,25,9,4132,1352,"723650","NM","ALBUQUERQUE INTL","3994.2","1369.8"
268,3,2,4433,1236,"724080","PA","PHILADELPHIA INTL","4512.6","1332"
269,3,2,4697,1122,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
270,21,7,1401,3050,"722430","TX","HOUSTON/INTERCONTIN","1371.6","3058.2"
271,21,7,1594,2720,"722317","LA","BATON ROUGE METRO R","1573.2","2709"
272,10,4,7427,721,"726510","SD","SIOUX FALLS/FOSS FI","7470","745.2"
273,14,5,4908,938,"724089","DE","WILMINGTON NEW CAST","4755.6","1141.2"
274,17,5,967,2734,"722060","FL","JACKSONVILLE/INTNL.","1326.6","2631.6"
275,26,10,1683,872,"722900","CA","SAN DIEGO/LINDBERGH","1197","673.2"
276,26,10,2645,205,"724940","CA","SAN FRANCISCO INTL","2689.2","144"
277,1,1,7094,363,"726050","NH","CONCORD MUNICIPAL","7140.6","469.8"
278,24,9,657,4750,"722780","AZ","PHOENIX/SKY HARBOR","923.4","4626"
279,8,3,6940,497,"725390","MI","LANSING/CAPITAL CIT","6814.8","574.2"
280,26,10,1674,352,"722950","CA","LOS ANGELES INTL","1294.2","581.4"
281,3,2,4801,1166,"744860","NY","NEW YORK/JOHN F. KE","4843.8","984.6"
282,9,3,6866,565,"725390","MI","LANSING/CAPITAL CIT","6814.8","574.2"
283,4,2,5232,866,"724070","NJ","ATLANTIC CITY INTL","4912.2","1013.4"
284,17,5,526,3575,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
285,26,10,1105,1266,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
286,5,2,4611,1302,"724080","PA","PHILADELPHIA INTL","4512.6","1332"
287,21,7,2149,2500,"722630","TX","SAN ANGELO/MATHIS","2241","2509.2"
288,10,4,6587,868,"725570","IA","SIOUX CITY MUNI","6681.6","916.2"
289,18,6,2811,1952,"722280","AL","BIRMINGHAM MUNI","2653.2","2014.2"
290,18,6,4289,1254,"724220","KY","LEXINGTON/BLUE GRAS","4566.6","1200.6"
291,17,5,510,3236,"722050","FL","ORLANDO/JETPORT","550.8","3385.8"
292,3,2,5275,818,"725040","CT","BRIDGEPORT/IGOR I.","5274","829.8"
293,26,10,2505,864,"724830","CA","SACRAMENTO/EXECUTIV","2494.8","1213.2"
294,27,10,6166,92,"726835","OR","ROBERTS FLD","6469.2","237.6"
295,7,3,6330,600,"725246","OH","MANSFIELD LAHM RGNL","6152.4","658.8"
296,1,1,5459,786,"725070","RI","PROVIDENCE/GREEN ST","5562","743.4"
297,26,10,1483,542,"722950","CA","LOS ANGELES INTL","1294.2","581.4"
298,26,10,1411,1593,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
299,3,2,4632,1172,"725020","NJ","NEWARK INTL AIRPORT","4687.2","1256.4"
300,5,2,5295,840,"725170","PA","ALLENTOWN_A.-BETHLE","5551.2","838.8"
301,10,4,7649,668,"726540","SD","HURON/HURON REGIONA","7603.2","757.8"
302,26,10,1616,531,"722950","CA","LOS ANGELES INTL","1294.2","581.4"
303,15,5,3085,1598,"723120","SC","GREENVILLE/GREENVIL","3079.8","1630.8"
304,11,4,4674,1656,"724500","KS","WICHITA/MID-CONTINE","4464","1681.2"
305,21,7,2376,2638,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
306,3,2,5917,724,"725140","PA","WILLIAMSPORT/LYCOMI","5850","750.6"
307,26,10,1243,1446,"722970","CA","LONG BEACH/LB AIRP.","1189.8","1062"
308,17,5,1311,2576,"722060","FL","JACKSONVILLE/INTNL.","1326.6","2631.6"
309,24,9,703,4606,"722780","AZ","PHOENIX/SKY HARBOR","923.4","4626"
310,14,5,5421,812,"724170","WV","ELKINS-RANDOLPH COU","5803.2","484.2"
311,4,2,6066,619,"725130","PA","WILKES-BARRE-SCRANT","6085.8","637.2"
312,18,6,3353,1558,"723230","AL","HUNTSVILLE/MADISON","3092.4","1819.8"
313,7,3,6504,653,"725246","OH","MANSFIELD LAHM RGNL","6152.4","658.8"
314,21,7,2440,2460,"722700","TX","EL PASO INTL ARPT","2383.2","2379.6"
315,27,10,4607,303,"726940","OR","SALEM/MCNARY","4532.4","313.2"
316,8,3,7466,388,"726387","MI","CHERRY CAPITAL","7255.8","469.8"
317,17,5,1573,2548,"722140","FL","TALLAHASSEE MUNICIP","1553.4","2599.2"
318,8,3,6585,608,"726360","MI","MUSKEGON","6618.6","523.8"
319,21,7,2207,2846,"722590","TX","DALLAS-FORT WORTH/F","2192.4","2784.6"
