usaf,EPW,Custom Region
722560,USA_TX_Waco.Rgnl.AP.722560_TMY3.epw,CR09
722590,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,CR09
722595,USA_TX_Fort.Worth.NAS.722595_TMY3.epw,CR09
722597,USA_TX_Mineral.Wells.Muni.AP.722597_TMY3.epw,CR09
722615,USA_TX_Del.Rio-Laughlin.AFB.722615_TMY3.epw,CR09
722630,USA_TX_San.Angelo-Mathis.AP.722630_TMY3.epw,CR09
722636,#N/A,CR09
722650,USA_TX_Midland.Intl.AP.722650_TMY3.epw,CR09
722656,USA_TX_Wink-Winkler.County.AP.722656_TMY3.epw,CR09
722660,USA_TX_Abilene.Rgnl.AP.722660_TMY3.epw,CR09
722670,USA_TX_Lubbock.Intl.AP.722670_TMY3.epw,CR09
722680,USA_NM_Roswell.Industrial.Air.Park.722680_TMY3.epw,CR10
722686,USA_NM_Clovis-Cannon.AFB.722686_TMY3.epw,CR10
722687,USA_NM_Carlsbad.Cavern.City.Air.Terminal.722687_TMY3.epw,CR10
722700,USA_TX_El.Paso.Intl.AP.722700_TMY3.epw,CR09
722710,USA_NM_Truth.or.Consequences.Muni.AP.722710_TMY3.epw,CR10
722725,USA_NM_Deming.Muni.AP.722725_TMY3.epw,CR10
722735,USA_AZ_Douglas-Bisbee.Douglas.Intl.AP.722735_TMY3.epw,CR10
722740,USA_AZ_Tucson.Intl.AP.722740_TMY3.epw,CR10
722780,USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,CR10
722785,USA_AZ_Luke.AFB.722785_TMY3.epw,CR10
722800,USA_AZ_Yuma.Intl.AP.722800_TMY3.epw,CR10
722860,USA_CA_March.AFB.722860_TMY3.epw,CR11
722868,USA_CA_Palm.Springs.Intl.AP.722868_TMY3.epw,CR11
722880,USA_CA_Burbank-Glendale-Passadena.Bob.Hope.AP.722880_TMY3.epw,CR11
722886,USA_CA_Van.Nuys.AP.722886_TMY3.epw,CR11
722897,USA_CA_San.Luis.Obispo.AP.722897_TMY3.epw,CR11
722900,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,CR11
722926,USA_CA_Camp.Pendleton.MCAS.722926_TMY3.epw,CR11
722950,USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,CR11
722970,USA_CA_Long.Beach-Daugherty.Field.722970_TMY3.epw,CR11
722977,USA_CA_Santa.Ana-John.Wayne.AP.722977_TMY3.epw,CR11
723013,USA_NC_Wilmington.Intl.AP.723013_TMY3.epw,CR09
723040,USA_NC_Cape.Hatteras.723040_TMY3.epw,CR09
723060,USA_NC_Raleigh-Durham.Intl.AP.723060_TMY3.epw,CR09
723066,USA_NC_Goldsboro-Seymour.Johnson.AFB.723066_TMY3.epw,CR09
723080,USA_VA_Norfolk.Intl.AP.723080_TMY3.epw,CR08
723090,USA_NC_Cherry.Point.MCAS.723090_TMY3.epw,CR09
723095,USA_NC_New.Bern-Craven.County.Rgnl.AP.723095_TMY3.epw,CR09
723096,USA_NC_New.River.MCAS.723096_TMY3.epw,CR09
723100,USA_SC_Columbia.Metro.AP.723100_TMY3.epw,CR09
723106,USA_SC_Florence.Rgnl.AP.723106_TMY3.epw,CR09
723110,USA_GA_Athens-Ben.Epps.AP.723110_TMY3.epw,CR09
723120,USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY3.epw,CR09
723125,USA_SC_Anderson.County.AP.723125_TMY3.epw,CR09
723140,USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3.epw,CR09
723145,USA_NC_Hickory.Rgnl.AP.723145_TMY3.epw,CR09
723150,USA_NC_Asheville.Rgnl.AP.723150_TMY3.epw,CR09
723170,USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3.epw,CR09
723183,USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3.epw,CR08
723230,USA_AL_Huntsville.Intl.AP-Jones.Field.723230_TMY3.epw,CR09
723235,USA_AL_Muscle.Shoals.Rgnl.AP.723235_TMY3.epw,CR09
723240,USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3.epw,CR08
723260,USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3.epw,CR08
723265,USA_TN_Crossville.Mem.AP.723265_TMY3.epw,CR08
723270,USA_TN_Nashville.Intl.AP.723270_TMY3.epw,CR08
723306,USA_MS_Columbus.AFB.723306_TMY3.epw,CR09
723340,USA_TN_Memphis.Intl.AP.723340_TMY3.epw,CR08
723346,USA_TN_Jackson-McKellar.Sipes.Rgnl.AP.723346_TMY3.epw,CR08
723403,USA_AR_Little.Rock-Adams.Field.723403_TMY3.epw,CR09
723417,USA_AR_Pine.Bluff.AP.723417_TMY3.epw,CR09
723418,USA_AR_Texarkana-Webb.Field.723418_TMY3.epw,CR09
723419,USA_AR_El.Dorado-Goodwin.Field.723419_TMY3.epw,CR09
723440,USA_AR_Fort.Smith.Rgnl.AP.723440_TMY3.epw,CR09
723445,USA_AR_Fayetteville-Drake.Field.723445_TMY3.epw,CR09
723446,USA_AR_Harrison.AP.723446_TMY3.epw,CR09
723489,USA_MO_Cape.Girardeau.Muni.AP.723489_TMY3.epw,CR08
723495,USA_MO_Joplin.Muni.AP.723495_TMY3.epw,CR08
723510,USA_TX_Wichita.Falls.Muni.AP.723510_TMY3.epw,CR09
723520,USA_OK_Altus.AFB.723520_TMY3.epw,CR09
723525,USA_OK_Hobart.Muni.AP.723525_TMY3.epw,CR09
723527,USA_OK_Gage.AP.723527_TMY3.epw,CR09
723535,USA_OK_Vance.AFB.723535_TMY3.epw,CR09
723540,USA_OK_Oklahoma.City-Tinker.AFB.723540_TMY3.epw,CR09
723546,USA_OK_Ponca.City.Muni.AP.723546_TMY3.epw,CR09
723550,USA_OK_Fort.Sill-Henry.Post.AAF.723550_TMY3.epw,CR09
723560,USA_OK_Tulsa.Intl.AP.723560_TMY3.epw,CR09
723565,USA_OK_Bartlesville-Phillips.Field.723565_TMY3.epw,CR09
723566,USA_OK_McAlester.Rgnl.AP.723566_TMY3.epw,CR09
723600,USA_NM_Clayton.Muni.AP.723600_TMY3.epw,CR10
723604,USA_TX_Childress.Muni.AP.723604_TMY3.epw,CR09
723627,USA_NM_Gallup-Sen.Clarke.Field.723627_TMY3.epw,CR10
723650,USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,CR10
723656,USA_NM_Santa.Fe.County.Muni.AP.723656_TMY3.epw,CR10
723658,USA_NM_Farmington-Four.Corners.Rgnl.AP.723658_TMY3.epw,CR10
723676,USA_NM_Tucumcari.AP.723676_TMY3.epw,CR10
723677,USA_NM_Las.Vegas-Muni.AP.723677_TMY3.epw,CR10
723700,USA_AZ_Kingman.AWOS.723700_TMY3.epw,CR10
723723,USA_AZ_Prescott-Love.Field.723723_TMY3.epw,CR10
723740,USA_AZ_Winslow.Muni.AP.723740_TMY3.epw,CR10
723747,USA_AZ_Show.Low.Muni.AP.723747_TMY3.epw,CR10
723783,USA_AZ_Grand.Canyon.National.Park.AP.723783_TMY3.epw,CR10
723805,USA_CA_Needles.AP.723805_TMY3.epw,CR11
723810,USA_CA_Edwards.AFB.723810_TMY3.epw,CR11
723815,USA_CA_Barstow.Daggett.AP.723815_TMY3.epw,CR11
723816,USA_CA_Lancaster-Gen.Wm.Fox.Field.723816_TMY3.epw,CR11
723820,USA_CA_Palmdale.AP.723820_TMY3.epw,CR11
723840,USA_CA_Bakersfield-Meadows.Field.723840_TMY3.epw,CR11
723860,USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw,CR10
723870,USA_NV_Mercury-Desert.Rock.AP.723870_TMY3.epw,CR10
723890,USA_CA_Fresno.Air.Terminal.723890_TMY3.epw,CR11
723910,USA_CA_Point.Mugu.NAS.723910_TMY3.epw,CR11
723925,USA_CA_Santa.Barbara.Muni.AP.723925_TMY3.epw,CR11
723940,USA_CA_Santa.Maria.Public.AP.723940_TMY3.epw,CR11
723965,USA_CA_Paso.Robles.Muni.AP.723965_TMY3.epw,CR11
724010,USA_VA_Richmond.Intl.AP.724010_TMY3.epw,CR08
724016,USA_VA_Charlottesville-Albemarle.County.AP.724016_TMY3.epw,CR08
724030,USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw,CR08
724040,USA_MD_Patuxent.River.NAS.724040_TMY3.epw,CR08
724045,USA_MD_Salisbury-Wicomico.County.Rgnl.AP.724045_TMY3.epw,CR08
724050,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3.epw,CR08
724060,USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,CR08
724066,USA_MD_Hagerstown-Washington.County.Rgnl.AP.724066_TMY3.epw,CR08
724070,USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw,CR07
724080,USA_PA_Philadelphia.Intl.AP.724080_TMY3.epw,CR07
724088,USA_DE_Dover.AFB.724088_TMY3.epw,CR08
724089,USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw,CR08
724100,USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3.epw,CR08
724105,USA_VA_Staunton-Shenandoah.Valley.Rgnl.AP.724105_TMY3.epw,CR08
724106,USA_VA_Danville.Rgnl.AP.724106_TMY3.epw,CR08
724110,USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw,CR08
724120,USA_WV_Beckley-Raleigh.County.Mem.AP.724120_TMY3.epw,CR08
724125,USA_WV_Bluefield-Mercer.County.AP.724125_TMY3.epw,CR08
724127,USA_WV_Lewisburg-Greenbrier.Valley.AP.724127_TMY3.epw,CR08
724140,USA_WV_Charleston-Yeager.AP.724140_TMY3.epw,CR08
724170,USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw,CR08
724176,USA_WV_Morgantown.Muni-Hart.Field.724176_TMY3.epw,CR08
724177,USA_WV_Martinsburg-Eastern.WV.Rgnl.AP.724177_TMY3.epw,CR08
724210,USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3.epw,CR09
724220,USA_KY_Lexington-Bluegrass.AP.724220_TMY3.epw,CR09
724230,USA_KY_Louisville-Standiford.Field.724230_TMY3.epw,CR09
724236,USA_KY_Jackson-Julian.Carroll.AP.724236_TMY3.epw,CR09
724243,USA_KY_London-Corbin-Magee.Field.724243_TMY3.epw,CR09
724250,USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw,CR08
724273,USA_WV_Parkersburg-Wood.County-Gill.Robb.Wilson.AP.724273_TMY3.epw,CR08
724275,USA_WV_Wheeling-Ohio.County.AP.724275_TMY3.epw,CR08
724280,USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw,CR05
724286,USA_OH_Zanesville.Muni.AP.724286_TMY3.epw,CR05
724290,USA_OH_Dayton.Intl.AP.724290_TMY3.epw,CR05
724320,USA_IN_Evansville.Rgnl.AP.724320_TMY3.epw,CR05
724338,USA_IL_Belleville-Scott.AFB.724338_TMY3.epw,CR05
724340,USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3.epw,CR08
724345,USA_MO_St.Louis-Spirit.of.St.Louis.AP.724345_TMY3.epw,CR08
724350,USA_KY_Paducah-Barkley.Rgnl.AP.724350_TMY3.epw,CR09
724373,USA_IN_Terre.Haute-Hulman.Rgnl.AP.724373_TMY3.epw,CR05
724380,USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw,CR05
724386,USA_IN_Lafayette-Purdue.University.AP.724386_TMY3.epw,CR05
724390,USA_IL_Springfield-Capital.AP.724390_TMY3.epw,CR05
724396,USA_IL_Quincy.Muni.AP.724396_TMY3.epw,CR05
724400,USA_MO_Springfield.Rgnl.AP.724400_TMY3.epw,CR08
724450,USA_MO_Columbia.Rgnl.AP.724450_TMY3.epw,CR08
724455,USA_MO_Kirksville.Muni.AP.724455_TMY3.epw,CR08
724456,USA_MO_Rolla.National.AP.724456_TMY3.epw,CR08
724460,USA_MO_Kansas.City.Intl.AP.724460_TMY3.epw,CR08
724467,USA_MO_Whiteman.AFB.724467_TMY3.epw,CR08
724475,USA_KS_Olathe-Johnson.County.Industrial.AP.724475_TMY3.epw,CR08
724506,USA_KS_Hutchinson.Muni.AP.724506_TMY3.epw,CR08
724507,USA_KS_Chanute-Martin.Johnson.AP.724507_TMY3.epw,CR08
724510,USA_KS_Dodge.City.Rgnl.AP.724510_TMY3.epw,CR08
724515,USA_KS_Garden.City.Muni.AP.724515_TMY3.epw,CR08
724555,USA_KS_Manhattan.Rgnl.AP.724555_TMY3.epw,CR08
724556,USA_KS_Emporia.Muni.AP.724556_TMY3.epw,CR08
724565,USA_KS_Topeka-Forbes.AFB.724565_TMY3.epw,CR08
724580,USA_KS_Concordia-Blosser.Muni.AP.724580_TMY3.epw,CR08
724585,USA_KS_Russell.Muni.AP.724585_TMY3.epw,CR08
724586,USA_KS_Salina.Muni.AP.724586_TMY3.epw,CR08
724620,USA_CO_Alamosa.Muni.AP.724620_TMY3.epw,CR03
724625,USA_CO_Durango-La.Plata.County.AP.724625_TMY3.epw,CR03
724635,USA_CO_La.Junta.Muni.AP.724635_TMY3.epw,CR03
724640,USA_CO_Pueblo.Mem.AP.724640_TMY3.epw,CR03
724645,USA_CO_Trinidad-Las.Animas.County.AP.724645_TMY3.epw,CR03
724650,USA_KS_Goodland-Renner.Field.724650_TMY3.epw,CR08
724655,USA_KS_Hill.City.Muni.AP.724655_TMY3.epw,CR08
724660,USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3.epw,CR03
724665,USA_CO_Limon.Muni.AP.724665_TMY3.epw,CR03
724666,USA_CO_Golden-NREL.724666_TMY3.epw,CR03
724673,USA_CO_Leadville-Lake.County.AP.724673_TMY3.epw,CR03
724675,USA_CO_Eagle.County.Rgnl.AP.724675_TMY3.epw,CR03
724676,USA_CO_Aspen-Pitkin.County-Sardy.Field.724676_TMY3.epw,CR03
724677,USA_CO_Gunnison.County.AWOS.724677_TMY3.epw,CR03
724698,USA_CO_Akron-Washington.County.AP.724698_TMY3.epw,CR03
724723,USA_UT_Blanding.Muni.AP.724723_TMY3.epw,CR03
724735,USA_UT_Hanksville.AP.724735_TMY3.epw,CR03
724755,USA_UT_Cedar.City.Muni.AP.724755_TMY3.epw,CR03
724756,USA_UT_Bryce.Canyon.AP.724756_TMY3.epw,CR03
724760,USA_CO_Grand.Junction-Walker.Field.724760_TMY3.epw,CR03
724765,USA_CO_Montrose.County.AP.724765_TMY3.epw,CR03
724767,USA_CO_Cortez-Montezuma.County.AP.724767_TMY3.epw,CR03
724769,USA_CO_Fort.Collins.AWOS.724769_TMY3.epw,CR03
724795,USA_UT_Delta.Muni.AP.724795_TMY3.epw,CR03
724800,USA_CA_Bishop.AP.724800_TMY3.epw,CR11
724830,USA_CA_Sacramento.Exec.AP.724830_TMY3.epw,CR11
724837,USA_CA_Beale.AFB.724837_TMY3.epw,CR11
724855,USA_NV_Tonopah.AP.724855_TMY3.epw,CR10
724860,USA_NV_Ely-Yelland.Field.724860_TMY3.epw,CR10
724880,USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw,CR10
724885,USA_NV_Fallon.NAS.724885_TMY3.epw,CR10
724915,USA_CA_Monterey.NAF.724915_TMY3.epw,CR11
724917,USA_CA_Salinas.Muni.AP.724917_TMY3.epw,CR11
724920,USA_CA_Stockton.Metro.AP.724920_TMY3.epw,CR11
724926,USA_CA_Modesto.Muni.AP.724926_TMY3.epw,CR11
724927,USA_CA_Livermore.Muni.AP.724927_TMY3.epw,CR11
724936,USA_CA_Concord-Buchanan.Field.724936_TMY3.epw,CR11
724940,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,CR11
724945,USA_CA_San.Jose.Intl.AP.724945_TMY3.epw,CR11
724955,USA_CA_Napa.County.AP.724955_TMY3.epw,CR11
724957,USA_CA_Santa.Rosa.AWOS.724957_TMY3.epw,CR11
725020,USA_NJ_Newark.Intl.AP.725020_TMY3.epw,CR07
725030,USA_NY_New.York-LaGuardia.AP.725030_TMY3.epw,CR07
725035,USA_NY_Islip-Long.Island.MacArthur.AP.725035_TMY3.epw,CR07
725036,USA_NY_Poughkeepsie-Dutchess.County.AP.725036_TMY3.epw,CR07
725040,USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw,CR04
725046,USA_CT_Groton-New.London.AP.725046_TMY3.epw,CR04
725060,USA_MA_Otis.ANGB.725060_TMY3.epw,CR04
725063,USA_MA_Nantucket.Mem.AP.725063_TMY3.epw,CR04
725070,USA_RI_Providence-T.F.Green.State.AP.725070_TMY3.epw,CR04
725080,USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw,CR04
725090,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,CR04
725095,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw,CR04
725103,USA_PA_Reading.Mem.AP-Spaatz.Field.725103_TMY3.epw,CR07
725115,USA_PA_Harrisburg.Intl.AP.725115_TMY3.epw,CR07
725125,USA_PA_DuBois-Jefferson.County.AP.725125_TMY3.epw,CR07
725126,USA_PA_Altoona-Blair.County.AP.725126_TMY3.epw,CR07
725127,USA_PA_Johnstown-Cambria.County.AP.725127_TMY3.epw,CR07
725130,USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3.epw,CR07
725140,USA_PA_Williamsport.Rgnl.AP.725140_TMY3.epw,CR07
725145,USA_NY_Monticello.AWOS.725145_TMY3.epw,CR07
725150,USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw,CR07
725156,USA_NY_Elmira.Rgnl.AP.725156_TMY3.epw,CR07
725165,USA_VT_Rutland.State.AP.725165_TMY3.epw,CR04
725170,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3.epw,CR07
725180,USA_NY_Albany.County.AP.725180_TMY3.epw,CR07
725185,USA_NY_Glens.Falls-Bennett.Mem.AP.725185_TMY3.epw,CR07
725190,USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw,CR07
725197,USA_NY_Utica-Oneida.County.AP.725197_TMY3.epw,CR07
725200,USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw,CR07
725210,USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw,CR05
725240,USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw,CR05
725246,USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw,CR05
725250,USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw,CR05
725260,USA_PA_Erie.Intl.AP.725260_TMY3.epw,CR07
725266,USA_PA_Bradford.Rgnl.AP.725266_TMY3.epw,CR07
725280,USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw,CR07
725287,USA_NY_Niagara.Falls.Intl.AP.725287_TMY3.epw,CR07
725290,USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw,CR07
725300,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,CR05
725315,USA_IL_University.of.Illinois-Willard.AP.725315_TMY3.epw,CR05
725320,USA_IL_Peoria-Greater.Peoria.AP.725320_TMY3.epw,CR05
725330,USA_IN_Fort.Wayne.Intl.AP.725330_TMY3.epw,CR05
725335,USA_IN_Grissom.AFB.725335_TMY3.epw,CR05
725340,USA_IL_Chicago-Midway.AP.725340_TMY3.epw,CR05
725350,USA_IN_South.Bend-Michiana.Rgnl.AP.725350_TMY3.epw,CR05
725360,USA_OH_Toledo.Express.AP.725360_TMY3.epw,CR05
725366,USA_OH_Findlay.AP.725366_TMY3.epw,CR05
725370,USA_MI_Detroit.Metro.AP.725370_TMY3.epw,CR05
725375,USA_MI_Detroit-City.AP.725375_TMY3.epw,CR05
725377,USA_MI_Mount.Clemens-Selfridge.ANGB.725377_TMY3.epw,CR05
725390,USA_MI_Lansing-Capital.City.AP.725390_TMY3.epw,CR05
725395,USA_MI_Jackson-Reynolds.Field.725395_TMY3.epw,CR05
725396,USA_MI_Battle.Creek-Kellogg.AP.725396_TMY3.epw,CR05
725430,USA_IL_Rockford-Greater.Rockford.AP.725430_TMY3.epw,CR05
725440,USA_IL_Moline-Quad.City.Intl.AP.725440_TMY3.epw,CR05
725450,USA_IA_Cedar.Rapids.Muni.AP.725450_TMY3.epw,CR02
725455,USA_IA_Burlington.Muni.AP.725455_TMY3.epw,CR02
725460,USA_IA_Des.Moines.Intl.AP.725460_TMY3.epw,CR02
725465,USA_IA_Ottumwa.Industrial.AP.725465_TMY3.epw,CR02
725470,USA_IA_Dubuque.Rgnl.AP.725470_TMY3.epw,CR02
725480,USA_IA_Waterloo.Muni.AP.725480_TMY3.epw,CR02
725485,USA_IA_Mason.City.Muni.AP.725485_TMY3.epw,CR02
725500,USA_NE_Omaha-Eppley.Airfield.725500_TMY3.epw,CR08
725510,USA_NE_Lincoln.Muni.AP.725510_TMY3.epw,CR08
725520,USA_NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520_TMY3.epw,CR08
725524,USA_NE_Ord-Sharp.Field.725524_TMY3.epw,CR08
725525,USA_NE_Hastings.Muni.AP.725525_TMY3.epw,CR08
725533,USA_NE_Falls.City-Brenner.Field.725533_TMY3.epw,CR08
725555,USA_NE_Broken.Bow.Muni.AP.725555_TMY3.epw,CR08
725560,USA_NE_Norfolk-Karl.Stefan.Mem.AP.725560_TMY3.epw,CR08
725570,USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY3.epw,CR02
725610,USA_NE_Sidney.Muni.AP.725610_TMY3.epw,CR08
725620,USA_NE_North.Platte.Rgnl.AP.725620_TMY3.epw,CR08
725626,USA_NE_Imperial.Muni.AP.725626_TMY3.epw,CR08
725636,USA_NE_Chadron.Muni.AP.725636_TMY3.epw,CR08
725640,USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw,CR03
725645,USA_WY_Laramie-General.Brees.Field.725645_TMY3.epw,CR03
725650,USA_CO_Denver.Intl.AP.725650_TMY3.epw,CR03
725660,USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY3.epw,CR08
