Dependency=Location	Dependency=Vintage	Dependency=Heating Fuel	Option=0-1499	Option=1500-2499	Option=2500-3499	Option=3500+
AL_Montgomery-Dannelly.Field.722260	2000s	Natural Gas	0.25	0.25	0.25	0.25
AR_Fort.Smith.Rgnl.AP.723440	<1950	Natural Gas	0.25	0.25	0.25	0.25
AR_Fort.Smith.Rgnl.AP.723440	1950s	Natural Gas	0.25	0.25	0.25	0.25
AR_Fort.Smith.Rgnl.AP.723440	1960s	Natural Gas	0.25	0.25	0.25	0.25
AR_Fort.Smith.Rgnl.AP.723440	1970s	Natural Gas	0.25	0.25	0.25	0.25
AR_Fort.Smith.Rgnl.AP.723440	1980s	Natural Gas	0.25	0.25	0.25	0.25
AR_Fort.Smith.Rgnl.AP.723440	1990s	Natural Gas	0.25	0.25	0.25	0.25
AR_Fort.Smith.Rgnl.AP.723440	2000s	Natural Gas	0.25	0.25	0.25	0.25
AR_Little.Rock-Adams.Field.723403	<1950	Natural Gas	0.25	0.25	0.25	0.25
AR_Little.Rock-Adams.Field.723403	1950s	Natural Gas	0.25	0.25	0.25	0.25
AR_Little.Rock-Adams.Field.723403	1960s	Natural Gas	0.25	0.25	0.25	0.25
AR_Little.Rock-Adams.Field.723403	1970s	Natural Gas	0.25	0.25	0.25	0.25
AR_Little.Rock-Adams.Field.723403	1980s	Natural Gas	0.25	0.25	0.25	0.25
AR_Little.Rock-Adams.Field.723403	1990s	Natural Gas	0.25	0.25	0.25	0.25
AR_Little.Rock-Adams.Field.723403	2000s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Flagstaff-Pulliam.AP.723755	<1950	Natural Gas	0.25	0.25	0.25	0.25
AZ_Flagstaff-Pulliam.AP.723755	1950s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Flagstaff-Pulliam.AP.723755	1960s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Flagstaff-Pulliam.AP.723755	1970s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Flagstaff-Pulliam.AP.723755	1980s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Flagstaff-Pulliam.AP.723755	1990s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Flagstaff-Pulliam.AP.723755	2000s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	<1950	Natural Gas	0.25	0.25	0.25	0.25
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1950s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1960s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1970s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1980s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	1990s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Phoenix-Sky.Harbor.Intl.AP.722780	2000s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Prescott-Love.Field.723723	<1950	Natural Gas	0.25	0.25	0.25	0.25
AZ_Prescott-Love.Field.723723	1950s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Prescott-Love.Field.723723	1960s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Prescott-Love.Field.723723	1970s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Prescott-Love.Field.723723	1980s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Prescott-Love.Field.723723	1990s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Prescott-Love.Field.723723	2000s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Tucson.Intl.AP.722740	<1950	Natural Gas	0.25	0.25	0.25	0.25
AZ_Tucson.Intl.AP.722740	1950s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Tucson.Intl.AP.722740	1960s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Tucson.Intl.AP.722740	1970s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Tucson.Intl.AP.722740	1980s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Tucson.Intl.AP.722740	1990s	Natural Gas	0.25	0.25	0.25	0.25
AZ_Tucson.Intl.AP.722740	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Arcata.AP.725945	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Arcata.AP.725945	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Arcata.AP.725945	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Arcata.AP.725945	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Arcata.AP.725945	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Arcata.AP.725945	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Arcata.AP.725945	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Bakersfield-Meadows.Field.723840	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Bakersfield-Meadows.Field.723840	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Bakersfield-Meadows.Field.723840	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Bakersfield-Meadows.Field.723840	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Bakersfield-Meadows.Field.723840	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Bakersfield-Meadows.Field.723840	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Bakersfield-Meadows.Field.723840	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Barstow.Daggett.AP.723815	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Barstow.Daggett.AP.723815	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Barstow.Daggett.AP.723815	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Barstow.Daggett.AP.723815	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Barstow.Daggett.AP.723815	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Barstow.Daggett.AP.723815	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Barstow.Daggett.AP.723815	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Fresno.Air.Terminal.723890	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Fresno.Air.Terminal.723890	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Fresno.Air.Terminal.723890	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Fresno.Air.Terminal.723890	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Fresno.Air.Terminal.723890	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Fresno.Air.Terminal.723890	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Fresno.Air.Terminal.723890	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Long.Beach-Daugherty.Field.722970	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Long.Beach-Daugherty.Field.722970	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Long.Beach-Daugherty.Field.722970	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Long.Beach-Daugherty.Field.722970	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Long.Beach-Daugherty.Field.722970	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Long.Beach-Daugherty.Field.722970	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Long.Beach-Daugherty.Field.722970	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Los.Angeles.Intl.AP.722950	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Los.Angeles.Intl.AP.722950	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Los.Angeles.Intl.AP.722950	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Los.Angeles.Intl.AP.722950	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Los.Angeles.Intl.AP.722950	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Los.Angeles.Intl.AP.722950	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Los.Angeles.Intl.AP.722950	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Sacramento.Exec.AP.724830	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Sacramento.Exec.AP.724830	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Sacramento.Exec.AP.724830	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Sacramento.Exec.AP.724830	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Sacramento.Exec.AP.724830	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Sacramento.Exec.AP.724830	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Sacramento.Exec.AP.724830	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Diego-Lindbergh.Field.722900	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Diego-Lindbergh.Field.722900	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Diego-Lindbergh.Field.722900	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Diego-Lindbergh.Field.722900	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Diego-Lindbergh.Field.722900	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Diego-Lindbergh.Field.722900	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Diego-Lindbergh.Field.722900	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Francisco.Intl.AP.724940	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Francisco.Intl.AP.724940	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Francisco.Intl.AP.724940	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Francisco.Intl.AP.724940	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Francisco.Intl.AP.724940	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Francisco.Intl.AP.724940	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_San.Francisco.Intl.AP.724940	2000s	Natural Gas	0.25	0.25	0.25	0.25
CA_Santa.Maria.Public.AP.723940	<1950	Natural Gas	0.25	0.25	0.25	0.25
CA_Santa.Maria.Public.AP.723940	1950s	Natural Gas	0.25	0.25	0.25	0.25
CA_Santa.Maria.Public.AP.723940	1960s	Natural Gas	0.25	0.25	0.25	0.25
CA_Santa.Maria.Public.AP.723940	1970s	Natural Gas	0.25	0.25	0.25	0.25
CA_Santa.Maria.Public.AP.723940	1980s	Natural Gas	0.25	0.25	0.25	0.25
CA_Santa.Maria.Public.AP.723940	1990s	Natural Gas	0.25	0.25	0.25	0.25
CA_Santa.Maria.Public.AP.723940	2000s	Natural Gas	0.25	0.25	0.25	0.25
CO_Alamosa.Muni.AP.724620	<1950	Natural Gas	0.25	0.25	0.25	0.25
CO_Alamosa.Muni.AP.724620	1950s	Natural Gas	0.25	0.25	0.25	0.25
CO_Alamosa.Muni.AP.724620	1960s	Natural Gas	0.25	0.25	0.25	0.25
CO_Alamosa.Muni.AP.724620	1970s	Natural Gas	0.25	0.25	0.25	0.25
CO_Alamosa.Muni.AP.724620	1980s	Natural Gas	0.25	0.25	0.25	0.25
CO_Alamosa.Muni.AP.724620	1990s	Natural Gas	0.25	0.25	0.25	0.25
CO_Alamosa.Muni.AP.724620	2000s	Natural Gas	0.25	0.25	0.25	0.25
CO_Boulder-Broomfield-Jefferson.County.AP.724699	<1950	Natural Gas	0.25	0.25	0.25	0.25
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1950s	Natural Gas	0.25	0.25	0.25	0.25
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1960s	Natural Gas	0.25	0.25	0.25	0.25
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1970s	Natural Gas	0.25	0.25	0.25	0.25
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1980s	Natural Gas	0.25	0.25	0.25	0.25
CO_Boulder-Broomfield-Jefferson.County.AP.724699	1990s	Natural Gas	0.25	0.25	0.25	0.25
CO_Boulder-Broomfield-Jefferson.County.AP.724699	2000s	Natural Gas	0.25	0.25	0.25	0.25
CO_Colorado.Springs-Peterson.Field.724660	<1950	Natural Gas	0.25	0.25	0.25	0.25
CO_Colorado.Springs-Peterson.Field.724660	1950s	Natural Gas	0.25	0.25	0.25	0.25
CO_Colorado.Springs-Peterson.Field.724660	1960s	Natural Gas	0.25	0.25	0.25	0.25
CO_Colorado.Springs-Peterson.Field.724660	1970s	Natural Gas	0.25	0.25	0.25	0.25
CO_Colorado.Springs-Peterson.Field.724660	1980s	Natural Gas	0.25	0.25	0.25	0.25
CO_Colorado.Springs-Peterson.Field.724660	1990s	Natural Gas	0.25	0.25	0.25	0.25
CO_Colorado.Springs-Peterson.Field.724660	2000s	Natural Gas	0.25	0.25	0.25	0.25
CO_Eagle.County.Rgnl.AP.724675	<1950	Natural Gas	0.25	0.25	0.25	0.25
CO_Eagle.County.Rgnl.AP.724675	1950s	Natural Gas	0.25	0.25	0.25	0.25
CO_Eagle.County.Rgnl.AP.724675	1960s	Natural Gas	0.25	0.25	0.25	0.25
CO_Eagle.County.Rgnl.AP.724675	1970s	Natural Gas	0.25	0.25	0.25	0.25
CO_Eagle.County.Rgnl.AP.724675	1980s	Natural Gas	0.25	0.25	0.25	0.25
CO_Eagle.County.Rgnl.AP.724675	1990s	Natural Gas	0.25	0.25	0.25	0.25
CO_Eagle.County.Rgnl.AP.724675	2000s	Natural Gas	0.25	0.25	0.25	0.25
CO_Grand.Junction-Walker.Field.724760	<1950	Natural Gas	0.25	0.25	0.25	0.25
CO_Grand.Junction-Walker.Field.724760	1950s	Natural Gas	0.25	0.25	0.25	0.25
CO_Grand.Junction-Walker.Field.724760	1960s	Natural Gas	0.25	0.25	0.25	0.25
CO_Grand.Junction-Walker.Field.724760	1970s	Natural Gas	0.25	0.25	0.25	0.25
CO_Grand.Junction-Walker.Field.724760	1980s	Natural Gas	0.25	0.25	0.25	0.25
CO_Grand.Junction-Walker.Field.724760	1990s	Natural Gas	0.25	0.25	0.25	0.25
CO_Grand.Junction-Walker.Field.724760	2000s	Natural Gas	0.25	0.25	0.25	0.25
CO_Pueblo.Mem.AP.724640	<1950	Natural Gas	0.25	0.25	0.25	0.25
CO_Pueblo.Mem.AP.724640	1950s	Natural Gas	0.25	0.25	0.25	0.25
CO_Pueblo.Mem.AP.724640	1960s	Natural Gas	0.25	0.25	0.25	0.25
CO_Pueblo.Mem.AP.724640	1970s	Natural Gas	0.25	0.25	0.25	0.25
CO_Pueblo.Mem.AP.724640	1980s	Natural Gas	0.25	0.25	0.25	0.25
CO_Pueblo.Mem.AP.724640	1990s	Natural Gas	0.25	0.25	0.25	0.25
CO_Pueblo.Mem.AP.724640	2000s	Natural Gas	0.25	0.25	0.25	0.25
CT_Bridgeport-Sikorsky.Mem.AP.725040	<1950	Natural Gas	0.25	0.25	0.25	0.25
CT_Bridgeport-Sikorsky.Mem.AP.725040	1950s	Natural Gas	0.25	0.25	0.25	0.25
CT_Bridgeport-Sikorsky.Mem.AP.725040	1960s	Natural Gas	0.25	0.25	0.25	0.25
CT_Bridgeport-Sikorsky.Mem.AP.725040	1970s	Natural Gas	0.25	0.25	0.25	0.25
CT_Bridgeport-Sikorsky.Mem.AP.725040	1980s	Natural Gas	0.25	0.25	0.25	0.25
CT_Bridgeport-Sikorsky.Mem.AP.725040	1990s	Natural Gas	0.25	0.25	0.25	0.25
CT_Bridgeport-Sikorsky.Mem.AP.725040	2000s	Natural Gas	0.25	0.25	0.25	0.25
CT_Hartford-Bradley.Intl.AP.725080	<1950	Natural Gas	0.25	0.25	0.25	0.25
CT_Hartford-Bradley.Intl.AP.725080	1950s	Natural Gas	0.25	0.25	0.25	0.25
CT_Hartford-Bradley.Intl.AP.725080	1960s	Natural Gas	0.25	0.25	0.25	0.25
CT_Hartford-Bradley.Intl.AP.725080	1970s	Natural Gas	0.25	0.25	0.25	0.25
CT_Hartford-Bradley.Intl.AP.725080	1980s	Natural Gas	0.25	0.25	0.25	0.25
CT_Hartford-Bradley.Intl.AP.725080	1990s	Natural Gas	0.25	0.25	0.25	0.25
CT_Hartford-Bradley.Intl.AP.725080	2000s	Natural Gas	0.25	0.25	0.25	0.25
DE_Wilmington-New.Castle.County.AP.724089	<1950	Natural Gas	0.25	0.25	0.25	0.25
DE_Wilmington-New.Castle.County.AP.724089	1950s	Natural Gas	0.25	0.25	0.25	0.25
DE_Wilmington-New.Castle.County.AP.724089	1960s	Natural Gas	0.25	0.25	0.25	0.25
DE_Wilmington-New.Castle.County.AP.724089	1970s	Natural Gas	0.25	0.25	0.25	0.25
DE_Wilmington-New.Castle.County.AP.724089	1980s	Natural Gas	0.25	0.25	0.25	0.25
DE_Wilmington-New.Castle.County.AP.724089	1990s	Natural Gas	0.25	0.25	0.25	0.25
DE_Wilmington-New.Castle.County.AP.724089	2000s	Natural Gas	0.25	0.25	0.25	0.25
FL_Daytona.Beach.Intl.AP.722056	<1950	Natural Gas	0.25	0.25	0.25	0.25
FL_Daytona.Beach.Intl.AP.722056	1950s	Natural Gas	0.25	0.25	0.25	0.25
FL_Daytona.Beach.Intl.AP.722056	1960s	Natural Gas	0.25	0.25	0.25	0.25
FL_Daytona.Beach.Intl.AP.722056	1970s	Natural Gas	0.25	0.25	0.25	0.25
FL_Daytona.Beach.Intl.AP.722056	1980s	Natural Gas	0.25	0.25	0.25	0.25
FL_Daytona.Beach.Intl.AP.722056	1990s	Natural Gas	0.25	0.25	0.25	0.25
FL_Daytona.Beach.Intl.AP.722056	2000s	Natural Gas	0.25	0.25	0.25	0.25
FL_Jacksonville.Intl.AP.722060	<1950	Natural Gas	0.25	0.25	0.25	0.25
FL_Jacksonville.Intl.AP.722060	1950s	Natural Gas	0.25	0.25	0.25	0.25
FL_Jacksonville.Intl.AP.722060	1960s	Natural Gas	0.25	0.25	0.25	0.25
FL_Jacksonville.Intl.AP.722060	1970s	Natural Gas	0.25	0.25	0.25	0.25
FL_Jacksonville.Intl.AP.722060	1980s	Natural Gas	0.25	0.25	0.25	0.25
FL_Jacksonville.Intl.AP.722060	1990s	Natural Gas	0.25	0.25	0.25	0.25
FL_Jacksonville.Intl.AP.722060	2000s	Natural Gas	0.25	0.25	0.25	0.25
FL_Key.West.Intl.AP.722010	<1950	Natural Gas	0.25	0.25	0.25	0.25
FL_Key.West.Intl.AP.722010	1950s	Natural Gas	0.25	0.25	0.25	0.25
FL_Key.West.Intl.AP.722010	1960s	Natural Gas	0.25	0.25	0.25	0.25
FL_Key.West.Intl.AP.722010	1970s	Natural Gas	0.25	0.25	0.25	0.25
FL_Key.West.Intl.AP.722010	1980s	Natural Gas	0.25	0.25	0.25	0.25
FL_Key.West.Intl.AP.722010	1990s	Natural Gas	0.25	0.25	0.25	0.25
FL_Key.West.Intl.AP.722010	2000s	Natural Gas	0.25	0.25	0.25	0.25
FL_Miami.Intl.AP.722020	<1950	Natural Gas	0.25	0.25	0.25	0.25
FL_Miami.Intl.AP.722020	1950s	Natural Gas	0.25	0.25	0.25	0.25
FL_Miami.Intl.AP.722020	1960s	Natural Gas	0.25	0.25	0.25	0.25
FL_Miami.Intl.AP.722020	1970s	Natural Gas	0.25	0.25	0.25	0.25
FL_Miami.Intl.AP.722020	1980s	Natural Gas	0.25	0.25	0.25	0.25
FL_Miami.Intl.AP.722020	1990s	Natural Gas	0.25	0.25	0.25	0.25
FL_Miami.Intl.AP.722020	2000s	Natural Gas	0.25	0.25	0.25	0.25
FL_Orlando.Intl.AP.722050	<1950	Natural Gas	0.25	0.25	0.25	0.25
FL_Orlando.Intl.AP.722050	1950s	Natural Gas	0.25	0.25	0.25	0.25
FL_Orlando.Intl.AP.722050	1960s	Natural Gas	0.25	0.25	0.25	0.25
FL_Orlando.Intl.AP.722050	1970s	Natural Gas	0.25	0.25	0.25	0.25
FL_Orlando.Intl.AP.722050	1980s	Natural Gas	0.25	0.25	0.25	0.25
FL_Orlando.Intl.AP.722050	1990s	Natural Gas	0.25	0.25	0.25	0.25
FL_Orlando.Intl.AP.722050	2000s	Natural Gas	0.25	0.25	0.25	0.25
FL_Tallahassee.Rgnl.AP.722140	<1950	Natural Gas	0.25	0.25	0.25	0.25
FL_Tallahassee.Rgnl.AP.722140	1950s	Natural Gas	0.25	0.25	0.25	0.25
FL_Tallahassee.Rgnl.AP.722140	1960s	Natural Gas	0.25	0.25	0.25	0.25
FL_Tallahassee.Rgnl.AP.722140	1970s	Natural Gas	0.25	0.25	0.25	0.25
FL_Tallahassee.Rgnl.AP.722140	1980s	Natural Gas	0.25	0.25	0.25	0.25
FL_Tallahassee.Rgnl.AP.722140	1990s	Natural Gas	0.25	0.25	0.25	0.25
FL_Tallahassee.Rgnl.AP.722140	2000s	Natural Gas	0.25	0.25	0.25	0.25
FL_West.Palm.Beach.Intl.AP.722030	<1950	Natural Gas	0.25	0.25	0.25	0.25
FL_West.Palm.Beach.Intl.AP.722030	1950s	Natural Gas	0.25	0.25	0.25	0.25
FL_West.Palm.Beach.Intl.AP.722030	1960s	Natural Gas	0.25	0.25	0.25	0.25
FL_West.Palm.Beach.Intl.AP.722030	1970s	Natural Gas	0.25	0.25	0.25	0.25
FL_West.Palm.Beach.Intl.AP.722030	1980s	Natural Gas	0.25	0.25	0.25	0.25
FL_West.Palm.Beach.Intl.AP.722030	1990s	Natural Gas	0.25	0.25	0.25	0.25
FL_West.Palm.Beach.Intl.AP.722030	2000s	Natural Gas	0.25	0.25	0.25	0.25
GA_Athens-Ben.Epps.AP.723110	<1950	Natural Gas	0.25	0.25	0.25	0.25
GA_Athens-Ben.Epps.AP.723110	1950s	Natural Gas	0.25	0.25	0.25	0.25
GA_Athens-Ben.Epps.AP.723110	1960s	Natural Gas	0.25	0.25	0.25	0.25
GA_Athens-Ben.Epps.AP.723110	1970s	Natural Gas	0.25	0.25	0.25	0.25
GA_Athens-Ben.Epps.AP.723110	1980s	Natural Gas	0.25	0.25	0.25	0.25
GA_Athens-Ben.Epps.AP.723110	1990s	Natural Gas	0.25	0.25	0.25	0.25
GA_Athens-Ben.Epps.AP.723110	2000s	Natural Gas	0.25	0.25	0.25	0.25
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	<1950	Natural Gas	0.25	0.25	0.25	0.25
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1950s	Natural Gas	0.25	0.25	0.25	0.25
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1960s	Natural Gas	0.25	0.25	0.25	0.25
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1970s	Natural Gas	0.25	0.25	0.25	0.25
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1980s	Natural Gas	0.25	0.25	0.25	0.25
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	1990s	Natural Gas	0.25	0.25	0.25	0.25
GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190	2000s	Natural Gas	0.25	0.25	0.25	0.25
GA_Augusta-Bush-Field.722180	<1950	Natural Gas	0.25	0.25	0.25	0.25
GA_Augusta-Bush-Field.722180	1950s	Natural Gas	0.25	0.25	0.25	0.25
GA_Augusta-Bush-Field.722180	1960s	Natural Gas	0.25	0.25	0.25	0.25
GA_Augusta-Bush-Field.722180	1970s	Natural Gas	0.25	0.25	0.25	0.25
GA_Augusta-Bush-Field.722180	1980s	Natural Gas	0.25	0.25	0.25	0.25
GA_Augusta-Bush-Field.722180	1990s	Natural Gas	0.25	0.25	0.25	0.25
GA_Augusta-Bush-Field.722180	2000s	Natural Gas	0.25	0.25	0.25	0.25
GA_Columbus.Metro.AP.722255	<1950	Natural Gas	0.25	0.25	0.25	0.25
GA_Columbus.Metro.AP.722255	1950s	Natural Gas	0.25	0.25	0.25	0.25
GA_Columbus.Metro.AP.722255	1960s	Natural Gas	0.25	0.25	0.25	0.25
GA_Columbus.Metro.AP.722255	1970s	Natural Gas	0.25	0.25	0.25	0.25
GA_Columbus.Metro.AP.722255	1980s	Natural Gas	0.25	0.25	0.25	0.25
GA_Columbus.Metro.AP.722255	1990s	Natural Gas	0.25	0.25	0.25	0.25
GA_Columbus.Metro.AP.722255	2000s	Natural Gas	0.25	0.25	0.25	0.25
GA_Macon-Middle.Georgia.Rgnl.AP.722170	<1950	Natural Gas	0.25	0.25	0.25	0.25
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1950s	Natural Gas	0.25	0.25	0.25	0.25
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1960s	Natural Gas	0.25	0.25	0.25	0.25
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1970s	Natural Gas	0.25	0.25	0.25	0.25
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1980s	Natural Gas	0.25	0.25	0.25	0.25
GA_Macon-Middle.Georgia.Rgnl.AP.722170	1990s	Natural Gas	0.25	0.25	0.25	0.25
