Building,Location Weather Year,Usage Level,Geometry Building Type FPL,Location,Location Region,Location Weather Filename,Vintage FPL,Vintage,Heating Fuel,Geometry Building Type,Geometry Building Number Units HL,Geometry Foundation Type,Geometry House Size,Geometry Building Floors,Geometry Building Number Units MF,Geometry Building Number Units SFA,Geometry Garage,Bedrooms,Corridor,Geometry Unit Stories SF,Geometry Unit Stories MF,Geometry Is Multifamily Low Rise,Geometry Shared Walls SFA,Geometry Shared Walls MF,Occupants,Orientation,Eaves,Door Area,Window Areas,Overhangs,Neighbors,Insulation Unfinished Attic,Insulation Finished Roof,Radiant Barrier Unfinished Attic,Roof Material,Insulation Slab,Insulation Crawlspace,Insulation Unfinished Basement,Insulation Finished Basement,Insulation Pier Beam,Insulation Interzonal Floor,Insulation Wall,Interior Shading,Windows,Doors,Water Heater,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC System Is Shared,HVAC System Shared Electricity,HVAC System Shared Natural Gas,HVAC System Shared Propane,HVAC System Shared Fuel Oil,HVAC System Shared Other Fuel,HVAC System Shared None,HVAC System Is Heat Pump,HVAC System Heat Pump,HVAC System Heating Electricity,HVAC System Heating Natural Gas,HVAC System Heating Propane,HVAC System Heating Fuel Oil,HVAC System Heating Other Fuel,HVAC System Heating None,HVAC System Cooling,HVAC System Cooling Type,Heating Setpoint,Cooling Setpoint,Has Heating Setpoint Offset,Has Cooling Setpoint Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Heating Setpoint Offset Period,Ceiling Fan,Dehumidifier,Refrigerator,Refrigeration Schedule,Cooking Range,Cooking Range Schedule,Dishwasher,Clothes Washer,Clothes Dryer,Lighting,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Loads,Plug Loads Schedule,Electric Vehicle,Misc Extra Refrigerator,Misc Freezer,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Misc Pool Schedule,Misc Well Pump,Ducts,Infiltration,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,PV,Days Shifted,Geometry Perimeter Footprint Ratio
11,TMY3,Medium,50 or more Unit,IL_Chicago-OHare.Intl.AP.725300,CR04,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,50 or more Units high,Unheated Basement,0-1499,2,54,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Northwest,2 ft,20 ft^2,F15 B15 L15 R15,None,4,"Ceiling R-38, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,R-19,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,70F,75F,No,Yes,0F,2F,Day Setup and Night Setback,None,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",10 ACH50,"Year-Round, 3 days/wk",None,Hour0,Hour2,None,Day61,0.13
12,TMY3,Low,2 Unit,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 2 - 4 Units,<5,Unheated Basement,0-1499,1,2,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,Southeast,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-19, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,70F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 15.9,National Average,"Gas, 80% Usage",National Average,"290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour13,Hour7,None,Day42,0.13
13,TMY3,Medium,20 to 49 Unit,CA_Los.Angeles.Intl.AP.722950,CR11,USA_CA_Los.Angeles.Intl.AP.722950_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,24,None,None,3,Double-Loaded Interior,N/a,2,Yes,None,None,Auto,Southwest,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,None,None,65F,78F,Yes,No,3F,0F,None,Day and Night,National Average,None,EF 10.5,National Average,"Gas, 100% Usage",National Average,"290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour4,Hour16,None,Day159,0.13
14,TMY3,High,20 to 49 Unit,CA_San.Francisco.Intl.AP.724940,CR11,USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,1960-79s,1970s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Crawl,0-1499,2,42,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Uninsulated, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Both Shared,Fan Coil Heating And Cooling,None,None,None,None,None,No,None,None,None,None,None,None,None,None,None,68F,75F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour2,Hour12,None,Day132,0.13
15,TMY3,Low,20 to 49 Unit,CA_San.Diego-Lindbergh.Field.722900,CR11,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,1,24,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,4,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 10",Central,75F,68F,Yes,Yes,3F,2F,Night Setback,Night,National Average,None,EF 15.9,National Average,"Electric, 80% Usage",National Average,"318 Rated kWh, 80% Usage","Standard, 80% Usage","Electric, 80% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, R-4",15 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour4,None,Day71,0.13
16,TMY3,Low,3 or 4 Unit,MA_Boston-Logan.Intl.AP.725090,CR03,USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw,<1940,<1940,Natural Gas,Multi-Family with 2 - 4 Units,<5,Unheated Basement,0-1499,1,4,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-30, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Boiler, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,70F,70F,Yes,No,12F,0F,None,Day,National Average,None,EF 10.5,National Average,"Gas, 80% Usage",National Average,"318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",60% CFL,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour19,None,Day214,0.13
17,TMY3,Low,3 or 4 Unit,NJ_Newark.Intl.AP.725020,CR07,USA_NJ_Newark.Intl.AP.725020_TMY3.epw,1940-59s,1950s,Natural Gas,Multi-Family with 2 - 4 Units,<5,Crawl,0-1499,1,4,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,"Uninsulated, Vented",None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 76% AFUE",None,None,None,None,"AC, SEER 13",Central,70F,68F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Gas, 80% Usage",National Average,"318 Rated kWh, 80% Usage","EnergyStar, 80% Usage",None,100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour3,Hour19,None,Day228,0.13
18,TMY3,Medium,5 to 9 Unit,MD_Baltimore-Washington.Intl.AP.724060,CR08,USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,5 to 9 Units low,Unheated Basement,0-1499,3,9,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"AC, SEER 10",Central,72F,72F,Yes,No,6F,0F,None,Night,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour6,Hour7,None,Day59,0.13
19,TMY3,Medium,10 to 19 Unit,MD_Baltimore-Washington.Intl.AP.724060,CR08,USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,1960-79s,1970s,Natural Gas,Multi-Family with 5+ Units,10 to 19 Units low,Unheated Basement,0-1499,2,18,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Gas Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 13",Central,75F,70F,Yes,Yes,3F,5F,Night Setup,Day,National Average,None,EF 15.9,National Average,"Gas, 100% Usage",National Average,"290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour21,Hour11,None,Day259,0.13
20,TMY3,Low,2 Unit,NY_Albany.County.AP.725180,CR07,USA_NY_Albany.County.AP.725180_TMY3.epw,<1940,<1940,Natural Gas,Multi-Family with 2 - 4 Units,<5,Unheated Basement,0-1499,1,2,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-19, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,70F,Yes,Yes,6F,2F,Day Setup,Day and Night,National Average,None,EF 15.9,National Average,"Electric, 80% Usage",National Average,"290 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"10% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour17,Hour10,None,Day221,0.13
21,TMY3,High,20 to 49 Unit,WA_Seattle-Tacoma.Intl.AP.727930,CR06,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,1980-99s,1980s,Electricity,Multi-Family with 5+ Units,20 to 49 Units high,Unheated Basement,0-1499,2,20,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Ceiling R-19,None,None,Uninsulated,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,65F,72F,No,No,0F,0F,None,None,National Average,None,EF 10.5,National Average,"Electric, 120% Usage",National Average,"318 Rated kWh, 120% Usage","Standard, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour7,Hour13,None,Day21,0.13
22,TMY3,High,3 or 4 Unit,CT_Hartford-Bradley.Intl.AP.725080,CR03,USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw,<1940,<1940,Natural Gas,Multi-Family with 2 - 4 Units,<5,Unheated Basement,0-1499,1,3,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,North,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 92.5% AFUE",None,None,None,None,"FIXME Room AC, EER 8.5, 20% Conditioned",Room,68F,78F,No,No,0F,0F,None,None,National Average,None,EF 10.5,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% CFL,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour13,None,Day234,0.13
23,TMY3,High,20 to 49 Unit,CO_Boulder-Broomfield-Jefferson.County.AP.724699,CR05,USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3.epw,1960-79s,1960s,Natural Gas,Multi-Family with 5+ Units,20 to 49 Units low,Unheated Basement,0-1499,3,21,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-19, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,None,None,65F,72F,No,No,0F,0F,None,None,National Average,None,EF 15.9,National Average,"Electric, 120% Usage",National Average,"290 Rated kWh, 120% Usage","Standard, 120% Usage","Gas, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour9,Hour1,None,Day144,0.13
24,TMY3,Medium,3 or 4 Unit,TX_Dallas-Fort.Worth.Intl.AP.722590,CR09,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 2 - 4 Units,<5,Slab,0-1499,1,4,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,R-19,"Wood Stud, R-15","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Propane Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 15",Central,70F,80F,Yes,No,3F,0F,None,Day,National Average,None,EF 10.5,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage","EnergyStar, 100% Usage",None,100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour13,Hour19,None,Day30,0.13
25,TMY3,Medium,20 to 49 Unit,TX_Dallas-Fort.Worth.Intl.AP.722590,CR09,USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw,1980-99s,1990s,Electricity,Multi-Family with 5+ Units,20 to 49 Units low,Slab,0-1499,2,24,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-30, Vented",R-30,None,"Asphalt Shingles, Medium","2ft R5 Perimeter, R5 Gap",None,None,None,None,R-19,"Wood Stud, R-11","Summer = 0.7, Winter = 0.7",2+ Pane,Fiberglass,Electric Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,Electric Furnace,None,None,None,None,None,"AC, SEER 13",Central,75F,75F,No,Yes,0F,9F,Night Setback,None,National Average,None,EF 15.9,National Average,"Electric, 100% Usage",National Average,"290 Rated kWh, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, R-4",10 ACH50,"Year-Round, 3 days/wk",None,Hour16,Hour18,None,Day44,0.13
26,TMY3,High,3 or 4 Unit,FL_Miami.Intl.AP.722020,CR09,USA_FL_Miami.Intl.AP.722020_TMY3.epw,1960-79s,1960s,Electricity,Multi-Family with 2 - 4 Units,<5,Slab,0-1499,1,3,None,None,3,Double-Loaded Interior,N/a,2,Yes,None,None,Auto,West,2 ft,20 ft^2,F15 B15 L15 R15,None,27,"Ceiling R-13, Vented",Uninsulated,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Electric Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,Yes,"ASHP, SEER 13, 7.7 HSPF",None,None,None,None,None,None,None,None,75F,68F,Yes,Yes,3F,5F,Night Setback,Night,National Average,None,EF 15.9,National Average,"Gas, 120% Usage",National Average,"318 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour23,Hour16,None,Day286,0.13
27,TMY3,High,20 to 49 Unit,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,1940-59s,1940s,Natural Gas,Multi-Family with 5+ Units,20 to 49 Units high,Unheated Basement,0-1499,2,24,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,East,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-7, Vented",R-30,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,200% Usage,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,68F,72F,No,Yes,0F,5F,Day and Night Setup,None,National Average,None,EF 10.5,National Average,"Gas, 120% Usage",National Average,"290 Rated kWh, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,200%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"20% Leakage, Uninsulated",20 ACH50,"Year-Round, 3 days/wk",None,Hour19,Hour16,None,Day80,0.13
28,TMY3,Medium,5 to 9 Unit,NY_New.York-J.F.Kennedy.Intl.AP.744860,CR07,USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw,<1940,<1940,Natural Gas,Multi-Family with 5+ Units,5 to 9 Units low,Slab,0-1499,3,9,None,None,3,Double-Loaded Interior,N/a,1,Yes,None,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,7,"Ceiling R-30, Vented",R-30,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,100% Usage,"Uninsulated, TrunkBranch, Copper",None,Only Heating Shared,None,Boiler Baseboards Heating Only,None,None,None,None,No,None,None,None,None,None,None,None,"AC, SEER 13",Central,62F,72F,Yes,Yes,6F,5F,Day Setup and Night Setback,Night,National Average,None,EF 15.9,National Average,"Gas, 100% Usage",National Average,"290 Rated kWh, 100% Usage","Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,100%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"30% Leakage, R-4",20 ACH50,"Year-Round, 3 days/wk",None,Hour22,Hour9,None,Day73,0.13
29,TMY3,Low,3 or 4 Unit,RI_Providence-T.F.Green.State.AP.725070,CR03,USA_RI_Providence-T.F.Green.State.AP.725070_TMY3.epw,<1940,<1940,Natural Gas,Multi-Family with 2 - 4 Units,<5,Unheated Basement,0-1499,1,3,None,None,3,Double-Loaded Interior,N/a,2,Yes,None,None,Auto,South,2 ft,20 ft^2,F15 B15 L15 R15,None,12,"Ceiling R-19, Vented",Uninsulated,None,"Asphalt Shingles, Medium",None,None,Uninsulated,None,None,Uninsulated,"Wood Stud, Uninsulated","Summer = 0.7, Winter = 0.7",1 Pane,Fiberglass,Gas Standard,50% Usage,"Uninsulated, TrunkBranch, Copper",None,Neither Shared,None,None,None,None,None,None,No,None,None,"Gas Furnace, 80% AFUE",None,None,None,None,"FIXME Room AC, EER 10.7, 20% Conditioned",Room,72F,70F,Yes,Yes,3F,2F,Night Setup,Night,National Average,None,EF 10.2,National Average,"Gas, 80% Usage",National Average,"318 Rated kWh, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage",100% Incandescent,100% Usage,100% Usage,No Exterior Use,50%,National Average,None,"EF 6.9, National Average","EF 12, National Average",National Average,National Average,National Average,National Average,Has Pool,National Average,1.0 HP Pump,National Average,National Average,"10% Leakage, Uninsulated",15 ACH50,"Year-Round, 3 days/wk",None,Hour12,Hour16,None,Day105,0.13
