Dependency=Location Region,Dependency=Vintage,Dependency=Heating Fuel,Option=No,Option=Yes,# Samples
H1C3,pre-1950,Electricity,0.5,0.5,2
H1C3,pre-1950,Fuel Oil,0,0,0
H1C3,pre-1950,Natural Gas,1.0,0.0,6
H2,1950s,Electricity,0.5714285714285714,0.42857142857142855,7
H2,1950s,Fuel Oil,1.0,0.0,1
H2,1950s,Natural Gas,1.0,0.0,11
H2,1950s,Other Fuel,1.0,0.0,5
H2,1960s,Electricity,0,0,0
H2,1960s,Natural Gas,1.0,0.0,5
H2,1960s,Other Fuel,1.0,0.0,2
H2,1970s,Electricity,1.0,0.0,6
H2,1970s,Natural Gas,1.0,0.0,19
H2,1970s,Other Fuel,0,0,0
H2,1970s,Propane/LPG,1.0,0.0,1
H2,1980s,Electricity,1.0,0.0,3
H2,1980s,Fuel Oil,1.0,0.0,1
H2,1980s,Natural Gas,1.0,0.0,1
H2,1980s,Other Fuel,1.0,0.0,5
H2,1990s,Electricity,0.5,0.5,12
H2,1990s,Natural Gas,1.0,0.0,16
H2,1990s,None,1.0,0.0,1
H2,1990s,Other Fuel,1.0,0.0,5
H2,2000s,Electricity,0.8,0.2,5
H2,2000s,Natural Gas,1.0,0.0,16
H2,2000s,Other Fuel,1.0,0.0,3
H2,2000s,Propane/LPG,1.0,0.0,1
H2,pre-1950,Electricity,0.75,0.25,12
H2,pre-1950,Fuel Oil,1.0,0.0,7
H2,pre-1950,Natural Gas,1.0,0.0,8
H2,pre-1950,Other Fuel,1.0,0.0,4
H3,1950s,Electricity,1.0,0.0,1
H3,1950s,Fuel Oil,0,0,0
H3,1950s,Natural Gas,1.0,0.0,5
H3,1950s,Other Fuel,1.0,0.0,1
H3,1960s,Electricity,1.0,0.0,1
H3,1960s,Fuel Oil,1.0,0.0,1
H3,1960s,Natural Gas,1.0,0.0,6
H3,1960s,Other Fuel,0,0,0
H3,1960s,Propane/LPG,1.0,0.0,1
H3,1970s,Electricity,1.0,0.0,4
H3,1970s,Natural Gas,1.0,0.0,6
H3,1970s,Other Fuel,1.0,0.0,3
H3,1970s,Propane/LPG,1.0,0.0,3
H3,1980s,Electricity,1.0,0.0,1
H3,1980s,Natural Gas,1.0,0.0,2
H3,1980s,Other Fuel,1.0,0.0,2
H3,1980s,Propane/LPG,1.0,0.0,1
H3,1990s,Electricity,0.8333333333333334,0.16666666666666666,6
H3,1990s,Natural Gas,1.0,0.0,4
H3,1990s,Other Fuel,0,0,0
H3,1990s,Propane/LPG,0,0,0
H3,2000s,Electricity,1.0,0.0,3
H3,2000s,Fuel Oil,0,0,0
H3,2000s,Natural Gas,1.0,0.0,9
H3,2000s,Other Fuel,1.0,0.0,1
H3,pre-1950,Electricity,0,0,0
H3,pre-1950,Fuel Oil,1.0,0.0,3
H3,pre-1950,Natural Gas,1.0,0.0,11
H3,pre-1950,Other Fuel,1.0,0.0,4
H1C1 OR,pre-1950,None,0,0,0
H1C1 OR,pre-1950,Propane/LPG,0,0,0
H1C1 OR,1950s,None,0,0,0
H1C1 OR,1950s,Propane/LPG,0,0,0
H1C1 OR,1960s,None,0,0,0
H1C1 OR,1960s,Propane/LPG,0,0,0
H1C1 OR,1970s,Fuel Oil,0,0,0
H1C1 OR,1970s,None,0,0,0
H1C1 OR,1970s,Propane/LPG,0,0,0
H1C1 OR,1980s,Fuel Oil,0,0,0
H1C1 OR,1980s,None,0,0,0
H1C1 OR,1980s,Propane/LPG,0,0,0
H1C1 OR,1990s,None,0,0,0
H1C1 OR,1990s,Propane/LPG,0,0,0
H1C1 OR,2000s,Fuel Oil,0,0,0
H1C1 OR,2000s,None,0,0,0
H1C1 OR,2000s,Propane/LPG,0,0,0
H1C1 WA,pre-1950,None,0,0,0
H1C1 WA,1950s,None,0,0,0
H1C1 WA,1960s,Propane/LPG,0,0,0
H1C1 WA,1970s,None,0,0,0
H1C1 WA,1980s,Fuel Oil,0,0,0
H1C1 WA,1980s,None,0,0,0
H1C1 WA,1990s,Fuel Oil,0,0,0
H1C1 WA,1990s,Propane/LPG,0,0,0
H1C1 WA,2000s,Fuel Oil,0,0,0
H1C1 WA,2000s,None,0,0,0
H1C2,pre-1950,None,0,0,0
H1C2,pre-1950,Propane/LPG,0,0,0
H1C2,1950s,Fuel Oil,0,0,0
H1C2,1950s,None,0,0,0
H1C2,1950s,Other Fuel,0,0,0
H1C2,1960s,None,0,0,0
H1C2,1960s,Propane/LPG,0,0,0
H1C2,1970s,Fuel Oil,0,0,0
H1C2,1970s,None,0,0,0
H1C2,1970s,Propane/LPG,0,0,0
H1C2,1980s,Fuel Oil,0,0,0
H1C2,1980s,None,0,0,0
H1C2,1980s,Propane/LPG,0,0,0
H1C2,1990s,Fuel Oil,0,0,0
H1C2,1990s,Propane/LPG,0,0,0
H1C2,2000s,Fuel Oil,0,0,0
H1C2,2000s,None,0,0,0
H1C2,2000s,Other Fuel,0,0,0
H1C2,2000s,Propane/LPG,0,0,0
H1C3,pre-1950,None,0,0,0
H1C3,pre-1950,Other Fuel,0,0,0
H1C3,pre-1950,Propane/LPG,0,0,0
H1C3,1950s,Fuel Oil,0,0,0
H1C3,1950s,None,0,0,0
H1C3,1950s,Propane/LPG,0,0,0
H1C3,1960s,Fuel Oil,0,0,0
H1C3,1960s,None,0,0,0
H1C3,1960s,Other Fuel,0,0,0
H1C3,1960s,Propane/LPG,0,0,0
H1C3,1970s,Fuel Oil,0,0,0
H1C3,1970s,Propane/LPG,0,0,0
H1C3,1980s,Fuel Oil,0,0,0
H1C3,1980s,None,0,0,0
H1C3,1980s,Propane/LPG,0,0,0
H1C3,1990s,Fuel Oil,0,0,0
H1C3,1990s,None,0,0,0
H1C3,1990s,Propane/LPG,0,0,0
H1C3,2000s,Fuel Oil,0,0,0
H1C3,2000s,None,0,0,0
H1C3,2000s,Propane/LPG,0,0,0
H2,pre-1950,None,0,0,0
H2,pre-1950,Propane/LPG,0,0,0
H2,1950s,None,0,0,0
H2,1950s,Propane/LPG,0,0,0
H2,1960s,Fuel Oil,0,0,0
H2,1960s,None,0,0,0
H2,1960s,Propane/LPG,0,0,0
H2,1970s,Fuel Oil,0,0,0
H2,1970s,None,0,0,0
H2,1980s,None,0,0,0
H2,1980s,Propane/LPG,0,0,0
H2,1990s,Fuel Oil,0,0,0
H2,1990s,Propane/LPG,0,0,0
H2,2000s,Fuel Oil,0,0,0
H2,2000s,None,0,0,0
H3,pre-1950,None,0,0,0
H3,pre-1950,Propane/LPG,0,0,0
H3,1950s,None,0,0,0
H3,1950s,Propane/LPG,0,0,0
H3,1960s,None,0,0,0
H3,1970s,Fuel Oil,0,0,0
H3,1970s,None,0,0,0
H3,1980s,Fuel Oil,0,0,0
H3,1980s,None,0,0,0
H3,1990s,Fuel Oil,0,0,0
H3,1990s,None,0,0,0
H3,2000s,None,0,0,0
H3,2000s,Propane/LPG,0,0,0
