Dependency=Location Region,Dependency=Vintage,Dependency=Geometry Foundation Type,"Option=4ft R5 Perimeter, R5 Gap",Option=None,"Option=R10 Whole Slab, R5 Gap",Option=Uninsulated,# Samples
H1C1 WA,pre-1950,Slab,0.0,0.0,0.0,1.0,7
H1C1 WA,pre-1950,Unheated Basement,0.0,1.0,0.0,0.0,4
H1C2,1950s,Crawl,0.0,1.0,0.0,0.0,7
H1C2,1950s,Slab,0.0,0.0,0.0,1.0,2
H1C2,1960s,Crawl,0.0,1.0,0.0,0.0,21
H1C2,1960s,Slab,0.0,0.0,1.0,0.0,3
H1C2,1970s,Crawl,0.0,1.0,0.0,0.0,7
H1C2,1970s,Slab,0.0,0.0,0.0,1.0,2
H1C2,1980s,Crawl,0.0,1.0,0.0,0.0,13
H1C2,1980s,Slab,0.0,0.0,0.0,1.0,3
H1C2,1990s,Crawl,0.0,1.0,0.0,0.0,5
H1C2,1990s,Slab,0,0,0,0,0
H1C2,2000s,Heated Basement,0.0,1.0,0.0,0.0,5
H1C2,2000s,Slab,0,0,0,0,0
H1C2,pre-1950,Crawl,0.0,1.0,0.0,0.0,15
H1C2,pre-1950,Heated Basement,0.0,1.0,0.0,0.0,21
H1C2,pre-1950,Slab,0.0,0.0,0.0,1.0,3
H1C3,1950s,Crawl,0.0,1.0,0.0,0.0,1
H1C3,1950s,Slab,0.0,0.0,0.0,1.0,1
H1C3,1960s,Crawl,0.0,1.0,0.0,0.0,6
H1C3,1960s,Slab,0,0,0,0,0
H1C3,1970s,Heated Basement,0.0,1.0,0.0,0.0,7
H1C3,1970s,Slab,0.0,0.0,0.0,1.0,1
H1C3,1980s,Crawl,0.0,1.0,0.0,0.0,5
H1C3,1980s,Heated Basement,0.0,1.0,0.0,0.0,4
H1C3,1980s,Slab,0.0,0.0,0.0,1.0,3
H1C3,1990s,Crawl,0.0,1.0,0.0,0.0,13
H1C3,1990s,Slab,0.0,0.0,0.0,1.0,1
H1C3,2000s,Slab,1.0,0.0,0.0,0.0,1
H1C3,pre-1950,Crawl,0.0,1.0,0.0,0.0,8
H1C3,pre-1950,Slab,0,0,0,0,0
H2,1950s,Crawl,0.0,1.0,0.0,0.0,5
H2,1950s,Heated Basement,0.0,1.0,0.0,0.0,16
H2,1950s,Slab,0.0,0.0,0.0,1.0,3
H2,1960s,Crawl,0.0,1.0,0.0,0.0,3
H2,1960s,Slab,0.0,0.0,0.0,1.0,3
H2,1970s,Crawl,0.0,1.0,0.0,0.0,9
H2,1970s,Heated Basement,0.0,1.0,0.0,0.0,14
H2,1970s,Slab,0.0,0.0,0.0,1.0,3
H2,1980s,Heated Basement,0,0,0,0,0
H2,1980s,Slab,0.0,0.0,0.0,1.0,2
H2,1990s,Crawl,0.0,1.0,0.0,0.0,16
H2,1990s,Slab,0.0,0.0,0.6666666666666666,0.3333333333333333,3
H2,2000s,Crawl,0.0,1.0,0.0,0.0,15
H2,2000s,Heated Basement,0.0,1.0,0.0,0.0,6
H2,2000s,Slab,0.0,0.0,0.25,0.75,4
H2,pre-1950,Crawl,0.0,1.0,0.0,0.0,20
H2,pre-1950,Heated Basement,0.0,1.0,0.0,0.0,10
H2,pre-1950,Slab,0.0,0.0,0.0,1.0,1
H3,1950s,Crawl,0.0,1.0,0.0,0.0,1
H3,1950s,Slab,0,0,0,0,0
H3,1960s,Crawl,0.0,1.0,0.0,0.0,2
H3,1960s,Slab,0,0,0,0,0
H3,1970s,Crawl,0.0,1.0,0.0,0.0,4
H3,1970s,Slab,0.0,0.0,0.0,1.0,3
H3,1980s,Slab,0,0,0,0,0
H3,1990s,Crawl,0.0,1.0,0.0,0.0,6
H3,1990s,Slab,0.0,0.0,0.0,1.0,1
H3,2000s,Slab,0.0,0.0,0.25,0.75,4
H3,pre-1950,Crawl,0.0,1.0,0.0,0.0,7
H3,pre-1950,Heated Basement,0.0,1.0,0.0,0.0,11
H1C1 OR,pre-1950,Heated Basement,0,0,0,0,0
H1C1 OR,pre-1950,Unheated Basement,0,0,0,0,0
H1C1 OR,1950s,Heated Basement,0,0,0,0,0
H1C1 OR,1950s,Unheated Basement,0.0,1.0,0.0,0.0,1
H1C1 OR,1960s,Unheated Basement,0,0,0,0,0
H1C1 OR,1970s,Unheated Basement,0,0,0,0,0
H1C1 OR,1980s,Crawl,0.0,1.0,0.0,0.0,7
H1C1 OR,1980s,Heated Basement,0,0,0,0,0
H1C1 OR,1980s,Unheated Basement,0,0,0,0,0
H1C1 OR,1990s,Unheated Basement,0,0,0,0,0
H1C1 OR,2000s,Heated Basement,0.0,1.0,0.0,0.0,2
H1C1 OR,2000s,Unheated Basement,0,0,0,0,0
H1C1 WA,1950s,Unheated Basement,0,0,0,0,0
H1C1 WA,1960s,Unheated Basement,0,0,0,0,0
H1C1 WA,1970s,Unheated Basement,0,0,0,0,0
H1C1 WA,1980s,Unheated Basement,0,0,0,0,0
H1C1 WA,1990s,Heated Basement,0.0,1.0,0.0,0.0,4
H1C1 WA,1990s,Unheated Basement,0,0,0,0,0
H1C1 WA,2000s,Heated Basement,0,0,0,0,0
H1C1 WA,2000s,Unheated Basement,0.0,1.0,0.0,0.0,3
H1C2,pre-1950,Unheated Basement,0.0,1.0,0.0,0.0,1
H1C2,1950s,Heated Basement,0.0,1.0,0.0,0.0,2
H1C2,1950s,Unheated Basement,0,0,0,0,0
H1C2,1960s,Heated Basement,0.0,1.0,0.0,0.0,3
H1C2,1960s,Unheated Basement,0,0,0,0,0
H1C2,1970s,Heated Basement,0.0,1.0,0.0,0.0,6
H1C2,1970s,Unheated Basement,0,0,0,0,0
H1C2,1980s,Heated Basement,0,0,0,0,0
H1C2,1980s,Unheated Basement,0,0,0,0,0
H1C2,1990s,Heated Basement,0.0,1.0,0.0,0.0,1
H1C2,1990s,Unheated Basement,0,0,0,0,0
H1C2,2000s,Crawl,0.0,1.0,0.0,0.0,1
H1C2,2000s,Unheated Basement,0,0,0,0,0
H1C3,pre-1950,Heated Basement,0,0,0,0,0
H1C3,pre-1950,Unheated Basement,0,0,0,0,0
H1C3,1950s,Heated Basement,0.0,1.0,0.0,0.0,2
H1C3,1950s,Unheated Basement,0,0,0,0,0
H1C3,1960s,Heated Basement,0,0,0,0,0
H1C3,1960s,Unheated Basement,0,0,0,0,0
H1C3,1970s,Crawl,0.0,1.0,0.0,0.0,5
H1C3,1970s,Unheated Basement,0,0,0,0,0
H1C3,1980s,Unheated Basement,0,0,0,0,0
H1C3,1990s,Heated Basement,0.0,1.0,0.0,0.0,3
H1C3,1990s,Unheated Basement,0,0,0,0,0
H1C3,2000s,Crawl,0.0,1.0,0.0,0.0,19
H1C3,2000s,Heated Basement,0.0,1.0,0.0,0.0,3
H1C3,2000s,Unheated Basement,0,0,0,0,0
H2,pre-1950,Unheated Basement,0,0,0,0,0
H2,1950s,Unheated Basement,0,0,0,0,0
H2,1960s,Heated Basement,0.0,1.0,0.0,0.0,1
H2,1960s,Unheated Basement,0,0,0,0,0
H2,1970s,Unheated Basement,0,0,0,0,0
H2,1980s,Crawl,0.0,1.0,0.0,0.0,8
H2,1980s,Unheated Basement,0,0,0,0,0
H2,1990s,Heated Basement,0.0,1.0,0.0,0.0,15
H2,1990s,Unheated Basement,0,0,0,0,0
H2,2000s,Unheated Basement,0,0,0,0,0
H3,pre-1950,Slab,0,0,0,0,0
H3,pre-1950,Unheated Basement,0,0,0,0,0
H3,1950s,Heated Basement,0.0,1.0,0.0,0.0,6
H3,1950s,Unheated Basement,0,0,0,0,0
H3,1960s,Heated Basement,0.0,1.0,0.0,0.0,6
H3,1960s,Unheated Basement,0.0,1.0,0.0,0.0,1
H3,1970s,Heated Basement,0.0,1.0,0.0,0.0,9
H3,1970s,Unheated Basement,0,0,0,0,0
H3,1980s,Crawl,0.0,1.0,0.0,0.0,2
H3,1980s,Heated Basement,0.0,1.0,0.0,0.0,4
H3,1980s,Unheated Basement,0,0,0,0,0
H3,1990s,Heated Basement,0.0,1.0,0.0,0.0,3
H3,1990s,Unheated Basement,0,0,0,0,0
H3,2000s,Crawl,0.0,1.0,0.0,0.0,5
H3,2000s,Heated Basement,0.0,1.0,0.0,0.0,4
H3,2000s,Unheated Basement,0,0,0,0,0
