Dependency=Vintage,Dependency=House Size,Dependency=Foundation Type,1,2,3+,# Samples
1980s,4500+,slab,0.3333333333333333,0.0,0.6666666666666666,3
1980s,4500+,unheated basement,0,0,0,0
1980s,4500+,heated basement,0,0,0,0
1990s,0-1499,crawl,0.9711934156378601,0.0205761316872428,0.00823045267489712,243
1990s,0-1499,slab,1.0,0.0,0.0,27
1990s,0-1499,unheated basement,0,0,0,0
1990s,0-1499,heated basement,0.0,0.0,1.0,93
1990s,1500-2499,crawl,0.5040431266846361,0.49595687331536387,0.0,371
1990s,1500-2499,slab,0.425531914893617,0.574468085106383,0.0,47
1990s,1500-2499,unheated basement,0,0,0,0
1990s,1500-2499,heated basement,0.23469387755102042,0.7653061224489796,0.0,98
1990s,2500-3499,crawl,0.21142857142857144,0.7371428571428571,0.05142857142857143,175
1990s,2500-3499,slab,0.24,0.72,0.04,25
1990s,2500-3499,unheated basement,0,0,0,0
1990s,2500-3499,heated basement,0.4,0.5333333333333333,0.06666666666666667,75
1990s,3500-4499,crawl,0.17894736842105263,0.8210526315789474,0.0,95
1990s,3500-4499,slab,0.2,0.8,0.0,15
1990s,3500-4499,unheated basement,0,0,0,0
1990s,3500-4499,heated basement,0.1794871794871795,0.5897435897435898,0.23076923076923078,39
1990s,4500+,crawl,0.0,1.0,0.0,24
1990s,4500+,slab,1.0,0.0,0.0,2
1990s,4500+,unheated basement,0,0,0,0
1990s,4500+,heated basement,0.6666666666666666,0.3333333333333333,0.0,3
2000s,0-1499,crawl,0.8012422360248447,0.19875776397515527,0.0,161
2000s,0-1499,slab,0.7692307692307693,0.23076923076923078,0.0,26
2000s,0-1499,unheated basement,1.0,0.0,0.0,4
2000s,0-1499,heated basement,0.2727272727272727,0.38181818181818183,0.34545454545454546,55
2000s,1500-2499,crawl,0.5412026726057907,0.4209354120267261,0.0378619153674833,449
2000s,1500-2499,slab,0.6290322580645161,0.3709677419354839,0.0,62
2000s,1500-2499,unheated basement,0.3,0.2,0.5,10
2000s,1500-2499,heated basement,0.19672131147540983,0.6885245901639344,0.11475409836065574,61
2000s,2500-3499,crawl,0.12411347517730496,0.8368794326241135,0.03900709219858156,282
2000s,2500-3499,slab,0.15789473684210525,0.7894736842105263,0.05263157894736842,38
2000s,2500-3499,unheated basement,0.25,0.375,0.375,8
2000s,2500-3499,heated basement,0.46153846153846156,0.4807692307692308,0.057692307692307696,52
2000s,3500-4499,crawl,0.3918918918918919,0.4864864864864865,0.12162162162162163,74
2000s,3500-4499,slab,0.2857142857142857,0.42857142857142855,0.2857142857142857,7
2000s,3500-4499,unheated basement,1.0,0.0,0.0,1
2000s,3500-4499,heated basement,0.25,0.75,0.0,8
2000s,4500+,crawl,0.4117647058823529,0.23529411764705882,0.35294117647058826,17
2000s,4500+,slab,0.0,1.0,0.0,3
2000s,4500+,unheated basement,0,0,0,0
2000s,4500+,heated basement,0.0,0.5,0.5,2
2010s,0-1499,crawl,0,0,0,0
2010s,0-1499,slab,0,0,0,0
2010s,0-1499,unheated basement,0,0,0,0
2010s,0-1499,heated basement,0,0,0,0
2010s,1500-2499,crawl,0.20689655172413793,0.7931034482758621,0.0,29
2010s,1500-2499,slab,0.2962962962962963,0.7037037037037037,0.0,27
2010s,1500-2499,unheated basement,0,0,0,0
2010s,1500-2499,heated basement,0,0,0,0
2010s,2500-3499,crawl,0.0,1.0,0.0,15
2010s,2500-3499,slab,0,0,0,0
2010s,2500-3499,unheated basement,0.0,1.0,0.0,3
2010s,2500-3499,heated basement,0.0,1.0,0.0,4
2010s,3500-4499,crawl,0.0,1.0,0.0,8
2010s,3500-4499,slab,0,0,0,0
2010s,3500-4499,unheated basement,1.0,0.0,0.0,1
2010s,3500-4499,heated basement,0.0,1.0,0.0,4
2010s,4500+,crawl,0,0,0,0
2010s,4500+,slab,0,0,0,0
2010s,4500+,unheated basement,0,0,0,0
2010s,4500+,heated basement,0,0,0,0
