S,h
338134,0.561221
338143,0.540363
345224,0.758594
345234,0.383546
345244,0.580533
345253,0.755118
348207,0.583237
348208,0.583237
348217,0.889146
348227,0.431441
348237,0.808034
348238,0.808034
349249,0.882966
349259,0.940518
349268,0.471611
349269,0.471611
349278,0.436462
349279,0.436462
349288,0.540363
349298,0.342603
349623,0.844341
349633,0.500193
349643,0.599073
359288,0.670529
359298,0.716493
359308,0.796060
359318,0.432599
359732,0.670529
359738,0.611433
359742,0.508691
359748,0.597528
359752,0.651989
359758,0.500579
359762,0.579761
359767,0.798764
359771,0.606025
359777,0.436848
359778,0.436848
360810,0.351873
360811,0.351873
360820,0.442642
360821,0.442642
360829,0.665508
360839,0.426806
362164,0.799537
362174,0.488219
362183,0.666667
362193,0.530321
362830,0.811896
362840,0.776748
362849,0.738123
362859,0.652762
362860,0.652762
364090,0.585554
364100,0.659328
364101,0.659328
364110,0.565469
364120,0.614909
368039,0.628042
368049,0.606798
368050,0.606798
368058,0.487447
368059,0.487447
368068,0.699498
368435,0.388567
368436,0.388567
368445,0.504442
368455,0.400927
368456,0.400927
368465,0.547316
368475,0.592121
368486,0.449594
368495,0.676709
368505,0.475087
368506,0.475087
368515,0.570491
368525,0.612978
368535,0.432599
368536,0.432599
372317,0.421398
372318,0.421398
372327,0.563538
372328,0.563538
372336,0.624179
372346,0.326381
372347,0.326381
372356,0.322132
372357,0.322132
372366,0.531866
376925,0.724604
376935,0.791425
376944,0.730012
376945,0.730012
379871,0.529934
379880,0.787177
379890,0.702588
379900,0.516029
379904,0.632677
379914,0.539977
379923,0.583237
379933,0.766319
379934,0.766319
379943,0.350328
379953,0.578988
379963,0.469293
379972,0.610660
379973,0.610660
379982,0.513326
379983,0.513326
379992,0.392043
380002,0.789494
388155,0.481267
388165,0.578988
388175,0.476246
388184,0.609502
388194,0.455774
388204,0.737350
388214,0.424102
388215,0.424102
388224,0.494013
388225,0.494013
388233,0.625724
388243,0.542681
388253,0.477018
388254,0.477018
389562,0.466589
389572,0.419853
389582,0.674392
390104,0.448822
390113,0.531479
390123,0.580533
390133,0.420239
390143,0.828119
393060,0.601004
393061,0.601004
393070,0.436462
393080,0.749710
393469,0.470838
393470,0.470838
393479,0.819621
393489,0.523368
393498,0.710313
393508,0.552337
393509,0.552337
393518,0.568559
393519,0.568559
393745,0.368482
393746,0.368482
393755,0.488606
393765,0.487061
393766,0.487061
393775,0.587486
394337,0.604094
394338,0.604094
394346,0.670529
394356,0.456547
394357,0.456547
394366,0.606412
394376,0.546929
395651,0.553882
395661,0.579761
395671,0.757822
395672,0.757822
395680,0.725377
395690,0.516029
397947,0.847818
397957,0.960989
397967,0.574739
398633,0.958671
398643,0.357667
398644,0.357667
398652,0.602549
398662,0.715334
398672,0.525299
398682,0.517961
398683,0.517961
400154,0.610660
400164,0.550019
400165,0.550019
400173,0.421398
400174,0.421398
400183,0.418308
400184,0.418308
403251,0.517961
403260,0.565083
403270,0.457319
403271,0.457319
403280,0.801468
406453,0.574739
406472,0.702202
406482,0.713403
406492,0.738895
408310,0.494013
408311,0.494013
408320,0.585941
408329,0.664349
408339,0.299730
408602,0.373890
408603,0.373890
408612,0.839706
408622,0.427964
408631,0.605639
408641,0.797219
409442,0.386250
409452,0.457706
409453,0.457706
409462,0.501738
409472,0.791425
409482,0.566242
409491,0.533797
409492,0.533797
410995,0.777520
411005,0.420239
411006,0.420239
411015,0.699112
411024,0.609502
414196,0.705292
414197,0.705292
414206,0.630359
414207,0.630359
414216,0.575126
414217,0.575126
414226,0.607570
414236,0.584009
414528,0.524141
414529,0.524141
414538,0.415991
414539,0.415991
414548,0.714562
414558,0.704905
420178,0.744303
420188,0.411742
420189,0.411742
420198,0.448822
420199,0.448822
420208,0.663963
429500,0.473542
429501,0.473542
429510,0.747007
429520,0.699112
429530,0.466203
429531,0.466203
429539,0.695635
429549,0.545771
433326,0.676323
433336,0.842410
433346,0.528003
433356,0.376980
433357,0.376980
433365,0.331788
433366,0.331788
435480,0.415218
435489,0.536887
435499,0.412514
435509,0.738509
435519,0.628042
435854,0.590962
435864,0.401313
435865,0.401313
435873,0.674778
435883,0.743530
435893,0.380842
435894,0.380842
435903,0.502124
435904,0.502124
438704,0.599459
438705,0.599459
438714,0.568173
438723,0.538818
438733,0.587486
438743,0.458092
439773,0.416377
439774,0.416377
439783,0.523754
439793,0.556199
439802,0.772885
439812,0.659714
439822,0.621089
439823,0.621089
442824,0.524527
442834,0.628042
442844,0.686752
442854,0.675937
443085,0.514098
443095,0.557744
443096,0.557744
443105,0.689842
443114,0.484743
443115,0.484743
443124,0.796447
443169,0.521437
443170,0.521437
443179,0.620703
443188,0.461568
443189,0.461568
443198,0.743144
443208,0.278872
444711,0.510236
444721,0.423329
444722,0.423329
444731,0.455002
444741,0.772885
446117,0.473156
446127,0.423716
446137,0.659328
446146,0.660100
446156,0.464272
446166,0.803013
449136,0.489764
449146,0.450753
449147,0.450753
449156,0.617613
449165,0.594824
449175,0.470452
449176,0.470452
451912,0.772499
451921,0.609115
451931,0.611433
451941,0.950174
451951,0.689842
451960,0.477018
456464,0.710313
456474,0.483971
456483,0.704133
456493,0.629587
456503,0.745848
456513,0.561993
456514,0.561993
456522,0.688683
456532,0.670529
458554,0.479336
458555,0.479336
458564,0.586327
458574,0.636925
458584,0.711858
460445,0.749324
460455,0.636539
460464,0.448049
460465,0.448049
460474,0.701043
460475,0.701043
460484,0.764002
460494,0.481653
460495,0.481653
460504,0.352260
460505,0.352260
460513,0.665122
460523,0.420626
460533,0.872538
460543,0.400541
460544,0.400541
462072,0.516416
462073,0.516416
462082,0.504828
462092,0.683662
462102,0.551564
462111,0.361530
462112,0.361530
463193,0.502897
463203,0.612592
463213,0.399768
463214,0.399768
463222,0.431441
463223,0.431441
466362,0.327926
466363,0.327926
466372,0.886829
466382,0.309000
466383,0.309000
466391,0.567787
466401,0.580919
467896,0.534183
467906,0.527231
467916,0.591348
467926,0.438393
467927,0.438393
467935,0.605639
467936,0.605639
467945,0.744303
468820,0.928158
468829,0.345693
468830,0.345693
468839,0.760139
468849,0.389726
468850,0.389726
471647,0.753959
471657,0.647740
471666,0.395906
471667,0.395906
471676,0.682503
471686,0.565469
471696,0.617613
472989,0.543067
472990,0.543067
472999,0.681344
473009,0.505214
473019,0.806489
473028,0.441483
473029,0.441483
474747,0.458478
474756,0.626883
474757,0.626883
474766,0.470066
474767,0.470066
474776,0.631132
475701,0.643105
475710,0.709927
475711,0.709927
475712,0.709927
475720,0.719197
480827,0.419853
480828,0.419853
480837,0.685593
480847,0.348397
480848,0.348397
480856,0.487447
480866,0.677095
480876,0.441483
480877,0.441483
482099,0.786790
482109,0.674778
482119,0.785632
482129,0.491696
482130,0.491696
482138,0.628814
482139,0.628814
483604,0.538818
483605,0.538818
483613,0.447277
483614,0.447277
483623,0.524527
483624,0.524527
483633,0.309386
483643,0.444573
483644,0.444573
484580,0.638470
484590,0.701429
484600,0.674392
484609,0.694477
484610,0.694477
484619,0.603708
484620,0.603708
485881,0.662804
485891,0.498648
485901,0.772113
485910,0.535728
485920,0.594824
485921,0.594824
496083,0.786018
496093,0.755118
496103,0.463499
496104,0.463499
496113,0.812669
501989,0.563152
501999,0.777520
502009,0.607570
502019,0.417149
502020,0.417149
506914,0.752414
506924,0.658169
506934,0.449208
506935,0.449208
506944,0.418308
506945,0.418308
506953,0.783700
506963,0.524913
506964,0.524913
509144,0.489764
509154,0.446891
509155,0.446891
509164,0.560062
509173,0.768250
518163,0.543453
518164,0.543453
518172,0.469679
518173,0.469679
518174,0.469679
518182,0.639243
518192,0.473928
518193,0.473928
518202,0.970645
518211,0.442642
518212,0.442642
519260,0.677868
519269,0.469679
519279,0.386636
519289,0.495558
519299,0.745848
521922,0.609115
521923,0.609115
521932,0.612205
521941,0.495944
521942,0.495944
521951,0.514484
521961,0.431827
521962,0.431827
521971,0.675937
522315,0.452684
522316,0.452684
522325,0.667439
522334,0.549633
522344,0.455388
522345,0.455388
522354,0.651989
522364,0.619158
