Dependency=PUMA	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
AL, 00302	Multi-Family with 5+ Units	2020s	0.964765	0.000000	0.021812	0.000000	0.013423	0.000000
AL, 00302	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00302	Single-Family Detached	2020s	0.887696	0.000000	0.112304	0.000000	0.000000	0.000000
AL, 00400	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 00400	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00400	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 00400	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00400	Single-Family Detached	2020s	0.872455	0.000000	0.045016	0.003215	0.070740	0.008575
AL, 00500	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 00500	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00500	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 00500	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00500	Single-Family Detached	2020s	0.901725	0.000000	0.071675	0.000000	0.026108	0.000492
AL, 00600	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 00600	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00600	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 00600	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00600	Single-Family Detached	2020s	0.892377	0.000000	0.072497	0.000000	0.028401	0.006726
AL, 00700	Mobile Home	2020s	0.921569	0.000000	0.000000	0.043573	0.000000	0.034859
AL, 00700	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00700	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 00700	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00700	Single-Family Detached	2020s	0.870843	0.000000	0.047315	0.000000	0.026854	0.054987
AL, 00800	Mobile Home	2020s	0.748937	0.000000	0.000000	0.000000	0.136170	0.114893
AL, 00800	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00800	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 00800	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00800	Single-Family Detached	2020s	0.820407	0.000000	0.141639	0.012651	0.014851	0.010451
AL, 00900	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 00900	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 00900	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 00900	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 00900	Single-Family Detached	2020s	0.905991	0.000000	0.063017	0.000000	0.000000	0.030992
AL, 01000	Mobile Home	2020s	0.911594	0.000000	0.000000	0.043478	0.000000	0.044928
AL, 01000	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01000	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 01000	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01000	Single-Family Detached	2020s	0.873032	0.000000	0.018363	0.000000	0.020986	0.087618
AL, 01100	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 01100	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01100	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 01100	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01100	Single-Family Detached	2020s	0.860693	0.000000	0.067771	0.000000	0.021084	0.050452
AL, 01200	Mobile Home	2020s	0.806122	0.000000	0.000000	0.175510	0.000000	0.018367
AL, 01200	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01200	Multi-Family with 5+ Units	2020s	0.921450	0.000000	0.054380	0.024169	0.000000	0.000000
AL, 01200	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01200	Single-Family Detached	2020s	0.759547	0.000000	0.237749	0.000000	0.000000	0.002704
AL, 01301	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 01301	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01301	Multi-Family with 5+ Units	2020s	0.696429	0.000000	0.303571	0.000000	0.000000	0.000000
AL, 01301	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01301	Single-Family Detached	2020s	0.866003	0.000000	0.109191	0.005423	0.007789	0.011595
AL, 01302	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 01302	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01302	Multi-Family with 5+ Units	2020s	0.834264	0.000000	0.165737	0.000000	0.000000	0.000000
AL, 01302	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01302	Single-Family Detached	2020s	0.866003	0.000000	0.109191	0.005423	0.007789	0.011595
AL, 01303	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 01303	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01303	Multi-Family with 5+ Units	2020s	0.945139	0.000000	0.054861	0.000000	0.000000	0.000000
AL, 01303	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01303	Single-Family Detached	2020s	0.640947	0.000000	0.359053	0.000000	0.000000	0.000000
AL, 01304	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 01304	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01304	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 01304	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01304	Single-Family Detached	2020s	0.794361	0.000000	0.181203	0.015038	0.000000	0.009399
AL, 01305	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 01305	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01305	Multi-Family with 5+ Units	2020s	0.958427	0.000000	0.041573	0.000000	0.000000	0.000000
AL, 01305	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01305	Single-Family Detached	2020s	0.611858	0.000000	0.381113	0.000000	0.000000	0.007030
AL, 01400	Mobile Home	2020s	0.973150	0.000000	0.000000	0.000000	0.000000	0.026850
AL, 01400	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01400	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 01400	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01400	Single-Family Detached	2020s	0.882000	0.000000	0.058667	0.000000	0.000000	0.059333
AL, 01500	Mobile Home	2020s	0.946043	0.000000	0.053957	0.000000	0.000000	0.000000
AL, 01500	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01500	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 01500	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01500	Single-Family Detached	2020s	0.791215	0.000000	0.158243	0.000000	0.012034	0.038508
AL, 01600	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 01600	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01600	Multi-Family with 5+ Units	2020s	0.964260	0.000000	0.028309	0.000000	0.000000	0.007431
AL, 01600	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01600	Single-Family Detached	2020s	0.837947	0.000000	0.162053	0.000000	0.000000	0.000000
AL, 01700	Mobile Home	2020s	0.919598	0.000000	0.052764	0.000000	0.000000	0.027638
AL, 01700	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01700	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 01700	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01700	Single-Family Detached	2020s	0.932059	0.000000	0.000000	0.000000	0.067941	0.000000
AL, 01800	Mobile Home	2020s	0.992908	0.000000	0.000000	0.007092	0.000000	0.000000
AL, 01800	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 01800	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 01800	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01800	Single-Family Detached	2020s	0.918400	0.000000	0.008000	0.043200	0.006400	0.024000
AL, 01900	Mobile Home	2020s	0.973684	0.000000	0.000000	0.003899	0.000000	0.022417
AL, 01900	Multi-Family with 2 - 4 Units	2020s	0.989662	0.000000	0.010339	0.000000	0.000000	0.000000
AL, 01900	Multi-Family with 5+ Units	2020s	0.982343	0.000000	0.017657	0.000000	0.000000	0.000000
AL, 01900	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 01900	Single-Family Detached	2020s	0.941653	0.000000	0.053963	0.004384	0.000000	0.000000
AL, 02000	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 02000	Multi-Family with 2 - 4 Units	2020s	0.819030	0.000000	0.180970	0.000000	0.000000	0.000000
AL, 02000	Multi-Family with 5+ Units	2020s	0.942623	0.000000	0.039959	0.000000	0.000000	0.017418
AL, 02000	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02000	Single-Family Detached	2020s	0.804557	0.000000	0.195443	0.000000	0.000000	0.000000
AL, 02100	Mobile Home	2020s	0.997829	0.000000	0.000000	0.000000	0.000000	0.002171
AL, 02100	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02100	Multi-Family with 5+ Units	2020s	0.937500	0.000000	0.000000	0.000000	0.062500	0.000000
AL, 02100	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02100	Single-Family Detached	2020s	0.827014	0.000000	0.140403	0.005134	0.000000	0.027449
AL, 02200	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02200	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02200	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 02200	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02200	Single-Family Detached	2020s	0.882542	0.000000	0.023748	0.000000	0.066752	0.026957
AL, 02300	Mobile Home	2020s	0.924501	0.000000	0.000000	0.000000	0.000000	0.075498
AL, 02300	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02300	Multi-Family with 5+ Units	2020s	0.958614	0.000000	0.033633	0.003938	0.002626	0.001188
AL, 02300	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02300	Single-Family Detached	2020s	0.875000	0.000000	0.077206	0.010110	0.000000	0.037684
AL, 02400	Mobile Home	2020s	0.903974	0.000000	0.000000	0.041391	0.000000	0.054636
AL, 02400	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02400	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02400	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02400	Single-Family Detached	2020s	0.924915	0.000000	0.045649	0.000000	0.013225	0.016212
AL, 02500	Mobile Home	2020s	0.951339	0.000000	0.000000	0.000000	0.012165	0.036497
AL, 02500	Multi-Family with 2 - 4 Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02500	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02500	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02500	Single-Family Detached	2020s	0.952858	0.000000	0.045677	0.001466	0.000000	0.000000
AL, 02600	Mobile Home	2020s	0.991853	0.000000	0.000000	0.000000	0.000000	0.008146
AL, 02600	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02600	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02600	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02600	Single-Family Detached	2020s	0.943898	0.000000	0.041223	0.012831	0.000000	0.002047
AL, 02701	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 02701	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02701	Multi-Family with 5+ Units	2020s	0.968446	0.000000	0.031553	0.000000	0.000000	0.000000
AL, 02701	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02701	Single-Family Detached	2020s	0.866003	0.000000	0.109191	0.005423	0.007789	0.011595
AL, 02702	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 02702	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02702	Multi-Family with 5+ Units	2020s	0.964930	0.000000	0.035070	0.000000	0.000000	0.000000
AL, 02702	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02702	Single-Family Detached	2020s	0.900000	0.000000	0.100000	0.000000	0.000000	0.000000
AL, 02703	Mobile Home	2020s	0.951506	0.000000	0.005572	0.014440	0.005458	0.023024
AL, 02703	Multi-Family with 2 - 4 Units	2020s	0.926709	0.000000	0.061393	0.000000	0.000000	0.011898
AL, 02703	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 02703	Single-Family Attached	2020s	0.916234	0.000000	0.079688	0.000000	0.000000	0.004077
AL, 02703	Single-Family Detached	2020s	0.919403	0.000000	0.074327	0.000000	0.006271	0.000000
AR, 00100	Mobile Home	2020s	0.933022	0.000000	0.020896	0.000000	0.024440	0.021642
AR, 00100	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 00100	Multi-Family with 5+ Units	2020s	0.957187	0.000000	0.011468	0.015291	0.000000	0.016055
AR, 00100	Single-Family Attached	2020s	0.909536	0.000000	0.090465	0.000000	0.000000	0.000000
AR, 00100	Single-Family Detached	2020s	0.655400	0.000000	0.312221	0.000000	0.019082	0.013297
AR, 00200	Mobile Home	2020s	0.933022	0.000000	0.020896	0.000000	0.024440	0.021642
AR, 00200	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 00200	Multi-Family with 5+ Units	2020s	0.989743	0.000000	0.010256	0.000000	0.000000	0.000000
AR, 00200	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00200	Single-Family Detached	2020s	0.651863	0.000000	0.277579	0.000000	0.051934	0.018624
AR, 00300	Mobile Home	2020s	0.873444	0.000000	0.031120	0.000000	0.095436	0.000000
AR, 00300	Multi-Family with 2 - 4 Units	2020s	0.954545	0.000000	0.045455	0.000000	0.000000	0.000000
AR, 00300	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 00300	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00300	Single-Family Detached	2020s	0.775000	0.000000	0.053750	0.036667	0.050000	0.084584
AR, 00400	Mobile Home	2020s	0.979228	0.000000	0.011869	0.000000	0.000000	0.008902
AR, 00400	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 00400	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 00400	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00400	Single-Family Detached	2020s	0.778702	0.000000	0.092762	0.000000	0.092346	0.036189
AR, 00500	Mobile Home	2020s	0.933022	0.000000	0.020896	0.000000	0.024440	0.021642
AR, 00500	Multi-Family with 2 - 4 Units	2020s	0.957211	0.000000	0.036978	0.000000	0.000000	0.005811
AR, 00500	Multi-Family with 5+ Units	2020s	0.979658	0.000000	0.020342	0.000000	0.000000	0.000000
AR, 00500	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00500	Single-Family Detached	2020s	0.913058	0.000000	0.061882	0.000000	0.006819	0.018240
AR, 00600	Mobile Home	2020s	0.933022	0.000000	0.020896	0.000000	0.024440	0.021642
AR, 00600	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 00600	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 00600	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00600	Single-Family Detached	2020s	0.760135	0.000000	0.144144	0.009009	0.000000	0.086711
AR, 00700	Mobile Home	2020s	0.975758	0.000000	0.024243	0.000000	0.000000	0.000000
AR, 00700	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 00700	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 00700	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00700	Single-Family Detached	2020s	0.830674	0.000000	0.133865	0.000000	0.000000	0.035461
AR, 00800	Mobile Home	2020s	0.936423	0.000000	0.026940	0.000000	0.036638	0.000000
AR, 00800	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 00800	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 00800	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00800	Single-Family Detached	2020s	0.885077	0.000000	0.101839	0.000000	0.005658	0.007425
AR, 00900	Mobile Home	2020s	0.961187	0.000000	0.038813	0.000000	0.000000	0.000000
AR, 00900	Multi-Family with 2 - 4 Units	2020s	0.937663	0.000000	0.062337	0.000000	0.000000	0.000000
AR, 00900	Multi-Family with 5+ Units	2020s	0.984563	0.000000	0.015437	0.000000	0.000000	0.000000
AR, 00900	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 00900	Single-Family Detached	2020s	0.752534	0.000000	0.221904	0.004848	0.006611	0.014103
AR, 01000	Mobile Home	2020s	0.933022	0.000000	0.020896	0.000000	0.024440	0.021642
AR, 01000	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01000	Multi-Family with 5+ Units	2020s	0.979706	0.000000	0.020293	0.000000	0.000000	0.000000
AR, 01000	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01000	Single-Family Detached	2020s	0.688152	0.000000	0.311848	0.000000	0.000000	0.000000
AR, 01100	Mobile Home	2020s	0.929362	0.000000	0.020775	0.000000	0.049861	0.000000
AR, 01100	Multi-Family with 2 - 4 Units	2020s	0.951713	0.000000	0.048287	0.000000	0.000000	0.000000
AR, 01100	Multi-Family with 5+ Units	2020s	0.974390	0.000000	0.025610	0.000000	0.000000	0.000000
AR, 01100	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01100	Single-Family Detached	2020s	0.850158	0.000000	0.133853	0.000000	0.007664	0.008325
AR, 01200	Mobile Home	2020s	0.921260	0.000000	0.049212	0.000000	0.000000	0.029528
AR, 01200	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01200	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 01200	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01200	Single-Family Detached	2020s	0.886401	0.000000	0.091542	0.000000	0.009619	0.012438
AR, 01300	Mobile Home	2020s	0.884275	0.000000	0.000000	0.000000	0.083039	0.032685
AR, 01300	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01300	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 01300	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01300	Single-Family Detached	2020s	0.931300	0.000000	0.030496	0.000000	0.027480	0.010724
AR, 01400	Mobile Home	2020s	0.933022	0.000000	0.020896	0.000000	0.024440	0.021642
AR, 01400	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01400	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01400	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01400	Single-Family Detached	2020s	0.784768	0.000000	0.147588	0.030274	0.020814	0.016556
AR, 01500	Mobile Home	2020s	0.940712	0.000000	0.000000	0.000000	0.007905	0.051383
AR, 01500	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01500	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 01500	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01500	Single-Family Detached	2020s	0.806666	0.000000	0.012592	0.000000	0.148148	0.032593
AR, 01600	Mobile Home	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01600	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01600	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01600	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01600	Single-Family Detached	2020s	0.866260	0.000000	0.055691	0.034959	0.014634	0.028456
AR, 01700	Mobile Home	2020s	0.963541	0.000000	0.005208	0.000000	0.000000	0.031250
AR, 01700	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01700	Multi-Family with 5+ Units	2020s	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AR, 01700	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01700	Single-Family Detached	2020s	0.757548	0.000000	0.117925	0.000000	0.077358	0.047170
AR, 01800	Mobile Home	2020s	0.949514	0.000000	0.038835	0.000000	0.000000	0.011650
AR, 01800	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01800	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 01800	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
AR, 01800	Single-Family Detached	2020s	0.775862	0.000000	0.188697	0.000000	0.000000	0.035440
AR, 01900	Mobile Home	2020s	0.967672	0.000000	0.032328	0.000000	0.000000	0.000000
AR, 01900	Multi-Family with 2 - 4 Units	2020s	0.943140	0.000000	0.051207	0.003262	0.000000	0.002392
AR, 01900	Multi-Family with 5+ Units	2020s	0.981916	0.000000	0.013777	0.003242	0.000000	0.001063
AR, 01900	Single-Family Attached	2020s	0.829171	0.000000	0.108399	0.036322	0.026107	0.000000
