Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Building Type RECS	Option=1 Pane	Option=2+ Pane	Option=No Windows	Option=Low-E, Double, High-Gain	Option=Low-E, Double, Low-Gain
CR02	1990s	Multi-Family with 5+ Units	0.205886	0.794094	0.000000	0.000000	0.000000
CR02	1990s	Single-Family Attached	0.257743	0.742220	0.000000	0.000000	0.000000
CR02	1990s	Single-Family Detached	0.073663	0.916906	0.009427	0.000000	0.000000
CR02	2000s	Mobile Home	0.624999	0.374910	0.000000	0.000000	0.000000
CR02	2000s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR02	2000s	Multi-Family with 5+ Units	0.124006	0.875973	0.000000	0.000000	0.000000
CR02	2000s	Single-Family Attached	0.085555	0.914425	0.000000	0.000000	0.000000
CR02	2000s	Single-Family Detached	0.042713	0.938330	0.018953	0.000000	0.000000
CR02	2010s	Mobile Home	0.624999	0.374910	0.000000	0.000000	0.000000
CR02	2010s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR02	2010s	Multi-Family with 5+ Units	0.124006	0.875973	0.000000	0.000000	0.000000
CR02	2010s	Single-Family Attached	0.085555	0.914425	0.000000	0.000000	0.000000
CR02	2010s	Single-Family Detached	0.042713	0.938330	0.018953	0.000000	0.000000
CR03	<1940	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1940	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1940	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1940	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	<1940	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1940s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1940s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1940s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1940s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1940s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1950s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1960s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1970s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1980s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1980s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1980s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1980s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1980s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1990s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1990s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1990s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1990s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	1990s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2000s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2000s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2000s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2000s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2000s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2010s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2010s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2010s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2010s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR03	2010s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR04	<1940	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR04	<1940	Multi-Family with 2 - 4 Units	0.493647	0.506352	0.000000	0.000000	0.000000
CR04	<1940	Multi-Family with 5+ Units	0.436376	0.563622	0.000000	0.000000	0.000000
CR04	<1940	Single-Family Attached	0.440072	0.559923	0.000000	0.000000	0.000000
CR04	<1940	Single-Family Detached	0.401976	0.597070	0.000953	0.000000	0.000000
CR04	1940s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR04	1940s	Multi-Family with 2 - 4 Units	0.493647	0.506352	0.000000	0.000000	0.000000
CR04	1940s	Multi-Family with 5+ Units	0.436376	0.563622	0.000000	0.000000	0.000000
CR04	1940s	Single-Family Attached	0.440072	0.559923	0.000000	0.000000	0.000000
CR04	1940s	Single-Family Detached	0.401976	0.597070	0.000953	0.000000	0.000000
CR04	1950s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR04	1950s	Multi-Family with 2 - 4 Units	0.338100	0.661894	0.000000	0.000000	0.000000
CR04	1950s	Multi-Family with 5+ Units	0.371406	0.628586	0.000000	0.000000	0.000000
CR04	1950s	Single-Family Attached	0.478654	0.521328	0.000000	0.000000	0.000000
CR04	1950s	Single-Family Detached	0.257332	0.736852	0.005815	0.000000	0.000000
CR04	1960s	Mobile Home	0.378581	0.621367	0.000000	0.000000	0.000000
CR04	1960s	Multi-Family with 2 - 4 Units	0.465733	0.534260	0.000000	0.000000	0.000000
CR04	1960s	Multi-Family with 5+ Units	0.557967	0.442029	0.000000	0.000000	0.000000
CR04	1960s	Single-Family Attached	0.324723	0.675256	0.000000	0.000000	0.000000
CR04	1960s	Single-Family Detached	0.241803	0.756271	0.001924	0.000000	0.000000
CR04	1970s	Mobile Home	0.769145	0.230841	0.000000	0.000000	0.000000
CR04	1970s	Multi-Family with 2 - 4 Units	0.440039	0.559953	0.000000	0.000000	0.000000
CR04	1970s	Multi-Family with 5+ Units	0.348995	0.651002	0.000000	0.000000	0.000000
CR04	1970s	Single-Family Attached	0.039970	0.960019	0.000000	0.000000	0.000000
CR04	1970s	Single-Family Detached	0.247678	0.747980	0.004341	0.000000	0.000000
CR04	1980s	Mobile Home	0.470955	0.529034	0.000000	0.000000	0.000000
CR04	1980s	Multi-Family with 2 - 4 Units	0.458167	0.541818	0.000000	0.000000	0.000000
CR04	1980s	Multi-Family with 5+ Units	0.301252	0.698743	0.000000	0.000000	0.000000
CR04	1980s	Single-Family Attached	0.217249	0.782742	0.000000	0.000000	0.000000
CR04	1980s	Single-Family Detached	0.243514	0.747838	0.008646	0.000000	0.000000
CR04	1990s	Mobile Home	0.454187	0.545796	0.000000	0.000000	0.000000
CR04	1990s	Multi-Family with 2 - 4 Units	0.357711	0.642266	0.000000	0.000000	0.000000
CR04	1990s	Multi-Family with 5+ Units	0.242789	0.757205	0.000000	0.000000	0.000000
CR04	1990s	Single-Family Attached	0.315609	0.684371	0.000000	0.000000	0.000000
CR04	1990s	Single-Family Detached	0.096230	0.894770	0.008998	0.000000	0.000000
CR04	2000s	Mobile Home	0.562048	0.437881	0.000000	0.000000	0.000000
CR04	2000s	Multi-Family with 2 - 4 Units	0.102177	0.897775	0.000000	0.000000	0.000000
CR04	2000s	Multi-Family with 5+ Units	0.108949	0.891044	0.000000	0.000000	0.000000
CR04	2000s	Single-Family Attached	0.020371	0.979608	0.000000	0.000000	0.000000
CR04	2000s	Single-Family Detached	0.088310	0.911688	0.000000	0.000000	0.000000
CR04	2010s	Mobile Home	0.562048	0.437881	0.000000	0.000000	0.000000
CR04	2010s	Multi-Family with 2 - 4 Units	0.102177	0.897775	0.000000	0.000000	0.000000
CR04	2010s	Multi-Family with 5+ Units	0.108949	0.891044	0.000000	0.000000	0.000000
CR04	2010s	Single-Family Attached	0.020371	0.979608	0.000000	0.000000	0.000000
CR04	2010s	Single-Family Detached	0.088310	0.911688	0.000000	0.000000	0.000000
CR05	<1940	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR05	<1940	Multi-Family with 2 - 4 Units	0.537664	0.462087	0.000000	0.000000	0.000000
CR05	<1940	Multi-Family with 5+ Units	0.540533	0.459110	0.000000	0.000000	0.000000
CR05	<1940	Single-Family Attached	0.344838	0.654824	0.000000	0.000000	0.000000
CR05	<1940	Single-Family Detached	0.385643	0.614345	0.000000	0.000000	0.000000
CR05	1940s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR05	1940s	Multi-Family with 2 - 4 Units	0.537664	0.462087	0.000000	0.000000	0.000000
CR05	1940s	Multi-Family with 5+ Units	0.540533	0.459110	0.000000	0.000000	0.000000
CR05	1940s	Single-Family Attached	0.344838	0.654824	0.000000	0.000000	0.000000
CR05	1940s	Single-Family Detached	0.385643	0.614345	0.000000	0.000000	0.000000
CR05	1950s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR05	1950s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR05	1950s	Multi-Family with 5+ Units	0.999102	0.000000	0.000000	0.000000	0.000000
CR05	1950s	Single-Family Attached	0.353571	0.646216	0.000000	0.000000	0.000000
CR05	1950s	Single-Family Detached	0.268084	0.731899	0.000000	0.000000	0.000000
CR05	1960s	Mobile Home	0.402935	0.596833	0.000000	0.000000	0.000000
CR05	1960s	Multi-Family with 2 - 4 Units	0.186287	0.813565	0.000000	0.000000	0.000000
CR05	1960s	Multi-Family with 5+ Units	0.460929	0.538612	0.000000	0.000000	0.000000
CR05	1960s	Single-Family Attached	0.664381	0.335172	0.000000	0.000000	0.000000
CR05	1960s	Single-Family Detached	0.218121	0.781843	0.000000	0.000000	0.000000
CR05	1970s	Mobile Home	0.212783	0.787165	0.000000	0.000000	0.000000
CR05	1970s	Multi-Family with 2 - 4 Units	0.770756	0.229131	0.000000	0.000000	0.000000
CR05	1970s	Multi-Family with 5+ Units	0.566873	0.433066	0.000000	0.000000	0.000000
CR05	1970s	Single-Family Attached	0.351077	0.648804	0.000000	0.000000	0.000000
CR05	1970s	Single-Family Detached	0.187520	0.812472	0.000000	0.000000	0.000000
CR05	1980s	Mobile Home	0.999720	0.000000	0.000000	0.000000	0.000000
CR05	1980s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR05	1980s	Multi-Family with 5+ Units	0.362068	0.637902	0.000000	0.000000	0.000000
CR05	1980s	Single-Family Attached	0.359113	0.640819	0.000000	0.000000	0.000000
CR05	1980s	Single-Family Detached	0.108220	0.891771	0.000000	0.000000	0.000000
CR05	1990s	Mobile Home	0.634008	0.365849	0.000000	0.000000	0.000000
CR05	1990s	Multi-Family with 2 - 4 Units	0.056099	0.943841	0.000000	0.000000	0.000000
CR05	1990s	Multi-Family with 5+ Units	0.088256	0.911656	0.000000	0.000000	0.000000
CR05	1990s	Single-Family Attached	0.272897	0.727024	0.000000	0.000000	0.000000
CR05	1990s	Single-Family Detached	0.176398	0.823592	0.000000	0.000000	0.000000
CR05	2000s	Mobile Home	0.307869	0.692061	0.000000	0.000000	0.000000
CR05	2000s	Multi-Family with 2 - 4 Units	0.000000	0.999434	0.000000	0.000000	0.000000
CR05	2000s	Multi-Family with 5+ Units	0.699849	0.300025	0.000000	0.000000	0.000000
CR05	2000s	Single-Family Attached	0.000000	0.999924	0.000000	0.000000	0.000000
CR05	2000s	Single-Family Detached	0.025501	0.974487	0.000000	0.000000	0.000000
CR05	2010s	Mobile Home	0.307869	0.692061	0.000000	0.000000	0.000000
CR05	2010s	Multi-Family with 2 - 4 Units	0.000000	0.999434	0.000000	0.000000	0.000000
CR05	2010s	Multi-Family with 5+ Units	0.699849	0.300025	0.000000	0.000000	0.000000
CR05	2010s	Single-Family Attached	0.000000	0.999924	0.000000	0.000000	0.000000
CR05	2010s	Single-Family Detached	0.025501	0.974487	0.000000	0.000000	0.000000
CR06	<1940	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR06	<1940	Multi-Family with 2 - 4 Units	0.589423	0.226486	0.183975	0.000000	0.000000
CR06	<1940	Multi-Family with 5+ Units	0.602201	0.217012	0.180683	0.000000	0.000000
CR06	<1940	Single-Family Attached	0.538906	0.460933	0.000000	0.000000	0.000000
CR06	<1940	Single-Family Detached	0.590388	0.352002	0.057595	0.000000	0.000000
CR06	1940s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR06	1940s	Multi-Family with 2 - 4 Units	0.589423	0.226486	0.183975	0.000000	0.000000
CR06	1940s	Multi-Family with 5+ Units	0.602201	0.217012	0.180683	0.000000	0.000000
CR06	1940s	Single-Family Attached	0.538906	0.460933	0.000000	0.000000	0.000000
CR06	1940s	Single-Family Detached	0.590388	0.352002	0.057595	0.000000	0.000000
CR06	1950s	Mobile Home	0.999645	0.000000	0.000000	0.000000	0.000000
CR06	1950s	Multi-Family with 2 - 4 Units	0.662573	0.337306	0.000000	0.000000	0.000000
CR06	1950s	Multi-Family with 5+ Units	0.294390	0.705528	0.000000	0.000000	0.000000
CR06	1950s	Single-Family Attached	0.000000	0.999245	0.000000	0.000000	0.000000
CR06	1950s	Single-Family Detached	0.345538	0.654441	0.000000	0.000000	0.000000
CR06	1960s	Mobile Home	0.999775	0.000000	0.000000	0.000000	0.000000
CR06	1960s	Multi-Family with 2 - 4 Units	0.562263	0.437538	0.000000	0.000000	0.000000
CR06	1960s	Multi-Family with 5+ Units	0.694393	0.305572	0.000000	0.000000	0.000000
CR06	1960s	Single-Family Attached	0.999522	0.000000	0.000000	0.000000	0.000000
CR06	1960s	Single-Family Detached	0.274029	0.725956	0.000000	0.000000	0.000000
CR06	1970s	Mobile Home	0.441777	0.558188	0.000000	0.000000	0.000000
CR06	1970s	Multi-Family with 2 - 4 Units	0.690842	0.309093	0.000000	0.000000	0.000000
CR06	1970s	Multi-Family with 5+ Units	0.420770	0.344720	0.234477	0.000000	0.000000
CR06	1970s	Single-Family Attached	0.662566	0.337111	0.000000	0.000000	0.000000
CR06	1970s	Single-Family Detached	0.331906	0.668075	0.000000	0.000000	0.000000
CR06	1980s	Mobile Home	0.255115	0.744822	0.000000	0.000000	0.000000
CR06	1980s	Multi-Family with 2 - 4 Units	0.197652	0.802258	0.000000	0.000000	0.000000
CR06	1980s	Multi-Family with 5+ Units	0.216852	0.783120	0.000000	0.000000	0.000000
CR06	1980s	Single-Family Attached	0.135907	0.863991	0.000000	0.000000	0.000000
CR06	1980s	Single-Family Detached	0.233316	0.766669	0.000000	0.000000	0.000000
CR06	1990s	Mobile Home	0.000000	0.999905	0.000000	0.000000	0.000000
CR06	1990s	Multi-Family with 2 - 4 Units	0.500989	0.498882	0.000000	0.000000	0.000000
CR06	1990s	Multi-Family with 5+ Units	0.133784	0.866181	0.000000	0.000000	0.000000
CR06	1990s	Single-Family Attached	0.000000	0.999260	0.000000	0.000000	0.000000
CR06	1990s	Single-Family Detached	0.122768	0.858215	0.019005	0.000000	0.000000
CR06	2000s	Mobile Home	0.000000	0.999504	0.000000	0.000000	0.000000
CR06	2000s	Multi-Family with 2 - 4 Units	0.000000	0.999843	0.000000	0.000000	0.000000
CR06	2000s	Multi-Family with 5+ Units	0.116036	0.767850	0.116036	0.000000	0.000000
CR06	2000s	Single-Family Attached	0.169709	0.830161	0.000000	0.000000	0.000000
CR06	2000s	Single-Family Detached	0.017861	0.964267	0.017861	0.000000	0.000000
CR06	2010s	Mobile Home	0.000000	0.999504	0.000000	0.000000	0.000000
CR06	2010s	Multi-Family with 2 - 4 Units	0.000000	0.999843	0.000000	0.000000	0.000000
CR06	2010s	Multi-Family with 5+ Units	0.116036	0.767850	0.116036	0.000000	0.000000
CR06	2010s	Single-Family Attached	0.169709	0.830161	0.000000	0.000000	0.000000
CR06	2010s	Single-Family Detached	0.017861	0.964267	0.017861	0.000000	0.000000
CR07	<1940	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1940	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1940	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1940	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	<1940	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1940s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1940s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1940s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1940s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1940s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1950s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1960s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1970s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1980s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1980s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1980s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1980s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1980s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1990s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1990s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1990s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1990s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	1990s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2000s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2000s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2000s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2000s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2000s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2010s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2010s	Multi-Family with 2 - 4 Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2010s	Multi-Family with 5+ Units	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2010s	Single-Family Attached	1.000000	0.000000	0.000000	0.000000	0.000000
CR07	2010s	Single-Family Detached	1.000000	0.000000	0.000000	0.000000	0.000000
CR08	<1940	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR08	<1940	Multi-Family with 2 - 4 Units	0.675950	0.323991	0.000000	0.000000	0.000000
CR08	<1940	Multi-Family with 5+ Units	0.476144	0.523824	0.000000	0.000000	0.000000
CR08	<1940	Single-Family Attached	0.368668	0.631288	0.000000	0.000000	0.000000
CR08	<1940	Single-Family Detached	0.571228	0.426694	0.002072	0.000000	0.000000
CR08	1940s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR08	1940s	Multi-Family with 2 - 4 Units	0.675950	0.323991	0.000000	0.000000	0.000000
CR08	1940s	Multi-Family with 5+ Units	0.476144	0.523824	0.000000	0.000000	0.000000
CR08	1940s	Single-Family Attached	0.368668	0.631288	0.000000	0.000000	0.000000
CR08	1940s	Single-Family Detached	0.571228	0.426694	0.002072	0.000000	0.000000
CR08	1950s	Mobile Home	1.000000	0.000000	0.000000	0.000000	0.000000
CR08	1950s	Multi-Family with 2 - 4 Units	0.787996	0.211842	0.000000	0.000000	0.000000
CR08	1950s	Multi-Family with 5+ Units	0.541210	0.458713	0.000000	0.000000	0.000000
CR08	1950s	Single-Family Attached	0.560638	0.364614	0.074690	0.000000	0.000000
CR08	1950s	Single-Family Detached	0.416731	0.583260	0.000000	0.000000	0.000000
CR08	1960s	Mobile Home	0.999687	0.000000	0.000000	0.000000	0.000000
CR08	1960s	Multi-Family with 2 - 4 Units	0.770579	0.229274	0.000000	0.000000	0.000000
CR08	1960s	Multi-Family with 5+ Units	0.736958	0.262992	0.000000	0.000000	0.000000
CR08	1960s	Single-Family Attached	0.674609	0.324959	0.000000	0.000000	0.000000
CR08	1960s	Single-Family Detached	0.434261	0.557074	0.008658	0.000000	0.000000
CR08	1970s	Mobile Home	0.673151	0.326824	0.000000	0.000000	0.000000
CR08	1970s	Multi-Family with 2 - 4 Units	0.686112	0.313818	0.000000	0.000000	0.000000
CR08	1970s	Multi-Family with 5+ Units	0.496481	0.503501	0.000000	0.000000	0.000000
CR08	1970s	Single-Family Attached	0.292951	0.706959	0.000000	0.000000	0.000000
CR08	1970s	Single-Family Detached	0.350737	0.637366	0.011890	0.000000	0.000000
CR08	1980s	Mobile Home	0.599405	0.400562	0.000000	0.000000	0.000000
CR08	1980s	Multi-Family with 2 - 4 Units	0.049009	0.950918	0.000000	0.000000	0.000000
CR08	1980s	Multi-Family with 5+ Units	0.594363	0.405611	0.000000	0.000000	0.000000
CR08	1980s	Single-Family Attached	0.359213	0.640757	0.000000	0.000000	0.000000
CR08	1980s	Single-Family Detached	0.206966	0.793027	0.000000	0.000000	0.000000
CR08	1990s	Mobile Home	0.590130	0.409844	0.000000	0.000000	0.000000
CR08	1990s	Multi-Family with 2 - 4 Units	0.545204	0.454718	0.000000	0.000000	0.000000
CR08	1990s	Multi-Family with 5+ Units	0.500927	0.499050	0.000000	0.000000	0.000000
CR08	1990s	Single-Family Attached	0.232050	0.767901	0.000000	0.000000	0.000000
CR08	1990s	Single-Family Detached	0.101691	0.898303	0.000000	0.000000	0.000000
CR08	2000s	Mobile Home	0.298309	0.701654	0.000000	0.000000	0.000000
CR08	2000s	Multi-Family with 2 - 4 Units	0.455537	0.544197	0.000000	0.000000	0.000000
CR08	2000s	Multi-Family with 5+ Units	0.231310	0.768670	0.000000	0.000000	0.000000
CR08	2000s	Single-Family Attached	0.320493	0.679465	0.000000	0.000000	0.000000
CR08	2000s	Single-Family Detached	0.105949	0.882322	0.011722	0.000000	0.000000
CR08	2010s	Mobile Home	0.298309	0.701654	0.000000	0.000000	0.000000
CR08	2010s	Multi-Family with 2 - 4 Units	0.455537	0.544197	0.000000	0.000000	0.000000
