Dependency=Location Region	Dependency=Geometry Foundation Type	Dependency=Vintage	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	Count	Weight
H1C3	Slab	1950s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Slab	1960s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Slab	1970s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Slab	1980s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Slab	1990s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Slab	2000s	0.0	0.0	0.0	1.0	0	0.0
H1C3	Unheated Basement	<1950	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C3	Unheated Basement	1950s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C3	Unheated Basement	1960s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C3	Unheated Basement	1970s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C3	Unheated Basement	1980s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C3	Unheated Basement	1990s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H1C3	Unheated Basement	2000s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H2	Crawl	<1950	0.0	0.0	0.0	1.0	4	2727.32
H2	Crawl	1950s	0.0	0.0	0.0	1.0	1	952.14
H2	Crawl	1960s	0.0	0.0	0.0	1.0	1	952.14
H2	Crawl	1970s	0.0	0.0	0.0	1.0	0	0.0
H2	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H2	Crawl	1990s	0.0	0.0	0.0	1.0	0	0.0
H2	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H2	Slab	<1950	0.0	0.0	0.0	1.0	0	0.0
H2	Slab	1950s	0.0	0.0	0.0	1.0	0	0.0
H2	Slab	1960s	0.0	0.0	0.0	1.0	0	0.0
H2	Slab	1970s	0.0	0.0	0.0	1.0	0	0.0
H2	Slab	1980s	0.0	0.0	0.0	1.0	0	0.0
H2	Slab	1990s	0.0	0.0	0.0	1.0	0	0.0
H2	Slab	2000s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	<1950	0.0	0.0	1.0	0.0	4	2727.32
H2	Unheated Basement	1950s	0.0	0.0	1.0	0.0	2	2856.42
H2	Unheated Basement	1960s	0.0	0.0	1.0	0.0	1	952.14
H2	Unheated Basement	1970s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H2	Unheated Basement	1980s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H2	Unheated Basement	1990s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H2	Unheated Basement	2000s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H3	Crawl	<1950	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	1950s	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	1960s	0.0	0.0	0.0	1.0	1	1892.88
H3	Crawl	1970s	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	1980s	0.0	0.0	0.0	1.0	1	596.23
H3	Crawl	1990s	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	2000s	0.0	0.0	0.0	1.0	1	572.335
H3	Heated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	<1950	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	1950s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	1960s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	1970s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	1990s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	<1950	1.0	0.0	0.0	0.0	1	1144.67
H3	Unheated Basement	1950s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H3	Unheated Basement	1960s	0.0	0.351546321089	0.648453678911	0.0	2	3085.34
H3	Unheated Basement	1970s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H3	Unheated Basement	1980s	0.257480716276	0.0	0.742519283724	0.0	2	2727.11
H3	Unheated Basement	1990s	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H3	Unheated Basement	2000s	1.0	0.0	0.0	0.0	1	572.335
