Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	sample_count	sample_weight	resstock_probability
Natural Gas	1990s	0.0	0.8607	0.0	0.1393	0.0	178	535724.4375	0.053364530078156495
None	1990s	0.0	0.0	0.0	0.0	1.0	1	18145.63086	0.0008821565787920921
Other Fuel	1990s	0.0	0.8607	0.0	0.1393	0.0	178	535724.4375	0.00039599956091591724
Propane	1990s	0.0	0.8607	0.0	0.1393	0.0	178	535724.4375	0.0008769422978023323
Electricity	2000s	0.585545	0.25414499999999995	0.0	0.16030999999999998	0.0	35	210664.0	0.011643072563868742
Fuel Oil	2000s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	9.723555077074595e-05
Natural Gas	2000s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	0.06270589993426207
None	2000s	0.0	0.0	0.0	0.0	1.0	1	9750.044922	0.0004111516600624268
Other Fuel	2000s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	0.00037090532546456333
Propane	2000s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	0.000807146579083852
Electricity	2010s	0.585545	0.25414499999999995	0.0	0.16030999999999998	0.0	35	210664.0	0.003086797637322851
Fuel Oil	2010s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	0.0003204006163042454
Natural Gas	2010s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	0.007402422039637998
None	2010s	0.0	0.0	0.0	0.0	1.0	1	9750.044922	0.0003777764272089108
Other Fuel	2010s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	0.00034599111282793496
Propane	2010s	0.0163	0.887756	0.0	0.095943	0.0	158	213112.2188	0.0004480160088167002
Electricity	<1940	0.145379	0.246986	0.0	0.607635	0.0	41	452701.7813	0.02152156657612808
Fuel Oil	<1940	0.0	0.565366	0.0	0.434634	0.0	529	1330582.375	0.0005256816468359142
Natural Gas	<1940	0.0	0.565366	0.0	0.434634	0.0	529	1330582.375	0.2515744933082975
None	<1940	0.0	0.0	0.0	0.0	1.0	2	34488.78906	0.0035853352529746146
Other Fuel	<1940	0.0	0.565366	0.0	0.434634	0.0	529	1330582.375	0.0029553126323272586
Propane	<1940	0.0	0.565366	0.0	0.434634	0.0	529	1330582.375	0.003950415237410251
