Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF	resstock_probability
2010s	Electricity	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Fuel Oil	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Natural Gas	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	None	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Other Fuel	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	5.6129739603169775e-05
2010s	Fuel Oil	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Natural Gas	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	None	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Other Fuel	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
2010s	Propane	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
<1940	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0008535407360924622
<1940	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	2.26294730314265e-07
<1940	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.006757000205943936
<1940	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
<1940	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.00029597516967171106
1940s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	3.097481962330939e-07
1940s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.0017519542040749336
1940s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1940s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0005157946821632107
1950s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	1.865702587821053e-06
1950s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.003861530189612686
1950s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1950s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0010485110317339234
1960s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.003615120153586712
1960s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1960s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0011195860436330012
1970s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	6.705632678685947e-07
1970s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.001927701566240911
1970s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1970s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0003269617604844804
1970s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.00029994288266808184
1980s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.0020982882251782977
1980s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1980s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0002404651261291108
1990s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	1.351275422541419e-06
1990s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.0008239902815888994
1990s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
1990s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.00016390271940478239
2000s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0001778107423696467
2000s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	3.441345886686333e-06
2000s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.0005922125807691241
2000s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
2000s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.00023711663649420941
2010s	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	3.576731301608868e-05
2010s	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	9.81911895457848e-07
2010s	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	7.946951962433699e-05
2010s	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0
2010s	Propane	No	Both Shared	1.0	0.0	0.0	0.0	5.950665780898986e-05
