Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	resstock_probability
Single-Family Attached	2000s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000332
Multi-Family with 2 - 4 Units	2000s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001173
Multi-Family with 5+ Units	2000s	Crawl	0.000000	0.000000	0.000000	1.000000	0.001984
Mobile Home	2000s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000044
Single-Family Detached	2010s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000402
Single-Family Attached	2010s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000052
Multi-Family with 2 - 4 Units	2010s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000185
Multi-Family with 5+ Units	2010s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000313
Mobile Home	2010s	Crawl	0.000000	0.000000	0.000000	1.000000	0.000007
Single-Family Detached	<1940	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.070307
Single-Family Attached	<1940	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.009137
Multi-Family with 2 - 4 Units	<1940	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.018986
Single-Family Attached	1940s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002467
Multi-Family with 2 - 4 Units	1940s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.039117
Single-Family Attached	1950s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.005084
Multi-Family with 2 - 4 Units	1950s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.032316
Single-Family Attached	1960s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.004200
Multi-Family with 2 - 4 Units	1960s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.030842
Single-Family Attached	1970s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.004008
Multi-Family with 2 - 4 Units	1970s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.017671
Single-Family Attached	1980s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002296
Multi-Family with 2 - 4 Units	1980s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.016440
Single-Family Attached	1990s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002136
Multi-Family with 2 - 4 Units	1990s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.018816
Single-Family Attached	2000s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002445
Multi-Family with 2 - 4 Units	2000s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.002965
Single-Family Attached	2010s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000385
Multi-Family with 2 - 4 Units	2010s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	Heated Basement	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	<1940	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	<1940	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	<1940	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	<1940	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1940s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	1940s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1940s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1940s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1940s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1950s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	1950s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1950s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1950s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1950s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1960s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	1960s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1960s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1960s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1960s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1970s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	1970s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1970s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1970s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1970s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1980s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	1980s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1980s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1980s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1980s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	1990s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	1990s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	1990s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	1990s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	1990s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2000s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	2010s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Attached	2010s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 2 - 4 Units	2010s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	2010s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Mobile Home	2010s	Pier and Beam	0.000000	0.000000	0.000000	1.000000	0.000000
Single-Family Detached	<1940	Slab	0.000000	0.000000	0.000000	1.000000	0.015491
Single-Family Attached	<1940	Slab	0.000000	0.000000	0.000000	1.000000	0.002013
Multi-Family with 2 - 4 Units	<1940	Slab	0.000000	0.000000	0.000000	1.000000	0.007121
Multi-Family with 5+ Units	<1940	Slab	0.000000	0.000000	0.000000	1.000000	0.012045
Mobile Home	<1940	Slab	0.000000	0.000000	0.000000	1.000000	0.000265
Single-Family Detached	1940s	Slab	0.000000	0.000000	0.000000	1.000000	0.004183
Single-Family Attached	1940s	Slab	0.000000	0.000000	0.000000	1.000000	0.000544
Multi-Family with 2 - 4 Units	1940s	Slab	0.000000	0.000000	0.000000	1.000000	0.001923
Multi-Family with 5+ Units	1940s	Slab	0.000000	0.000000	0.000000	1.000000	0.003253
Mobile Home	1940s	Slab	0.000000	0.000000	0.000000	1.000000	0.000071
Single-Family Detached	1950s	Slab	0.000000	0.000000	0.000000	1.000000	0.008619
Single-Family Attached	1950s	Slab	0.000000	0.000000	0.000000	1.000000	0.001120
Multi-Family with 2 - 4 Units	1950s	Slab	0.000000	0.000000	0.000000	1.000000	0.003962
Multi-Family with 5+ Units	1950s	Slab	0.000000	0.000000	0.000000	1.000000	0.006701
Mobile Home	1950s	Slab	0.000000	0.000000	0.000000	1.000000	0.000147
Single-Family Detached	1960s	Slab	0.000000	0.000000	0.000000	1.000000	0.007120
Single-Family Attached	1960s	Slab	0.000000	0.000000	0.000000	1.000000	0.000925
Multi-Family with 2 - 4 Units	1960s	Slab	0.000000	0.000000	0.000000	1.000000	0.003273
Multi-Family with 5+ Units	1960s	Slab	0.000000	0.000000	0.000000	1.000000	0.005536
Mobile Home	1960s	Slab	0.000000	0.000000	0.000000	1.000000	0.000122
Single-Family Detached	1970s	Slab	0.000000	0.000000	0.000000	1.000000	0.006796
Single-Family Attached	1970s	Slab	0.000000	0.000000	0.000000	1.000000	0.000883
Multi-Family with 2 - 4 Units	1970s	Slab	0.000000	0.000000	0.000000	1.000000	0.003124
Multi-Family with 5+ Units	1970s	Slab	0.000000	0.000000	0.000000	1.000000	0.005284
Mobile Home	1970s	Slab	0.000000	0.000000	0.000000	1.000000	0.000116
Single-Family Detached	1980s	Slab	0.000000	0.000000	0.000000	1.000000	0.003894
Single-Family Attached	1980s	Slab	0.000000	0.000000	0.000000	1.000000	0.000506
Multi-Family with 2 - 4 Units	1980s	Slab	0.000000	0.000000	0.000000	1.000000	0.001790
Multi-Family with 5+ Units	1980s	Slab	0.000000	0.000000	0.000000	1.000000	0.003027
Mobile Home	1980s	Slab	0.000000	0.000000	0.000000	1.000000	0.000066
Single-Family Detached	1990s	Slab	0.000000	0.000000	0.000000	1.000000	0.003622
Single-Family Attached	1990s	Slab	0.000000	0.000000	0.000000	1.000000	0.000471
Multi-Family with 2 - 4 Units	1990s	Slab	0.000000	0.000000	0.000000	1.000000	0.001665
Multi-Family with 5+ Units	1990s	Slab	0.000000	0.000000	0.000000	1.000000	0.002816
Mobile Home	1990s	Slab	0.000000	0.000000	0.000000	1.000000	0.000062
Single-Family Detached	2000s	Slab	0.000000	0.000000	0.000000	1.000000	0.004146
Single-Family Attached	2000s	Slab	0.000000	0.000000	0.000000	1.000000	0.000539
Multi-Family with 2 - 4 Units	2000s	Slab	0.000000	0.000000	0.000000	1.000000	0.001906
Multi-Family with 5+ Units	2000s	Slab	0.000000	0.000000	0.000000	1.000000	0.003223
Mobile Home	2000s	Slab	0.000000	0.000000	0.000000	1.000000	0.000071
Single-Family Detached	2010s	Slab	0.000000	0.000000	0.000000	1.000000	0.000653
Single-Family Attached	2010s	Slab	0.000000	0.000000	0.000000	1.000000	0.000085
Multi-Family with 2 - 4 Units	2010s	Slab	0.000000	0.000000	0.000000	1.000000	0.000300
Multi-Family with 5+ Units	2010s	Slab	0.000000	0.000000	0.000000	1.000000	0.000508
Mobile Home	2010s	Slab	0.000000	0.000000	0.000000	1.000000	0.000011
Single-Family Detached	<1940	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.023833
Single-Family Attached	<1940	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.003097
Multi-Family with 2 - 4 Units	<1940	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.043274
Multi-Family with 5+ Units	<1940	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.073194
Mobile Home	<1940	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001608
Single-Family Detached	1940s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.006436
Single-Family Attached	1940s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000836
Multi-Family with 2 - 4 Units	1940s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.011686
Multi-Family with 5+ Units	1940s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.019766
Mobile Home	1940s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000434
Single-Family Detached	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.013260
Single-Family Attached	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001723
Multi-Family with 2 - 4 Units	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.024077
Multi-Family with 5+ Units	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.040723
Mobile Home	1950s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000895
Single-Family Detached	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.010955
Single-Family Attached	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001424
Multi-Family with 2 - 4 Units	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.019891
Multi-Family with 5+ Units	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.033643
Mobile Home	1960s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000739
Single-Family Detached	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.010455
Single-Family Attached	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.001359
Multi-Family with 2 - 4 Units	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.018983
Multi-Family with 5+ Units	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.032108
Mobile Home	1970s	Unheated Basement	1.000000	0.000000	0.000000	0.000000	0.000705
Single-Family Detached	1980s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.005990
Single-Family Attached	1980s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000778
Multi-Family with 2 - 4 Units	1980s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.010877
Multi-Family with 5+ Units	1980s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.018397
Mobile Home	1980s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000404
Single-Family Detached	1990s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.005573
Single-Family Attached	1990s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000724
Multi-Family with 2 - 4 Units	1990s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.010119
Multi-Family with 5+ Units	1990s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.017115
Mobile Home	1990s	Unheated Basement	0.390000	0.270000	0.340000	0.000000	0.000376
Single-Family Detached	2000s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.006378
Single-Family Attached	2000s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000829
Multi-Family with 2 - 4 Units	2000s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.011581
Multi-Family with 5+ Units	2000s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.019588
Mobile Home	2000s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000430
Single-Family Detached	2010s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.001005
Single-Family Attached	2010s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000131
Multi-Family with 2 - 4 Units	2010s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.001825
Multi-Family with 5+ Units	2010s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.003087
Mobile Home	2010s	Unheated Basement	0.320000	0.370000	0.310000	0.000000	0.000068
