Dependency=Geometry Floor Area	Dependency=Vintage	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50	resstock_probability
2000-2499	2000s	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.006540
2500-2999	2000s	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.003179
3000-3999	2000s	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.004229
4000+	2000s	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001957
0-499	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.000649
500-749	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.001199
750-999	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.002329
1000-1499	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.003366
1500-1999	2010s	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.001932
2000-2499	2010s	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.001031
2500-2999	2010s	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.000501
3000-3999	2010s	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.000666
4000+	2010s	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000308
0-499	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.015395
500-749	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.028435
750-999	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093750	0.156250	0.281250	0.312500	0.156250	0.055227
1000-1499	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004016	0.068273	0.188755	0.248996	0.333333	0.108434	0.048193	0.079820
1500-1999	<1940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054945	0.175824	0.428571	0.197802	0.120879	0.010989	0.010989	0.045806
2000-2499	<1940	0.000000	0.000000	0.000000	0.027027	0.000000	0.000000	0.081081	0.081081	0.108108	0.297297	0.270270	0.054054	0.081081	0.000000	0.000000	0.024436
2500-2999	<1940	0.000000	0.000000	0.000000	0.033333	0.100000	0.166667	0.200000	0.100000	0.200000	0.166667	0.033333	0.000000	0.000000	0.000000	0.000000	0.011878
3000-3999	<1940	0.000000	0.000000	0.000000	0.034483	0.103448	0.034483	0.172414	0.482759	0.137931	0.034483	0.000000	0.000000	0.000000	0.000000	0.000000	0.015802
4000+	<1940	0.000000	0.100000	0.000000	0.000000	0.100000	0.000000	0.300000	0.100000	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007312
