Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None	resstock_probability
2010s	Crawl	Multi-Family with 2 - 4 Units	0.080000	0.220000	0.260000	0.290000	0.150000	0.000000	0.000185
<1940	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.070307
1950s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.039117
1960s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.032316
1970s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.030842
1980s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.017671
1990s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.016440
2000s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.018816
<1940	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.009137
1950s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.005084
1960s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.004200
1970s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.004008
1980s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.002296
1990s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.002136
2000s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.002445
<1940	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.018986
1940s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.002467
1940s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.002965
2010s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000385
2010s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1940s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2010s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1950s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1960s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1970s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1980s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
1990s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
2000s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
<1940	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.015491
1950s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.008619
1960s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.007120
1970s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.006796
1980s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003894
1990s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003622
2000s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.004146
<1940	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.002013
1950s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001120
1960s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000925
1970s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000883
1980s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000506
1990s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000471
2000s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000539
<1940	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000265
1950s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000147
1960s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000122
1970s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000116
1980s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000066
1990s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000062
2000s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000071
<1940	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.012045
1950s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.006701
1960s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.005536
1970s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.005284
1980s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003027
1990s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.002816
2000s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003223
<1940	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.007121
1950s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003962
1960s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003273
1970s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003124
1980s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001790
1990s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001665
2000s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001906
1940s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.004183
1940s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000544
1940s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000071
1940s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003253
1940s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001923
2010s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000653
2010s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000085
2010s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000011
2010s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000508
2010s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000300
<1940	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.023833
1950s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.013260
1960s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.010955
1970s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.010455
1980s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.005990
1990s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.005573
2000s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.006378
<1940	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003097
1950s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001723
1960s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001424
1970s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001359
1980s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000778
1990s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000724
2000s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000829
<1940	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001608
1950s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000895
1960s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000739
1970s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000705
1980s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000404
1990s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000376
2000s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000430
<1940	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.073194
1950s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.040723
1960s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.033643
1970s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.032108
1980s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.018397
1990s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.017115
2000s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.019588
<1940	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.043274
1950s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.024077
1960s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.019891
1970s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.018983
1980s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.010877
1990s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.010119
2000s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.011581
1940s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.006436
1940s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000836
1940s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000434
1940s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.019766
1940s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.011686
2010s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001005
2010s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000131
2010s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000068
2010s	Unheated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.003087
2010s	Unheated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.001825
