occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,refrigerator,extra_refrigerator,freezer,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,dehumidifier,kitchen_fan,bath_fan
1,0.0495,0.429,0.429,0,0.0267,0.579,0.579,0.579,0.045,0.0456,0.0494,1,0.604,0.0307,1,0.221,0.00621,0.221,0.221,0.0236,0.0236,0.152,0.145,0.045,0.0456,0.046,1,0,0
1,0.0495,0.429,0.429,0,0.0267,0.564,0.564,0.564,0.027,0.0456,0.0247,1,0.585,0.0205,1,0.174,0.0124,0.174,0.174,0.0315,0.0315,0.184,0.175,0.027,0.0456,0.0575,1,0,0
1,0.0548,0.438,0.438,0,0.0467,0.549,0.549,0.549,0.027,0.0798,0.0494,1,0.604,0.0282,1,0.186,0.0435,0.186,0.186,0.063,0.063,0.298,0.284,0.027,0.0798,0.115,1,0,0
1,0.15,0.429,0.429,0,0.0733,0.549,0.549,0.549,0.0901,0.125,0.0741,1,0.623,0.0358,1,0.209,0.0745,0.209,0.209,0.118,0.118,0.425,0.405,0.0901,0.125,0.391,1,0,0
1,0.351,0.419,0.419,0,0.167,0.579,0.579,0.579,0.18,0.251,0.198,1,0.698,0.0614,1,0.302,0.18,0.302,0.302,0.205,0.205,0.362,0.345,0.18,0.251,0.897,1,0,0
0.869,0.444,0.39,0.39,0,0.28,0.609,0.609,0.609,0.279,0.559,0.395,0.421,0.792,0.11,1,0.384,0.286,0.384,0.384,0.346,0.346,0.152,0.145,0.279,0.559,1,1,0,0
0.41,0.47,0.343,0.343,0,0.307,0.625,0.625,0.625,0.523,0.832,0.593,0.421,0.811,0.182,1,0.384,0.273,0.384,0.384,0.661,0.661,0.152,0.145,0.523,0.832,0.92,1,0,0
0.246,0.481,0.286,0.286,0,0.32,0.625,0.625,0.625,0.586,0.98,0.84,0.421,0.811,0.241,1,0.372,0.255,0.372,0.372,0.953,0.953,0.121,0.115,0.586,0.98,0.77,1,0,0
0.246,0.468,0.229,0.229,0,0.28,0.609,0.609,0.609,0.505,0.958,0.963,0.421,0.811,0.287,1,0.384,0.273,0.384,0.384,1,1,0.0952,0.0907,0.505,0.958,0.644,1,0,0
0.246,0.449,0.152,0.152,0,0.333,0.609,0.609,0.609,0.432,0.855,1,0.421,0.83,0.315,1,0.384,0.286,0.384,0.384,0.953,0.953,0.0889,0.0847,0.432,0.855,0.54,1,0,0
0.246,0.436,0.114,0.114,0,0.38,0.64,0.64,0.64,0.369,0.764,0.914,0.421,0.849,0.338,1,0.372,0.261,0.372,0.372,0.945,0.945,0.0889,0.0847,0.369,0.764,0.46,1,0,0
0.246,0.432,0.105,0.105,0,0.307,0.64,0.64,0.64,0.414,0.684,0.827,0.421,0.849,0.399,1,0.372,0.236,0.372,0.372,0.709,0.709,0.0889,0.0847,0.414,0.684,0.402,1,0,0
0.246,0.435,0.105,0.105,0,0.38,0.64,0.64,0.64,0.324,0.559,0.704,0.421,0.83,0.456,1,0.372,0.304,0.372,0.372,0.591,0.591,0.152,0.145,0.324,0.559,0.379,1,0,0
0.246,0.458,0.114,0.114,0,0.293,0.625,0.625,0.625,0.342,0.593,0.753,0.421,0.868,0.502,1,0.384,0.366,0.384,0.384,0.48,0.48,0.368,0.351,0.342,0.593,0.356,1,0,0
0.295,0.526,0.181,0.181,0,0.613,0.67,0.67,0.67,0.342,0.57,0.679,0.421,0.906,0.527,1,0.523,0.683,0.523,0.523,0.291,0.291,0.8,0.762,0.342,0.57,0.448,1,0,0
0.541,0.674,0.362,0.362,0,1,0.731,0.731,0.731,0.441,0.559,0.667,0.421,0.981,0.545,1,0.663,1,0.663,0.663,0.181,0.181,0.775,0.738,0.441,0.559,0.586,1,0,0
0.885,0.868,0.457,0.457,0,0.78,0.762,0.762,0.762,0.784,0.559,0.63,1,1,0.642,1,0.767,0.714,0.767,0.767,0.102,0.102,0.432,0.411,0.784,0.559,0.69,1,0,0
0.885,0.98,0.571,0.571,0,0.4,0.731,0.731,0.731,1,0.559,0.63,1,0.943,0.845,1,0.884,0.435,0.884,0.884,0.063,0.063,0.387,0.369,1,0.559,0.69,1,0,0
0.885,0.913,0.79,0.79,0,0.233,0.716,0.716,0.716,0.811,0.559,0.642,1,0.887,0.993,1,0.942,0.273,0.942,0.942,0.0315,0.0315,0.324,0.308,0.811,0.559,0.632,1,0,0
1,0.727,0.933,0.933,0,0.167,0.701,0.701,0.701,0.604,0.536,0.667,1,0.849,0.916,1,1,0.118,1,1,0.0236,0.0236,0.273,0.26,0.604,0.536,0.552,1,0,0
1,0.638,0.81,0.81,0,0.107,0.67,0.67,0.67,0.396,0.365,0.543,1,0.755,0.578,1,0.872,0.0807,0.872,0.872,0.0236,0.0236,0.152,0.145,0.396,0.365,0.437,1,0,0
1,0.249,0.562,0.562,0,0.0733,0.625,0.625,0.625,0.279,0.194,0.296,1,0.679,0.264,1,0.756,0.0435,0.756,0.756,0.0236,0.0236,0.152,0.145,0.279,0.194,0.299,1,0,0
1,0.124,0.438,0.438,0,0.0467,0.609,0.609,0.609,0.135,0.103,0.123,1,0.66,0.0947,1,0.512,0.0248,0.512,0.512,0.0236,0.0236,0.152,0.145,0.135,0.103,0.138,1,0,0
1,0.0743,0.438,0.438,0,0.0467,0.594,0.594,0.594,0.0631,0.0798,0.0741,1,0.623,0.0461,1,0.267,0.00621,0.267,0.267,0.0236,0.0236,0.184,0.175,0.0631,0.0798,0.069,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.579,0.579,0.579,0.045,0.0456,0.0494,1,0.604,0.023,1,0.221,0.00621,0.221,0.221,0.0236,0.0236,0.152,0.145,0.045,0.0456,0.046,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.564,0.564,0.564,0.027,0.0456,0.0247,1,0.585,0.0179,1,0.174,0.0124,0.174,0.174,0.0315,0.0315,0.184,0.175,0.027,0.0456,0.0575,1,0,0
1,0.0548,0.438,0.438,0,0.0467,0.549,0.549,0.549,0.027,0.0798,0.0494,1,0.604,0.0282,1,0.186,0.0435,0.186,0.186,0.063,0.063,0.298,0.284,0.027,0.0798,0.115,1,0,0
1,0.15,0.352,0.352,0,0.0733,0.549,0.549,0.549,0.0901,0.125,0.0741,1,0.623,0.0461,1,0.209,0.0745,0.209,0.209,0.118,0.118,0.425,0.405,0.0901,0.125,0.391,1,0,0
1,0.351,0.333,0.333,0,0.167,0.579,0.579,0.579,0.18,0.251,0.198,1,0.698,0.0742,1,0.302,0.18,0.302,0.302,0.205,0.205,0.362,0.345,0.18,0.251,0.897,1,0,0
0.869,0.444,0.324,0.324,0,0.28,0.609,0.609,0.609,0.279,0.559,0.395,0.421,0.792,0.102,1,0.384,0.286,0.384,0.384,0.346,0.346,0.152,0.145,0.279,0.559,1,1,0,0
0.41,0.47,0.314,0.314,0,0.307,0.625,0.625,0.625,0.523,0.832,0.593,0.421,0.811,0.125,1,0.384,0.273,0.384,0.384,0.661,0.661,0.152,0.145,0.523,0.832,0.92,1,0,0
0.246,0.481,0.267,0.267,0,0.32,0.625,0.625,0.625,0.586,0.98,0.84,0.421,0.811,0.148,1,0.372,0.255,0.372,0.372,0.953,0.953,0.121,0.115,0.586,0.98,0.77,1,0,0
0.246,0.468,0.21,0.21,0,0.28,0.609,0.609,0.609,0.505,0.958,0.963,0.421,0.811,0.166,1,0.384,0.273,0.384,0.384,1,1,0.0952,0.0907,0.505,0.958,0.644,1,0,0
0.246,0.449,0.143,0.143,0,0.333,0.609,0.609,0.609,0.432,0.855,1,0.421,0.83,0.184,1,0.384,0.286,0.384,0.384,0.953,0.953,0.0889,0.0847,0.432,0.855,0.54,1,0,0
0.246,0.436,0.114,0.114,0,0.38,0.64,0.64,0.64,0.369,0.764,0.914,0.421,0.849,0.194,1,0.372,0.261,0.372,0.372,0.945,0.945,0.0889,0.0847,0.369,0.764,0.46,1,0,0
0.246,0.432,0.105,0.105,0,0.307,0.64,0.64,0.64,0.414,0.684,0.827,0.421,0.849,0.22,1,0.372,0.236,0.372,0.372,0.709,0.709,0.0889,0.0847,0.414,0.684,0.402,1,0,0
0.246,0.435,0.105,0.105,0,0.38,0.64,0.64,0.64,0.324,0.559,0.704,0.421,0.83,0.233,1,0.372,0.304,0.372,0.372,0.591,0.591,0.152,0.145,0.324,0.559,0.379,1,0,0
0.246,0.458,0.114,0.114,0,0.293,0.625,0.625,0.625,0.342,0.593,0.753,0.421,0.868,0.261,1,0.384,0.366,0.384,0.384,0.48,0.48,0.368,0.351,0.342,0.593,0.356,1,0,0
0.295,0.526,0.181,0.181,0,0.613,0.67,0.67,0.67,0.342,0.57,0.679,0.421,0.906,0.325,1,0.523,0.683,0.523,0.523,0.291,0.291,0.8,0.762,0.342,0.57,0.448,1,0,0
0.541,0.674,0.352,0.352,0,1,0.731,0.731,0.731,0.441,0.559,0.667,0.421,0.981,0.399,1,0.663,1,0.663,0.663,0.181,0.181,0.775,0.738,0.441,0.559,0.586,1,0,0
0.885,0.868,0.467,0.467,0,0.78,0.762,0.762,0.762,0.784,0.559,0.63,1,1,0.537,1,0.767,0.714,0.767,0.767,0.102,0.102,0.432,0.411,0.784,0.559,0.69,1,0,0
0.885,0.98,0.619,0.619,0,0.4,0.731,0.731,0.731,1,0.559,0.63,1,0.943,0.752,1,0.884,0.435,0.884,0.884,0.063,0.063,0.387,0.369,1,0.559,0.69,1,0,0
0.885,0.913,0.867,0.867,0,0.233,0.716,0.716,0.716,0.811,0.559,0.642,1,0.887,0.929,1,0.942,0.273,0.942,0.942,0.0315,0.0315,0.324,0.308,0.811,0.559,0.632,1,0,0
1,0.727,1,1,0,0.167,0.701,0.701,0.701,0.604,0.536,0.667,1,0.849,0.88,1,1,0.118,1,1,0.0236,0.0236,0.273,0.26,0.604,0.536,0.552,1,0,0
1,0.638,0.867,0.867,0,0.107,0.67,0.67,0.67,0.396,0.365,0.543,1,0.755,0.532,1,0.872,0.0807,0.872,0.872,0.0236,0.0236,0.152,0.145,0.396,0.365,0.437,1,0,0
1,0.249,0.6,0.6,0,0.0733,0.625,0.625,0.625,0.279,0.194,0.296,1,0.679,0.23,1,0.756,0.0435,0.756,0.756,0.0236,0.0236,0.152,0.145,0.279,0.194,0.299,1,0,0
1,0.124,0.438,0.438,0,0.0467,0.609,0.609,0.609,0.135,0.103,0.123,1,0.66,0.0947,1,0.512,0.0248,0.512,0.512,0.0236,0.0236,0.152,0.145,0.135,0.103,0.138,1,0,0
1,0.0743,0.438,0.438,0,0.0467,0.594,0.594,0.594,0.0631,0.0798,0.0741,1,0.623,0.0461,1,0.267,0.00621,0.267,0.267,0.0236,0.0236,0.184,0.175,0.0631,0.0798,0.069,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.579,0.579,0.579,0.045,0.0456,0.0494,1,0.604,0.023,1,0.221,0.00621,0.221,0.221,0.0236,0.0236,0.152,0.145,0.045,0.0456,0.046,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.564,0.564,0.564,0.027,0.0456,0.0247,1,0.585,0.0179,1,0.174,0.0124,0.174,0.174,0.0315,0.0315,0.184,0.175,0.027,0.0456,0.0575,1,0,0
1,0.0548,0.438,0.438,0,0.0467,0.549,0.549,0.549,0.027,0.0798,0.0494,1,0.604,0.0282,1,0.186,0.0435,0.186,0.186,0.063,0.063,0.298,0.284,0.027,0.0798,0.115,1,0,0
1,0.15,0.352,0.352,0,0.0733,0.549,0.549,0.549,0.0901,0.125,0.0741,1,0.623,0.0461,1,0.209,0.0745,0.209,0.209,0.118,0.118,0.425,0.405,0.0901,0.125,0.391,1,0,0
1,0.351,0.333,0.333,0,0.167,0.579,0.579,0.579,0.18,0.251,0.198,1,0.698,0.0742,1,0.302,0.18,0.302,0.302,0.205,0.205,0.362,0.345,0.18,0.251,0.897,1,0,0
0.869,0.444,0.324,0.324,0,0.28,0.609,0.609,0.609,0.279,0.559,0.395,0.421,0.792,0.102,1,0.384,0.286,0.384,0.384,0.346,0.346,0.152,0.145,0.279,0.559,1,1,0,0
0.41,0.47,0.314,0.314,0,0.307,0.625,0.625,0.625,0.523,0.832,0.593,0.421,0.811,0.125,1,0.384,0.273,0.384,0.384,0.661,0.661,0.152,0.145,0.523,0.832,0.92,1,0,0
0.246,0.481,0.267,0.267,0,0.32,0.625,0.625,0.625,0.586,0.98,0.84,0.421,0.811,0.148,1,0.372,0.255,0.372,0.372,0.953,0.953,0.121,0.115,0.586,0.98,0.77,1,0,0
0.246,0.468,0.21,0.21,0,0.28,0.609,0.609,0.609,0.505,0.958,0.963,0.421,0.811,0.166,1,0.384,0.273,0.384,0.384,1,1,0.0952,0.0907,0.505,0.958,0.644,1,0,0
0.246,0.449,0.143,0.143,0,0.333,0.609,0.609,0.609,0.432,0.855,1,0.421,0.83,0.184,1,0.384,0.286,0.384,0.384,0.953,0.953,0.0889,0.0847,0.432,0.855,0.54,1,0,0
0.246,0.436,0.114,0.114,0,0.38,0.64,0.64,0.64,0.369,0.764,0.914,0.421,0.849,0.194,1,0.372,0.261,0.372,0.372,0.945,0.945,0.0889,0.0847,0.369,0.764,0.46,1,0,0
0.246,0.432,0.105,0.105,0,0.307,0.64,0.64,0.64,0.414,0.684,0.827,0.421,0.849,0.22,1,0.372,0.236,0.372,0.372,0.709,0.709,0.0889,0.0847,0.414,0.684,0.402,1,0,0
0.246,0.435,0.105,0.105,0,0.38,0.64,0.64,0.64,0.324,0.559,0.704,0.421,0.83,0.233,1,0.372,0.304,0.372,0.372,0.591,0.591,0.152,0.145,0.324,0.559,0.379,1,0,0
0.246,0.458,0.114,0.114,0,0.293,0.625,0.625,0.625,0.342,0.593,0.753,0.421,0.868,0.261,1,0.384,0.366,0.384,0.384,0.48,0.48,0.368,0.351,0.342,0.593,0.356,1,0,0
0.295,0.526,0.181,0.181,0,0.613,0.67,0.67,0.67,0.342,0.57,0.679,0.421,0.906,0.325,1,0.523,0.683,0.523,0.523,0.291,0.291,0.8,0.762,0.342,0.57,0.448,1,0,0
0.541,0.674,0.352,0.352,0,1,0.731,0.731,0.731,0.441,0.559,0.667,0.421,0.981,0.399,1,0.663,1,0.663,0.663,0.181,0.181,0.775,0.738,0.441,0.559,0.586,1,0,0
0.885,0.868,0.467,0.467,0,0.78,0.762,0.762,0.762,0.784,0.559,0.63,1,1,0.537,1,0.767,0.714,0.767,0.767,0.102,0.102,0.432,0.411,0.784,0.559,0.69,1,0,0
0.885,0.98,0.619,0.619,0,0.4,0.731,0.731,0.731,1,0.559,0.63,1,0.943,0.752,1,0.884,0.435,0.884,0.884,0.063,0.063,0.387,0.369,1,0.559,0.69,1,0,0
0.885,0.913,0.867,0.867,0,0.233,0.716,0.716,0.716,0.811,0.559,0.642,1,0.887,0.929,1,0.942,0.273,0.942,0.942,0.0315,0.0315,0.324,0.308,0.811,0.559,0.632,1,0,0
1,0.727,1,1,0,0.167,0.701,0.701,0.701,0.604,0.536,0.667,1,0.849,0.88,1,1,0.118,1,1,0.0236,0.0236,0.273,0.26,0.604,0.536,0.552,1,0,0
1,0.638,0.867,0.867,0,0.107,0.67,0.67,0.67,0.396,0.365,0.543,1,0.755,0.532,1,0.872,0.0807,0.872,0.872,0.0236,0.0236,0.152,0.145,0.396,0.365,0.437,1,0,0
1,0.249,0.6,0.6,0,0.0733,0.625,0.625,0.625,0.279,0.194,0.296,1,0.679,0.23,1,0.756,0.0435,0.756,0.756,0.0236,0.0236,0.152,0.145,0.279,0.194,0.299,1,0,0
1,0.124,0.438,0.438,0,0.0467,0.609,0.609,0.609,0.135,0.103,0.123,1,0.66,0.0947,1,0.512,0.0248,0.512,0.512,0.0236,0.0236,0.152,0.145,0.135,0.103,0.138,1,0,0
1,0.0743,0.438,0.438,0,0.0467,0.594,0.594,0.594,0.0631,0.0798,0.0741,1,0.623,0.0461,1,0.267,0.00621,0.267,0.267,0.0236,0.0236,0.184,0.175,0.0631,0.0798,0.069,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.579,0.579,0.579,0.045,0.0456,0.0494,1,0.604,0.023,1,0.221,0.00621,0.221,0.221,0.0236,0.0236,0.152,0.145,0.045,0.0456,0.046,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.564,0.564,0.564,0.027,0.0456,0.0247,1,0.585,0.0179,1,0.174,0.0124,0.174,0.174,0.0315,0.0315,0.184,0.175,0.027,0.0456,0.0575,1,0,0
1,0.0548,0.438,0.438,0,0.0467,0.549,0.549,0.549,0.027,0.0798,0.0494,1,0.604,0.0282,1,0.186,0.0435,0.186,0.186,0.063,0.063,0.298,0.284,0.027,0.0798,0.115,1,0,0
1,0.15,0.352,0.352,0,0.0733,0.549,0.549,0.549,0.0901,0.125,0.0741,1,0.623,0.0461,1,0.209,0.0745,0.209,0.209,0.118,0.118,0.425,0.405,0.0901,0.125,0.391,1,0,0
1,0.351,0.333,0.333,0,0.167,0.579,0.579,0.579,0.18,0.251,0.198,1,0.698,0.0742,1,0.302,0.18,0.302,0.302,0.205,0.205,0.362,0.345,0.18,0.251,0.897,1,0,0
0.869,0.444,0.324,0.324,0,0.28,0.609,0.609,0.609,0.279,0.559,0.395,0.421,0.792,0.102,1,0.384,0.286,0.384,0.384,0.346,0.346,0.152,0.145,0.279,0.559,1,1,0,0
0.41,0.47,0.314,0.314,0,0.307,0.625,0.625,0.625,0.523,0.832,0.593,0.421,0.811,0.125,1,0.384,0.273,0.384,0.384,0.661,0.661,0.152,0.145,0.523,0.832,0.92,1,0,0
0.246,0.481,0.267,0.267,0,0.32,0.625,0.625,0.625,0.586,0.98,0.84,0.421,0.811,0.148,1,0.372,0.255,0.372,0.372,0.953,0.953,0.121,0.115,0.586,0.98,0.77,1,0,0
0.246,0.468,0.21,0.21,0,0.28,0.609,0.609,0.609,0.505,0.958,0.963,0.421,0.811,0.166,1,0.384,0.273,0.384,0.384,1,1,0.0952,0.0907,0.505,0.958,0.644,1,0,0
0.246,0.449,0.143,0.143,0,0.333,0.609,0.609,0.609,0.432,0.855,1,0.421,0.83,0.184,1,0.384,0.286,0.384,0.384,0.953,0.953,0.0889,0.0847,0.432,0.855,0.54,1,0,0
0.246,0.436,0.114,0.114,0,0.38,0.64,0.64,0.64,0.369,0.764,0.914,0.421,0.849,0.194,1,0.372,0.261,0.372,0.372,0.945,0.945,0.0889,0.0847,0.369,0.764,0.46,1,0,0
0.246,0.432,0.105,0.105,0,0.307,0.64,0.64,0.64,0.414,0.684,0.827,0.421,0.849,0.22,1,0.372,0.236,0.372,0.372,0.709,0.709,0.0889,0.0847,0.414,0.684,0.402,1,0,0
0.246,0.435,0.105,0.105,0,0.38,0.64,0.64,0.64,0.324,0.559,0.704,0.421,0.83,0.233,1,0.372,0.304,0.372,0.372,0.591,0.591,0.152,0.145,0.324,0.559,0.379,1,0,0
0.246,0.458,0.114,0.114,0,0.293,0.625,0.625,0.625,0.342,0.593,0.753,0.421,0.868,0.261,1,0.384,0.366,0.384,0.384,0.48,0.48,0.368,0.351,0.342,0.593,0.356,1,0,0
0.295,0.526,0.181,0.181,0,0.613,0.67,0.67,0.67,0.342,0.57,0.679,0.421,0.906,0.325,1,0.523,0.683,0.523,0.523,0.291,0.291,0.8,0.762,0.342,0.57,0.448,1,0,0
0.541,0.674,0.352,0.352,0,1,0.731,0.731,0.731,0.441,0.559,0.667,0.421,0.981,0.399,1,0.663,1,0.663,0.663,0.181,0.181,0.775,0.738,0.441,0.559,0.586,1,0,0
0.885,0.868,0.467,0.467,0,0.78,0.762,0.762,0.762,0.784,0.559,0.63,1,1,0.537,1,0.767,0.714,0.767,0.767,0.102,0.102,0.432,0.411,0.784,0.559,0.69,1,0,0
0.885,0.98,0.619,0.619,0,0.4,0.731,0.731,0.731,1,0.559,0.63,1,0.943,0.752,1,0.884,0.435,0.884,0.884,0.063,0.063,0.387,0.369,1,0.559,0.69,1,0,0
0.885,0.913,0.867,0.867,0,0.233,0.716,0.716,0.716,0.811,0.559,0.642,1,0.887,0.929,1,0.942,0.273,0.942,0.942,0.0315,0.0315,0.324,0.308,0.811,0.559,0.632,1,0,0
1,0.727,1,1,0,0.167,0.701,0.701,0.701,0.604,0.536,0.667,1,0.849,0.88,1,1,0.118,1,1,0.0236,0.0236,0.273,0.26,0.604,0.536,0.552,1,0,0
1,0.638,0.867,0.867,0,0.107,0.67,0.67,0.67,0.396,0.365,0.543,1,0.755,0.532,1,0.872,0.0807,0.872,0.872,0.0236,0.0236,0.152,0.145,0.396,0.365,0.437,1,0,0
1,0.249,0.6,0.6,0,0.0733,0.625,0.625,0.625,0.279,0.194,0.296,1,0.679,0.23,1,0.756,0.0435,0.756,0.756,0.0236,0.0236,0.152,0.145,0.279,0.194,0.299,1,0,0
1,0.124,0.438,0.438,0,0.0467,0.609,0.609,0.609,0.135,0.103,0.123,1,0.66,0.0947,1,0.512,0.0248,0.512,0.512,0.0236,0.0236,0.152,0.145,0.135,0.103,0.138,1,0,0
1,0.0743,0.438,0.438,0,0.0467,0.594,0.594,0.594,0.0631,0.0798,0.0741,1,0.623,0.0461,1,0.267,0.00621,0.267,0.267,0.0236,0.0236,0.184,0.175,0.0631,0.0798,0.069,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.579,0.579,0.579,0.045,0.0456,0.0494,1,0.604,0.023,1,0.221,0.00621,0.221,0.221,0.0236,0.0236,0.152,0.145,0.045,0.0456,0.046,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.564,0.564,0.564,0.027,0.0456,0.0247,1,0.585,0.0179,1,0.174,0.0124,0.174,0.174,0.0315,0.0315,0.184,0.175,0.027,0.0456,0.0575,1,0,0
1,0.0548,0.438,0.438,0,0.0467,0.549,0.549,0.549,0.027,0.0798,0.0494,1,0.604,0.0282,1,0.186,0.0435,0.186,0.186,0.063,0.063,0.298,0.284,0.027,0.0798,0.115,1,0,0
1,0.15,0.352,0.352,0,0.0733,0.549,0.549,0.549,0.0901,0.125,0.0741,1,0.623,0.0461,1,0.209,0.0745,0.209,0.209,0.118,0.118,0.425,0.405,0.0901,0.125,0.391,1,0,0
1,0.351,0.333,0.333,0,0.167,0.579,0.579,0.579,0.18,0.251,0.198,1,0.698,0.0742,1,0.302,0.18,0.302,0.302,0.205,0.205,0.362,0.345,0.18,0.251,0.897,1,0,0
0.869,0.444,0.324,0.324,0,0.28,0.609,0.609,0.609,0.279,0.559,0.395,0.421,0.792,0.102,1,0.384,0.286,0.384,0.384,0.346,0.346,0.152,0.145,0.279,0.559,1,1,0,0
0.41,0.47,0.314,0.314,0,0.307,0.625,0.625,0.625,0.523,0.832,0.593,0.421,0.811,0.125,1,0.384,0.273,0.384,0.384,0.661,0.661,0.152,0.145,0.523,0.832,0.92,1,0,0
0.246,0.481,0.267,0.267,0,0.32,0.625,0.625,0.625,0.586,0.98,0.84,0.421,0.811,0.148,1,0.372,0.255,0.372,0.372,0.953,0.953,0.121,0.115,0.586,0.98,0.77,1,0,0
0.246,0.468,0.21,0.21,0,0.28,0.609,0.609,0.609,0.505,0.958,0.963,0.421,0.811,0.166,1,0.384,0.273,0.384,0.384,1,1,0.0952,0.0907,0.505,0.958,0.644,1,0,0
0.246,0.449,0.143,0.143,0,0.333,0.609,0.609,0.609,0.432,0.855,1,0.421,0.83,0.184,1,0.384,0.286,0.384,0.384,0.953,0.953,0.0889,0.0847,0.432,0.855,0.54,1,0,0
0.246,0.436,0.114,0.114,0,0.38,0.64,0.64,0.64,0.369,0.764,0.914,0.421,0.849,0.194,1,0.372,0.261,0.372,0.372,0.945,0.945,0.0889,0.0847,0.369,0.764,0.46,1,0,0
0.246,0.432,0.105,0.105,0,0.307,0.64,0.64,0.64,0.414,0.684,0.827,0.421,0.849,0.22,1,0.372,0.236,0.372,0.372,0.709,0.709,0.0889,0.0847,0.414,0.684,0.402,1,0,0
0.246,0.435,0.105,0.105,0,0.38,0.64,0.64,0.64,0.324,0.559,0.704,0.421,0.83,0.233,1,0.372,0.304,0.372,0.372,0.591,0.591,0.152,0.145,0.324,0.559,0.379,1,0,0
0.246,0.458,0.114,0.114,0,0.293,0.625,0.625,0.625,0.342,0.593,0.753,0.421,0.868,0.261,1,0.384,0.366,0.384,0.384,0.48,0.48,0.368,0.351,0.342,0.593,0.356,1,0,0
0.295,0.526,0.181,0.181,0,0.613,0.67,0.67,0.67,0.342,0.57,0.679,0.421,0.906,0.325,1,0.523,0.683,0.523,0.523,0.291,0.291,0.8,0.762,0.342,0.57,0.448,1,0,0
0.541,0.674,0.352,0.352,0,1,0.731,0.731,0.731,0.441,0.559,0.667,0.421,0.981,0.399,1,0.663,1,0.663,0.663,0.181,0.181,0.775,0.738,0.441,0.559,0.586,1,0,0
0.885,0.868,0.467,0.467,0,0.78,0.762,0.762,0.762,0.784,0.559,0.63,1,1,0.537,1,0.767,0.714,0.767,0.767,0.102,0.102,0.432,0.411,0.784,0.559,0.69,1,0,0
0.885,0.98,0.619,0.619,0,0.4,0.731,0.731,0.731,1,0.559,0.63,1,0.943,0.752,1,0.884,0.435,0.884,0.884,0.063,0.063,0.387,0.369,1,0.559,0.69,1,0,0
0.885,0.913,0.867,0.867,0,0.233,0.716,0.716,0.716,0.811,0.559,0.642,1,0.887,0.929,1,0.942,0.273,0.942,0.942,0.0315,0.0315,0.324,0.308,0.811,0.559,0.632,1,0,0
1,0.727,1,1,0,0.167,0.701,0.701,0.701,0.604,0.536,0.667,1,0.849,0.88,1,1,0.118,1,1,0.0236,0.0236,0.273,0.26,0.604,0.536,0.552,1,0,0
1,0.638,0.867,0.867,0,0.107,0.67,0.67,0.67,0.396,0.365,0.543,1,0.755,0.532,1,0.872,0.0807,0.872,0.872,0.0236,0.0236,0.152,0.145,0.396,0.365,0.437,1,0,0
1,0.249,0.6,0.6,0,0.0733,0.625,0.625,0.625,0.279,0.194,0.296,1,0.679,0.23,1,0.756,0.0435,0.756,0.756,0.0236,0.0236,0.152,0.145,0.279,0.194,0.299,1,0,0
1,0.124,0.438,0.438,0,0.0467,0.609,0.609,0.609,0.135,0.103,0.123,1,0.66,0.0947,1,0.512,0.0248,0.512,0.512,0.0236,0.0236,0.152,0.145,0.135,0.103,0.138,1,0,0
1,0.0743,0.438,0.438,0,0.0467,0.594,0.594,0.594,0.0631,0.0798,0.0741,1,0.623,0.0461,1,0.267,0.00621,0.267,0.267,0.0236,0.0236,0.184,0.175,0.0631,0.0798,0.069,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.579,0.579,0.579,0.045,0.0456,0.0494,1,0.604,0.023,1,0.221,0.00621,0.221,0.221,0.0236,0.0236,0.152,0.145,0.045,0.0456,0.046,1,0,0
1,0.0495,0.438,0.438,0,0.0267,0.564,0.564,0.564,0.027,0.0456,0.0247,1,0.585,0.0179,1,0.174,0.0124,0.174,0.174,0.0315,0.0315,0.184,0.175,0.027,0.0456,0.0575,1,0,0
1,0.0548,0.438,0.438,0,0.0467,0.549,0.549,0.549,0.027,0.0798,0.0494,1,0.604,0.0282,1,0.186,0.0435,0.186,0.186,0.063,0.063,0.298,0.284,0.027,0.0798,0.115,1,0,0
1,0.15,0.352,0.352,0,0.0733,0.549,0.549,0.549,0.0901,0.125,0.0741,1,0.623,0.0461,1,0.209,0.0745,0.209,0.209,0.118,0.118,0.425,0.405,0.0901,0.125,0.391,1,0,0
1,0.351,0.333,0.333,0,0.167,0.579,0.579,0.579,0.18,0.251,0.198,1,0.698,0.0742,1,0.302,0.18,0.302,0.302,0.205,0.205,0.362,0.345,0.18,0.251,0.897,1,0,0
