Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	sample_count	sample_weight
AL, 00302	Single-Family Detached	0.022126	0.077730	0.162798	0.092552	0.198980	0.115350	0.202081	0.102804	0.025578	0.000000	0.000000
AL, 00400	10 to 19 Unit	0.000000	0.000000	0.122587	0.274362	0.430773	0.053847	0.118430	0.000000	0.000000	0.000000	0.000000
AL, 00400	2 Unit	0.003618	0.085622	0.237978	0.230832	0.111407	0.199082	0.083038	0.000000	0.048423	0.000000	0.000000
AL, 00400	20 to 49 Unit	0.000000	0.000000	0.062199	0.055288	0.254995	0.000000	0.388762	0.238756	0.000000	0.000000	0.000000
AL, 00400	3 or 4 Unit	0.000000	0.054770	0.159688	0.244075	0.180832	0.223944	0.112540	0.024151	0.000000	0.000000	0.000000
AL, 00400	5 to 9 Unit	0.069996	0.000000	0.000000	0.175426	0.361100	0.214428	0.075707	0.103343	0.000000	0.000000	0.000000
AL, 00400	50 or more Unit	0.000000	0.000000	0.000000	0.000000	0.109097	0.690947	0.199956	0.000000	0.000000	0.000000	0.000000
AL, 00400	Mobile Home	0.000000	0.010108	0.036729	0.082838	0.248463	0.452209	0.139276	0.029988	0.000389	0.000000	0.000000
AL, 00400	Single-Family Attached	0.015504	0.008859	0.079952	0.301358	0.117439	0.260501	0.055791	0.086836	0.073759	0.000000	0.000000
AL, 00400	Single-Family Detached	0.056168	0.081866	0.119075	0.227874	0.129766	0.135569	0.132013	0.039338	0.078331	0.000000	0.000000
AL, 00500	10 to 19 Unit	0.024944	0.005345	0.147572	0.167927	0.144880	0.059842	0.332471	0.073428	0.043592	0.000000	0.000000
AL, 00500	2 Unit	0.005697	0.139172	0.198740	0.263824	0.195660	0.040283	0.102578	0.000000	0.054047	0.000000	0.000000
AL, 00500	20 to 49 Unit	0.000000	0.065270	0.000000	0.126494	0.206031	0.032965	0.099205	0.448309	0.021726	0.000000	0.000000
AL, 00500	3 or 4 Unit	0.005531	0.011063	0.115326	0.214854	0.308006	0.221960	0.059757	0.053191	0.010311	0.000000	0.000000
AL, 00500	5 to 9 Unit	0.000000	0.014849	0.016493	0.342419	0.276098	0.182769	0.091822	0.075550	0.000000	0.000000	0.000000
AL, 00500	50 or more Unit	0.000000	0.187533	0.013733	0.569934	0.000000	0.025500	0.141675	0.000000	0.061624	0.000000	0.000000
AL, 00500	Mobile Home	0.000000	0.001467	0.018232	0.100425	0.265041	0.462070	0.123092	0.029326	0.000346	0.000000	0.000000
AL, 00500	Single-Family Attached	0.086540	0.033864	0.017523	0.201510	0.205329	0.076998	0.288301	0.069454	0.020482	0.000000	0.000000
AL, 00500	Single-Family Detached	0.032093	0.084292	0.142538	0.170480	0.126680	0.171188	0.168415	0.059228	0.045085	0.000000	0.000000
AL, 00600	10 to 19 Unit	0.000000	0.035184	0.179095	0.268050	0.244932	0.235548	0.037192	0.000000	0.000000	0.000000	0.000000
AL, 00600	2 Unit	0.023027	0.079154	0.153017	0.165922	0.266938	0.265480	0.018749	0.000000	0.027713	0.000000	0.000000
AL, 00600	20 to 49 Unit	0.000000	0.110251	0.158351	0.064196	0.223492	0.133757	0.237576	0.000000	0.072377	0.000000	0.000000
AL, 00600	3 or 4 Unit	0.000000	0.065632	0.026785	0.172613	0.223701	0.210750	0.249702	0.040651	0.010168	0.000000	0.000000
AL, 00600	5 to 9 Unit	0.005913	0.023284	0.078117	0.139190	0.308290	0.188795	0.150464	0.098023	0.007926	0.000000	0.000000
AL, 00600	50 or more Unit	0.026005	0.027449	0.294255	0.396041	0.183035	0.073214	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00600	Mobile Home	0.000000	0.000637	0.034556	0.087488	0.247302	0.374304	0.196620	0.056017	0.003077	0.000000	0.000000
AL, 00600	Single-Family Attached	0.000000	0.000000	0.066591	0.106262	0.197599	0.425012	0.204535	0.000000	0.000000	0.000000	0.000000
AL, 00600	Single-Family Detached	0.042159	0.089681	0.167427	0.190157	0.150350	0.136129	0.123476	0.050160	0.050461	0.000000	0.000000
AL, 00700	10 to 19 Unit	0.000000	0.064224	0.077641	0.554577	0.225415	0.078144	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 00700	2 Unit	0.017512	0.151044	0.152402	0.112234	0.367512	0.066587	0.132709	0.000000	0.000000	0.000000	0.000000
AL, 00700	20 to 49 Unit	0.000000	0.000000	0.000000	0.009397	0.201155	0.198609	0.473442	0.117398	0.000000	0.000000	0.000000
AL, 00700	3 or 4 Unit	0.000000	0.079295	0.162287	0.186742	0.157831	0.120482	0.172604	0.120759	0.000000	0.000000	0.000000
AL, 00700	5 to 9 Unit	0.000000	0.057004	0.157240	0.161798	0.230537	0.271704	0.121718	0.000000	0.000000	0.000000	0.000000
AL, 00700	50 or more Unit	0.130380	0.000000	0.087956	0.343030	0.400411	0.000000	0.000000	0.038222	0.000000	0.000000	0.000000
AL, 00700	Mobile Home	0.006010	0.001113	0.017627	0.145547	0.209069	0.396872	0.130839	0.092922	0.000000	0.000000	0.000000
AL, 00700	Single-Family Attached	0.000000	0.068932	0.108175	0.137678	0.400023	0.076409	0.138360	0.000000	0.070423	0.000000	0.000000
AL, 00700	Single-Family Detached	0.059927	0.080322	0.152034	0.184798	0.116332	0.177693	0.125299	0.043300	0.060295	0.000000	0.000000
AL, 00800	10 to 19 Unit	0.000000	0.000000	0.000000	0.138550	0.149144	0.268991	0.226920	0.216395	0.000000	0.000000	0.000000
AL, 00800	2 Unit	0.000000	0.263738	0.239656	0.062328	0.009416	0.165305	0.148571	0.000000	0.110986	0.000000	0.000000
AL, 00800	20 to 49 Unit	0.000000	0.000000	0.067243	0.026897	0.609065	0.040070	0.090320	0.166405	0.000000	0.000000	0.000000
AL, 00800	3 or 4 Unit	0.054079	0.009405	0.116142	0.061358	0.203708	0.246800	0.206626	0.099026	0.002856	0.000000	0.000000
AL, 00800	5 to 9 Unit	0.000000	0.000000	0.061459	0.043471	0.302811	0.328716	0.119598	0.143945	0.000000	0.000000	0.000000
AL, 00800	50 or more Unit	0.000000	0.000000	0.148029	0.215315	0.224535	0.000000	0.412121	0.000000	0.000000	0.000000	0.000000
AL, 00800	Mobile Home	0.000000	0.000325	0.041572	0.099214	0.214266	0.390284	0.207415	0.046437	0.000487	0.000000	0.000000
AL, 00800	Single-Family Attached	0.000000	0.053794	0.074333	0.055750	0.197414	0.086106	0.270642	0.112240	0.149722	0.000000	0.000000
AL, 00800	Single-Family Detached	0.031358	0.056246	0.071883	0.152491	0.102571	0.193725	0.278581	0.071495	0.041651	0.000000	0.000000
AL, 00900	10 to 19 Unit	0.000000	0.032180	0.040319	0.299515	0.364799	0.174329	0.068761	0.000000	0.020098	0.000000	0.000000
AL, 00900	2 Unit	0.239124	0.017669	0.062760	0.363208	0.030311	0.021330	0.118062	0.098614	0.048922	0.000000	0.000000
AL, 00900	20 to 49 Unit	0.000000	0.111613	0.070853	0.101219	0.210615	0.053186	0.167090	0.192716	0.092709	0.000000	0.000000
AL, 00900	3 or 4 Unit	0.020426	0.060426	0.219002	0.182341	0.205207	0.148431	0.084219	0.000000	0.079949	0.000000	0.000000
AL, 00900	5 to 9 Unit	0.014829	0.043561	0.160752	0.213285	0.430173	0.052115	0.003528	0.053344	0.028412	0.000000	0.000000
AL, 00900	50 or more Unit	0.000000	0.000000	0.018384	0.539269	0.043792	0.133951	0.000000	0.000000	0.264604	0.000000	0.000000
AL, 00900	Mobile Home	0.004213	0.011234	0.016624	0.077482	0.225570	0.474288	0.146150	0.044439	0.000000	0.000000	0.000000
AL, 00900	Single-Family Attached	0.069011	0.234636	0.064741	0.000000	0.435438	0.057762	0.000000	0.000000	0.138412	0.000000	0.000000
AL, 00900	Single-Family Detached	0.099423	0.144052	0.146958	0.164155	0.092158	0.107673	0.121393	0.036005	0.088183	0.000000	0.000000
AL, 01000	10 to 19 Unit	0.067406	0.028888	0.133012	0.180356	0.155597	0.260038	0.174702	0.000000	0.000000	0.000000	0.000000
AL, 01000	2 Unit	0.041959	0.139680	0.138950	0.123440	0.176586	0.177808	0.021911	0.102600	0.077065	0.000000	0.000000
AL, 01000	20 to 49 Unit	0.067305	0.042066	0.216665	0.068939	0.074489	0.358480	0.172056	0.000000	0.000000	0.000000	0.000000
AL, 01000	3 or 4 Unit	0.034385	0.121285	0.111239	0.171981	0.136307	0.221412	0.079498	0.045769	0.078125	0.000000	0.000000
AL, 01000	5 to 9 Unit	0.000000	0.032570	0.187641	0.242961	0.134997	0.094710	0.187242	0.119880	0.000000	0.000000	0.000000
AL, 01000	50 or more Unit	0.036869	0.000000	0.073986	0.376094	0.075779	0.171959	0.072520	0.192794	0.000000	0.000000	0.000000
AL, 01000	Mobile Home	0.000000	0.003966	0.027212	0.118898	0.249653	0.381282	0.153094	0.059848	0.006047	0.000000	0.000000
AL, 01000	Single-Family Attached	0.000000	0.050058	0.245586	0.306349	0.083424	0.100600	0.159872	0.054112	0.000000	0.000000	0.000000
AL, 01000	Single-Family Detached	0.057462	0.113990	0.137786	0.160407	0.108516	0.140748	0.147109	0.043770	0.090212	0.000000	0.000000
AL, 01100	10 to 19 Unit	0.123170	0.074475	0.045467	0.144163	0.181255	0.212821	0.218649	0.000000	0.000000	0.000000	0.000000
AL, 01100	2 Unit	0.042783	0.259373	0.165632	0.267082	0.070342	0.097909	0.000000	0.070539	0.026340	0.000000	0.000000
AL, 01100	20 to 49 Unit	0.000000	0.039227	0.049065	0.299060	0.257448	0.113706	0.082963	0.000000	0.158531	0.000000	0.000000
AL, 01100	3 or 4 Unit	0.053626	0.062564	0.104671	0.178200	0.175546	0.308993	0.116401	0.000000	0.000000	0.000000	0.000000
AL, 01100	5 to 9 Unit	0.018934	0.110450	0.055222	0.194009	0.228855	0.184879	0.073064	0.134585	0.000000	0.000000	0.000000
AL, 01100	50 or more Unit	0.043116	0.033876	0.197918	0.112074	0.229909	0.133566	0.091358	0.101553	0.056629	0.000000	0.000000
AL, 01100	Mobile Home	0.004618	0.000000	0.015554	0.089701	0.252315	0.435584	0.133599	0.068631	0.000000	0.000000	0.000000
AL, 01100	Single-Family Attached	0.064032	0.122982	0.089034	0.211600	0.121116	0.110492	0.157342	0.108217	0.015184	0.000000	0.000000
AL, 01100	Single-Family Detached	0.078949	0.117335	0.141268	0.206355	0.131278	0.099013	0.130338	0.024672	0.070793	0.000000	0.000000
AL, 01200	10 to 19 Unit	0.004677	0.013605	0.034438	0.051657	0.403127	0.312585	0.118469	0.055420	0.006022	0.000000	0.000000
AL, 01200	2 Unit	0.000000	0.100064	0.195151	0.204022	0.187037	0.013928	0.104055	0.150192	0.045550	0.000000	0.000000
AL, 01200	20 to 49 Unit	0.000000	0.000000	0.000000	0.079096	0.301062	0.266132	0.235891	0.117819	0.000000	0.000000	0.000000
AL, 01200	3 or 4 Unit	0.007144	0.059104	0.267947	0.123574	0.122952	0.264565	0.154713	0.000000	0.000000	0.000000	0.000000
AL, 01200	5 to 9 Unit	0.000000	0.012001	0.000000	0.145330	0.336615	0.348689	0.086042	0.071324	0.000000	0.000000	0.000000
AL, 01200	50 or more Unit	0.000000	0.000000	0.000000	0.119408	0.146002	0.239485	0.179686	0.315418	0.000000	0.000000	0.000000
AL, 01200	Mobile Home	0.005365	0.003477	0.012988	0.100894	0.187586	0.378993	0.234483	0.074447	0.001768	0.000000	0.000000
AL, 01200	Single-Family Attached	0.000000	0.003009	0.003417	0.052393	0.163337	0.390949	0.310949	0.075947	0.000000	0.000000	0.000000
AL, 01200	Single-Family Detached	0.007690	0.029012	0.034923	0.125145	0.150796	0.254622	0.301903	0.081546	0.014363	0.000000	0.000000
AL, 01301	10 to 19 Unit	0.027934	0.055557	0.123828	0.179214	0.292675	0.039522	0.103100	0.117796	0.060374	0.000000	0.000000
AL, 01301	2 Unit	0.027539	0.024190	0.171717	0.278922	0.163937	0.070442	0.116455	0.099466	0.047332	0.000000	0.000000
AL, 01301	20 to 49 Unit	0.006028	0.021769	0.181003	0.159658	0.288152	0.221301	0.088679	0.000000	0.033409	0.000000	0.000000
AL, 01301	3 or 4 Unit	0.009370	0.058438	0.211834	0.269664	0.137472	0.068736	0.175685	0.063267	0.005534	0.000000	0.000000
AL, 01301	5 to 9 Unit	0.043920	0.044354	0.079619	0.256272	0.153389	0.083226	0.068913	0.204048	0.066258	0.000000	0.000000
AL, 01301	50 or more Unit	0.015090	0.004003	0.088711	0.198618	0.352918	0.054051	0.069679	0.108645	0.108286	0.000000	0.000000
AL, 01301	Mobile Home	0.000000	0.000000	0.000000	0.148088	0.139182	0.464479	0.207769	0.040482	0.000000	0.000000	0.000000
AL, 01301	Single-Family Attached	0.054541	0.042853	0.024775	0.128004	0.350668	0.068423	0.314559	0.000000	0.016177	0.000000	0.000000
AL, 01301	Single-Family Detached	0.085456	0.159747	0.186848	0.122423	0.137857	0.065899	0.099524	0.054172	0.088073	0.000000	0.000000
AL, 01302	10 to 19 Unit	0.015873	0.062820	0.200760	0.250950	0.210248	0.099634	0.076670	0.032585	0.050462	0.000000	0.000000
AL, 01302	2 Unit	0.058786	0.076781	0.143244	0.305655	0.248788	0.091659	0.050498	0.000000	0.024589	0.000000	0.000000
AL, 01302	20 to 49 Unit	0.003723	0.016180	0.135446	0.154950	0.197954	0.095330	0.194369	0.116557	0.085492	0.000000	0.000000
AL, 01302	3 or 4 Unit	0.042128	0.063782	0.166354	0.296458	0.136794	0.099552	0.059886	0.048724	0.086322	0.000000	0.000000
AL, 01302	5 to 9 Unit	0.009055	0.049665	0.155276	0.215494	0.233599	0.098498	0.049086	0.148406	0.040921	0.000000	0.000000
AL, 01302	50 or more Unit	0.020777	0.037659	0.071082	0.105477	0.145511	0.139842	0.147207	0.285694	0.046751	0.000000	0.000000
AL, 01302	Mobile Home	0.000000	0.000000	0.000000	0.148088	0.249109	0.354552	0.207769	0.040482	0.000000	0.000000	0.000000
AL, 01302	Single-Family Attached	0.012919	0.056292	0.052843	0.029253	0.416779	0.090114	0.088290	0.218824	0.034685	0.000000	0.000000
AL, 01302	Single-Family Detached	0.068021	0.180711	0.210718	0.104406	0.102984	0.093210	0.108235	0.043596	0.088120	0.000000	0.000000
AL, 01303	10 to 19 Unit	0.021043	0.024895	0.105084	0.249137	0.159986	0.217320	0.126694	0.095842	0.000000	0.000000	0.000000
AL, 01303	2 Unit	0.000000	0.219428	0.354752	0.279043	0.072616	0.074161	0.000000	0.000000	0.000000	0.000000	0.000000
AL, 01303	20 to 49 Unit	0.000000	0.032847	0.070345	0.286602	0.122625	0.236545	0.190446	0.060590	0.000000	0.000000	0.000000
AL, 01303	3 or 4 Unit	0.085390	0.119418	0.245319	0.199141	0.141465	0.056431	0.026615	0.085704	0.040516	0.000000	0.000000
AL, 01303	5 to 9 Unit	0.032931	0.025404	0.140984	0.209008	0.142992	0.142488	0.065007	0.064862	0.176325	0.000000	0.000000
AL, 01303	50 or more Unit	0.008505	0.009450	0.057616	0.203913	0.123458	0.131802	0.097940	0.342918	0.024397	0.000000	0.000000
AL, 01303	Mobile Home	0.000000	0.000000	0.021155	0.126932	0.105024	0.498637	0.207769	0.040482	0.000000	0.000000	0.000000
AL, 01303	Single-Family Attached	0.032471	0.015480	0.054466	0.203063	0.280760	0.095241	0.269304	0.049215	0.000000	0.000000	0.000000
AL, 01303	Single-Family Detached	0.073290	0.180159	0.153703	0.153201	0.083141	0.116734	0.095806	0.052438	0.091527	0.000000	0.000000
AL, 01304	10 to 19 Unit	0.031653	0.006924	0.061340	0.290560	0.200433	0.121719	0.137160	0.025372	0.124838	0.000000	0.000000
AL, 01304	2 Unit	0.024713	0.024713	0.216054	0.365852	0.112721	0.079144	0.000000	0.000000	0.176802	0.000000	0.000000
AL, 01304	20 to 49 Unit	0.000000	0.018226	0.030350	0.228234	0.219324	0.081868	0.117747	0.304251	0.000000	0.000000	0.000000
AL, 01304	3 or 4 Unit	0.000000	0.098771	0.123925	0.175839	0.181946	0.080168	0.091970	0.247382	0.000000	0.000000	0.000000
AL, 01304	5 to 9 Unit	0.006064	0.082870	0.050263	0.274873	0.235643	0.127629	0.098266	0.094731	0.029662	0.000000	0.000000
AL, 01304	50 or more Unit	0.000000	0.072759	0.022616	0.465898	0.074061	0.047700	0.061982	0.254985	0.000000	0.000000	0.000000
AL, 01304	Mobile Home	0.000000	0.000000	0.035248	0.112839	0.256000	0.347661	0.207769	0.040482	0.000000	0.000000	0.000000
AL, 01304	Single-Family Attached	0.046321	0.023160	0.023686	0.120798	0.356421	0.192894	0.159219	0.000000	0.077501	0.000000	0.000000
AL, 01304	Single-Family Detached	0.063364	0.179990	0.120972	0.185910	0.100138	0.104492	0.106196	0.053287	0.085651	0.000000	0.000000
AL, 01305	10 to 19 Unit	0.000000	0.137726	0.000000	0.353579	0.000000	0.282375	0.154774	0.035907	0.035640	0.000000	0.000000
AL, 01305	2 Unit	0.000000	0.105697	0.324539	0.038074	0.000000	0.118732	0.075950	0.118996	0.218013	0.000000	0.000000
AL, 01305	20 to 49 Unit	0.000000	0.021783	0.000000	0.110535	0.022069	0.431569	0.165621	0.248424	0.000000	0.000000	0.000000
AL, 01305	3 or 4 Unit	0.000000	0.043516	0.131180	0.398491	0.158133	0.199643	0.029826	0.039211	0.000000	0.000000	0.000000
AL, 01305	5 to 9 Unit	0.000000	0.050867	0.104943	0.309377	0.083809	0.240544	0.078599	0.131861	0.000000	0.000000	0.000000
AL, 01305	50 or more Unit	0.000000	0.000000	0.066038	0.139845	0.096171	0.282309	0.128174	0.226381	0.061083	0.000000	0.000000
AL, 01305	Mobile Home	0.000000	0.000000	0.013372	0.134715	0.195672	0.407989	0.207769	0.040482	0.000000	0.000000	0.000000
AL, 01305	Single-Family Attached	0.046641	0.126968	0.221942	0.097557	0.028023	0.000000	0.432750	0.014151	0.031966	0.000000	0.000000
AL, 01305	Single-Family Detached	0.068966	0.171831	0.166768	0.136662	0.101953	0.112050	0.102803	0.052746	0.086220	0.000000	0.000000
AL, 01400	10 to 19 Unit	0.000000	0.000000	0.198469	0.011341	0.090230	0.000000	0.534247	0.165713	0.000000	0.000000	0.000000
AL, 01400	2 Unit	0.072794	0.061825	0.295598	0.236934	0.204323	0.077445	0.051080	0.000000	0.000000	0.000000	0.000000
AL, 01400	20 to 49 Unit	0.000000	0.000000	0.017611	0.410915	0.169831	0.165585	0.119652	0.116407	0.000000	0.000000	0.000000
AL, 01400	3 or 4 Unit	0.014166	0.098071	0.141903	0.212855	0.302502	0.115239	0.018606	0.084445	0.012213	0.000000	0.000000
AL, 01400	5 to 9 Unit	0.070245	0.101110	0.120364	0.131914	0.217201	0.219839	0.139327	0.000000	0.000000	0.000000	0.000000
AL, 01400	50 or more Unit	0.069780	0.000000	0.209242	0.169386	0.216199	0.230612	0.063185	0.041597	0.000000	0.000000	0.000000
AL, 01400	Mobile Home	0.000000	0.004590	0.021895	0.107075	0.202989	0.397766	0.172545	0.091507	0.001634	0.000000	0.000000
AL, 01400	Single-Family Attached	0.000000	0.142818	0.105570	0.282655	0.087104	0.334479	0.047374	0.000000	0.000000	0.000000	0.000000
AL, 01400	Single-Family Detached	0.067268	0.114413	0.137913	0.210647	0.127258	0.141035	0.095357	0.033509	0.072600	0.000000	0.000000
AL, 01500	10 to 19 Unit	0.090767	0.084815	0.000000	0.030833	0.118921	0.594606	0.080058	0.000000	0.000000	0.000000	0.000000
AL, 01500	2 Unit	0.011963	0.023926	0.311336	0.268545	0.209670	0.106931	0.067629	0.000000	0.000000	0.000000	0.000000
AL, 01500	20 to 49 Unit	0.089599	0.042852	0.092253	0.000000	0.155670	0.040966	0.578661	0.000000	0.000000	0.000000	0.000000
AL, 01500	3 or 4 Unit	0.061723	0.025989	0.115396	0.201943	0.000000	0.293790	0.072193	0.000000	0.228967	0.000000	0.000000
AL, 01500	5 to 9 Unit	0.043068	0.025007	0.108982	0.063744	0.000000	0.178236	0.268114	0.312849	0.000000	0.000000	0.000000
AL, 01500	50 or more Unit	0.000000	0.000000	0.011035	0.000000	0.403780	0.000000	0.202750	0.352578	0.029858	0.000000	0.000000
AL, 01500	Mobile Home	0.000000	0.003047	0.009182	0.080768	0.235448	0.417034	0.182821	0.069668	0.002031	0.000000	0.000000
AL, 01500	Single-Family Attached	0.000000	0.000000	0.000000	0.436344	0.311258	0.086460	0.165938	0.000000	0.000000	0.000000	0.000000
AL, 01500	Single-Family Detached	0.036714	0.105900	0.104206	0.189896	0.091382	0.171688	0.187121	0.070903	0.042190	0.000000	0.000000
AL, 01600	10 to 19 Unit	0.030750	0.019392	0.049812	0.123235	0.225268	0.219803	0.230950	0.097857	0.002931	0.000000	0.000000
AL, 01600	2 Unit	0.082018	0.050373	0.063768	0.226208	0.144382	0.213034	0.108615	0.047062	0.064540	0.000000	0.000000
AL, 01600	20 to 49 Unit	0.013395	0.084124	0.057363	0.065716	0.177338	0.200827	0.191859	0.201188	0.008190	0.000000	0.000000
AL, 01600	3 or 4 Unit	0.011360	0.049498	0.112593	0.186811	0.185412	0.147174	0.147843	0.118764	0.040546	0.000000	0.000000
AL, 01600	5 to 9 Unit	0.039751	0.024264	0.058218	0.186460	0.109475	0.198583	0.224995	0.129119	0.029134	0.000000	0.000000
AL, 01600	50 or more Unit	0.000000	0.021603	0.055158	0.108851	0.192489	0.177048	0.184720	0.242461	0.017669	0.000000	0.000000
AL, 01600	Mobile Home	0.002660	0.002660	0.017589	0.086913	0.255847	0.354657	0.209004	0.067121	0.003547	0.000000	0.000000
AL, 01600	Single-Family Attached	0.021947	0.006930	0.029119	0.061877	0.289638	0.162643	0.293896	0.125706	0.008245	0.000000	0.000000
AL, 01600	Single-Family Detached	0.033543	0.106208	0.127959	0.152598	0.125146	0.137079	0.199936	0.079742	0.037788	0.000000	0.000000
AL, 01700	10 to 19 Unit	0.000000	0.141597	0.000000	0.174268	0.212636	0.365026	0.021737	0.056339	0.028397	0.000000	0.000000
AL, 01700	2 Unit	0.165640	0.167440	0.130374	0.196262	0.070544	0.150867	0.041616	0.012584	0.064671	0.000000	0.000000
AL, 01700	20 to 49 Unit	0.000000	0.050913	0.117125	0.061265	0.276515	0.333973	0.034613	0.125596	0.000000	0.000000	0.000000
AL, 01700	3 or 4 Unit	0.000000	0.087684	0.051095	0.266045	0.275201	0.196196	0.084610	0.007908	0.031261	0.000000	0.000000
AL, 01700	5 to 9 Unit	0.000000	0.013687	0.014464	0.287748	0.249563	0.196465	0.180123	0.016079	0.041871	0.000000	0.000000
