Dependency=PUMA	Option=2 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=10 to 19 Unit	Option=20 to 49 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
"AZ, 00106"	0.037683	0.194673	0.326027	0.227376	0.055439	0.158801	0.000000	0.000000	0.000000	2207.000000	41740.000000	0.000332
"AZ, 00107"	0.009420	0.128270	0.263461	0.244036	0.111734	0.243079	0.000000	0.000000	0.000000	2465.000000	40483.000000	0.000334
"AZ, 00108"	0.012278	0.108768	0.246670	0.354316	0.066142	0.211828	0.000000	0.000000	0.000000	2055.000000	41184.000000	0.000326
"AZ, 00109"	0.023568	0.132234	0.158456	0.297257	0.172457	0.216028	0.000000	0.000000	0.000000	1827.000000	42720.000000	0.000358
"AZ, 00110"	0.025010	0.158040	0.197464	0.192144	0.133950	0.293391	0.000000	0.000000	0.000000	2837.000000	59964.000000	0.000533
"AZ, 00111"	0.040424	0.184053	0.219145	0.215706	0.068289	0.272384	0.000000	0.000000	0.000000	2090.000000	49485.000000	0.000451
"AZ, 00112"	0.039478	0.173780	0.199255	0.131370	0.134167	0.321950	0.000000	0.000000	0.000000	2380.000000	48430.000000	0.000432
"AZ, 00113"	0.017226	0.130700	0.220567	0.217729	0.112460	0.301319	0.000000	0.000000	0.000000	2244.000000	42966.000000	0.000356
"AZ, 00114"	0.043252	0.222236	0.180480	0.224658	0.128762	0.200612	0.000000	0.000000	0.000000	2135.000000	44728.000000	0.000374
"AZ, 00115"	0.032961	0.191824	0.253721	0.212501	0.120717	0.188276	0.000000	0.000000	0.000000	1814.000000	41163.000000	0.000345
"AZ, 00116"	0.055567	0.159607	0.196161	0.230411	0.155648	0.202606	0.000000	0.000000	0.000000	2456.000000	45278.000000	0.000388
"AZ, 00117"	0.046239	0.151370	0.131453	0.231620	0.154145	0.285172	0.000000	0.000000	0.000000	2189.000000	44072.000000	0.000381
"AZ, 00118"	0.067848	0.152759	0.156531	0.152024	0.166605	0.304232	0.000000	0.000000	0.000000	2318.000000	42841.000000	0.000374
"AZ, 00119"	0.121627	0.204708	0.153120	0.217739	0.137917	0.164890	0.000000	0.000000	0.000000	1586.000000	31099.000000	0.000258
"AZ, 00120"	0.023709	0.100024	0.212350	0.399637	0.088056	0.176225	0.000000	0.000000	0.000000	2060.000000	40140.000000	0.000328
"AZ, 00121"	0.124685	0.160489	0.253878	0.303207	0.041062	0.116679	0.000000	0.000000	0.000000	1796.000000	38390.000000	0.000309
"AZ, 00122"	0.026429	0.143805	0.262250	0.253584	0.155896	0.158036	0.000000	0.000000	0.000000	1469.000000	28652.000000	0.000249
"AZ, 00123"	0.062945	0.127230	0.339686	0.252450	0.077171	0.140517	0.000000	0.000000	0.000000	1615.000000	32848.000000	0.000262
"AZ, 00124"	0.066759	0.168793	0.260413	0.275913	0.077251	0.150871	0.000000	0.000000	0.000000	1859.000000	34577.000000	0.000291
"AZ, 00125"	0.046745	0.164784	0.176569	0.311305	0.119120	0.181477	0.000000	0.000000	0.000000	1592.000000	35960.000000	0.000306
"AZ, 00126"	0.020042	0.131082	0.280888	0.217088	0.109813	0.241086	0.000000	0.000000	0.000000	2417.000000	46091.000000	0.000382
"AZ, 00127"	0.059471	0.157091	0.262810	0.205977	0.073177	0.241474	0.000000	0.000000	0.000000	2141.000000	40736.000000	0.000340
"AZ, 00128"	0.014802	0.161979	0.260320	0.342709	0.082057	0.138133	0.000000	0.000000	0.000000	1889.000000	38865.000000	0.000315
"AZ, 00129"	0.008527	0.064504	0.253749	0.344580	0.113811	0.214827	0.000000	0.000000	0.000000	2060.000000	41409.000000	0.000340
"AZ, 00130"	0.059960	0.126166	0.188247	0.097046	0.125897	0.402684	0.000000	0.000000	0.000000	2996.000000	58009.000000	0.000531
"AZ, 00131"	0.033540	0.120132	0.196952	0.251169	0.168881	0.229327	0.000000	0.000000	0.000000	2126.000000	41484.000000	0.000367
"AZ, 00132"	0.037353	0.174410	0.183502	0.092236	0.032479	0.480020	0.000000	0.000000	0.000000	1752.000000	37329.000000	0.000305
"AZ, 00133"	0.028625	0.134933	0.239152	0.225588	0.079469	0.292232	0.000000	0.000000	0.000000	1897.000000	35455.000000	0.000287
"AZ, 00134"	0.123399	0.292402	0.260188	0.124005	0.169610	0.030395	0.000000	0.000000	0.000000	2206.000000	39903.000000	0.000344
"AZ, 00201"	0.056265	0.075860	0.111067	0.314701	0.192017	0.250089	0.000000	0.000000	0.000000	1993.000000	36328.000000	0.000305
"AZ, 00202"	0.082572	0.146331	0.200104	0.252036	0.139335	0.179622	0.000000	0.000000	0.000000	2191.000000	47266.000000	0.000394
"AZ, 00203"	0.034623	0.077146	0.223280	0.292145	0.090444	0.282362	0.000000	0.000000	0.000000	2651.000000	46926.000000	0.000382
"AZ, 00204"	0.021746	0.163104	0.223234	0.235594	0.114870	0.241452	0.000000	0.000000	0.000000	2733.000000	47109.000000	0.000396
"AZ, 00205"	0.095870	0.411587	0.059127	0.091288	0.040187	0.301941	0.000000	0.000000	0.000000	2490.000000	48379.000000	0.000356
"AZ, 00206"	0.088428	0.111406	0.156735	0.235682	0.144107	0.263642	0.000000	0.000000	0.000000	2288.000000	48619.000000	0.000409
"AZ, 00207"	0.157865	0.170551	0.099430	0.183677	0.213112	0.175364	0.000000	0.000000	0.000000	2052.000000	42200.000000	0.000363
"AZ, 00208"	0.142466	0.102638	0.156741	0.229746	0.159462	0.208947	0.000000	0.000000	0.000000	1910.000000	34804.000000	0.000288
"AZ, 00209"	0.056375	0.093500	0.129845	0.308901	0.218940	0.192439	0.000000	0.000000	0.000000	2375.000000	46900.000000	0.000392
"AZ, 00300"	0.262682	0.346582	0.199520	0.089515	0.060971	0.040730	0.000000	0.000000	0.000000	5603.000000	53782.000000	0.000678
"AZ, 00400"	0.097808	0.164175	0.289841	0.257269	0.074457	0.116450	0.000000	0.000000	0.000000	3013.000000	47588.000000	0.000484
"AZ, 00500"	0.253104	0.282601	0.150711	0.085514	0.081341	0.146730	0.000000	0.000000	0.000000	4023.000000	94343.000000	0.000847
"AZ, 00600"	0.226591	0.251741	0.161563	0.125123	0.095350	0.139632	0.000000	0.000000	0.000000	4421.000000	92700.000000	0.000968
"AZ, 00700"	0.097776	0.259236	0.286930	0.201192	0.061777	0.093089	0.000000	0.000000	0.000000	3713.000000	71670.000000	0.000676
"AZ, 00800"	0.115169	0.371839	0.254511	0.064620	0.118053	0.075808	0.000000	0.000000	0.000000	2447.000000	40143.000000	0.000422
"AZ, 00803"	0.054531	0.402618	0.191049	0.198031	0.077347	0.076424	0.000000	0.000000	0.000000	2072.000000	50792.000000	0.000473
"AZ, 00805"	0.249751	0.251278	0.230254	0.149229	0.089229	0.030258	0.000000	0.000000	0.000000	1586.000000	34626.000000	0.000338
"AZ, 00807"	0.155089	0.210629	0.126553	0.206674	0.082544	0.218512	0.000000	0.000000	0.000000	2412.000000	43875.000000	0.000399
"AZ, 00900"	0.119886	0.239028	0.162653	0.171669	0.115190	0.191573	0.000000	0.000000	0.000000	3497.000000	64727.000000	0.000590
"CA, 00101"	0.169833	0.176629	0.185070	0.171916	0.156571	0.139981	0.000000	0.000000	0.000000	3340.000000	52794.000000	0.000431
"CA, 00102"	0.102840	0.169587	0.122929	0.138255	0.190518	0.275870	0.000000	0.000000	0.000000	4109.000000	73141.000000	0.000586
"CA, 00103"	0.153273	0.218804	0.159603	0.157903	0.211946	0.098472	0.000000	0.000000	0.000000	3172.000000	55244.000000	0.000431
"CA, 00104"	0.181002	0.336647	0.183549	0.097540	0.116463	0.084798	0.000000	0.000000	0.000000	2080.000000	40543.000000	0.000329
"CA, 00105"	0.115063	0.191150	0.165041	0.118715	0.211325	0.198706	0.000000	0.000000	0.000000	3089.000000	64366.000000	0.000503
"CA, 00106"	0.083898	0.171858	0.131753	0.147255	0.205869	0.259367	0.000000	0.000000	0.000000	2365.000000	48671.000000	0.000373
"CA, 00107"	0.055703	0.159302	0.151949	0.161841	0.184877	0.286328	0.000000	0.000000	0.000000	2527.000000	46770.000000	0.000359
"CA, 00108"	0.030924	0.173454	0.164038	0.126879	0.091752	0.412953	0.000000	0.000000	0.000000	2545.000000	42232.000000	0.000327
"CA, 00109"	0.012848	0.087506	0.127756	0.115295	0.132830	0.523765	0.000000	0.000000	0.000000	3451.000000	65487.000000	0.000508
"CA, 00110"	0.037990	0.152017	0.159937	0.153159	0.128040	0.368857	0.000000	0.000000	0.000000	4072.000000	79821.000000	0.000604
"CA, 00300"	0.159576	0.302169	0.204109	0.108338	0.147020	0.078788	0.000000	0.000000	0.000000	4038.000000	74928.000000	0.000850
"CA, 00701"	0.117198	0.318264	0.179468	0.134475	0.100426	0.150169	0.000000	0.000000	0.000000	2355.000000	45231.000000	0.000378
"CA, 00702"	0.166330	0.278338	0.181088	0.084840	0.092555	0.196848	0.000000	0.000000	0.000000	2320.000000	40937.000000	0.000354
"CA, 01100"	0.164764	0.227106	0.367154	0.076955	0.078640	0.085381	0.000000	0.000000	0.000000	2721.000000	46156.000000	0.000412
"CA, 01301"	0.127073	0.381891	0.182057	0.110190	0.106155	0.092635	0.000000	0.000000	0.000000	1806.000000	38638.000000	0.000315
"CA, 01302"	0.088138	0.144577	0.180030	0.239232	0.195603	0.152420	0.000000	0.000000	0.000000	2579.000000	44832.000000	0.000353
"CA, 01303"	0.067786	0.185212	0.179496	0.138800	0.185897	0.242809	0.000000	0.000000	0.000000	2225.000000	50599.000000	0.000397
"CA, 01304"	0.060862	0.213350	0.158972	0.140844	0.162875	0.263097	0.000000	0.000000	0.000000	2491.000000	50865.000000	0.000395
"CA, 01305"	0.028942	0.171534	0.181891	0.171799	0.146178	0.299657	0.000000	0.000000	0.000000	2193.000000	44424.000000	0.000345
"CA, 01306"	0.051980	0.153651	0.184347	0.175998	0.130731	0.303293	0.000000	0.000000	0.000000	2067.000000	46380.000000	0.000358
"CA, 01307"	0.070028	0.215861	0.213574	0.219489	0.091398	0.189650	0.000000	0.000000	0.000000	1900.000000	41598.000000	0.000321
"CA, 01308"	0.072729	0.236041	0.194642	0.131817	0.134739	0.230032	0.000000	0.000000	0.000000	1450.000000	35083.000000	0.000282
"CA, 01309"	0.105976	0.093170	0.236324	0.096157	0.150431	0.317943	0.000000	0.000000	0.000000	1542.000000	37179.000000	0.000288
"CA, 01500"	0.234777	0.223153	0.160055	0.140427	0.096557	0.145031	0.000000	0.000000	0.000000	3974.000000	50069.000000	0.000518
"CA, 01700"	0.102689	0.268845	0.197814	0.148778	0.138276	0.143598	0.000000	0.000000	0.000000	3359.000000	68084.000000	0.000667
"CA, 01901"	0.148324	0.467954	0.191861	0.100822	0.052608	0.038431	0.000000	0.000000	0.000000	2132.000000	39221.000000	0.000313
"CA, 01902"	0.075157	0.266195	0.261175	0.099822	0.056065	0.241586	0.000000	0.000000	0.000000	2989.000000	67630.000000	0.000534
"CA, 01903"	0.094227	0.295128	0.320862	0.132711	0.072160	0.084912	0.000000	0.000000	0.000000	1556.000000	32927.000000	0.000264
"CA, 01904"	0.154636	0.356336	0.237758	0.102792	0.048556	0.099922	0.000000	0.000000	0.000000	2596.000000	53340.000000	0.000437
"CA, 01905"	0.142434	0.301752	0.312830	0.115213	0.067103	0.060668	0.000000	0.000000	0.000000	1570.000000	30371.000000	0.000242
"CA, 01906"	0.127258	0.369242	0.236827	0.057485	0.077018	0.132170	0.000000	0.000000	0.000000	2157.000000	38372.000000	0.000297
"CA, 01907"	0.109549	0.428811	0.271861	0.077551	0.052094	0.060133	0.000000	0.000000	0.000000	1917.000000	39964.000000	0.000344
"CA, 02300"	0.193651	0.392461	0.219337	0.089540	0.064256	0.040754	0.000000	0.000000	0.000000	3092.000000	53966.000000	0.000468
"CA, 02500"	0.114356	0.265716	0.303761	0.120505	0.082662	0.112999	0.000000	0.000000	0.000000	2127.000000	45197.000000	0.000427
"CA, 02901"	0.215443	0.302285	0.159898	0.085832	0.082962	0.153580	0.000000	0.000000	0.000000	2414.000000	51005.000000	0.000413
"CA, 02902"	0.078616	0.358976	0.271782	0.105407	0.044089	0.141131	0.000000	0.000000	0.000000	3006.000000	69196.000000	0.000542
"CA, 02903"	0.261142	0.330546	0.183767	0.061747	0.073585	0.089213	0.000000	0.000000	0.000000	2220.000000	49212.000000	0.000402
"CA, 02904"	0.106526	0.324730	0.283267	0.110025	0.053997	0.121454	0.000000	0.000000	0.000000	1219.000000	29390.000000	0.000237
"CA, 02905"	0.289713	0.343053	0.185145	0.061939	0.061078	0.059073	0.000000	0.000000	0.000000	2694.000000	66190.000000	0.000594
"CA, 03100"	0.153392	0.324901	0.242964	0.117148	0.071908	0.089688	0.000000	0.000000	0.000000	2079.000000	42349.000000	0.000338
"CA, 03300"	0.224239	0.226485	0.229998	0.130469	0.141996	0.046813	0.000000	0.000000	0.000000	2904.000000	60509.000000	0.000574
"CA, 03701"	0.038528	0.222154	0.189171	0.157234	0.112803	0.280110	0.000000	0.000000	0.000000	2407.000000	41278.000000	0.000333
"CA, 03702"	0.023348	0.173581	0.286296	0.160435	0.097416	0.258925	0.000000	0.000000	0.000000	3637.000000	63610.000000	0.000499
"CA, 03703"	0.029348	0.214873	0.287157	0.147493	0.106917	0.214212	0.000000	0.000000	0.000000	2554.000000	51465.000000	0.000421
"CA, 03704"	0.054386	0.120344	0.282698	0.218325	0.117174	0.207072	0.000000	0.000000	0.000000	2477.000000	47827.000000	0.000385
"CA, 03705"	0.015421	0.036218	0.080961	0.101706	0.307722	0.457971	0.000000	0.000000	0.000000	3413.000000	59463.000000	0.000462
"CA, 03706"	0.016072	0.028695	0.085963	0.127277	0.326942	0.415051	0.000000	0.000000	0.000000	2484.000000	41142.000000	0.000319
"CA, 03707"	0.048210	0.143058	0.161968	0.144321	0.184339	0.318104	0.000000	0.000000	0.000000	2126.000000	35489.000000	0.000270
"CA, 03708"	0.039085	0.087562	0.129750	0.205736	0.295059	0.242809	0.000000	0.000000	0.000000	2413.000000	41015.000000	0.000323
"CA, 03709"	0.163704	0.197445	0.146308	0.243607	0.152521	0.096416	0.000000	0.000000	0.000000	2070.000000	39190.000000	0.000315
"CA, 03710"	0.045892	0.159483	0.203507	0.146612	0.198216	0.246290	0.000000	0.000000	0.000000	2922.000000	45997.000000	0.000365
"CA, 03711"	0.061413	0.185282	0.177998	0.162381	0.120119	0.292807	0.000000	0.000000	0.000000	2981.000000	56297.000000	0.000441
"CA, 03712"	0.047192	0.252574	0.175416	0.158188	0.164612	0.202019	0.000000	0.000000	0.000000	2204.000000	38198.000000	0.000299
"CA, 03713"	0.020118	0.149353	0.180106	0.119091	0.129071	0.402260	0.000000	0.000000	0.000000	1985.000000	33338.000000	0.000260
"CA, 03714"	0.058323	0.254642	0.224554	0.139487	0.036587	0.286406	0.000000	0.000000	0.000000	2059.000000	34169.000000	0.000268
"CA, 03715"	0.044593	0.151343	0.094839	0.083077	0.145694	0.480454	0.000000	0.000000	0.000000	2129.000000	32361.000000	0.000252
"CA, 03716"	0.102154	0.164149	0.159654	0.057499	0.178929	0.337615	0.000000	0.000000	0.000000	1652.000000	25307.000000	0.000197
"CA, 03717"	0.072173	0.140420	0.236440	0.201072	0.270939	0.078957	0.000000	0.000000	0.000000	3453.000000	62545.000000	0.000514
"CA, 03718"	0.069496	0.126840	0.146906	0.190705	0.213372	0.252681	0.000000	0.000000	0.000000	2959.000000	54381.000000	0.000444
"CA, 03719"	0.042579	0.110926	0.247751	0.217133	0.241496	0.140116	0.000000	0.000000	0.000000	3464.000000	72352.000000	0.000570
"CA, 03720"	0.068679	0.125877	0.234531	0.216777	0.170692	0.183443	0.000000	0.000000	0.000000	2266.000000	47792.000000	0.000381
"CA, 03721"	0.024333	0.102347	0.205018	0.216697	0.268464	0.183141	0.000000	0.000000	0.000000	2746.000000	53393.000000	0.000420
"CA, 03722"	0.011405	0.049618	0.166787	0.221126	0.323305	0.227759	0.000000	0.000000	0.000000	3063.000000	60114.000000	0.000464
"CA, 03723"	0.012380	0.023199	0.065347	0.135513	0.438386	0.325174	0.000000	0.000000	0.000000	2485.000000	39383.000000	0.000303
"CA, 03724"	0.006294	0.027562	0.057713	0.116062	0.346239	0.446130	0.000000	0.000000	0.000000	3071.000000	60990.000000	0.000478
"CA, 03725"	0.015893	0.015493	0.059771	0.124465	0.315384	0.468994	0.000000	0.000000	0.000000	3351.000000	62896.000000	0.000488
"CA, 03726"	0.041476	0.293657	0.212199	0.191187	0.116235	0.145246	0.000000	0.000000	0.000000	1871.000000	38233.000000	0.000311
"CA, 03727"	0.010595	0.038538	0.184432	0.234790	0.335223	0.196422	0.000000	0.000000	0.000000	3591.000000	70974.000000	0.000577
"CA, 03728"	0.037683	0.154674	0.276088	0.229760	0.181423	0.120372	0.000000	0.000000	0.000000	2266.000000	52346.000000	0.000438
"CA, 03729"	0.020027	0.059927	0.251133	0.245733	0.227842	0.195339	0.000000	0.000000	0.000000	4312.000000	87458.000000	0.000708
"CA, 03730"	0.102414	0.135494	0.219875	0.186922	0.182515	0.172780	0.000000	0.000000	0.000000	3647.000000	72691.000000	0.000592
"CA, 03731"	0.052050	0.066478	0.190832	0.240759	0.265846	0.184035	0.000000	0.000000	0.000000	2390.000000	59572.000000	0.000490
"CA, 03732"	0.037460	0.083360	0.162205	0.221586	0.283057	0.212332	0.000000	0.000000	0.000000	3946.000000	77402.000000	0.000647
"CA, 03733"	0.014404	0.062358	0.084154	0.166758	0.370193	0.302134	0.000000	0.000000	0.000000	2441.000000	44505.000000	0.000362
"CA, 03734"	0.066207	0.111711	0.121914	0.147925	0.298008	0.254236	0.000000	0.000000	0.000000	4279.000000	74893.000000	0.000596
"CA, 03735"	0.130907	0.147131	0.182699	0.184830	0.233948	0.120485	0.000000	0.000000	0.000000	4008.000000	61861.000000	0.000486
"CA, 03736"	0.075342	0.160672	0.298317	0.202051	0.165195	0.098422	0.000000	0.000000	0.000000	2337.000000	41633.000000	0.000332
"CA, 03737"	0.073226	0.209030	0.273939	0.137802	0.170532	0.135470	0.000000	0.000000	0.000000	2347.000000	38562.000000	0.000307
"CA, 03738"	0.104020	0.178855	0.167472	0.212764	0.178979	0.157909	0.000000	0.000000	0.000000	1989.000000	34245.000000	0.000277
"CA, 03739"	0.082059	0.191625	0.262228	0.159140	0.133602	0.171346	0.000000	0.000000	0.000000	3085.000000	51919.000000	0.000406
"CA, 03740"	0.070731	0.227868	0.144389	0.117299	0.186615	0.253098	0.000000	0.000000	0.000000	2095.000000	37727.000000	0.000299
"CA, 03741"	0.122616	0.223038	0.250695	0.181420	0.145708	0.076523	0.000000	0.000000	0.000000	2156.000000	34818.000000	0.000268
"CA, 03742"	0.175801	0.264395	0.221433	0.153678	0.088791	0.095902	0.000000	0.000000	0.000000	1938.000000	31624.000000	0.000247
"CA, 03743"	0.312271	0.340972	0.197826	0.062596	0.027520	0.058816	0.000000	0.000000	0.000000	1758.000000	31043.000000	0.000243
