Bedrooms,Unit,Showers Max,Sinks Max,ClothesWasher Max,Dishwasher Max,Baths Max,Showers Sum,Sinks Sum,ClothesWasher Sum,Dishwasher Sum,Baths Sum,On-time Fraction
3,4,4.328,3.239,5.668,2.815,7.962,26.83751781,25.20121644,4.864824658,4.472942466,7.354580822,0.040104642
3,5,4.161,3.326,4.975,2.571,7.73,26.88948219,24.49513151,4.556512329,4.436178082,7.128627397,0.039745053
3,6,4.455,3.327,5.779,2.714,7.353,27.00396164,23.69442466,4.542194521,4.723575342,6.666024658,0.039537671
3,7,4.083,3.287,4.954,2.66,6.91,26.24088767,23.99391781,4.433915068,4.534487671,7.238115068,0.039290335
3,8,4.481,3.328,6.398,2.643,7.652,27.82380274,24.34284384,4.29079726,4.637758904,6.964241096,0.039741248
3,9,4.285,3.298,5.529,2.79,8.573,28.06592877,24.31116712,4.713427397,4.607421918,7.260175342,0.039923896
4,0,4.73,3.289,4.954,2.64,8.249,31.2088137,27.55968767,5.073087671,5.307463014,7.906515068,0.04538242
4,1,4.421,3.343,5.358,2.64,6.992,33.90403014,28.40965479,5.59839726,5.218115068,8.077608219,0.047001522
4,2,4.42,3.317,4.955,2.794,7.286,32.89080274,28.08930411,5.071526027,5.146076712,7.833909589,0.045911339
4,3,4.439,3.329,5.062,2.558,7.542,30.64040822,28.46502192,5.186380822,5.225260274,8.160882192,0.045772451
4,4,4.24,3.326,5.986,2.627,7.76,32.32407671,28.17991233,5.195643836,5.251923288,7.884350685,0.045722983
4,5,3.966,3.324,4.978,2.589,8.227,32.52510685,29.03124658,5.493030137,5.348531507,8.055742466,0.046874049
4,6,4.707,3.342,5.075,2.649,7.817,30.15968219,29.01383014,5.419227397,5.247046575,8.09909589,0.046137747
4,7,4.396,3.319,5.032,2.771,8.588,31.86200548,28.32369315,5.427832877,5.173021918,8.655271233,0.045932268
4,8,4.195,3.327,6.192,2.704,7.642,32.20310685,28.32611233,5.673786301,5.378030137,8.071545205,0.046156773
4,9,4.298,3.319,5.08,2.822,6.725,32.54544932,29.63088219,5.444775342,5.428139726,8.036279452,0.046894977
5,0,4.278,3.318,5.608,2.813,7.094,37.35201918,33.03192603,6.134106849,6.02199726,9.732654795,0.052714992
5,1,4.06,3.322,5.303,2.679,7.413,35.54749589,31.66790411,5.969361644,5.958632877,8.884775342,0.051866438
5,2,4.937,3.328,4.835,2.813,8.185,37.5298274,32.21229589,6.009731507,6.25620274,8.619739726,0.052648402
5,3,4.158,3.308,5.25,2.672,7.245,39.74912055,32.71720274,6.023934247,5.977665753,9.438454795,0.053378995
5,4,4.614,3.342,5.204,2.651,8.114,38.70858082,32.22562192,6.002723288,6.018112329,9.595350685,0.052812024
5,5,4.727,3.305,5.388,2.892,7.433,36.97198904,31.93349041,6.011035616,5.992043836,9.065490411,0.05244863
5,6,4.557,3.324,5.302,2.67,7.909,37.45652055,33.11676164,5.950531507,5.861487671,9.599843836,0.053276256
5,7,4.517,3.33,5.25,2.845,6.845,38.98717534,33.18130137,5.671249315,5.936084932,9.739778082,0.053143075
5,8,5.009,3.3,4.763,2.798,6.793,36.44715068,32.33090959,6.333936986,5.940561644,9.147287671,0.052646499
5,9,4.356,3.34,6.192,2.805,7.073,37.14583288,33.07882192,6.3034,6.196380822,9.447989041,0.053740487
